nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg latifah,4.6,42,-6.2571283,106.8169117,"prv8+4qv, rt.5/rw.1, bangka, south jakarta city",ChIJc-5_wn_xaS4RRhfzbFQQ6B8,0
warteg kar1mah bahari,4.7,3,-6.260486299999999,106.8232763,"jl. kemang timur no.21, rt.5/rw.4, bangka, kota jakarta selatan",ChIJ-SQ7eSvyaS4RTa4L3WszsgE,0
warteg kharisma bahari,4.3,3,-6.2571621,106.8184548,"jl. kemang barat no.16, rt.6/rw.5, bangka, kota jakarta selatan",ChIJOxi72bzzaS4RlvjFPBNt4kc,0
warteg jayabahari,4.4,104,-6.257952599999999,106.8233462,"jl. kemang utara no.55, rt.2/rw.4, bangka, kota jakarta selatan",ChIJp9qMq9TzaS4R3a846-2OsiY,0
warteg 234,4.2,10,-6.2583754,106.82053,"warteg 234 no. 234, jalan. bungur dalam kemang utara, rt.1/rw.5, bangka, kota jakarta selatan",ChIJGRbq1CryaS4RLMvYTWYF13Q,0
warteg mojo,0,0,-6.2532745,106.8221282,"jl. bangka ix c, rt.10/rw.10, pela mampang, kota jakarta selatan",ChIJwZtNINTzaS4R29tJ4u1-P3U,0
dapur warteg,5,1,-6.2579158,106.8221829,"jl. kemang sel. no.49a, rt.2/rw.4, bangka, kota jakarta selatan",ChIJEw8bjjjzaS4RoYkGbq5jlZk,0
warteg darmo,5,2,-6.251923499999999,106.8212596,"jl. bangka, rt.10/rw.10, pela mampang, kota jakarta selatan",ChIJBQWMmNbzaS4RcczX4-mhAxo,0
warteg bejo,4.5,114,-6.258194599999999,106.8134351,"jl. kemang i no.12, rt.10/rw.1, bangka, kota jakarta selatan",ChIJZVTwuK_xaS4RHEFvuzuSxyw,0
warteg mojo,3.9,15,-6.2517871,106.8170368,"jl. bangka ix no.100, rt.3/rw.12, pela mampang, kota jakarta selatan",ChIJNdOYjH3xaS4Rk1oL3l1tnB0,0
warteg moro seneng,5,2,-6.253339599999999,106.822051,"jl. bangka ix c no.37, rt.12/rw.10, pela mampang, kota jakarta selatan",ChIJp4WW9drzaS4RXMgnBLXXcyw,0
warteg slawi ayu,4.1,12,-6.251524300000001,106.8236075,"jl. bangka ix no.49, rt.8/rw.10, pela mampang, kota jakarta selatan",ChIJEfkqNdHzaS4R34pjpXPkJo0,0
warteg b9,4.5,44,-6.251925099999999,106.8212432,"jl. bangka ix, rt.7/rw.10, pela mampang, kota jakarta selatan",ChIJx2e4jNbzaS4RYh1aTTtZG2U,0
simpang raya rm warteg kecil,4.6,14,-6.2572807,106.816164,"jl. kemang utara, rt.4/rw.1, bangka, kota jakarta selatan",ChIJ6ZkBlX_xaS4RHQ5_31o7o94,0
warteg abil jaya,4.3,36,-6.251912799999999,106.8179044,"jl. bangka ix, rt.3/rw.12, pela mampang, kota jakarta selatan",ChIJbWYTINbzaS4R30dW265Wz7s,0
warteg waluyo,4.2,11,-6.2599342,106.7845167,"jl. kopro banjir, rt.7/rw.11, kby. lama sel., kota jakarta selatan",ChIJ1Z8Ij6fxaS4Rw9PgmuWtJbs,0
warteg m j,4.4,15,-6.260880299999999,106.7888184,"jl. radio dalam raya no.88, rt.3/rw.11, gandaria utara, kota jakarta selatan",ChIJHQ3F06DxaS4R5gBp0MQxEnw,0
warteg raji,4.3,4,-6.2583739,106.7824829,"jl. tanah kusir ii no.9, rt.3/rw11/rw.9, kby. lama sel., kota jakarta selatan",ChIJUT0qYJfxaS4RWNnA0Jb0FOI,0
warteg tono,3.9,32,-6.260771099999999,106.7853106,"jl. tanah kusir no.09, rt.10/rw.11, kby. lama sel., kota jakarta selatan",ChIJCcdCn6fxaS4RYkFXDuUBQXU,0
warteg munawar,4.5,17,-6.2598405,106.7852074,"jl. dwijaya iv, rt.7/rw.11, kby. lama sel., kota jakarta selatan",ChIJ48rKg6fxaS4RdVX2uuxZPIQ,0
warteg mulya bahari,4.3,301,-6.2637941,106.7908567,"jl. h. nawi raya no.73, rt.6, gandaria utara, kota jakarta selatan",ChIJVZgWeqHxaS4RaoBtJDqp_zY,0
warteg selera,4,1,-6.2610981,106.7910983,"jl. hidup baru no.30, rt.12/rw.3, gandaria utara, kota jakarta selatan",ChIJ1ZlaW6DxaS4Ro0zW8V-AUa0,0
warteg kharisma bahari 16,4.5,16,-6.260229799999999,106.7909705,"cilandak, jl. h. salim 1 no.3, rt.8/rw.10, gandaria utara, dki jakarta",ChIJDdcAxKDxaS4R_DT2xRvkiFk,0
warteg selasih,5,2,-6.2568402,106.7857907,"jl. taman radio dalam vii, rt.13/rw.11, gandaria utara, kota jakarta selatan",ChIJT0T3qQnxaS4RHNgaUwtW9r8,0
warteg dewi,4.6,17,-6.259367,106.7829055,"jl. tanah kusir ii no.9 rt009/rw009, rt.11/rw.9, kby. lama sel., kota jakarta selatan",ChIJ24TL8y7xaS4Rwwv4UwE3Hok,0
warteg mamoka bahari,4.4,72,-6.266299699999999,106.7898497,"jl. madrasah no.5, rt.6/rw.1, gandaria sel., kota jakarta selatan",ChIJPxS216vxaS4RWxXpeHm7L1A,0
warteg kharisma bahari - kostrad,4.5,19,-6.2533197,106.7852406,"jl. darma putra raya jl. swadaya no.51, rt.9/rw.5, kby. lama sel., kota jakarta selatan",ChIJ78_ZKA_xaS4RjhU79awBWnI,0
warteg dewi,5,3,-6.262671399999999,106.7855896,"jl. margaguna raya a no.9, rt.4/rw.15, gandaria utara, kota jakarta selatan",ChIJxyiN96bxaS4R-q2adJP7T-8,0
warteg rezkq,5,2,-6.258972,106.7896343,"jl. h. zainuddin no.27-7, rt.5/rw.14, gandaria utara, kota jakarta selatan",ChIJE_-oVybxaS4R2kNkeOhgJiU,0
wahyoo warteg sederhana,4.4,16,-6.2579637,106.7897662,"jl. minang kramat no.1b, rt.2/rw.14, gandaria utara, kota jakarta selatan",ChIJzzW9PwrxaS4RdKXd702mxKs,0
warteg garasi,0,0,-6.2635533,106.7892187,"jl. h. nawi raya no.18, rt.7/rw.10, gandaria utara, kota jakarta selatan",ChIJ133lTqHxaS4RUECgmlCD1h8,0
warteg minah,4.2,20,-6.284747299999999,106.8190653,"jl. ampera raya no.4a, rt.1/rw.6, ragunan, kota jakarta selatan",ChIJkYmc6x3yaS4RqZV67z9_CEM,0
warteg b 464 s,5,1,-6.285446899999999,106.8186179,"jalan ampera raya no.10, rt.8/rw.2, cilandak timur, pasar minggu, rt.8/rw.2, cilandak tim., kota jakarta selatan",ChIJ73ANkh3yaS4RbT5kf2OMn1M,0
warteg bahari,0,0,-6.2876967,106.8234272,"jl. hankam no.rt.5, rt.8/rw.11, ragunan, kota jakarta selatan",ChIJzb7lNIjzaS4RN5d-ACBV1BQ,0
warteg podoworo,3,1,-6.2881446,106.8248379,"jalan taman rt 001 rw 006 ragunan, jl. margasatwa bar., rt.6/rw.1, ragunan, dki jakarta",ChIJfyE8aRvyaS4R6c6Jt_g30VU,0
warteg ellya,4.5,112,-6.279879999999999,106.818121,"jl. madrasah no.7, rt.5/rw.6, cilandak tim., kota jakarta selatan",ChIJEd0jgMvvaS4R_0_i9wEeWik,0
warteg danny,4,5,-6.281784399999999,106.824179,"jl. pekayon, rt.2/rw.3, ragunan, kota jakarta selatan",ChIJ0-wZLhnyaS4R1bOnEU9msWk,0
warteg kharisma elegant cab warung jati,4.5,328,-6.289969200000001,106.8240129,"jl. marga satwa raya no no.16, rt.5/rw.1, ragunan, kota jakarta selatan",ChIJd9d3xQnvaS4RatGPrzFuWSo,0
wahyoo.warteg alif bahari,4.6,44,-6.2816467,106.823119,"jl. pekayon no.2, rt.9/rw.3, ragunan, kota jakarta selatan",ChIJ9Swrth7yaS4Rec3AeV4nKck,0
warteg kharisma bahari elegant cabang warung jati,4.6,9,-6.2900239,106.8239837,"jl. taman margasatwa raya no.16, rt.5/rw.1, ragunan, kota jakarta selatan",ChIJ4bLuWNDzaS4R_g-TIrV3VHc,0
warteg bagas,5,1,-6.2854185,106.8186694,"jl. ampera raya no.8, rt.8/rw.2, cilandak tim., kota jakarta selatan",ChIJbW6H-pXzaS4Rp5tD4DxCJ8M,0
warteg minah,4.2,20,-6.284747299999999,106.8190653,"jl. ampera raya no.4a, rt.1/rw.6, ragunan, kota jakarta selatan",ChIJkYmc6x3yaS4RqZV67z9_CEM,0
