nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg putri,3.8,8,-6.2824088,106.7929264,"jl. terogong raya no.11, rt.6/rw.10, cilandak bar., kota jakarta selatan",ChIJe364HMDxaS4RNNuG2xHYqSU,0
warteg kharisma,5,2,-6.287435599999999,106.7947086,"jl. bni raya no.8, rt.3/rw.8, cilandak bar., kota jakarta selatan",ChIJrXBCLOjxaS4RGu2DYgciRXE,0
warung soto (warteg setia),0,0,-6.2869052,106.7957146,"no., jl. rumah sakit fatmawati no.205, rw.3, bar., cilandak, rt.1/rw.3, cilandak bar., kota jakarta selatan",ChIJcUR-PerxaS4R9JgfT4TI_9A,0
warteg mitra,4.3,24,-6.2842009,106.7960637,"jl. rs. fatmawati raya no.42, rt.5/rw.3, cilandak bar., kota jakarta selatan",ChIJqfacI-rxaS4Rvo6xe2dB7rc,0
warteg makmur jaya,4.7,19,-6.2874843,106.7926104,"jl. kh muhasyim i no.3b, rt.4/rw.6, cilandak bar., kota jakarta selatan",ChIJ3VME9cLxaS4R_PPBee3UESI,0
warteg barokah,0,0,-6.2814209,106.7916717,"jl.terogong iii no.75, rt.10/rw.10, cilandak bar., kota jakarta selatan",ChIJhYS0UcDxaS4RZ1YUQNOsLmE,0
warteg putra jaya,0,0,-6.2838807,106.7961355,"rt.5/rw.3, cilandak bar., kota jakarta selatan",ChIJoRntWVvxaS4RpHA8tSTOAb4,0
warteg subsidi bahari,5,1,-6.288671,106.795258,"2, jl. rs. fatmawati raya no.46, rt.3/rw.5, cilandak bar., kota jakarta selatan",ChIJyXVMvbHxaS4RKZYR0GRSpRw,0
warteg kharisma,4.3,6,-6.2810843,106.7918122,"jl.terogong iii no.5, rt.10/rw.10, cilandak bar., kota jakarta selatan",ChIJUY7AXcDxaS4RG-PJJgclL8I,0
warteg mitra,4.8,5,-6.291395,106.802194,"jalan cilandak tengah iv no. 14c rt.003/001, rt.3/rw.1, cilandak bar., kota jakarta selatan",ChIJvx31k13xaS4Rm_CEsaEukh8,0
warteg bdn,4.5,4,-6.280281,106.7995857,"pq9x+vrp, rt.10/rw.11, west cilandak, south jakarta city",ChIJWUq0u0_xaS4RiyQ-DFBvI7Y,0
warteg kharisma 24 jam,0,0,-6.2891031,106.7908216,"jl. kh muhasim raya blok m, jl. buntu no.8, rt.9/rw.6, cilandak bar., kota jakarta selatan",ChIJVYT-EYHxaS4RhFtiRNTjrZU,0
warteg mitra,5,1,-6.289324,106.80192,"jl. cilandak tengah raya, rt.2/rw.1, cilandak bar., kota jakarta selatan",ChIJpeh2ueXxaS4RcRkr1GzS7ZI,0
warteg barokah,5,1,-6.2901203,106.7954531,"jl. rs. fatmawati raya no.14, rt.7/rw.5, cilandak bar., kota jakarta selatan",ChIJZ3j1nAjxaS4RDiFlX2ckp74,0
warteg bu sri,0,0,-6.289569999999999,106.7926448,"jl. kh muhasim iv, rt.11/rw.5, cilandak bar., kota jakarta selatan",ChIJGyMIk_TxaS4RM8vXx4sGRaw,0
warteg kharisma,5,2,-6.287435599999999,106.7947086,"jl. bni raya no.8, rt.3/rw.8, cilandak bar., kota jakarta selatan",ChIJrXBCLOjxaS4RGu2DYgciRXE,0
