nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg putra bahari,4,1,-6.286648,106.7761066,"rt.11/rw.10, pd. pinang, kota jakarta selatan",ChIJr2IRIszxaS4R9MxYT5oXRLk,0
warteg,4,6,-6.290341799999999,106.7789122,"jl. h. ilyas no.8, rt.9/rw.7, lb. bulus, kota jakarta selatan",ChIJN51qKM7xaS4Ru9z8lvw-Tus,0
warteg kharisma,5,1,-6.2942826,106.7823221,"jl. h. baun no.32, rt.3/rw.1, lb. bulus, kota jakarta selatan",ChIJExeV30HxaS4R3sckrKZ1O9Q,0
warteg langka-langka,5,1,-6.2928652,106.7822506,"pq4j+vw2, rt.5/rw.1, lebak bulus, south jakarta city",ChIJ-2TiF3nxaS4RXenRCufpo8c,0
warteg mulya bahari,0,0,-6.289397999999999,106.7778279,"jl. adiaksa raya no.32, rt.7/rw.7, lb. bulus, kota jakarta selatan",ChIJXYC4VEbxaS4R2QJdZPryuus,0
warteg putra,0,0,-6.324612000000001,106.81145,"gang # 2 jalan muhamad kafi 1 jagakarsa, ceremai blok cermai no.7, rt.1/rw.4, jagakarsa, dki jakarta",ChIJafA0-nPuaS4Rqv1ixxwhKwU,0
warteg kharisma,5,1,-6.3226055,106.8112879,"jl. moh. kahfi 1 no.94, rt.8/rw.4, jagakarsa, kota jakarta selatan",ChIJWci_gnPuaS4RKiG5boiFGPs,0
warteg kharisma,0,0,-6.3234607,106.8151781,"jl. durian, rt.8/rw.4, jagakarsa, kota jakarta selatan",ChIJeThsjQ3vaS4RnDZURKKg1bs,0
warteg rizky,5,3,-6.3290326,106.8054647,"jl. benda ujung, rt.3/rw.1, ciganjur, kota jakarta selatan",ChIJb4QL3W_uaS4Rts1Cd3o0w_s,0
warteg cahaya,3.3,9,-6.3189065,106.8108338,"jl. moh. kahfi 1, rt.3/rw.4, jagakarsa, kota jakarta selatan",ChIJa7mLvgzuaS4RL2NJfR9V6_s,0
warteg bu emi,0,0,-6.3252728,106.8057393,"jl. manggis no.8a, rt.1/rw.1, ciganjur, kota jakarta selatan",ChIJx8kFFfXvaS4RSMSvpW_eriI,0
warteg bdn bahari,0,0,-6.3250474,106.8109797,"jl. moh. kahfi 1 blok manggis no.4g, rt.1/rw.4, jagakarsa, kota jakarta selatan",ChIJQWdI5tvvaS4RR3cMEIy4yxs,0
warteg putra,0,0,-6.324612000000001,106.81145,"gang # 2 jalan muhamad kafi 1 jagakarsa, ceremai blok cermai no.7, rt.1/rw.4, jagakarsa, dki jakarta",ChIJafA0-nPuaS4Rqv1ixxwhKwU,0
warteg kharisma,5,1,-6.3226055,106.8112879,"jl. moh. kahfi 1 no.94, rt.8/rw.4, jagakarsa, kota jakarta selatan",ChIJWci_gnPuaS4RKiG5boiFGPs,0
warteg rizky,5,3,-6.3290326,106.8054647,"jl. benda ujung, rt.3/rw.1, ciganjur, kota jakarta selatan",ChIJb4QL3W_uaS4Rts1Cd3o0w_s,0
warteg cahaya,3.3,9,-6.3189065,106.8108338,"jl. moh. kahfi 1, rt.3/rw.4, jagakarsa, kota jakarta selatan",ChIJa7mLvgzuaS4RL2NJfR9V6_s,0
warteg hikmah,0,0,-6.3202146,106.8107235,"jl. moh. kahfi 1, rt.3/rw.4, jagakarsa, kota jakarta selatan",ChIJPZm-S3PuaS4RxXp1GC-8yro,0
warteg mekar sari bahari,5,1,-6.3245701,106.8114807,"jl. muhamad kafi 1 blok manggis no.4, rt.1/rw.4, jagakarsa, kota jakarta selatan",ChIJzeg3-nPuaS4REvJpT0Y-unQ,0
wahyoo warteg kharisma bahari,0,0,-6.322535299999999,106.8111556,"jl. moh. kahfi 1 no.28-94, rt.3/rw.4, jagakarsa, kota jakarta selatan",ChIJwWJw8OfvaS4R-UPNKEK3TjE,0
warteg citr sari,4.4,36,-6.2948572,106.8108821,"jl. jaha no.12, rt.4/rw.1, cilandak tim., kota jakarta selatan",ChIJa26PDvzxaS4RPcEvbwGIn2o,0
warteg utama,4.2,82,-6.295514499999999,106.8161689,"jl. raya cilandak kko, rt.1/rw.5, ragunan, kota jakarta selatan",ChIJ4U64F__xaS4R2ativ9F8Jy8,0
