nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg wagetun,4.3,14,-6.271634400000001,106.81533700000001,"jl. kemang raya no.95 e, rt.1/rw.2, bangka, kota jakarta selatan",ChIJh867ronxaS4Rc0hjpvuWHW8,0.012258199999997109
warteg kar1mah bahari,4.7,3,-6.260486299999998,106.8232763,"jl. kemang timur no.21, rt.5/rw.4, bangka, kota jakarta selatan",ChIJ-SQ7eSvyaS4RTa4L3WszsgE,0.0
warteg jayabahari,4.4,104,-6.2579525999999985,106.8233462,"jl. kemang utara no.55, rt.2/rw.4, bangka, kota jakarta selatan",ChIJp9qMq9TzaS4R3a846-2OsiY,0.0
warteg 234,4.2,10,-6.2583754,106.82053,"warteg 234 no. 234, jalan. bungur dalam kemang utara, rt.1/rw.5, bangka, kota jakarta selatan",ChIJGRbq1CryaS4RLMvYTWYF13Q,0.0
warteg mojo,0.0,0,-6.2532745,106.82212820000001,"jl. bangka ix c, rt.10/rw.10, pela mampang, kota jakarta selatan",ChIJwZtNINTzaS4R29tJ4u1-P3U,0.0
dapur warteg,5.0,1,-6.257915799999999,106.82218290000002,"jl. kemang sel. no.49a, rt.2/rw.4, bangka, kota jakarta selatan",ChIJEw8bjjjzaS4RoYkGbq5jlZk,0.0
warteg darmo,5.0,2,-6.251923499999998,106.82125959999999,"jl. bangka, rt.10/rw.10, pela mampang, kota jakarta selatan",ChIJBQWMmNbzaS4RcczX4-mhAxo,0.0
warteg moro seneng,5.0,2,-6.2533395999999986,106.822051,"jl. bangka ix c no.37, rt.12/rw.10, pela mampang, kota jakarta selatan",ChIJp4WW9drzaS4RXMgnBLXXcyw,0.0
warteg slawi ayu,4.1,12,-6.251524300000002,106.8236075,"jl. bangka ix no.49, rt.8/rw.10, pela mampang, kota jakarta selatan",ChIJEfkqNdHzaS4R34pjpXPkJo0,0.0
warteg b9,4.5,44,-6.2519250999999985,106.8212432,"jl. bangka ix, rt.7/rw.10, pela mampang, kota jakarta selatan",ChIJx2e4jNbzaS4RYh1aTTtZG2U,0.0
warteg rezkq,5.0,2,-6.258972,106.78963429999999,"jl. h. zainuddin no.27-7, rt.5/rw.14, gandaria utara, kota jakarta selatan",ChIJE_-oVybxaS4R2kNkeOhgJiU,0.0
warteg garasi,0.0,0,-6.2635533,106.78921869999999,"jl. h. nawi raya no.18, rt.7/rw.10, gandaria utara, kota jakarta selatan",ChIJ133lTqHxaS4RUECgmlCD1h8,0.0
warteg minah,4.2,20,-6.2847472999999985,106.81906529999999,"jl. ampera raya no.4a, rt.1/rw.6, ragunan, kota jakarta selatan",ChIJkYmc6x3yaS4RqZV67z9_CEM,0.0
warteg bahari,0.0,0,-6.287696700000001,106.82342720000001,"jl. hankam no.rt.5, rt.8/rw.11, ragunan, kota jakarta selatan",ChIJzb7lNIjzaS4RN5d-ACBV1BQ,0.0
warteg b 464 s,5.0,1,-6.285446899999998,106.8186179,"jalan ampera raya no.10, rt.8/rw.2, cilandak timur, pasar minggu, rt.8/rw.2, cilandak tim., kota jakarta selatan",ChIJ73ANkh3yaS4RbT5kf2OMn1M,0.0
warteg ellya,4.5,112,-6.279879999999999,106.81812099999999,"jl. madrasah no.7, rt.5/rw.6, cilandak tim., kota jakarta selatan",ChIJEd0jgMvvaS4R_0_i9wEeWik,0.0
warteg podoworo,3.0,1,-6.2881446,106.82483789999999,"jalan taman rt 001 rw 006 ragunan, jl. margasatwa bar., rt.6/rw.1, ragunan, dki jakarta",ChIJfyE8aRvyaS4R6c6Jt_g30VU,0.0
warteg danny,4.0,5,-6.2817843999999985,106.824179,"jl. pekayon, rt.2/rw.3, ragunan, kota jakarta selatan",ChIJ0-wZLhnyaS4R1bOnEU9msWk,0.0
makmur restaurant,4.4,51,-6.287111899999998,106.825406,"jl. taman margasatwa raya no.16, rt.4/rw.11, ragunan, kota jakarta selatan",ChIJ45sNFRvyaS4ROMnssJC0o4w,0.0
warteg kharisma elegant cab warung jati,4.5,328,-6.289969200000002,106.8240129,"jl. marga satwa raya no no.16, rt.5/rw.1, ragunan, kota jakarta selatan",ChIJd9d3xQnvaS4RatGPrzFuWSo,0.0
warteg kharisma bahari elegant cabang warung jati,4.6,9,-6.2900239000000004,106.8239837,"jl. taman margasatwa raya no.16, rt.5/rw.1, ragunan, kota jakarta selatan",ChIJ4bLuWNDzaS4R_g-TIrV3VHc,0.0
wahyoo.warteg alif bahari,4.6,44,-6.2816467000000005,106.82311899999999,"jl. pekayon no.2, rt.9/rw.3, ragunan, kota jakarta selatan",ChIJ9Swrth7yaS4Rec3AeV4nKck,0.0
warteg bagas,5.0,1,-6.2854185,106.81866940000002,"jl. ampera raya no.8, rt.8/rw.2, cilandak tim., kota jakarta selatan",ChIJbW6H-pXzaS4Rp5tD4DxCJ8M,0.0
warteg mulya bahari,4.3,301,-6.2637941,106.7908567,"jl. h. nawi raya no.73, rt.6, gandaria utara, kota jakarta selatan",ChIJVZgWeqHxaS4RaoBtJDqp_zY,0.011672599999990927
warteg bu turah,4.4,31,-6.2613799000000006,106.802347,"jakarta selatan, rt.6/rw.2, cipete utara, kota jakarta selatan",ChIJIwFTrZ3xaS4R8yZkk2Jr6pU,0.015859899999999705
warteg mandiri,4.1,10,-6.266043,106.808127,"jl. duren tiga raya no.48, rt.4/rw.1, duren tiga, kota jakarta selatan",ChIJyyDNSszzaS4RNwTh3ojM5zc,0.016976800000001013
warteg mamoka,4.5,191,-6.2719347,106.7965176,"pqhw+6jc, rt.1/rw.4, south gandaria, south jakarta city",ChIJQ-4iYQ3xaS4ROc90Y7wg3QQ,0.002128900000004208
warteg selaras bahari,4.7,3,-6.2643499999999985,106.79774499999999,"jl. nangka, rt.2/rw.5, cipete utara, kota jakarta selatan",ChIJ41bAP_jxaS4Rf50QI4ZoMsA,0.008287800000008616
warteg barokah,3.8,15,-6.258563,106.802274,"no 18, jalan kirai, rt.10/rw.4, cipete utara, kota jakarta selatan",ChIJK_7-mZ3xaS4RG3fPlGRAtKc,0.018603799999999282
warteg selera,4.0,1,-6.2610981,106.7910983,"jl. hidup baru no.30, rt.12/rw.3, gandaria utara, kota jakarta selatan",ChIJ1ZlaW6DxaS4Ro0zW8V-AUa0,0.014126999999995782
warteg jaya bahari,4.5,49,-6.2666981,106.80377320000001,"jl. abdul majid raya, rt.11/rw.7, cipete utara, kota jakarta selatan",ChIJPc4q_ZrxaS4Rnb65HJWKVAM,0.011967899999996591
warteg anda,5.0,2,-6.2724509999999984,106.803327,"jl. asem dua no.14, rt.1/rw.6, cipete sel., kota jakarta selatan",ChIJ5zKjrDvxaS4RUyfQwcS7jZc,0.00945459999999798
warteg citrajaya bahari,4.1,12,-6.259934500000001,106.7962051,"jl. gotong royong i no.1, rt.4/rw.6, gandaria utara, kota jakarta selatan",ChIJ9fn8wp_xaS4Rnr_xEDKeXI0,0.011163399999995605
warteg selera,4.6,13,-6.260402999999998,106.7970268,"jl. rs. fatmawati raya no.1, rt.2/rw.1, cipete utara, kota jakarta selatan",ChIJzRY0eXXxaS4RDvXmGhnQD4Y,0.01151660000000021
warteg mamoka bahari,4.4,72,-6.2662996999999985,106.78984969999999,"jl. madrasah no.5, rt.6/rw.1, gandaria sel., kota jakarta selatan",ChIJPxS216vxaS4RWxXpeHm7L1A,0.010173999999993022
warteg zahra,4.2,17,-6.2524679,106.79459750000001,"jl. petogogan i no.20a, rt.1/rw.11, gandaria utara, kota jakarta selatan",ChIJkTt21XLxaS4RJPViggvKqAg,0.01925800000000244
warteg 46,5.0,2,-6.2642370000000005,106.7935285,"jl. h. nawi raya no.46a, rt.6/rw.2, gandaria sel., kota jakarta selatan",ChIJBYMb-KHxaS4RKc7vu-v5SVg,0.008557900000004004
warteg rahayu,0.0,0,-6.260065699999998,106.80069099999999,"jl. damai raya no.20, rt.1/rw.2, cipete utara, kota jakarta selatan",ChIJv4vg6J3xaS4RatIsR5-Eu4w,0.015518100000003088
warteg kharisma bahari 16,4.5,16,-6.2602297999999985,106.79097050000001,"cilandak, jl. h. salim 1 no.3, rt.8/rw.10, gandaria utara, dki jakarta",ChIJDdcAxKDxaS4R_DT2xRvkiFk,0.015123099999997612
warteg restu ibu,5.0,1,-6.2706906999999985,106.79728829999999,"jl. rs. fatmawati raya no.234, rt.1/rw.4, gandaria sel., kota jakarta selatan",ChIJMe6GgpfxaS4RiahGZqvF6BA,0.0016556000000074178
warteg rohmadi,0.0,0,-6.2671835,106.79425590000001,"jl. komp. depag no.19, rt.7/rw.3, gandaria sel., kota jakarta selatan",ChIJFemleJjxaS4RUI3pXCOhVdM,0.004884000000001443
warteg mekar jaya (wmj),3.0,2,-6.270124,106.79727,"jl. rs. fatmawati raya no.8-1, rt.1/rw.4, gandaria sel., kota jakarta selatan",ChIJv83Pi4fxaS4R5cjVT7Qyq0U,0.002038799999999341
warteg kharisma bahari,4.4,179,-6.260070100000001,106.8057715,"jl. h. jian no.32, rt.7/rw.3, cipete utara, kota jakarta selatan",ChIJx8p0Sp3xaS4R-_IldqY_PHc,0.020594200000006783
warteg annisa,3.5,2,-6.2705804,106.79624879999999,"jalan mangga nomor 8d, rt.4/rw.4, gandaria sel., kota jakarta selatan",ChIJ0TDKwGEfai4RQBj94PZtAUw,0.000561200000002593
warteg 168,4.0,2,-6.263635499999999,106.79454040000002,"jl. h. nawi raya, rt.2/rw.7, gandaria utara, kota jakarta selatan",ChIJBW6EWZ_xaS4Roq_1K9LQ7ps,0.0081474999999962
warteg kharisma bahari,5.0,8,-6.2677365,106.79674209999999,"jl. madrasah no.1a, rt.3/rw.3, gandaria sel., kota jakarta selatan",ChIJQ4JQ1Q_xaS4R_aKPjG7C_sQ,0.0038984000000050756
warteg ben jaya,3.5,6,-6.2671015,106.7941082,"jl. madrasah no.4, rt.7/rw.3, gandaria sel., kota jakarta selatan",ChIJ8T2QgaLxaS4Rh4tD2TBG0Us,0.005113700000000776
warteg kharisma,4.2,30,-6.270607999999998,106.79571499999999,"samping philips, jl. mangga no.5, rt.5/rw.3, gandaria sel., kota jakarta selatan",ChIJo6qq6pfxaS4Rn4QKuHY7PCU,3.999999966808332e-07
warteg niki 4,4.7,18,-6.274515,106.79789,"jl. rs. fatmawati raya, rt.14/rw.4, cipete sel., kota jakarta selatan",ChIJ3498KJTxaS4RcG5SKCjpSEk,0.006081599999998133
warteg kharisma bahari,4.4,206,-6.2582684,106.7932268,"jl. karya utama no.6, gandaria utara, kota jakarta selatan",ChIJx1eskX_xaS4R07OKpVGmurM,0.014828199999997516
warteg cita rasa 3,4.0,9,-6.2638568,106.794299,"no. 051, jl. h. nawi raya, rt.7/rw.7, gandaria utara, kota jakarta selatan",ChIJLaE9Vp_xaS4RXEZZp3K0has,0.00816760000000194
