nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg ibu,4.7,16,-6.296596699999999,106.7918274,"jl. lb. bulus i, rt.4/rw.4, cilandak bar., kota jakarta selatan",ChIJ2fjtR97xaS4REdq2Ou6rVeU,0.009661799999997278
warteg bahari,5,6,-6.278468699999999,106.7932845,"jl. bahari i no.62, rt.10/rw.7, gandaria sel., kota jakarta selatan",ChIJg3ksjvDxaS4R_qssV7JJYx4,0.017734300000003422
warteg bahari,4.5,2,-6.303939499999999,106.7817121,"no.10,, daerah khusus ibukota jkt ,indonesia, jl. karang tengah raya, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJ-Vz9kCjuaS4REwLyGfI7rIo,0.027119900000006858
warteg pratama 03,4.5,8,-6.2798251,106.7953431,"jl. terogong raya no.15, rt.11/rw.7, gandaria sel., kota jakarta selatan",ChIJOxnknzbxaS4R2bQU7UbrqHk,0.01431930000000392
warteg barokah,0,0,-6.2814209,106.7916717,"jl.terogong iii no.75, rt.10/rw.10, cilandak bar., kota jakarta selatan",ChIJhYS0UcDxaS4RZ1YUQNOsLmE,0.016394900000006096
warteg citr sari,4.4,36,-6.2948572,106.8108821,"jl. jaha no.12, rt.4/rw.1, cilandak tim., kota jakarta selatan",ChIJa26PDvzxaS4RPcEvbwGIn2o,0.01625180000000004
warteg bu nur,4.3,7,-6.3054728,106.7959141,"jalan pondok labu raya no.1 4 10 pondok labu kecamatan cilandak kota jakarta selatan daerah khusus ibukota jakarta, rt.1/rw.1, pd. labu, kota jakarta selatan",ChIJi6JjDCLuaS4RCt9FCSfn1Jc,0.014451199999996334
warteg putri,3.8,8,-6.2824088,106.7929264,"jl. terogong raya no.11, rt.6/rw.10, cilandak bar., kota jakarta selatan",ChIJe364HMDxaS4RNNuG2xHYqSU,0.014152300000001894
wahyoo warteg bahari,0,0,-6.296751599999999,106.7866842,"jl. lb. bulus i no.rt.6, rt.15/rw.4, cilandak bar., kota jakarta selatan",ChIJ0a203j7xaS4RNtTQ6w2uQVM,0.01495990000000269
warteg kharisma bahari / tasripin,4.4,118,-6.2780903,106.8049547,"jl. cipete raya no.1a, rt.8/rw.4, cipete sel., kota jakarta selatan",ChIJ92bavZLxaS4RuyRU7t5bjv4,0.021971899999996047
warteg,4,6,-6.290341799999999,106.7789122,"jl. h. ilyas no.8, rt.9/rw.7, lb. bulus, kota jakarta selatan",ChIJN51qKM7xaS4Ru9z8lvw-Tus,0.020233500000007787
warteg poncol,0,0,-6.2754759,106.7930573,"pqfv+r63, rt.3/rw.7, south gandaria, south jakarta city",ChIJ9XsywdPxaS4RH1wimCW4GR4,0.020954299999999648
warteg kharisma bahari,3.7,3,-6.2847235,106.7882284,"jl. terogong raya, rt.3/rw.6, cilandak bar., kota jakarta selatan",ChIJF_MZq8bxaS4RqeiKJGsMGmA,0.016535600000006312
warteg jaya,0,0,-6.3031662,106.7813295,"jl. karang tengah, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJsQ-MkCjuaS4RZ8oj9pBOIYc,0.026729200000001896
warteg sarapada 4 ibu,4.2,69,-6.278181399999999,106.8079133,"jl. cipete raya no.61, rt.9/rw.4, cipete sel., kota jakarta selatan",ChIJiZAGPI3xaS4RhKCoGnkNB9E,0.024839399999995848
warteg mbak armalah,5,3,-6.310268499999999,106.7971414,"jalan i 002 no 49, gg. rw. no.1, rt.3/rw.2, pd. pinang, kota jakarta selatan",ChIJGYtjmRfuaS4RNMB6kBulHGo,0.018019599999998803
warteg hidayah,4.4,19,-6.288495999999999,106.8070396,"jl. pangeran antasari gg. swadaya iii, rt.1/rw.1, cilandak bar., kota jakarta selatan",ChIJo4IhF_DxaS4R6ClUf1MaOcY,0.013651099999996141
warteg sakinah,5,1,-6.306642,106.8140197,"jl. raya cilandak kko, rt.14/rw.5, ragunan, kota jakarta selatan",ChIJXeOV8AbuaS4RiEBZOI5Epgc,0.031174200000002372
warteg mitra,4.8,5,-6.291395,106.802194,"jalan cilandak tengah iv no. 14c rt.003/001, rt.3/rw.1, cilandak bar., kota jakarta selatan",ChIJvx31k13xaS4Rm_CEsaEukh8,0.005906500000000037
warteg kharisma,4.3,6,-6.2810843,106.7918122,"jl.terogong iii no.5, rt.10/rw.10, cilandak bar., kota jakarta selatan",ChIJUY7AXcDxaS4RG-PJJgclL8I,0.01659100000000535
warteg berkah jaya,4,6,-6.3048464,106.7816945,"jl. karang tengah raya no.6, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJQSoFpSjuaS4R3uPOqYmdk4c,0.028044399999999747
warteg bdn,4.5,4,-6.280281,106.7995857,"pq9x+vrp, rt.10/rw.11, west cilandak, south jakarta city",ChIJWUq0u0_xaS4RiyQ-DFBvI7Y,0.014412199999994435
warteg kharisma,5,2,-6.287435599999999,106.7947086,"jl. bni raya no.8, rt.3/rw.8, cilandak bar., kota jakarta selatan",ChIJrXBCLOjxaS4RGu2DYgciRXE,0.007343299999994279
warteg mpr,4.4,54,-6.284384999999999,106.8066329,"jl. m.p.r iii no.dalam, rt.12/rw.13, cilandak bar., kota jakarta selatan",ChIJcbdCnQ_xaS4RmrM1BqjXTjs,0.017355399999996912
warteg resa,4.2,5,-6.307239,106.8139324,"jl. raya cilandak kko, rt.2/rw.7, ragunan, kota jakarta selatan",ChIJjWD8WAbuaS4RtyfwcnikgPM,0.03168389999999821
warteg jaya bahari,4.1,21,-6.310669499999999,106.7809988,"jl. karang tengah raya no.83, rt.1/rw.3, lb. bulus, kota jakarta selatan",ChIJJ_ZbFjDuaS4RqDArDnb6e_w,0.03456319999999291
warteg family xii,3.4,5,-6.2797983,106.7953642,"jl. terogong raya, rt.11/rw.6, gandaria sel., dki jakarta",ChIJJU0fyurxaS4RLeWPtnbBhFo,0.014325000000005694
warteg,4.4,175,-6.2730144,106.8148675,"jl. kemang sel., rt.5/rw.6, cipete sel., kota jakarta selatan",ChIJwTeEN4bxaS4RuMOTs5rkpNI,0.036960600000004895
warteg nur,4.6,23,-6.304261599999999,106.8031542,"jl. pinang kalijati, rt.11/rw.9, pd. labu, kota jakarta selatan",ChIJZzPihxzuaS4RCJEAkDLbPR0,0.017928299999993236
warung soto (warteg setia),0,0,-6.2869052,106.7957146,"no., jl. rumah sakit fatmawati no.205, rw.3, bar., cilandak, rt.1/rw.3, cilandak bar., kota jakarta selatan",ChIJcUR-PerxaS4R9JgfT4TI_9A,0.006867700000004362
warteg sami asih,4.2,6,-6.2965582,106.78866,"jl. lb. bulus i no.57, rt.6/rw.4, cilandak bar., kota jakarta selatan",ChIJyTk0yt7xaS4RiY0drl8OjpM,0.012790700000007149
warteg mitra,5,1,-6.289324,106.80192,"jl. cilandak tengah raya, rt.2/rw.1, cilandak bar., kota jakarta selatan",ChIJpeh2ueXxaS4RcRkr1GzS7ZI,0.007703499999995422
warteg laksana,4.6,14,-6.311044799999999,106.7850028,"jl. karang tengah i no.34, rt.1/rw.8, lb. bulus, kota jakarta selatan",ChIJTzXO1jruaS4RM4izdp0-M5s,0.03093449999999809
warteg dua putri,4.8,5,-6.276285499999999,106.7915426,"jl. poncol no.14, rt.3/rw.7, gandaria sel., kota jakarta selatan",ChIJH0gbjmTxaS4RlFGzY_SiaPY,0.02165940000000166
warteg kharisma bahari,4.1,43,-6.3095972,106.7900097,"jl. h. ipin, rt.13/rw.1, pd. labu, kota jakarta selatan",ChIJv9zuNCPuaS4Re742xuYK1DQ,0.02448000000000139
warteg kutilang,4,15,-6.3017788,106.8141985,"jl. raya cilandak kko no.42, rt.1/rw.8, ragunan, kota jakarta selatan",ChIJCyDeqQHuaS4RlkDAlsYsXY4,0.026489800000002894
warteg kharisma bahari sedia soto ayam,3.9,14,-6.3053629,106.798582,"jl. swakarya bawah no.13, rt.3/rw.9, pd. labu, kota jakarta selatan",ChIJvd_lNRnuaS4RluCLdhdhu00,0.014457399999995957
warteg nur hikmah,5,1,-6.30181,106.795029,"jl. wijaya kusuma, rt.8/rw.06, pd. labu, kota jakarta selatan",ChIJ7XJbbFXvaS4R52Yy4cveS6s,0.011673500000000558
warteg romlah,4.9,7,-6.2795252,106.7931048,"pqcv+56q, rt.9/rw.7, south gandaria, south jakarta city",ChIJic_sobDxaS4RjDi_vEIOkDg,0.016857500000005743
warteg citra sari,4.3,153,-6.2973101,106.8034148,"jl. cilandak permai raya, rt.6/rw.2, cilandak bar., kota jakarta selatan",ChIJm_Bx_uLxaS4RHQkTq7aFOVA,0.011237399999997955
warteg mitra,4.3,24,-6.2842009,106.7960637,"jl. rs. fatmawati raya no.42, rt.5/rw.3, cilandak bar., kota jakarta selatan",ChIJqfacI-rxaS4Rvo6xe2dB7rc,0.009222899999995704
warteg kharisma,5,1,-6.2942826,106.7823221,"jl. h. baun no.32, rt.3/rw.1, lb. bulus, kota jakarta selatan",ChIJExeV30HxaS4R3sckrKZ1O9Q,0.016852999999998453
warteg aw,5,2,-6.28499,106.8065595,"jln mpr 3 dalam no34, jl. m.p.r iii dalam no.dalam, rt.2/rw.13, cilandak bar., kota jakarta selatan",ChIJhbqPfJnxaS4RpwayWTz8Ba4,0.016677000000005826
warteg teteh,0,0,-6.3061573,106.8021652,"jl. pinang kalijati no.12, rt.8/rw.9, pd. labu, kota jakarta selatan",ChIJe3RDjiXvaS4RF0tOsqwu10k,0.01883500000000371
warteg brambang salam,4.5,4,-6.2892606,106.8030518,"jl. cilandak tengah ii no.10, rt.3/rw.1, cilandak bar., kota jakarta selatan",ChIJKwtXf-_xaS4RMB6kW-c9w-s,0.008898700000004922
warteg hafis,4.4,16,-6.2797992,106.7938948,"jl. terogong i no.32, rt.8/rw.10, cilandak bar., kota jakarta selatan",ChIJJzISAcDxaS4R0ZaAMqbxYgc,0.015793499999996463
warteg kharisma bahari,0,0,-6.3053762,106.7986362,"jl. swakarya bawah no.c no.13, rt.3/rw.9, pd. labu, kota jakarta selatan",ChIJX_PQ0UfvaS4R04cdglh6B7o,0.01452490000000406
warteg makmur jaya,4.7,19,-6.2874843,106.7926104,"jl. kh muhasyim i no.3b, rt.4/rw.6, cilandak bar., kota jakarta selatan",ChIJ3VME9cLxaS4R_PPBee3UESI,0.009392799999999646
warteg ojo lali cilandak,4.6,68,-6.310656400000001,106.8134351,"jl. margasatwa, rt.1/rw.6, jagakarsa, kota jakarta selatan",ChIJ73z5lQjuaS4Re-XgIblPmRM,0.03460400000000696
warteg nur hikmah,4,1,-6.301049600000001,106.8146093,"jl. raya cilandak kko, rt.13/rw.5, ragunan, kota jakarta selatan",ChIJO9XpswHuaS4RjQrzMM0SY5Y,0.026171400000000844
warteg timbul jaya,4.3,7,-6.296675899999999,106.8154811,"jl. raya cilandak kko, rt.1/rw.5, ragunan, kota jakarta selatan",ChIJuWquB__xaS4RYDo6gb4GQAk,0.022669499999998344
warteg aw,3.7,3,-6.284375000000001,106.8064783,"12, jl. m.p.r. iii dalam no.dalam, rt.2/rw.13, cilandak bar., kota jakarta selatan",ChIJp3vHnFHxaS4RYYWNIi15R6Q,0.017210799999993753
warteg barokah,5,1,-6.3111909,106.7929614,"jl. h. ipin no.10, rt.7/rw.1, pd. labu, kota jakarta selatan",ChIJEbZIOz3uaS4RVxx1kwzXDB0,0.023122000000004306
warteg langgeng,4.1,21,-6.3031215,106.7848034,"jl. gn. balong, rt.8, lb. bulus, kota jakarta selatan",ChIJAaVeUibuaS4Rde2y9g13_z8,0.02321059999999875
warteg subsidi,5,1,-6.292541,106.810897,"jl. pam lama no.48, rt.2/rw.1, cilandak tim., kota jakarta selatan",ChIJD5CtJL_xaS4RaxCzYI7-O6k,0.013950499999996424
warteg sari,2.7,6,-6.311108,106.781066,"jl. karang tengah raya no.97, rt.1/rw.3, lb. bulus, kota jakarta selatan",ChIJ_XisGDDuaS4Rz-o_ldh05YA,0.03493450000000475
warteg kharisma bahari pd labu,1,1,-6.3011485,106.7946462,"jl. rs. fatmawati raya no.66, rt.8/rw.1, pd. labu, kota jakarta selatan",ChIJVSngG0LvaS4RYxv34Vtor34,0.011394799999997929
wahyoo warteg rizqy,4.8,4,-6.304796800000001,106.781845,"rt.4/rw.4, lebak bulus, south jakarta city",ChIJZZ_DP9bxaS4R_NShEgveXHk,0.02784429999999727
warteg putra jaya,0,0,-6.2838807,106.7961355,"rt.5/rw.3, cilandak bar., kota jakarta selatan",ChIJoRntWVvxaS4RpHA8tSTOAb4,0.009471299999995075
warteg family,4.9,7,-6.310898,106.7855493,"jl. karang tengah i no.24, rt.3/rw.8, lb. bulus, kota jakarta selatan",ChIJ3UUzyTruaS4Rzg-hdaClrXk,0.030241200000000745
