nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari,5,6,-6.278468699999999,106.7932845,"jl. bahari i no.62, rt.10/rw.7, gandaria sel., kota jakarta selatan",ChIJg3ksjvDxaS4R_qssV7JJYx4,0.010291399999998063
warteg pratama 03,4.5,8,-6.2798251,106.7953431,"jl. terogong raya no.15, rt.11/rw.7, gandaria sel., kota jakarta selatan",ChIJOxnknzbxaS4R2bQU7UbrqHk,0.009589200000001519
warteg mulya bahari,4.3,301,-6.2637941,106.7908567,"jl. h. nawi raya no.73, rt.6, gandaria utara, kota jakarta selatan",ChIJVZgWeqHxaS4RaoBtJDqp_zY,0.011672599999990929
warteg bu turah,4.4,31,-6.2613799,106.802347,"jakarta selatan, rt.6/rw.2, cipete utara, kota jakarta selatan",ChIJIwFTrZ3xaS4R8yZkk2Jr6pU,0.015859899999999705
warteg barokah,0,0,-6.2814209,106.7916717,"jl.terogong iii no.75, rt.10/rw.10, cilandak bar., kota jakarta selatan",ChIJhYS0UcDxaS4RZ1YUQNOsLmE,0.014856400000002878
warteg putri,3.8,8,-6.2824088,106.7929264,"jl. terogong raya no.11, rt.6/rw.10, cilandak bar., kota jakarta selatan",ChIJe364HMDxaS4RNNuG2xHYqSU,0.014589599999998981
warteg kharisma bahari,4.4,134,-6.2641376,106.8090111,"jl. khm. naim iii no.11, rt.5/rw.9, cipete utara, kota jakarta selatan",ChIJ32eNfYTxaS4RPMzLYLN43zk,0.019766300000008563
warteg mandiri,4.1,10,-6.266043,106.808127,"jl. duren tiga raya no.48, rt.4/rw.1, duren tiga, kota jakarta selatan",ChIJyyDNSszzaS4RNwTh3ojM5zc,0.016976800000001013
warteg kharisma bahari / tasripin,4.4,118,-6.2780903,106.8049547,"jl. cipete raya no.1a, rt.8/rw.4, cipete sel., kota jakarta selatan",ChIJ92bavZLxaS4RuyRU7t5bjv4,0.01672159999999856
warteg mamoka,4.5,191,-6.2719347,106.7965176,"pqhw+6jc, rt.1/rw.4, south gandaria, south jakarta city",ChIJQ-4iYQ3xaS4ROc90Y7wg3QQ,0.002128900000004208
warteg selaras bahari,4.7,3,-6.264349999999999,106.797745,"jl. nangka, rt.2/rw.5, cipete utara, kota jakarta selatan",ChIJ41bAP_jxaS4Rf50QI4ZoMsA,0.008287800000008616
warteg barokah,3.8,15,-6.258563,106.802274,"no 18, jalan kirai, rt.10/rw.4, cipete utara, kota jakarta selatan",ChIJK_7-mZ3xaS4RG3fPlGRAtKc,0.018603799999999282
warteg poncol,0,0,-6.2754759,106.7930573,"pqfv+r63, rt.3/rw.7, south gandaria, south jakarta city",ChIJ9XsywdPxaS4RH1wimCW4GR4,0.00752579999999714
warteg selera,4,1,-6.2610981,106.7910983,"jl. hidup baru no.30, rt.12/rw.3, gandaria utara, kota jakarta selatan",ChIJ1ZlaW6DxaS4Ro0zW8V-AUa0,0.014126999999995782
warteg jaya bahari,4.5,49,-6.2666981,106.8037732,"jl. abdul majid raya, rt.11/rw.7, cipete utara, kota jakarta selatan",ChIJPc4q_ZrxaS4Rnb65HJWKVAM,0.01196789999999659
warteg anda,5,2,-6.272450999999999,106.803327,"jl. asem dua no.14, rt.1/rw.6, cipete sel., kota jakarta selatan",ChIJ5zKjrDvxaS4RUyfQwcS7jZc,0.009454599999997981
warteg kharisma bahari,3.7,3,-6.2847235,106.7882284,"jl. terogong raya, rt.3/rw.6, cilandak bar., kota jakarta selatan",ChIJF_MZq8bxaS4RqeiKJGsMGmA,0.02160230000000407
