nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg putra bahari,4,1,-6.286648,106.7761066,"rt.11/rw.10, pd. pinang, kota jakarta selatan",ChIJr2IRIszxaS4R9MxYT5oXRLk,0.019851199999995295
warteg laksana,4.6,14,-6.311044799999999,106.7850028,"jl. karang tengah i no.34, rt.1/rw.8, lb. bulus, kota jakarta selatan",ChIJTzXO1jruaS4RM4izdp0-M5s,0.013441799999998949
warteg ibu,4.7,16,-6.296596699999999,106.7918274,"jl. lb. bulus i, rt.4/rw.4, cilandak bar., kota jakarta selatan",ChIJ2fjtR97xaS4REdq2Ou6rVeU,0.01884950000000174
warteg bahari,0,0,-6.3118785,106.7945117,"jl. margasatwa no.27-10, rt.4/rw.1, pd. labu, kota jakarta selatan",ChIJUbX9mu7vaS4RHtT4wU-6okA,0.02378440000000026
warteg jaya bahari,4.1,21,-6.310669499999999,106.7809988,"jl. karang tengah raya no.83, rt.1/rw.3, lb. bulus, kota jakarta selatan",ChIJJ_ZbFjDuaS4RqDArDnb6e_w,0.009062500000004192
warteg sarapada i,5,1,-6.2870623,106.7712987,"jalan ciputat raya # 7, rt.6/rw.7, pondok pinang, kebayoran lama, rt.6/rw.7, pd. pinang, kota jakarta selatan",ChIJmUh0xszxaS4RG-50-lg2fX4,0.02424479999999818
warteg bahari,4.5,2,-6.303939499999999,106.7817121,"no.10,, daerah khusus ibukota jkt ,indonesia, jl. karang tengah raya, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJ-Vz9kCjuaS4REwLyGfI7rIo,0.0030457999999917718
warteg,4,6,-6.290341799999999,106.7789122,"jl. h. ilyas no.8, rt.9/rw.7, lb. bulus, kota jakarta selatan",ChIJN51qKM7xaS4Ru9z8lvw-Tus,0.013351800000007685
warteg indahbahari,5,1,-6.3102726,106.7868177,"jl. h. gandun no.58, rt.4/rw.8, lb. bulus, kota jakarta selatan",ChIJXTncSTvuaS4R2jP09neRqdQ,0.014484500000000011
wahyoo warteg bahari,0,0,-6.296751599999999,106.7866842,"jl. lb. bulus i no.rt.6, rt.15/rw.4, cilandak bar., kota jakarta selatan",ChIJ0a203j7xaS4RNtTQ6w2uQVM,0.013551399999996327
warteg ikhlas,4.4,5,-6.290242999999999,106.767519,"rt 008 rw 02, jl. ciputat raya, pd. pinang, kota jakarta selatan",ChIJw-aqfTLwaS4RON8UGf0Fbyo,0.024843800000008187
warteg bu nur,4.3,7,-6.3054728,106.7959141,"jalan pondok labu raya no.1 4 10 pondok labu kecamatan cilandak kota jakarta selatan daerah khusus ibukota jakarta, rt.1/rw.1, pd. labu, kota jakarta selatan",ChIJi6JjDCLuaS4RCt9FCSfn1Jc,0.018781100000004436
warteg barokah,5,1,-6.3111909,106.7929614,"jl. h. ipin no.10, rt.7/rw.1, pd. labu, kota jakarta selatan",ChIJEbZIOz3uaS4RVxx1kwzXDB0,0.021546499999995028
warteg jaya,0,0,-6.3031662,106.7813295,"jl. karang tengah, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJsQ-MkCjuaS4RZ8oj9pBOIYc,0.0018898999999974464
warteg mulya bahari,5,1,-6.2903324,106.7707445,"jl. batan jl. adiaksa raya no.1, rt.1/rw.2, lb. bulus, kota jakarta selatan",ChIJWci8VM3xaS4Rd9MuqfXmo3s,0.021528899999994522
warteg sari,2.7,6,-6.311108,106.781066,"jl. karang tengah raya no.97, rt.1/rw.3, lb. bulus, kota jakarta selatan",ChIJ_XisGDDuaS4Rz-o_ldh05YA,0.00956819999999503
wahyoo warteg nurul,4.1,7,-6.312822799999999,106.7815296,"jl. karang tengah raya, rt.4/rw.3, lb. bulus, kota jakarta selatan",ChIJ8c_4ZDDuaS4RftHPt7V3nQw,0.01174659999999772
warteg family,4.9,7,-6.310898,106.7855493,"jl. karang tengah i no.24, rt.3/rw.8, lb. bulus, kota jakarta selatan",ChIJ3UUzyTruaS4Rzg-hdaClrXk,0.013841499999998952
warteg pratama 05,3,2,-6.313163299999999,106.7967608,"jl. pangkalan jani blok a no.3, rt.2/rw.5, pd. labu, kota jakarta selatan",ChIJNa4TqxfuaS4RbklhhFsWgQY,0.02731830000000013
warteg mbak armalah,5,3,-6.310268499999999,106.7971414,"jalan i 002 no 49, gg. rw. no.1, rt.3/rw.2, pd. pinang, kota jakarta selatan",ChIJGYtjmRfuaS4RNMB6kBulHGo,0.024804099999999885
warteg berkah jaya,4,6,-6.3048464,106.7816945,"jl. karang tengah raya no.6, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJQSoFpSjuaS4R3uPOqYmdk4c,0.003935099999999636
warteg kharisma bahari,4.3,31,-6.313765000000001,106.781774,"jl. karang tengah raya no.59, rt.8/rw.6, lb. bulus, kota jakarta selatan",ChIJzUiQhDDuaS4RqDEd_dBs0lE,0.01293319999999909
warteg joko,0,0,-6.311706,106.7946934,"jl. margasatwa no.10, rt.4/rw.1, pd. labu, kota jakarta selatan",ChIJ67JSYT3uaS4RURp2G8LKVSo,0.023793599999999415
warteg ayu,4.5,35,-6.3108314,106.7937468,"jl. rs. fatmawati raya no.41, rt.3/rw.1, pd. labu, kota jakarta selatan",ChIJFaK6UD3uaS4RbcMIiQ-DwKI,0.02197239999999301
warteg kharisma,5,2,-6.287435599999999,106.7947086,"jl. bni raya no.8, rt.3/rw.8, cilandak bar., kota jakarta selatan",ChIJrXBCLOjxaS4RGu2DYgciRXE,0.030891800000006242
warteg karisma bahari,0,0,-6.3102111,106.7856488,"jl. h. irin no.67, rt.2/rw.8, lb. bulus, kota jakarta selatan",ChIJjb2U1iTuaS4Rgty7TvkR5IM,0.01325410000000371
warteg mulia murah meriah,5,2,-6.3116086,106.7900746,"jl. h. ipin no.23, rt.2/rw.8, pd. labu, kota jakarta selatan",ChIJ19YlwDzuaS4R659ACvbp9O4,0.019077399999996025
warung soto (warteg setia),0,0,-6.2869052,106.7957146,"no., jl. rumah sakit fatmawati no.205, rw.3, bar., cilandak, rt.1/rw.3, cilandak bar., kota jakarta selatan",ChIJcUR-PerxaS4R9JgfT4TI_9A,0.03242819999999558
warteg sami asih,4.2,6,-6.2965582,106.78866,"jl. lb. bulus i no.57, rt.6/rw.4, cilandak bar., kota jakarta selatan",ChIJyTk0yt7xaS4RiY0drl8OjpM,0.01572059999999187
warteg andini,0,0,-6.311359599999999,106.7917283,"jl. h. ipin, rt.2/rw.1, pd. labu, kota jakarta selatan",ChIJj5_2Iz3uaS4RbvcGth9kyt8,0.020482100000001502
warteg kharisma bahari,4.1,43,-6.3095972,106.7900097,"jl. h. ipin, rt.13/rw.1, pd. labu, kota jakarta selatan",ChIJv9zuNCPuaS4Re742xuYK1DQ,0.017001099999998104
warteg sinar bahari,0,0,-6.310129799999999,106.7871107,"jl. h. gandun jl. karang tengah raya no.23, rt.4/rw.8, lb. bulus, kota jakarta selatan",ChIJqUDQYr_vaS4RafqSst68A5I,0.014634699999997558
warteg nur hikmah,5,1,-6.30181,106.795029,"jl. wijaya kusuma, rt.8/rw.06, pd. labu, kota jakarta selatan",ChIJ7XJbbFXvaS4R52Yy4cveS6s,0.01683779999999846
warteg jaya abadi,5,1,-6.3110678,106.7865901,"jl. karang tengah i no.8, rt.3/rw.8, lb. bulus, kota jakarta selatan",ChIJ3X6B5RrvaS4REeHIe8OG4og,0.01505209999999746
warteg adinda,2,1,-6.288476999999999,106.771174,"jalan ciputat raya pasar jumat rt 09 rw 07, pondok pinang, kebayoran lama, rt.9/rw.7, pd. pinang, kota jakarta selatan",ChIJk6UVMc3xaS4RkkyPBnAINNE,0.022954799999999054
warteg bunda bahari,4,1,-6.300484099999999,106.7769246,"lebak bulus indah no.134, rt.3/rw.4, lb. bulus, kota jakarta selatan",ChIJ14rbbLDxaS4RwVlTRaMmy3s,0.005197100000000177
warteg kharisma bahari,4.5,214,-6.2847653,106.7683648,"jl. h. saikin no.25, rt.15/rw.8, pd. pinang, kota jakarta selatan",ChIJXQGIkDTwaS4RZbf3UL9O0C4,0.029475699999999883
warteg kharisma,5,1,-6.2942826,106.7823221,"jl. h. baun no.32, rt.3/rw.1, lb. bulus, kota jakarta selatan",ChIJExeV30HxaS4R3sckrKZ1O9Q,0.011658300000000565
