nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg putra,0,0,-6.324612000000001,106.81145,"gang # 2 jalan muhamad kafi 1 jagakarsa, ceremai blok cermai no.7, rt.1/rw.4, jagakarsa, dki jakarta",ChIJafA0-nPuaS4Rqv1ixxwhKwU,0.031225499999994355
warteg laksana,4.6,14,-6.311044799999999,106.7850028,"jl. karang tengah i no.34, rt.1/rw.8, lb. bulus, kota jakarta selatan",ChIJTzXO1jruaS4RM4izdp0-M5s,0.015585499999998476
warteg ibu,4.7,16,-6.296596699999999,106.7918274,"jl. lb. bulus i, rt.4/rw.4, cilandak bar., kota jakarta selatan",ChIJ2fjtR97xaS4REdq2Ou6rVeU,0.01641239999999833
warteg bahari,0,0,-6.3118785,106.7945117,"jl. margasatwa no.27-10, rt.4/rw.1, pd. labu, kota jakarta selatan",ChIJUbX9mu7vaS4RHtT4wU-6okA,0.006910299999999481
warteg jaya bahari,4.1,21,-6.310669499999999,106.7809988,"jl. karang tengah raya no.83, rt.1/rw.3, lb. bulus, kota jakarta selatan",ChIJJ_ZbFjDuaS4RqDArDnb6e_w,0.019214199999993298
warteg bahari,4.5,2,-6.303939499999999,106.7817121,"no.10,, daerah khusus ibukota jkt ,indonesia, jl. karang tengah raya, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJ-Vz9kCjuaS4REwLyGfI7rIo,0.019184900000007943
warteg indahbahari,5,1,-6.3102726,106.7868177,"jl. h. gandun no.58, rt.4/rw.8, lb. bulus, kota jakarta selatan",ChIJXTncSTvuaS4R2jP09neRqdQ,0.012998400000000743
wahyoo warteg bahari,0,0,-6.296751599999999,106.7866842,"jl. lb. bulus i no.rt.6, rt.15/rw.4, cilandak bar., kota jakarta selatan",ChIJ0a203j7xaS4RNtTQ6w2uQVM,0.02140070000000538
warteg,4,6,-6.290341799999999,106.7789122,"jl. h. ilyas no.8, rt.9/rw.7, lb. bulus, kota jakarta selatan",ChIJN51qKM7xaS4Ru9z8lvw-Tus,0.0355825000000074
warteg bu nur,4.3,7,-6.3054728,106.7959141,"jalan pondok labu raya no.1 4 10 pondok labu kecamatan cilandak kota jakarta selatan daerah khusus ibukota jakarta, rt.1/rw.1, pd. labu, kota jakarta selatan",ChIJi6JjDCLuaS4RCt9FCSfn1Jc,0.0034495999999952787
warteg iffa,4.6,18,-6.3118728,106.8130198,"jl. moh. kahfi 1 no.6, rt.2/rw.6, jagakarsa, kota jakarta selatan",ChIJjV7t2wjuaS4R3vakJG9toeE,0.020056100000005905
warteg citr sari,4.4,36,-6.2948572,106.8108821,"jl. jaha no.12, rt.4/rw.1, cilandak tim., kota jakarta selatan",ChIJa26PDvzxaS4RPcEvbwGIn2o,0.026481399999999766
warteg barokah,5,1,-6.3111909,106.7929614,"jl. h. ipin no.10, rt.7/rw.1, pd. labu, kota jakarta selatan",ChIJEbZIOz3uaS4RVxx1kwzXDB0,0.007773000000004693
warteg jaya,0,0,-6.3031662,106.7813295,"jl. karang tengah, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJsQ-MkCjuaS4RZ8oj9pBOIYc,0.020340800000002268
warteg sari,2.7,6,-6.311108,106.781066,"jl. karang tengah raya no.97, rt.1/rw.3, lb. bulus, kota jakarta selatan",ChIJ_XisGDDuaS4Rz-o_ldh05YA,0.01958550000000514
warteg qy,4.4,55,-6.313162999999999,106.801517,"jl. margasatwa no.75, rt.1/rw.2, pd. labu, kota jakarta selatan",ChIJo997IhHuaS4RfzkuUR6EPYw,0.009843500000003225
wahyoo warteg nurul,4.1,7,-6.312822799999999,106.7815296,"jl. karang tengah raya, rt.4/rw.3, lb. bulus, kota jakarta selatan",ChIJ8c_4ZDDuaS4RftHPt7V3nQw,0.02083670000000115
warteg kharisma bahari,4.2,19,-6.313083499999999,106.8002643,"jl. margasatwa no.42, rt.10/rw.2, pd. labu, kota jakarta selatan",ChIJWS7Vd57vaS4RRfJEMM5_XSM,0.008511299999994115
warteg helmi jaya,4.1,16,-6.3169,106.811675,"# jagakarsa, jl. moh. kahfi 1 no.7, rt.1/rw.6, jagakarsa, kota jakarta selatan",ChIJYyyZeQzuaS4RMuuYfzI4nhE,0.02373849999999411
warteg family,4.9,7,-6.310898,106.7855493,"jl. karang tengah i no.24, rt.3/rw.8, lb. bulus, kota jakarta selatan",ChIJ3UUzyTruaS4Rzg-hdaClrXk,0.014892200000001132
warteg pratama 05,3,2,-6.313163299999999,106.7967608,"jl. pangkalan jani blok a no.3, rt.2/rw.5, pd. labu, kota jakarta selatan",ChIJNa4TqxfuaS4RbklhhFsWgQY,0.005945999999998897
warteg ojo lali cilandak,4.6,68,-6.310656400000001,106.8134351,"jl. margasatwa, rt.1/rw.6, jagakarsa, kota jakarta selatan",ChIJ73z5lQjuaS4Re-XgIblPmRM,0.01925500000000735
warteg mbak armalah,5,3,-6.310268499999999,106.7971414,"jalan i 002 no 49, gg. rw. no.1, rt.3/rw.2, pd. pinang, kota jakarta selatan",ChIJGYtjmRfuaS4RNMB6kBulHGo,0.0026705999999991903
warteg mitra,4.8,5,-6.291395,106.802194,"jalan cilandak tengah iv no. 14c rt.003/001, rt.3/rw.1, cilandak bar., kota jakarta selatan",ChIJvx31k13xaS4Rm_CEsaEukh8,0.02125549999999965
warteg berkah jaya,4,6,-6.3048464,106.7816945,"jl. karang tengah raya no.6, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJQSoFpSjuaS4R3uPOqYmdk4c,0.01829560000000008
warteg kharisma bahari,4.3,31,-6.313765000000001,106.781774,"jl. karang tengah raya no.59, rt.8/rw.6, lb. bulus, kota jakarta selatan",ChIJzUiQhDDuaS4RqDEd_dBs0lE,0.02153450000000312
warteg sakinah,5,1,-6.306642,106.8140197,"jl. raya cilandak kko, rt.14/rw.5, ragunan, kota jakarta selatan",ChIJXeOV8AbuaS4RiEBZOI5Epgc,0.01783420000000202
warteg kharisma bahari,4.3,3,-6.310971899999999,106.8134758,"jl. margasatwa bar. no.6, rt.6/rw.6, jagakarsa, kota jakarta selatan",ChIJKf6IDyjvaS4R29bnWOziC44,0.01961120000000527
warteg joko,0,0,-6.311706,106.7946934,"jl. margasatwa no.10, rt.4/rw.1, pd. labu, kota jakarta selatan",ChIJ67JSYT3uaS4RURp2G8LKVSo,0.006556100000000953
warteg ayu,4.5,35,-6.3108314,106.7937468,"jl. rs. fatmawati raya no.41, rt.3/rw.1, pd. labu, kota jakarta selatan",ChIJFaK6UD3uaS4RbcMIiQ-DwKI,0.006628100000006576
warteg mulia murah meriah,5,2,-6.3116086,106.7900746,"jl. h. ipin no.23, rt.2/rw.8, pd. labu, kota jakarta selatan",ChIJ19YlwDzuaS4R659ACvbp9O4,0.011077500000003404
warteg nur,4.6,23,-6.304261599999999,106.8031542,"jl. pinang kalijati, rt.11/rw.9, pd. labu, kota jakarta selatan",ChIJZzPihxzuaS4RCJEAkDLbPR0,0.009349099999994337
warteg sami asih,4.2,6,-6.2965582,106.78866,"jl. lb. bulus i no.57, rt.6/rw.4, cilandak bar., kota jakarta selatan",ChIJyTk0yt7xaS4RiY0drl8OjpM,0.019618300000007416
warteg kharisma bahari,4.1,43,-6.3095972,106.7900097,"jl. h. ipin, rt.13/rw.1, pd. labu, kota jakarta selatan",ChIJv9zuNCPuaS4Re742xuYK1DQ,0.009131000000001777
warteg kutilang,4,15,-6.3017788,106.8141985,"jl. raya cilandak kko no.42, rt.1/rw.8, ragunan, kota jakarta selatan",ChIJCyDeqQHuaS4RlkDAlsYsXY4,0.022876200000002456
