nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,nama_kelurahan,nama_kecamatan,nama_kota
warteg family xii,3.4,5,-6.2797983,106.7953642,"jl. terogong raya, rt.11/rw.6, gandaria sel., dki jakarta",ChIJJU0fyurxaS4RLeWPtnbBhFo,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg family xii,3.4,5,-6.2797983,106.7953642,"jl. terogong raya, rt.11/rw.6, gandaria sel., dki jakarta",ChIJJU0fyurxaS4RLeWPtnbBhFo,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg mamoka,4.5,191,-6.2719347,106.7965176,"pqhw+6jc, rt.1/rw.4, south gandaria, south jakarta city",ChIJQ-4iYQ3xaS4ROc90Y7wg3QQ,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg anda,5,2,-6.272451,106.803327,"jl. asem dua no.14, rt.1/rw.6, cipete sel., kota jakarta selatan",ChIJ5zKjrDvxaS4RUyfQwcS7jZc,Cipete Selatan,Cilandak,Kota Jakarta Selatan
warteg mamoka bahari,4.4,72,-6.2662997,106.7898497,"jl. madrasah no.5, rt.6/rw.1, gandaria sel., kota jakarta selatan",ChIJPxS216vxaS4RWxXpeHm7L1A,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg 46,5,2,-6.264237,106.7935285,"jl. h. nawi raya no.46a, rt.6/rw.2, gandaria sel., kota jakarta selatan",ChIJBYMb-KHxaS4RKc7vu-v5SVg,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg restu ibu,5,1,-6.2706907,106.7972883,"jl. rs. fatmawati raya no.234, rt.1/rw.4, gandaria sel., kota jakarta selatan",ChIJMe6GgpfxaS4RiahGZqvF6BA,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg rohmadi,0,0,-6.2671835,106.7942559,"jl. komp. depag no.19, rt.7/rw.3, gandaria sel., kota jakarta selatan",ChIJFemleJjxaS4RUI3pXCOhVdM,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg mekar jaya (wmj),3,2,-6.270124,106.79727,"jl. rs. fatmawati raya no.8-1, rt.1/rw.4, gandaria sel., kota jakarta selatan",ChIJv83Pi4fxaS4R5cjVT7Qyq0U,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg annisa,3.5,2,-6.2705804,106.7962488,"jalan mangga nomor 8d, rt.4/rw.4, gandaria sel., kota jakarta selatan",ChIJ0TDKwGEfai4RQBj94PZtAUw,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg kharisma bahari,5,8,-6.2677365,106.7967421,"jl. madrasah no.1a, rt.3/rw.3, gandaria sel., kota jakarta selatan",ChIJQ4JQ1Q_xaS4R_aKPjG7C_sQ,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg ben jaya,3.5,6,-6.2671015,106.7941082,"jl. madrasah no.4, rt.7/rw.3, gandaria sel., kota jakarta selatan",ChIJ8T2QgaLxaS4Rh4tD2TBG0Us,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg kharisma,4.2,30,-6.270608,106.795715,"samping philips, jl. mangga no.5, rt.5/rw.3, gandaria sel., kota jakarta selatan",ChIJo6qq6pfxaS4Rn4QKuHY7PCU,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg niki 4,4.7,18,-6.274515,106.79789,"jl. rs. fatmawati raya, rt.14/rw.4, cipete sel., kota jakarta selatan",ChIJ3498KJTxaS4RcG5SKCjpSEk,Cipete Selatan,Cilandak,Kota Jakarta Selatan
warteg murah meriah,4,5,-6.2668583,106.8019914,"jl. abdul majid raya no.30, rt.11/rw.2, cipete sel., kota jakarta selatan",ChIJYxvXSJrxaS4R-Sgik59q2Nk,Cipete Selatan,Cilandak,Kota Jakarta Selatan
wahyoo warteg sebelah gg haji miad,4.8,10,-6.2667242,106.8040901,"jl. abdul majid raya no.3, rt.11/rw.7, cipete sel., kota jakarta selatan",ChIJuU9W4prxaS4Ry-10NNDr1Hk,Cipete Selatan,Cilandak,Kota Jakarta Selatan
warteg,0,0,-6.2893219,106.8066429,"jl. swadaya no.16a, rt.2/rw.1, cilandak bar., kota jakarta selatan",ChIJeYO0IDrxaS4RzjAiFuMYOtg,Cilandak Barat,Cilandak,Kota Jakarta Selatan
wahyoo warteg bmj,5,1,-6.2891726,106.8030902,"pr63+86p, rt.7/rw.1, west cilandak, south jakarta city",ChIJ_3Z-_XjxaS4RT3bKsAq4fAY,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg bahari,5,6,-6.2784687,106.7932845,"jl. bahari i no.62, rt.10/rw.7, gandaria sel., kota jakarta selatan",ChIJg3ksjvDxaS4R_qssV7JJYx4,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg pratama 03,4.5,8,-6.2798251,106.7953431,"jl. terogong raya no.15, rt.11/rw.7, gandaria sel., kota jakarta selatan",ChIJOxnknzbxaS4R2bQU7UbrqHk,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg kharisma bahari / tasripin,4.4,118,-6.2780903,106.8049547,"jl. cipete raya no.1a, rt.8/rw.4, cipete sel., kota jakarta selatan",ChIJ92bavZLxaS4RuyRU7t5bjv4,Cipete Selatan,Cilandak,Kota Jakarta Selatan
warteg poncol,0,0,-6.2754759,106.7930573,"pqfv+r63, rt.3/rw.7, south gandaria, south jakarta city",ChIJ9XsywdPxaS4RH1wimCW4GR4,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg sarapada 4 ibu,4.2,69,-6.2781814,106.8079133,"jl. cipete raya no.61, rt.9/rw.4, cipete sel., kota jakarta selatan",ChIJiZAGPI3xaS4RhKCoGnkNB9E,Cipete Selatan,Cilandak,Kota Jakarta Selatan
warteg hidayah,4.4,19,-6.288496,106.8070396,"jl. pangeran antasari gg. swadaya iii, rt.1/rw.1, cilandak bar., kota jakarta selatan",ChIJo4IhF_DxaS4R6ClUf1MaOcY,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg mpr,4.4,54,-6.284385,106.8066329,"jl. m.p.r iii no.dalam, rt.12/rw.13, cilandak bar., kota jakarta selatan",ChIJcbdCnQ_xaS4RmrM1BqjXTjs,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg dua putri,4.8,5,-6.2762855,106.7915426,"jl. poncol no.14, rt.3/rw.7, gandaria sel., kota jakarta selatan",ChIJH0gbjmTxaS4RlFGzY_SiaPY,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg romlah,4.9,7,-6.2795252,106.7931048,"pqcv+56q, rt.9/rw.7, south gandaria, south jakarta city",ChIJic_sobDxaS4RjDi_vEIOkDg,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg aw,5,2,-6.28499,106.8065595,"jln mpr 3 dalam no34, jl. m.p.r iii dalam no.dalam, rt.2/rw.13, cilandak bar., kota jakarta selatan",ChIJhbqPfJnxaS4RpwayWTz8Ba4,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg brambang salam,4.5,4,-6.2892606,106.8030518,"jl. cilandak tengah ii no.10, rt.3/rw.1, cilandak bar., kota jakarta selatan",ChIJKwtXf-_xaS4RMB6kW-c9w-s,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg hafis,4.4,16,-6.2797992,106.7938948,"jl. terogong i no.32, rt.8/rw.10, cilandak bar., kota jakarta selatan",ChIJJzISAcDxaS4R0ZaAMqbxYgc,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg aw,3.7,3,-6.284375,106.8064783,"12, jl. m.p.r. iii dalam no.dalam, rt.2/rw.13, cilandak bar., kota jakarta selatan",ChIJp3vHnFHxaS4RYYWNIi15R6Q,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg,4.4,175,-6.2730144,106.8148675,"jl. kemang sel., rt.5/rw.6, cipete sel., kota jakarta selatan",ChIJwTeEN4bxaS4RuMOTs5rkpNI,Cipete Selatan,Cilandak,Kota Jakarta Selatan
warteg rizal bahari sedia soto ayam,5,2,-6.2716091,106.8102877,"jl. jaya no.71, rt.1/rw.7, cipete sel., kota jakarta selatan",ChIJf9Li4I7xaS4R7lu2AE0Lquk,Cipete Selatan,Cilandak,Kota Jakarta Selatan
warteg yayu,4.4,8,-6.2728694,106.809681,"jl. puri sakti i no.26a, rt.2/rw.7, cipete sel., kota jakarta selatan",ChIJCbKCjY7xaS4Rq_MXqOSXik8,Cipete Selatan,Cilandak,Kota Jakarta Selatan
warteg citra bahari,3.3,3,-6.2670019,106.8115929,"jalan haji abdul majid, rt.6/rw.7, cipete sel., kota jakarta selatan",ChIJ6yqP2YXxaS4R8AJUoEswT1U,Cipete Selatan,Cilandak,Kota Jakarta Selatan
warteg kholifah,5,1,-6.270166,106.808964,"jl. manunggal juang no.1, rt.2/rw.3, cipete sel., kota jakarta selatan",ChIJTW4uAObxaS4RztgSpLTVsBs,Cipete Selatan,Cilandak,Kota Jakarta Selatan
warteg pemalang,4.6,14,-6.3112659,106.8088413,"jl. margasatwa no.49, rt.1/rw.7, pd. labu, kota jakarta selatan",ChIJwb2SAMbvaS4RYdRGroSlcd0,Pondok Labu,Cilandak,Kota Jakarta Selatan
wahyoo warteg jaya,5,4,-6.3158223,106.7826123,"jl. karang tengah raya no.60 a, lb. bulus, kota jakarta selatan",ChIJZWOB_znuaS4RzYR4RVEdMUc,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg srikandi sedia soto ayam,0,0,-6.3083,106.781285,"jl. pertanian raya, rt.2/rw.4, lb. bulus, kota jakarta selatan",ChIJQdt9bC_uaS4R-5ZBEwGyj24,Lebak Bulus,Cilandak,Kota Jakarta Selatan
wahyoo warteg rizqy,4.8,4,-6.3047968,106.781845,"rt.4/rw.4, lebak bulus, south jakarta city",ChIJZZ_DP9bxaS4R_NShEgveXHk,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg mamoka bahari,4,4,-6.3052965,106.7817319,"jl. karang tengah raya no.35, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJMZV4stTvaS4RiIvrQMCLZhA,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg karisma bahari,0,0,-6.3102111,106.7856488,"jl. h. irin no.67, rt.2/rw.8, lb. bulus, kota jakarta selatan",ChIJjb2U1iTuaS4Rgty7TvkR5IM,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg bunda bahari,4,1,-6.3004841,106.7769246,"lebak bulus indah no.134, rt.3/rw.4, lb. bulus, kota jakarta selatan",ChIJ14rbbLDxaS4RwVlTRaMmy3s,Lebak Bulus,Cilandak,Kota Jakarta Selatan
