nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg hidayah,0,0,-6.3432027,106.8175803,"jl. moch. kahfi ii, rt.5/rw.4, srengseng sawah, kota jakarta selatan",ChIJDZmy0YHuaS4RF24q6ceBQi4,0
warteg nongkrong m3style,4,2,-6.3395896,106.8209531,"jl. moch. kahfi ii no.2, rt.5/rw.4, ciganjur, kota jakarta selatan",ChIJG0eg19TtaS4RwPv_ZSc-LsE,0
warteg sederhana,3,1,-6.348504399999999,106.8132192,"jl. moch. kahfi ii, rt.3/rw.5, cipedak, kota jakarta selatan",ChIJVXEDQSrvaS4RTlWC4v76vTo,0
warteg lestari,4,4,-6.3439587,106.8124173,"jl. wr. sila no.18, rt.1/rw.5, ciganjur, kota jakarta selatan",ChIJ0x-3NoHuaS4RQoCQAgYvm5Y,0
warteg rizki,0,0,-6.3496367,106.814187,"jl. batu, rt.1/rw.8, srengseng sawah, kota jakarta selatan",ChIJ8TaoJIPuaS4RNVKcGPb6xPE,0
warteg novi,5,1,-6.346052500000001,106.8148818,"mr37+hxc, rt.3/rw.8, srengseng sawah, south jakarta city",ChIJh_OxCZvvaS4RQwccP6zU804,0
warteg indah,0,0,-6.3482954,106.8202187,"jl. srengseng sawah no.81, rt.2/rw.7, srengseng sawah, kota jakarta selatan",ChIJC4dZUCjsaS4RTu-CK60jj50,0
warteg 03 sumber berkah,5,2,-6.3396184,106.8209255,"jl. moch. kahfi ii no.2, rt.2/rw.4, ciganjur, kota jakarta selatan",ChIJz5o5v4_taS4RFCf0IPH7RqY,0
warteg permata,4.6,9,-6.3443801,106.8123741,"jl. wr. sila no.45, rt.8/rw.5, cipedak, kota jakarta selatan",ChIJiSWaSYHuaS4RLPo-axRVSsE,0
warteg kharisma,0,0,-6.3449269,106.8143465,"jl. wr. sila no.3, rt.2/rw.5, cipedak, kota jakarta selatan",ChIJa32xcYHuaS4R6ptFVCERfUE,0
warteg mulia,4.5,2,-6.3409941,106.8196995,"jalan mohammad kafi ii no.3, rt.1/rw.4, ciganjur, kota jakarta selatan",ChIJBUEpxCrsaS4RWbpsS16exdU,0
wkb warteg kharisma bahari jagakarsa kahfi 2,5,7,-6.3432224,106.8174907,"7, jl. moch. kahfi ii no.30a, rt.7/rw.8, srengseng sawah, south jakarta city",ChIJbzJ5iNbvaS4RxFDw-zJCyoc,0
