nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg berkah,5,1,-6.348489,106.8092822,"jl. persahabatan jl. al hidayah no.depan, rt.7/rw.4, cipedak, kota jakarta selatan",ChIJrTtBkz_vaS4RM_q9e0hsxFo,0
warteg barokah,5,1,-6.3409594,106.8045262,"jl. moh. kafi 1, rt.8/rw.6, ciganjur, kota jakarta selatan",ChIJS-_6IYjuaS4RCWnFbM2Q_oo,0
warteg iklas bahari,0,0,-6.3429015,106.8042627,"jalan mohammad kafi 1, rt.10/rw.6, ciganjur, kota jakarta selatan",ChIJv_gbXIjuaS4RyUD-32Qqfo4,0
warteg berkah jaya,4.4,21,-6.345132,106.8093445,"jl. wr. sila no.18, rt.2/rw.4, ciganjur, kota jakarta selatan",ChIJZ1Lqh4buaS4Rw8fk46VIZuA,0
warteg sumber bawang,4.4,206,-6.344439599999999,106.8040378,"jl. moh. kahfi 1, rt.1/rw.1, ciganjur, kota jakarta selatan",ChIJhz55wojuaS4R-KaNc47K20M,0
warteg restu,0,0,-6.3513085,106.7978372,"jl. aselih no.14b, rt.9/rw.1, cipedak, kota jakarta selatan",ChIJNQK2eZLuaS4RttPSfhgXmLc,0
warteg kharisma bahari,4.3,8,-6.3454731,106.8097982,"jl. wr. sila no.80, rt.11/rw.4, cipedak, kota jakarta selatan",ChIJ90chnYbuaS4Rzqstt0ktS28,0
warteg mulia,0,0,-6.3502839,106.8040441,"jrx3+vjm, rt.7/rw.4, cipedak, south jakarta city",ChIJSR_TxI_uaS4RdrJuFxWH9Rs,0
warteg jejeg,4.5,12,-6.3450925,106.803771,"jl. moh. kahfi 1 no.49, rt.1/rw.1, cipedak, kota jakarta selatan",ChIJIyxG0IjuaS4RYHrrI_r0RgE,0
warteg mbak atun,3,2,-6.344809799999999,106.8051393,"jl. wr. sila no.8, rt.3/rw.4, cipedak, kota jakarta selatan",ChIJJTyUu4juaS4Rv8XPZx72rIo,0
warteg ibu ii,5,1,-6.3387432,106.8100366,"jl. anda no.40, rt.7/rw.3, ciganjur, kota jakarta selatan",ChIJ1U0uun3uaS4R6jiVvN2PrkQ,0
warteg bude,5,1,-6.3510366,106.8090699,"jl. timbul no.32 c, rt.6/rw.5, cipedak, kota jakarta selatan",ChIJEVcrr77vaS4RC5wEXqjsYCk,0
warteg citra bahari,4.6,5,-6.3478137,106.8024005,"jl. moh. kahfi 1, rt.4/rw.4, cipedak, kota jakarta selatan",ChIJtZWn-o7uaS4RWlkefebI9QA,0
warteg el ghani,0,0,-6.340927499999999,106.8046004,"jl. moh. kahfi 1 no.3, rt.8/rw.6, ciganjur, kota jakarta selatan",ChIJEwn1F4juaS4RHTnTwioaHcA,0
warteg subsidi bahari (brigif),4.5,21,-6.34417,106.801725,"jl. brigif no.15, rw.1, cipedak, kota jakarta selatan",ChIJd9qZ6SvvaS4Rb5a45_mOGik,0
warteg kharisma bahari,5,1,-6.350861099999999,106.8016661,"jl. moh. kahfi 1 no.32, rt.6/rw.1, cipedak, kota jakarta selatan",ChIJ7zWYA97vaS4RdTPmuGMTOnw,0
warteg al kafi,4,1,-6.352709,106.801205,"m jagakarsa, jl. moh. kahfi 1, rt.7/rw.1, cipedak, dki jakarta",ChIJzTJq3F_uaS4RsBxNsp5y-Do,0
warteg bahari soto ayam,0,0,-6.3516654,106.8002509,"jl. aselih, rt.7/rw.1, cipedak, kota jakarta selatan",ChIJiZ0j-JHuaS4Rb3QUIvC05xg,0
warteg berkah,5,1,-6.348489,106.8092822,"jl. persahabatan jl. al hidayah no.depan, rt.7/rw.4, cipedak, kota jakarta selatan",ChIJrTtBkz_vaS4RM_q9e0hsxFo,0
warteg barokah,5,1,-6.3409594,106.8045262,"jl. moh. kafi 1, rt.8/rw.6, ciganjur, kota jakarta selatan",ChIJS-_6IYjuaS4RCWnFbM2Q_oo,0
warteg iklas bahari,0,0,-6.3429015,106.8042627,"jalan mohammad kafi 1, rt.10/rw.6, ciganjur, kota jakarta selatan",ChIJv_gbXIjuaS4RyUD-32Qqfo4,0
warteg berkah jaya,4.4,21,-6.345132,106.8093445,"jl. wr. sila no.18, rt.2/rw.4, ciganjur, kota jakarta selatan",ChIJZ1Lqh4buaS4Rw8fk46VIZuA,0
warteg sumber bawang,4.4,206,-6.344439599999999,106.8040378,"jl. moh. kahfi 1, rt.1/rw.1, ciganjur, kota jakarta selatan",ChIJhz55wojuaS4R-KaNc47K20M,0
warteg kharisma bahari,4.3,8,-6.3454731,106.8097982,"jl. wr. sila no.80, rt.11/rw.4, cipedak, kota jakarta selatan",ChIJ90chnYbuaS4Rzqstt0ktS28,0
warteg mulia,0,0,-6.3502839,106.8040441,"jrx3+vjm, rt.7/rw.4, cipedak, south jakarta city",ChIJSR_TxI_uaS4RdrJuFxWH9Rs,0
warteg jejeg,4.5,12,-6.3450925,106.803771,"jl. moh. kahfi 1 no.49, rt.1/rw.1, cipedak, kota jakarta selatan",ChIJIyxG0IjuaS4RYHrrI_r0RgE,0
warteg mbak atun,3,2,-6.344809799999999,106.8051393,"jl. wr. sila no.8, rt.3/rw.4, cipedak, kota jakarta selatan",ChIJJTyUu4juaS4Rv8XPZx72rIo,0
warteg ibu ii,5,1,-6.3387432,106.8100366,"jl. anda no.40, rt.7/rw.3, ciganjur, kota jakarta selatan",ChIJ1U0uun3uaS4R6jiVvN2PrkQ,0
warteg citra bahari,4.6,5,-6.3478137,106.8024005,"jl. moh. kahfi 1, rt.4/rw.4, cipedak, kota jakarta selatan",ChIJtZWn-o7uaS4RWlkefebI9QA,0
