nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg iffa,4.6,18,-6.3118728,106.8130198,"jl. moh. kahfi 1 no.6, rt.2/rw.6, jagakarsa, kota jakarta selatan",ChIJjV7t2wjuaS4R3vakJG9toeE,0
warteg imam,5,2,-6.3105538,106.815925,"jl. raya cilandak kko no.28, rt.14/rw.8, ragunan, kota jakarta selatan",ChIJlVbUbgjuaS4RBAVy3n3vuKI,0
warteg jaya,0,0,-6.306342,106.8208922,"jl. saco 1 no.12, rt.6/rw.7, ragunan, kota jakarta selatan",ChIJ44joUvztaS4RTnG_i6RBO3c,0
warteg ojo lali cilandak,4.6,68,-6.310656400000001,106.8134351,"jl. margasatwa, rt.1/rw.6, jagakarsa, kota jakarta selatan",ChIJ73z5lQjuaS4Re-XgIblPmRM,0
warteg asli,4.4,5,-6.3012311,106.8213962,"jl. harsono rm no.4, rt.4/rw.7, ragunan, kota jakarta selatan",ChIJNQYRBf_taS4RXOd3dpbTlgk,0
warteg memori,0,0,-6.3072284,106.8167173,"jl. saco ragunan, rt.10/rw.8, ragunan, kota jakarta selatan",ChIJBfKengfuaS4R3YwTd76RQgU,0
warteg kharisma bahari,4.3,3,-6.310971899999999,106.8134758,"jl. margasatwa bar. no.6, rt.6/rw.6, jagakarsa, kota jakarta selatan",ChIJKf6IDyjvaS4R29bnWOziC44,0
warteg baru,4.2,52,-6.306978,106.816714,"jl. saco ragunan no.96, rt.10/rw.8, ragunan, kota jakarta selatan",ChIJE5KA-4bvaS4RX085812pVWg,0
warteg sakinah,5,1,-6.306642,106.8140197,"jl. raya cilandak kko, rt.14/rw.5, ragunan, kota jakarta selatan",ChIJXeOV8AbuaS4RiEBZOI5Epgc,0
warteg bahtiar,5,1,-6.3029464,106.8209253,"jl. harsono rm, rt.8/rw.4, ragunan, kota jakarta selatan",ChIJd14Kzf3taS4R-QUTJX4Ohe4,0
warteg resa,4.2,5,-6.307239,106.8139324,"jl. raya cilandak kko, rt.2/rw.7, ragunan, kota jakarta selatan",ChIJjWD8WAbuaS4RtyfwcnikgPM,0
warteg enak,0,0,-6.315056999999999,106.8153053,"mrm8+x4f, rt.4/rw.6, jagakarsa, south jakarta city",ChIJ74zNzPLvaS4R7R3p4pxrxPk,0
warteg kutilang,4,15,-6.3017788,106.8141985,"jl. raya cilandak kko no.42, rt.1/rw.8, ragunan, kota jakarta selatan",ChIJCyDeqQHuaS4RlkDAlsYsXY4,0
warteg sukasari ragunan,4.5,14,-6.3032897,106.8209314,"jalan harsono rm samping, gg hj.noin no.8, rt.8/rw.4, ragunan, kota jakarta selatan",ChIJI2B4jP7taS4Rw_MtxpMnvWg,0
warteg kowantara jaksel,0,0,-6.305208500000001,106.8191955,"08, jl. saco no.13, rt.1/rw.4, ragunan, kota jakarta selatan",ChIJQSS66f3taS4RJH1N0j_kTXc,0
warteg gaul (randy),0,0,-6.305714399999999,106.8161386,"jl. saco, rt.8/rw.8, ragunan, kota jakarta selatan",ChIJGw0vPgfuaS4RwaYcc3i1POw,0
warteg nur hikmah,4,1,-6.301049600000001,106.8146093,"jl. raya cilandak kko, rt.13/rw.5, ragunan, kota jakarta selatan",ChIJO9XpswHuaS4RjQrzMM0SY5Y,0
warteg mangga,0,0,-6.3047979,106.8207808,"ragunan, south jakarta city",ChIJpxnV0v3taS4RMhcpCpXLTFo,0
warteg sarini,0,0,-6.303285,106.820884,"jl. harsono rm no.8, rt.8/rw.4, ragunan, kota jakarta selatan",ChIJ_xE-iv7taS4RQBliWeojPLg,0
warteg danti,0,0,-6.302419599999999,106.8144034,"jl. raya cilandak kko no.5, rt.1/rw.5, ragunan, kota jakarta selatan",ChIJh_dbBAHuaS4RMyPMT22f9bI,0
warteg sarini,4.8,4,-6.3055045,106.8205492,"jl. harsono rm, rt.2/rw.4, ragunan, kota jakarta selatan",ChIJrcdGyv3taS4RS5LOFKDSXuE,0
warteg pemalang,4.6,14,-6.3112659,106.8088413,"jl. margasatwa no.49, rt.1/rw.7, pd. labu, kota jakarta selatan",ChIJwb2SAMbvaS4RYdRGroSlcd0,0
warteg kali restu,4.4,18,-6.300179,106.8212584,"jl. harsono rm no.4, rt.4/rw.7, ragunan, kota jakarta selatan",ChIJGazCc__taS4RMgJi_zm4ZH4,0
warteg mamoka bahari 66,4.3,9,-6.302408199999999,106.8143828,"jl. raya cilandak kko no.5, rt.1/rw.8, ragunan, kota jakarta selatan",ChIJu-dylUvvaS4RM_28fusffmo,0
warteg berkah,4.6,7,-6.3154002,106.8252704,"jl. kebagusan raya no.104a, rt.2/rw.4, kebagusan, kota jakarta selatan",ChIJbzgE6ubtaS4R2JXQt6ADxG0,0
warteg emak,0,0,-6.2990248,106.8212462,"jl. harsono rm no.5, rt.5/rw.7, ragunan, kota jakarta selatan",ChIJ1US9YxjzaS4R_8hiNv0ytK8,0
warteg hidayah,0,0,-6.3432027,106.8175803,"jl. moch. kahfi ii, rt.5/rw.4, srengseng sawah, kota jakarta selatan",ChIJDZmy0YHuaS4RF24q6ceBQi4,0
warteg nongkrong m3style,4,2,-6.3395896,106.8209531,"jl. moch. kahfi ii no.2, rt.5/rw.4, ciganjur, kota jakarta selatan",ChIJG0eg19TtaS4RwPv_ZSc-LsE,0
warteg sederhana,3,1,-6.348504399999999,106.8132192,"jl. moch. kahfi ii, rt.3/rw.5, cipedak, kota jakarta selatan",ChIJVXEDQSrvaS4RTlWC4v76vTo,0
warteg lestari,4,4,-6.3439587,106.8124173,"jl. wr. sila no.18, rt.1/rw.5, ciganjur, kota jakarta selatan",ChIJ0x-3NoHuaS4RQoCQAgYvm5Y,0
warteg rizki,0,0,-6.3496367,106.814187,"jl. batu, rt.1/rw.8, srengseng sawah, kota jakarta selatan",ChIJ8TaoJIPuaS4RNVKcGPb6xPE,0
warteg novi,5,1,-6.346052500000001,106.8148818,"mr37+hxc, rt.3/rw.8, srengseng sawah, south jakarta city",ChIJh_OxCZvvaS4RQwccP6zU804,0
