nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari,0,0,-6.337078099999999,106.8345282,"jl. lenteng agung raya, rt.4/rw.3, srengseng sawah, kota jakarta selatan",ChIJzc4VYsztaS4RLs00c7w4Ojg,0
warteg bahari,5,1,-6.3311775,106.8393482,"jl. agung raya ii, rt.8/rw.7, lenteng agung, kota jakarta selatan",ChIJuW9kRcjtaS4RLkPHh5pM2hY,0
warteg mbak cantik,5,4,-6.335045,106.8349633,"jl. lenteng agung raya no.24a, rt.4/rw.4, srengseng sawah, kota jakarta selatan",ChIJM8v1bo3taS4RGqe6dbuRH0M,0
warteg putri jaya,5,2,-6.3315537,106.8363487,"jl. agung raya ii, rt.1/rw.7, lenteng agung, kota jakarta selatan",ChIJx2sU2sjtaS4RR3KYHqbykeg,0
warteg nisa,3.5,11,-6.3287511,106.8334474,"jalan raya lenteng agung jagakarsa, rt.4/rw.5, lenteng agung, kota jakarta selatan",ChIJHzmIkMXtaS4R8eSFiuiUNXs,0
warteg berkah bahari,5,1,-6.3319271,106.8347245,"jl. moch. kahfi ii no.23, rt.1/rw.1, jagakarsa, kota jakarta selatan",ChIJN0xuou7taS4RC9sDwuihC3k,0
ojolali warteg abadi,4.4,14,-6.332816299999999,106.8338219,"jalan moh kahfi 2, rt.1/rw.5, srengseng sawah, kota jakarta selatan",ChIJXS-F687taS4R7COhdUc0NIo,0
warteg dian jaya,5,1,-6.3375559,106.8359238,"jl. camat gabun, rt.3/rw.8, lenteng agung, kota jakarta selatan",ChIJmUF_e8vtaS4RoY3KjLfrRwo,0
warteg kowantara jaksel,4.5,2,-6.333342099999999,106.8338028,"jl. rm. mo khafi ii no.1, rt.1/rw.5, srengseng sawah, kota jakarta selatan",ChIJbeUZv87taS4R86hNZ70iVdc,0
warteg kharisma bahari,0,0,-6.330429899999999,106.8352798,"jl. raya lenteng agung no.25, rt.1/rw.4, lenteng agung, kota jakarta selatan",ChIJeQaTS8_taS4R1xWerLNKgE0,0
warteg manja,4.3,27,-6.3254576,106.8342049,"jl. raya lenteng agung, rt.3/rw.3, lenteng agung, kota jakarta selatan",ChIJ1b4CFcTtaS4RPvs-5jDG7Wg,0
warteg sami asih,4.2,56,-6.3235961,106.8353888,"jl. lenteng agung, rt.10/rw.2, lenteng agung, kota jakarta selatan",ChIJqX7b4sPtaS4R_Y9DGfEsf8Y,0
warteg bude 2,0,0,-6.3250085,106.838569,"jl. lontar, rt.10/rw.3, lenteng agung, kota jakarta selatan",ChIJ73Z8J8ftaS4Rgetez1IrSb4,0
warteg dinda,0,0,-6.3311885,106.834549,"jagakarsa, south jakarta city",ChIJW9emO8_taS4RyVeJoL68oJ4,0
mini warteg,4.3,3,-6.323072,106.8372107,"jl. langga raya no.9, rt.9/rw.2, lenteng agung, kota jakarta selatan",ChIJlZpNPsHtaS4ROHt2_khtrUQ,0
warteg kompos,4.6,47,-6.3392513,106.8356531,"jl. raya lenteng agung jl. kompos no.#62, rt.11/rw.8, lenteng agung, dki jakarta",ChIJfQ3WqcztaS4RtcJBhTIEF10,0
warteg bahari asih,5,1,-6.3380287,106.8348135,"jl. raya lenteng agung no.77, rt.11/rw.8, lenteng agung, kota jakarta selatan",ChIJw-Yh24ftaS4RCxi9bA6YNlA,0
warteg lestari,4,4,-6.3439587,106.8124173,"jl. wr. sila no.18, rt.1/rw.5, ciganjur, kota jakarta selatan",ChIJ0x-3NoHuaS4RQoCQAgYvm5Y,0
warteg barokah,5,1,-6.3409594,106.8045262,"jl. moh. kafi 1, rt.8/rw.6, ciganjur, kota jakarta selatan",ChIJS-_6IYjuaS4RCWnFbM2Q_oo,0
warteg kharisma,0,0,-6.3449269,106.8143465,"jl. wr. sila no.3, rt.2/rw.5, cipedak, kota jakarta selatan",ChIJa32xcYHuaS4R6ptFVCERfUE,0
warteg permata,4.6,9,-6.3443801,106.8123741,"jl. wr. sila no.45, rt.8/rw.5, cipedak, kota jakarta selatan",ChIJiSWaSYHuaS4RLPo-axRVSsE,0
warteg iklas bahari,0,0,-6.3429015,106.8042627,"jalan mohammad kafi 1, rt.10/rw.6, ciganjur, kota jakarta selatan",ChIJv_gbXIjuaS4RyUD-32Qqfo4,0
warteg sumber bawang,4.4,206,-6.344439599999999,106.8040378,"jl. moh. kahfi 1, rt.1/rw.1, ciganjur, kota jakarta selatan",ChIJhz55wojuaS4R-KaNc47K20M,0
warteg berkah jaya,4.4,21,-6.345132,106.8093445,"jl. wr. sila no.18, rt.2/rw.4, ciganjur, kota jakarta selatan",ChIJZ1Lqh4buaS4Rw8fk46VIZuA,0
podomoro warteg,0,0,-6.339612499999999,106.8133452,"jl. sadar raya no.46, rt.3/rw.4, ciganjur, kota jakarta selatan",ChIJJSzPF37uaS4RsLVYKFezhpw,0
warteg hidayah,0,0,-6.3432027,106.8175803,"jl. moch. kahfi ii, rt.5/rw.4, srengseng sawah, kota jakarta selatan",ChIJDZmy0YHuaS4RF24q6ceBQi4,0
warteg ibu ii,5,1,-6.3387432,106.8100366,"jl. anda no.40, rt.7/rw.3, ciganjur, kota jakarta selatan",ChIJ1U0uun3uaS4R6jiVvN2PrkQ,0
