nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg,2,2,-6.318125999999999,106.8344545,"jl. joe no.28, rt.7/rw.8, kebagusan, kota jakarta selatan",ChIJl4t07OntaS4Ruw0ty4y32js,0
warteg bahari,1,1,-6.3208183,106.8323699,"gg. lahab, rt.1/rw.6, lenteng agung, kota jakarta selatan",ChIJKS8x9MLtaS4Ri-PtIW8I-IA,0
warteg sami asih,4.2,56,-6.3235961,106.8353888,"jl. lenteng agung, rt.10/rw.2, lenteng agung, kota jakarta selatan",ChIJqX7b4sPtaS4R_Y9DGfEsf8Y,0
mini warteg,4.3,3,-6.323072,106.8372107,"jl. langga raya no.9, rt.9/rw.2, lenteng agung, kota jakarta selatan",ChIJlZpNPsHtaS4ROHt2_khtrUQ,0
warteg caca,4,1,-6.3228193,106.8270732,"jl. klp. 3 no.49, rt.3/rw.3, jagakarsa, kota jakarta selatan",ChIJJcWm5dztaS4RcQXs4_AUoFY,0
warteg elis,4.5,39,-6.321472699999999,106.8366229,"jl. lenteng agung raya no.33b, rt.7/rw.2, lenteng agung, kota jakarta selatan",ChIJo-iW5L7taS4RBLcsK8ImS8Q,0
warteg rizquna bahari,4.6,83,-6.3275545,106.8293795,"jl. joe klp. tiga no.3, rt.6/rw.3, lenteng agung, kota jakarta selatan",ChIJs2OpeobtaS4RsHDnqShY7r4,0
warteg jaya,4.4,8,-6.3216214,106.8254975,"jl. h.mursid no.99, rt.4/rw.3, jagakarsa, kota jakarta selatan",ChIJITDdtt3taS4RMlPKgRBYOnU,0
warteg indah,0,0,-6.3209838,106.8254478,"jl. wates, rt.11/rw.5, jagakarsa, kota jakarta selatan",ChIJS5nDvt3taS4RwSqZ6iAIzvk,0
warteg dm 45,4.4,25,-6.3208913,106.8358179,"jl. raya lenteng agung, rt.11/rw.1, lenteng agung, kota jakarta selatan",ChIJb4kiicHtaS4ReFbrxenjSV8,0
warteg caca,4.2,5,-6.316282999999999,106.8274452,"jl. kebagusan iv no.20, rt.5/rw.4, kebagusan, kota jakarta selatan",ChIJ8ZvjT-btaS4RGwlr22A8qto,0
warteg pak yanto,5,1,-6.3219828,106.831567,"jl. joe klp. tiga no.12, rt.1/rw.3, jagakarsa, kota jakarta selatan",ChIJPXXIHcPtaS4R_u_v2KlMK1Y,0
warteg barokah,0,0,-6.3143061,106.8365696,"jl. raya lenteng agung no.35, rt.5/rw.1, lenteng agung, kota jakarta selatan",ChIJt3HE8H7taS4R1LZMrj2XmE0,0
warteg berkah mulya,0,0,-6.324628700000001,106.8299584,"jl. joe klp. tiga, rt.5/rw.3, lenteng agung, kota jakarta selatan",ChIJK5kyqsTtaS4RgrPhY_LyJzs,0
warteg galih,5,3,-6.316114499999999,106.8286918,"rt.10/rw.4, kebagusan, south jakarta city",ChIJu-PkGfjtaS4Rhc-GBnfLK3M,0
warteg kemunink,0,0,-6.3133447,106.8256078,"mrpg+m69, rt.10/rw.7, ragunan, south jakarta city",ChIJ7YYik1ztaS4RsRXnN4jaq4Q,0
warteg manja,4.3,27,-6.3254576,106.8342049,"jl. raya lenteng agung, rt.3/rw.3, lenteng agung, kota jakarta selatan",ChIJ1b4CFcTtaS4RPvs-5jDG7Wg,0
warteg citra brebes,0,0,-6.316599999999999,106.8372513,"jl. lenteng agung raya, rt.6/rw.1, lenteng agung, kota jakarta selatan",ChIJJ5A6S-rtaS4RQi7OJaQlvZY,0
warteg sukasari,4.1,7,-6.320983399999999,106.825448,"jl. kebagusan raya no.5, rt.4/rw.4, kebagusan, kota jakarta selatan",ChIJeZv7vt3taS4RpP1AVjRu1L0,0
warteg lagun rayana,5,1,-6.3239804,106.8370068,"jl. buntu no.i, rt.9/rw.2, lenteng agung, kota jakarta selatan",ChIJdYr1NcHtaS4R3FpCRmx-XzM,0
warteg dani,5,1,-6.3230673,106.8304697,"jl. joe klp. tiga no.33, rt.1/rw.3, lenteng agung, kota jakarta selatan",ChIJW4duL0XtaS4RG3awtH5cJfo,0
warteg anugrah jaya,4.3,10,-6.3268575,106.828703,"jl. klp. hijau no.48a, rt.5/rw.3, jagakarsa, kota jakarta selatan",ChIJAdyQJ9vtaS4RjbTBwYirZ8Q,0
warteg bude 2,0,0,-6.3250085,106.838569,"jl. lontar, rt.10/rw.3, lenteng agung, kota jakarta selatan",ChIJ73Z8J8ftaS4Rgetez1IrSb4,0
warteg cappucino cincau,3,1,-6.3229397,106.830514,"jl. joe klp. tiga no.33, rt.1/rw.3, lenteng agung, kota jakarta selatan",ChIJq2dS-DPtaS4RzdsscwOisk8,0
warteg bunda nugi,5,1,-6.314345299999999,106.8381401,"jl. raya tj. barat, rt.1/rw.2, lenteng agung, kota jakarta selatan",ChIJq7b2g-vtaS4Rd7zVTXZ99oE,0
warteg nisa,3.5,11,-6.3287511,106.8334474,"jalan raya lenteng agung jagakarsa, rt.4/rw.5, lenteng agung, kota jakarta selatan",ChIJHzmIkMXtaS4R8eSFiuiUNXs,0
warteg linda,3.3,3,-6.327385,106.8239089,"jl. raya jagakarsa, rt.9/rw.7, jagakarsa, kota jakarta selatan",ChIJrQb_KtrtaS4RYSsgr1nXGNw,0
warteg kharisma bahari,4,1,-6.3127621,106.8255565,"jl. kebagusan raya, rt.10/rw.7, ragunan, kota jakarta selatan",ChIJLef7Q-TtaS4Rh-pBwSfJTos,0
warteg pak harso,4,2,-6.3291602,106.8249251,"jl. raya jagakarsa no.18, rt.9/rw.7, jagakarsa, kota jakarta selatan",ChIJ5X7tDdrtaS4Rj1iuheuK1NY,0
warteg berkah,4.6,7,-6.3154002,106.8252704,"jl. kebagusan raya no.104a, rt.2/rw.4, kebagusan, kota jakarta selatan",ChIJbzgE6ubtaS4R2JXQt6ADxG0,0
warteg rizquna bahari,4.6,83,-6.3275545,106.8293795,"jl. joe klp. tiga no.3, rt.6/rw.3, lenteng agung, kota jakarta selatan",ChIJs2OpeobtaS4RsHDnqShY7r4,0
warteg,2,2,-6.318125999999999,106.8344545,"jl. joe no.28, rt.7/rw.8, kebagusan, kota jakarta selatan",ChIJl4t07OntaS4Ruw0ty4y32js,0
warteg bahari,1,1,-6.3208183,106.8323699,"gg. lahab, rt.1/rw.6, lenteng agung, kota jakarta selatan",ChIJKS8x9MLtaS4Ri-PtIW8I-IA,0
warteg sami asih,4.2,56,-6.3235961,106.8353888,"jl. lenteng agung, rt.10/rw.2, lenteng agung, kota jakarta selatan",ChIJqX7b4sPtaS4R_Y9DGfEsf8Y,0
warteg nisa,3.5,11,-6.3287511,106.8334474,"jalan raya lenteng agung jagakarsa, rt.4/rw.5, lenteng agung, kota jakarta selatan",ChIJHzmIkMXtaS4R8eSFiuiUNXs,0
warteg elis,4.5,39,-6.321472699999999,106.8366229,"jl. lenteng agung raya no.33b, rt.7/rw.2, lenteng agung, kota jakarta selatan",ChIJo-iW5L7taS4RBLcsK8ImS8Q,0
warteg dm 45,4.4,25,-6.3208913,106.8358179,"jl. raya lenteng agung, rt.11/rw.1, lenteng agung, kota jakarta selatan",ChIJb4kiicHtaS4ReFbrxenjSV8,0
warteg bahari,5,1,-6.3311775,106.8393482,"jl. agung raya ii, rt.8/rw.7, lenteng agung, kota jakarta selatan",ChIJuW9kRcjtaS4RLkPHh5pM2hY,0
warteg pak yanto,5,1,-6.3219828,106.831567,"jl. joe klp. tiga no.12, rt.1/rw.3, jagakarsa, kota jakarta selatan",ChIJPXXIHcPtaS4R_u_v2KlMK1Y,0
warteg berkah mulya,0,0,-6.324628700000001,106.8299584,"jl. joe klp. tiga, rt.5/rw.3, lenteng agung, kota jakarta selatan",ChIJK5kyqsTtaS4RgrPhY_LyJzs,0
warteg manja,4.3,27,-6.3254576,106.8342049,"jl. raya lenteng agung, rt.3/rw.3, lenteng agung, kota jakarta selatan",ChIJ1b4CFcTtaS4RPvs-5jDG7Wg,0
warteg lagun rayana,5,1,-6.3239804,106.8370068,"jl. buntu no.i, rt.9/rw.2, lenteng agung, kota jakarta selatan",ChIJdYr1NcHtaS4R3FpCRmx-XzM,0
warteg bude 2,0,0,-6.3250085,106.838569,"jl. lontar, rt.10/rw.3, lenteng agung, kota jakarta selatan",ChIJ73Z8J8ftaS4Rgetez1IrSb4,0
warteg dani,5,1,-6.3230673,106.8304697,"jl. joe klp. tiga no.33, rt.1/rw.3, lenteng agung, kota jakarta selatan",ChIJW4duL0XtaS4RG3awtH5cJfo,0
warteg caca,4,1,-6.3228193,106.8270732,"jl. klp. 3 no.49, rt.3/rw.3, jagakarsa, kota jakarta selatan",ChIJJcWm5dztaS4RcQXs4_AUoFY,0
warteg putri jaya,5,2,-6.3315537,106.8363487,"jl. agung raya ii, rt.1/rw.7, lenteng agung, kota jakarta selatan",ChIJx2sU2sjtaS4RR3KYHqbykeg,0
warteg anugrah jaya,4.3,10,-6.3268575,106.828703,"jl. klp. hijau no.48a, rt.5/rw.3, jagakarsa, kota jakarta selatan",ChIJAdyQJ9vtaS4RjbTBwYirZ8Q,0
warteg kharisma bahari,0,0,-6.330429899999999,106.8352798,"jl. raya lenteng agung no.25, rt.1/rw.4, lenteng agung, kota jakarta selatan",ChIJeQaTS8_taS4R1xWerLNKgE0,0
warteg berkah bahari,5,1,-6.3319271,106.8347245,"jl. moch. kahfi ii no.23, rt.1/rw.1, jagakarsa, kota jakarta selatan",ChIJN0xuou7taS4RC9sDwuihC3k,0
warteg blimbing,4.4,5,-6.2890766,106.8290214,"pr6h+9j6, rt.7/rw.3, jati padang, south jakarta city",ChIJu92WUQXyaS4RLrjfDCodW6E,0
warteg dias berkah,5,4,-6.2944957,106.8279519,"jl. raya jatipadang no.17, rt.6/rw.4, jati padang, south jakarta city",ChIJu4VLunPzaS4RhNVyuGE4hao,0
warteg,5,1,-6.2920247,106.8288391,"jl. raya jatipadang, rt.6/rw.9, jati padang, kota jakarta selatan",ChIJt-IwkAXyaS4RwooxjP6ylBg,0
warteg ibu saroh,4.5,36,-6.2929705,106.8335444,"pr4m+rc7, rt.11/rw.6, jati padang, south jakarta city",ChIJU_yaxQ7yaS4RCS3YHajblLY,0
warteg yanti bahari,5,5,-6.2945212,106.8382809,"gg. h. umaidi no.3, rt.2/rw.7, ps. minggu, kota jakarta selatan",ChIJ92-YfHzzaS4RtsID77MIxPg,0
warteg bahari,4.1,22,-6.290560999999999,106.836156,"jl aup raya no.19, rt.6/rw.10, ps. minggu, kota jakarta selatan",ChIJHblQxA3yaS4Rvybbh0_ayWo,0
warteg pak de,4.8,4,-6.2900315,106.8274773,"jl. nurul iman no.101, rt.6/rw.3, jati padang, kota jakarta selatan",ChIJufApkBLzaS4R_E25Ero3ni4,0
warteg ben jaya,4.3,20,-6.297173799999999,106.8402318,"komplek batan, no. 18, jl. raya rw. bambu, rt.7/rw.7, ps. minggu, kota jakarta selatan",ChIJBYrpwAryaS4RvJgYfb-2lGQ,0
warteg barokah,4.2,6,-6.2864494,106.8260434,"kompleks bri, jl. warung jati barat no.20, rt.6/rw.5, jati padang, kota jakarta selatan",ChIJb8u_BxvyaS4RUqurz7FUx6Q,0
warteg pakde,4.5,4,-6.285798799999999,106.8326681,"jl. sebret no.5, rt.5/rw.7, jati padang, kota jakarta selatan",ChIJwX_mARHyaS4Ra-dlOKYby4k,0
warteg bahari,4.2,6,-6.2852668,106.841635,"jl. raya ragunan, rt.1/rw.2, ps. minggu, kota jakarta selatan",ChIJOfz10mzyaS4RiCu-WVPEYlk,0
warteg berkah 354,4.5,15,-6.2857078,106.8403001,"jl. raya ragunan, rt.9/rw.4, ps. minggu, kota jakarta selatan",ChIJizyxIBPyaS4RqWqsZLgv_Sc,0
sudi mampir warteg,0,0,-6.298184699999999,106.8404399,"rt.7/rw.7, west tanjung, south jakarta city",ChIJg8k8pAryaS4R3qDIBEVvOp4,0
warteg kharisma bahari kebagusan,4.3,3,-6.2976372,106.8264675,"jl. kebagusan raya no.7, rt.5/rw.1, kebagusan, kota jakarta selatan",ChIJEwvIjpTzaS4RTRi0oWSVX9Y,0
warteg subur jaya 2,4,3,-6.29927,106.8364749,"jl. tlk. mandar no.25, rt.3/rw.8, ps. minggu, kota jakarta selatan",ChIJHbzN8fXtaS4RRmPOEu2Fr8Y,0
warteg mase,0,0,-6.2918369,106.8364509,"jl. aup no.2, rt.4/rw.10, ps. minggu, kota jakarta selatan",ChIJtbnq-ejzaS4RZZrhzuiakdY,0
warteg istiqomah,0,0,-6.3004589,106.8258892,"jl. kebagusan raya no.42, rt.1/rw.7, kebagusan, kota jakarta selatan",ChIJSbn4-_jtaS4RErFfvlzZTRE,0
warteg gilar gilar,5,1,-6.2986051,106.8400518,"komplek tni al, no. c, kota jkt sel.,, jl. raya tengah no.12, rt.4/rw.8, ps. minggu, kota jakarta selatan",ChIJM9wZXhntaS4RJJvF0-kTGEM,0
warteg 3m,4.2,14,-6.300946400000001,106.8320896,"jl. kebagusan i no.1, rt.2/rw.1, kebagusan, kota jakarta selatan",ChIJLax7qfftaS4R6iJZiyg2Ok4,0
wahyoo warteg sederhana ii,0,0,-6.286003399999999,106.8299939,"jl. raya ragunan no.15, rt.2/rw.7, ps. minggu, kota jakarta selatan",ChIJwRa-K4zzaS4RM1ikSMd2MkI,0
makmur restaurant,4.4,51,-6.287111899999999,106.825406,"jl. taman margasatwa raya no.16, rt.4/rw.11, ragunan, kota jakarta selatan",ChIJ45sNFRvyaS4ROMnssJC0o4w,0
warteg diyanah,4.1,48,-6.295422299999999,106.8414912,"jl. poltangan raya no.6, rt.1/rw.10, pejaten tim., kota jakarta selatan",ChIJdaDQ0nTyaS4Rn0FNmWAE7NE,0
warteg tiga putri,5,1,-6.298569899999999,106.8400877,"jalan rawa bambu kompleks tni al no. 12, rt.4/rw.8, ps. minggu, kota jakarta selatan",ChIJwVkksVftaS4RJ38NU3ki9lc,0
warteg hj. sopia,0,0,-6.297298199999999,106.8401314,"pr3r+33j, rt.7/rw.7, pasar minggu, south jakarta city",ChIJcdmDvwryaS4RSpiIAKS574Q,0
warteg gabus raya,4.9,20,-6.299110600000001,106.8361364,"jl. gabus raya no.5, rt.5/rw.9, ps. minggu, kota jakarta selatan",ChIJM4M--vXtaS4R0Fj_tkXBVJA,0
warteg khalimah baru,4,2,-6.2852673,106.8261658,"jl. warung jati barat no.7, rt.3/rw.11, ragunan, kota jakarta selatan",ChIJu4i9zRvyaS4R-1xT8Fi6L9Q,0
warteg moro tresno,4.6,12,-6.3007599,106.8305978,"jl. kebagusan i no.17, rt.6/rw.1, kebagusan, kota jakarta selatan",ChIJm3A8mvftaS4RdUo9AfG6Ktw,0
warteg nusantara bahari,4.7,9,-6.2858082,106.8298345,"jl. raya ragunan no.14 c, rt.2/rw.7, jati padang, kota jakarta selatan",ChIJGRTggBDyaS4RiJXSoWYWRag,0
warteg ayu,0,0,-6.3008549,106.8409228,"jl. tj. bar. lama no.3, rt.3/rw.4, tj. bar., kota jakarta selatan",ChIJpeV8KfXtaS4RC0mPqms3368,0
warteg umi halal tanpa buto ijo ( warteg utama disini di kontrakan),5,4,-6.2910033,106.8418023,"jl. palapa xi no.1, rt.6/rw.5, ps. minggu, kota jakarta selatan",ChIJ11fNvKLzaS4R9qg8dw9_pyU,0
warteg palapa,0,0,-6.290949700000001,106.8417544,"jl. palapa timur xi, rt.6/rw.5, ps. minggu, kota jakarta selatan",ChIJ_0KLtEPzaS4RnGrTMo0I2No,0
"warteg sabrina_enak,murah,ramah",4,1,-6.3007271,106.8321597,"no., jl. kebagusan i no.1, rt.2/rw.1, kebagusan, kota jakarta selatan",ChIJI5YpqfftaS4Rtpw35hnrRK8,0
warteg moncer loro,4.5,39,-6.2952619,106.8420232,"jl. poltangan raya no.1, rt.2/rw.10, pejaten tim., kota jakarta selatan",ChIJHTyN4XTyaS4R_zH1dHfYa0k,0
warteg elis,0,0,-6.3015076,106.8402525,"mrxr+94r, rt.3/rw.4, west tanjung, south jakarta city",ChIJCyYV3PTtaS4RbBU7iv2VkiU,0
