nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg tegal arum,4.5,31,-6.3034449,106.84664540000001,"5, jl. nangka raya no.6, rt.6/rw.5, tj. bar., kota jakarta selatan",ChIJj3L4B4ztaS4R3YjJzdhwTA0,0.006091099999998129
warteg jembatan,0.0,0,-6.3062733,106.83722649999999,"jl. baung no.25 rt 03/01, rt.1/rw.1, lenteng agung, kota jakarta selatan",ChIJF75z3mntaS4RiXahXmyzO-Y,0.013441199999998156
warteg barokah,3.8,5,-6.300972199999999,106.84951840000001,"jl. poltangan raya no.25, rt.4/rw.5, tj. bar., kota jakarta selatan",ChIJN8FmqIntaS4RmhUOj2TnJSM,0.005690800000005325
warteg panorama bahari,4.0,5,-6.3022196,106.8591706,"mvx5+4m7, rt.6/rw.1, gedong, east jakarta city",ChIJ2yTRTIHtaS4RlG0cuV3Iiec,0.012556600000000806
warteg barokah,4.5,8,-6.292517500000001,106.8401126,"komplek batan, jl. raya rawa bambu no.b7, rt07/rw03, pasar minggu, rt.6/rw.6, ps. minggu, kota jakarta selatan",ChIJlUGTkLUI7S0RZ-bGjVZZA50,0.023551300000000275
warteg jaya bahari,4.7,18,-6.303327400000001,106.8492645,"jl. poltangan raya no.60, rt.6/rw.4, tj. bar., kota jakarta selatan",ChIJcZM_AAnzaS4RO6oIxlxsFIo,0.003589499999994139
warteg tiara,0.0,0,-6.303119000000001,106.84791570000002,"jl. nangka raya, rt.6/rw.5, tj. bar., kota jakarta selatan",ChIJR6IuUontaS4RzMZoozSopso,0.005146699999996507
warteg berkah,0.0,0,-6.295611099999999,106.8455165,"east pejaten, south jakarta city",ChIJadWIS3TyaS4RQ8fNJdwz59A,0.015053799999996897
warteg cappucino cincau,3.0,1,-6.3229397,106.830514,"jl. joe klp. tiga no.33, rt.1/rw.3, lenteng agung, kota jakarta selatan",ChIJq2dS-DPtaS4RzdsscwOisk8,0.0
warteg bunda nugi,5.0,1,-6.3143452999999985,106.83814009999999,"jl. raya tj. barat, rt.1/rw.2, lenteng agung, kota jakarta selatan",ChIJq7b2g-vtaS4Rd7zVTXZ99oE,0.0
warteg dm 45,4.4,25,-6.3208913,106.8358179,"jl. raya lenteng agung, rt.11/rw.1, lenteng agung, kota jakarta selatan",ChIJb4kiicHtaS4ReFbrxenjSV8,0.0
warteg lagun rayana,5.0,1,-6.3239804,106.8370068,"jl. buntu no.i, rt.9/rw.2, lenteng agung, kota jakarta selatan",ChIJdYr1NcHtaS4R3FpCRmx-XzM,0.0
