nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg nongkrong m3style,4,2,-6.3395896,106.8209531,"jl. moch. kahfi ii no.2, rt.5/rw.4, ciganjur, kota jakarta selatan",ChIJG0eg19TtaS4RwPv_ZSc-LsE,0.013588699999998788
warteg mulia,4.5,2,-6.3409941,106.8196995,"jalan mohammad kafi ii no.3, rt.1/rw.4, ciganjur, kota jakarta selatan",ChIJBUEpxCrsaS4RWbpsS16exdU,0.013739600000000074
warteg 03 sumber berkah,5,2,-6.3396184,106.8209255,"jl. moch. kahfi ii no.2, rt.2/rw.4, ciganjur, kota jakarta selatan",ChIJz5o5v4_taS4RFCf0IPH7RqY,0.013589900000003041
warteg hidayah,0,0,-6.3432027,106.8175803,"jl. moch. kahfi ii, rt.5/rw.4, srengseng sawah, kota jakarta selatan",ChIJDZmy0YHuaS4RF24q6ceBQi4,0.013829000000004754
warteg kharisma bahari,4.2,212,-6.341190999999999,106.8275371,"warteg kharisma bahari, jalan desa putra no 35a rt12/rw05, jl. desa putra no.35 a, rt.12/rw.5, srengseng sawah, kota jakarta selatan",ChIJ8X83PC3saS4RVe2yctRPCYY,0.021774100000001795
warteg asih,0,0,-6.3367945,106.8249017,"jl. moh. kahfi 1 no.9, rt.9/rw.1, jagakarsa, kota jakarta selatan",ChIJy-7eltPtaS4RK2Ehj-v20R8,0.017084200000000216
warteg 05 senayan,4.9,8,-6.338871,106.822002,"jl. moch. kahfi ii no.14d, rt.1/rw.4, ciganjur, kota jakarta selatan",ChIJXwaZBMbvaS4RLekgy4EFnIs,0.01391899999999957
wkb warteg kharisma bahari jagakarsa kahfi 2,5,7,-6.3432224,106.8174907,"7, jl. moch. kahfi ii no.30a, rt.7/rw.8, srengseng sawah, south jakarta city",ChIJbzJ5iNbvaS4RxFDw-zJCyoc,0.01375909999999525
warteg julay,5,1,-6.346016,106.826898,"mr3g+hqr, rt.2/rw.15, srengseng sawah, south jakarta city",ChIJGcN9YS7saS4RqzX_69zLJ90,0.025960000000001315
warteg lestari,4,4,-6.3439587,106.8124173,"jl. wr. sila no.18, rt.1/rw.5, ciganjur, kota jakarta selatan",ChIJ0x-3NoHuaS4RQoCQAgYvm5Y,0.009422000000008701
warteg indah,0,0,-6.3482954,106.8202187,"jl. srengseng sawah no.81, rt.2/rw.7, srengseng sawah, kota jakarta selatan",ChIJC4dZUCjsaS4RTu-CK60jj50,0.021560099999999416
warteg novi,5,1,-6.346052500000001,106.8148818,"mr37+hxc, rt.3/rw.8, srengseng sawah, south jakarta city",ChIJh_OxCZvvaS4RQwccP6zU804,0.013980299999997392
warteg imam s jaya,4,2,-6.3344385,106.8212458,"jl. sirsak no.2, rt.5/rw.7, jagakarsa, kota jakarta selatan",ChIJTa_qhdbtaS4Rd8XGzbojItI,0.01578430000000175
warteg berkah,5,1,-6.348489,106.8092822,"jl. persahabatan jl. al hidayah no.depan, rt.7/rw.4, cipedak, kota jakarta selatan",ChIJrTtBkz_vaS4RM_q9e0hsxFo,0.010817199999999971
warteg kharisma,0,0,-6.3449269,106.8143465,"jl. wr. sila no.3, rt.2/rw.5, cipedak, kota jakarta selatan",ChIJa32xcYHuaS4R6ptFVCERfUE,0.012319400000000869
warteg mulya bahari,5,1,-6.3312532,106.8207416,"mr9c+f7x, rt.4/rw.7, jagakarsa, south jakarta city",ChIJ57Xu8iDtaS4RlY5a8H0e0UQ,0.018465400000007293
warteg sederhana,3,1,-6.348504399999999,106.8132192,"jl. moch. kahfi ii, rt.3/rw.5, cipedak, kota jakarta selatan",ChIJVXEDQSrvaS4RTlWC4v76vTo,0.014769600000006378
warteg,0,0,-6.3229453,106.8212563,"jl. maninjo no.1, rt.1/rw.5, jagakarsa, kota jakarta selatan",ChIJVZrs5N7taS4RQaK0-Nt1plg,0.027288000000003976
