nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg hidayah,0,0,-6.3432027,106.8175803,"jl. moch. kahfi ii, rt.5/rw.4, srengseng sawah, kota jakarta selatan",ChIJDZmy0YHuaS4RF24q6ceBQi4,0.030417800000008377
warteg bahari,5,2,-6.354697499999999,106.8072112,"jl. timbul iv, rt.8/rw.6, cipedak, kota jakarta selatan",ChIJi8-wFJruaS4RIvu46uw6rNQ,0.008553900000003445
warteg berkah,5,1,-6.348489,106.8092822,"jl. persahabatan jl. al hidayah no.depan, rt.7/rw.4, cipedak, kota jakarta selatan",ChIJrTtBkz_vaS4RM_q9e0hsxFo,0.016833400000003884
warteg jaya bahari,4.6,5,-6.3571087,106.8125558,"jl. srengseng sawah, rt.10/rw.6, srengseng sawah, kota jakarta selatan",ChIJHVw5yJ7uaS4R3ooxs9ywYoY,0.013345100000004884
warteg lestari,4,4,-6.3439587,106.8124173,"jl. wr. sila no.18, rt.1/rw.5, ciganjur, kota jakarta selatan",ChIJ0x-3NoHuaS4RQoCQAgYvm5Y,0.024498800000012366
warteg novi,5,1,-6.346052500000001,106.8148818,"mr37+hxc, rt.3/rw.8, srengseng sawah, south jakarta city",ChIJh_OxCZvvaS4RQwccP6zU804,0.024869499999999434
warteg al kafi,4,1,-6.352709,106.801205,"m jagakarsa, jl. moh. kahfi 1, rt.7/rw.1, cipedak, dki jakarta",ChIJzTJq3F_uaS4RsBxNsp5y-Do,0.0045362000000013225
warteg sederhana,3,1,-6.348504399999999,106.8132192,"jl. moch. kahfi ii, rt.3/rw.5, cipedak, kota jakarta selatan",ChIJVXEDQSrvaS4RTlWC4v76vTo,0.020755000000012735
warteg rizki,0,0,-6.3496367,106.814187,"jl. batu, rt.1/rw.8, srengseng sawah, kota jakarta selatan",ChIJ8TaoJIPuaS4RNVKcGPb6xPE,0.020590500000009726
warteg ayamul,5,3,-6.359721400000001,106.8008061,"jalan mohammad kahfi 1, gg. jambu no.2, rt.3/rw.2, cipedak, dki jakarta",ChIJ10YjbpbuaS4RFnSLViHKdKY,0.004208100000009374
warteg barokah,5,1,-6.3409594,106.8045262,"jl. moh. kafi 1, rt.8/rw.6, ciganjur, kota jakarta selatan",ChIJS-_6IYjuaS4RCWnFbM2Q_oo,0.01960700000000326
wkb warteg kharisma bahari jagakarsa kahfi 2,5,7,-6.3432224,106.8174907,"7, jl. moch. kahfi ii no.30a, rt.7/rw.8, srengseng sawah, south jakarta city",ChIJbzJ5iNbvaS4RxFDw-zJCyoc,0.030308499999998517
warteg barokah,4,1,-6.362977,106.801922,"jalan antariksa cipedak jagakarsa, rt.6/rw.2, cipedak, dki jakarta",ChIJtxdxub3uaS4RxFTOF9uluL0,0.008579600000010679
warteg family,4.5,2,-6.3532505,106.8151128,"jl. srengseng sawah, rt.11/rw.9, srengseng sawah, kota jakarta selatan",ChIJDzZQqp3uaS4RJ5qH5WrhAUs,0.017902499999999932
warteg kharisma,0,0,-6.3449269,106.8143465,"jl. wr. sila no.3, rt.2/rw.5, cipedak, kota jakarta selatan",ChIJa32xcYHuaS4R6ptFVCERfUE,0.025459800000004584
warteg slawi ayu,4.9,10,-6.356305499999999,106.8128188,"jl. srengseng sawah no.39, rt.2/rw.9, srengseng sawah, kota jakarta selatan",ChIJrbwTwzzvaS4RGZZRaxZ7mEc,0.012804900000007002
warteg permata,4.6,9,-6.3443801,106.8123741,"jl. wr. sila no.45, rt.8/rw.5, cipedak, kota jakarta selatan",ChIJiSWaSYHuaS4RLPo-axRVSsE,0.024034200000004446
