nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg kharisma bahari,4.2,212,-6.341190999999999,106.8275371,"warteg kharisma bahari, jalan desa putra no 35a rt12/rw05, jl. desa putra no.35 a, rt.12/rw.5, srengseng sawah, kota jakarta selatan",ChIJ8X83PC3saS4RVe2yctRPCYY,0.020603500000006214
warteg enak,0,0,-6.315056999999999,106.8153053,"mrm8+x4f, rt.4/rw.6, jagakarsa, south jakarta city",ChIJ74zNzPLvaS4R7R3p4pxrxPk,0.017762299999989573
warteg putra,0,0,-6.324612000000001,106.81145,"gang # 2 jalan muhamad kafi 1 jagakarsa, ceremai blok cermai no.7, rt.1/rw.4, jagakarsa, dki jakarta",ChIJafA0-nPuaS4Rqv1ixxwhKwU,0.012062599999999257
warteg,0,0,-6.3229453,106.8212563,"jl. maninjo no.1, rt.1/rw.5, jagakarsa, kota jakarta selatan",ChIJVZrs5N7taS4RQaK0-Nt1plg,0.004860600000006876
warteg iqbal,4.7,3,-6.3449008,106.8288328,"jl. srengseng sawah, rt.5/rw.12, srengseng sawah, kota jakarta selatan",ChIJyzfH4i3saS4R1Zaf-jM62Ts,0.025609000000006432
warteg bahari,0,0,-6.337078099999999,106.8345282,"jl. lenteng agung raya, rt.4/rw.3, srengseng sawah, kota jakarta selatan",ChIJzc4VYsztaS4RLs00c7w4Ojg,0.023481699999999606
warteg asih,0,0,-6.3367945,106.8249017,"jl. moh. kahfi 1 no.9, rt.9/rw.1, jagakarsa, kota jakarta selatan",ChIJy-7eltPtaS4RK2Ehj-v20R8,0.013571600000004125
warteg hidayah,0,0,-6.3432027,106.8175803,"jl. moch. kahfi ii, rt.5/rw.4, srengseng sawah, kota jakarta selatan",ChIJDZmy0YHuaS4RF24q6ceBQi4,0.019072799999992007
warteg barokah,5,1,-6.3409594,106.8045262,"jl. moh. kafi 1, rt.8/rw.6, ciganjur, kota jakarta selatan",ChIJS-_6IYjuaS4RCWnFbM2Q_oo,0.029883599999997124
warteg bahari,4.6,12,-6.3174566,106.8190233,"jl. pepaya raya no.1a, rt.7/rw.5, jagakarsa, kota jakarta selatan",ChIJkSYZNODtaS4R_MdLHjzN4Vk,0.011644699999996178
warteg rizquna bahari,4.6,83,-6.3275545,106.8293795,"jl. joe klp. tiga no.3, rt.6/rw.3, lenteng agung, kota jakarta selatan",ChIJs2OpeobtaS4RsHDnqShY7r4,0.008809400000007628
warteg jaya,4.4,8,-6.3216214,106.8254975,"jl. h.mursid no.99, rt.4/rw.3, jagakarsa, kota jakarta selatan",ChIJITDdtt3taS4RMlPKgRBYOnU,0.010425700000002536
warteg indah,0,0,-6.3209838,106.8254478,"jl. wates, rt.11/rw.5, jagakarsa, kota jakarta selatan",ChIJS5nDvt3taS4RwSqZ6iAIzvk,0.011013600000011614
warteg nongkrong m3style,4,2,-6.3395896,106.8209531,"jl. moch. kahfi ii no.2, rt.5/rw.4, ciganjur, kota jakarta selatan",ChIJG0eg19TtaS4RwPv_ZSc-LsE,0.012418100000003207
warteg,2,2,-6.318125999999999,106.8344545,"jl. joe no.28, rt.7/rw.8, kebagusan, kota jakarta selatan",ChIJl4t07OntaS4Ruw0ty4y32js,0.022878100000013113
warteg lestari,4,4,-6.3439587,106.8124173,"jl. wr. sila no.18, rt.1/rw.5, ciganjur, kota jakarta selatan",ChIJ0x-3NoHuaS4RQoCQAgYvm5Y,0.024991799999988018
warteg berkah,4.3,30,-6.3451949,106.8275808,"jl. srengseng sawah no.93, rt.14/rw.3, srengseng sawah, kota jakarta selatan",ChIJYXwYjjHsaS4Rhhf3v8dK0Hk,0.024651100000013138
