nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg kharisma bahari,4.2,212,-6.341190999999999,106.8275371,"warteg kharisma bahari, jalan desa putra no 35a rt12/rw05, jl. desa putra no.35 a, rt.12/rw.5, srengseng sawah, kota jakarta selatan",ChIJ8X83PC3saS4RVe2yctRPCYY,0.022261000000002973
warteg,0,0,-6.3229453,106.8212563,"jl. maninjo no.1, rt.1/rw.5, jagakarsa, kota jakarta selatan",ChIJVZrs5N7taS4RQaK0-Nt1plg,0.015411500000001688
warteg bahari,0,0,-6.337078099999999,106.8345282,"jl. lenteng agung raya, rt.4/rw.3, srengseng sawah, kota jakarta selatan",ChIJzc4VYsztaS4RLs00c7w4Ojg,0.011993199999990267
warteg bahari,5,1,-6.3311775,106.8393482,"jl. agung raya ii, rt.8/rw.7, lenteng agung, kota jakarta selatan",ChIJuW9kRcjtaS4RLkPHh5pM2hY,0.010912600000000161
warteg asih,0,0,-6.3367945,106.8249017,"jl. moh. kahfi 1 no.9, rt.9/rw.1, jagakarsa, kota jakarta selatan",ChIJy-7eltPtaS4RK2Ehj-v20R8,0.02049990000000612
warteg hidayah,0,0,-6.3432027,106.8175803,"jl. moch. kahfi ii, rt.5/rw.4, srengseng sawah, kota jakarta selatan",ChIJDZmy0YHuaS4RF24q6ceBQi4,0.034229500000001245
warteg putra,0,0,-6.3377268,106.8291871,"jl. desa putra, rt.7/rw.5, srengseng sawah, kota jakarta selatan",ChIJgVZohNLtaS4RGhf3GbYuMRk,0.017146800000006124
warteg bahari,4.6,12,-6.3174566,106.8190233,"jl. pepaya raya no.1a, rt.7/rw.5, jagakarsa, kota jakarta selatan",ChIJkSYZNODtaS4R_MdLHjzN4Vk,0.023133200000005516
warteg,5,2,-6.308921,106.8473141,"jl. langgar, rt.1/rw.6, tj. bar., kota jakarta selatan",ChIJU-3U-43taS4RdEk-aE_u_wA,0.029786000000001422
warteg rizquna bahari,4.6,83,-6.3275545,106.8293795,"jl. joe klp. tiga no.3, rt.6/rw.3, lenteng agung, kota jakarta selatan",ChIJs2OpeobtaS4RsHDnqShY7r4,0.006782100000002345
warteg jaya,4.4,8,-6.3216214,106.8254975,"jl. h.mursid no.99, rt.4/rw.3, jagakarsa, kota jakarta selatan",ChIJITDdtt3taS4RMlPKgRBYOnU,0.012494200000006117
warteg indah,0,0,-6.3209838,106.8254478,"jl. wates, rt.11/rw.5, jagakarsa, kota jakarta selatan",ChIJS5nDvt3taS4RwSqZ6iAIzvk,0.013181499999997293
warteg nongkrong m3style,4,2,-6.3395896,106.8209531,"jl. moch. kahfi ii no.2, rt.5/rw.4, ciganjur, kota jakarta selatan",ChIJG0eg19TtaS4RwPv_ZSc-LsE,0.027243600000007362
warteg,2,2,-6.318125999999999,106.8344545,"jl. joe no.28, rt.7/rw.8, kebagusan, kota jakarta selatan",ChIJl4t07OntaS4Ruw0ty4y32js,0.007721400000003875
warteg,0,0,-6.3297444,106.8260916,"mrcg+4c4, rt.8/rw.3, jagakarsa, south jakarta city",ChIJFyd7njrtaS4RaHqA8QE9bqE,0.012259900000006319
warteg latanza,4.3,6,-6.3266287,106.8198726,"jl. raya jagakarsa, rt.5/rw.2, jagakarsa, kota jakarta selatan",ChIJuZ6079jtaS4RQwWxzMNeLJE,0.01536320000000746
warteg yanti,0,0,-6.340872099999999,106.8275979,"jl. desa putra, rt.7/rw.5, srengseng sawah, kota jakarta selatan",ChIJIzWAPC3saS4RQ8BnOPx-gCU,0.021881300000002213
warteg bahari,1,1,-6.3208183,106.8323699,"gg. lahab, rt.1/rw.6, lenteng agung, kota jakarta selatan",ChIJKS8x9MLtaS4Ri-PtIW8I-IA,0.006424899999999845
warteg berkah,0,0,-6.309505799999999,106.8359887,"gg. langgar no.4, rt.4/rw.3, kebagusan, kota jakarta selatan",ChIJ4QfPgfDtaS4R4lMm1yCNORs,0.017875799999997888
warteg pemalang,5,2,-6.3299938,106.8235556,"jl. raya jagakarsa no.3, rt.9/rw.7, jagakarsa, kota jakarta selatan",ChIJ0bCnb1_taS4RMpnFnvbIQ9M,0.01504529999999793
warteg sami asih,4.2,56,-6.3235961,106.8353888,"jl. lenteng agung, rt.10/rw.2, lenteng agung, kota jakarta selatan",ChIJqX7b4sPtaS4R_Y9DGfEsf8Y,0.0031856000000001217
warteg 03 sumber berkah,5,2,-6.3396184,106.8209255,"jl. moch. kahfi ii no.2, rt.2/rw.4, ciganjur, kota jakarta selatan",ChIJz5o5v4_taS4RFCf0IPH7RqY,0.02730000000000299
wahyoo warteg redja,4,1,-6.318252999999999,106.8189174,"jl. pepaya raya no.46, rt.7/rw.5, jagakarsa, kota jakarta selatan",ChIJhycvPODtaS4RBqlNpkK5s8Y,0.022442700000000926
warteg mulya bahari,5,1,-6.3312532,106.8207416,"mr9c+f7x, rt.4/rw.7, jagakarsa, south jakarta city",ChIJ57Xu8iDtaS4RlY5a8H0e0UQ,0.019118699999999045
wahyoo warteg barokah,3.7,7,-6.3267729,106.8218971,"jl. raya jagakarsa no.54, rt.2/rw.7, jagakarsa, kota jakarta selatan",ChIJ_6MbDtntaS4R9ijNfzhAmAY,0.013482900000003184
warteg family@2,0,0,-6.333558999999999,106.8280761,"jl. jeruk raya no.67, rt.12/rw.1, jagakarsa, kota jakarta selatan",ChIJfwBDldHtaS4RmPgWzmFJ0sU,0.014089999999999492
warteg mbak cantik,5,4,-6.335045,106.8349633,"jl. lenteng agung raya no.24a, rt.4/rw.4, srengseng sawah, kota jakarta selatan",ChIJM8v1bo3taS4RGqe6dbuRH0M,0.010395199999995164
warteg sidomulyo,5,5,-6.33546,106.828119,"jalan m kahfi ii rt 08 rw 01 jagakarsa, jakarta selatan, rt.8/rw.1, jagakarsa, kota jakarta selatan",ChIJu7hwPdLtaS4RUDDdzO3LO4s,0.015948100000003684
warteg bae,4.4,25,-6.315833,106.816268,"4, jl. kav. polri no.82, rt.4/rw.6, jagakarsa, kota jakarta selatan",ChIJkamVPwruaS4RzYcWLWi1RZY,0.02751210000000981
warteg 53,5,1,-6.3089986,106.8270929,"jl. kebagusan raya, rt.1/rw.6, kebagusan, kota jakarta selatan",ChIJZ3iO0_rtaS4Rd6rPh0DKzL8,0.023521600000006693
mini warteg,4.3,3,-6.323072,106.8372107,"jl. langga raya no.9, rt.9/rw.2, lenteng agung, kota jakarta selatan",ChIJlZpNPsHtaS4ROHt2_khtrUQ,0.005531599999995862
warteg slamet,5,1,-6.3133537,106.8256074,"jl. kebagusan raya no.2, rt.10/rw.7, kebagusan, kota jakarta selatan",ChIJ6ZxJOeTtaS4R_jgtdyyZ1Ng,0.02065200000000722
warteg kharisma,4,7,-6.341099,106.827605,"jalan desa putra, jalan desa putra raya no 35a, rw.06 rt.12, jagakarsa, srengseng sawah, rt.7/rw.5, srengseng sawah, kota jakarta selatan",ChIJ2UczdIruaS4Rb5QyH0Rb19I,0.022101099999998652
warteg ibrajaya2,5,2,-6.3265585,106.8524712,"mvf2+9xh, rt.3/rw.9, baru, east jakarta city",ChIJEfPk2brtaS4RRvRkV8Bclw8,0.019416599999993345
warteg slawi,5,1,-6.3102798,106.8468417,"jl. h. nawi no.27, rt.2/rw.6, tj. bar., kota jakarta selatan",ChIJpXVFJJLtaS4R35BpKRybAH8,0.027954799999994506
