nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg kharisma bahari,4.2,212,-6.341190999999999,106.8275371,"warteg kharisma bahari, jalan desa putra no 35a rt12/rw05, jl. desa putra no.35 a, rt.12/rw.5, srengseng sawah, kota jakarta selatan",ChIJ8X83PC3saS4RVe2yctRPCYY,0.007275899999998003
warteg jaya bahari,4.6,5,-6.3571087,106.8125558,"jl. srengseng sawah, rt.10/rw.6, srengseng sawah, kota jakarta selatan",ChIJHVw5yJ7uaS4R3ooxs9ywYoY,0.023623100000005337
warteg berkah,5,1,-6.348489,106.8092822,"jl. persahabatan jl. al hidayah no.depan, rt.7/rw.4, cipedak, kota jakarta selatan",ChIJrTtBkz_vaS4RM_q9e0hsxFo,0.01827700000000476
warteg iqbal,4.7,3,-6.3449008,106.8288328,"jl. srengseng sawah, rt.5/rw.12, srengseng sawah, kota jakarta selatan",ChIJyzfH4i3saS4R1Zaf-jM62Ts,0.004861799999997807
warteg bahari,0,0,-6.337078099999999,106.8345282,"jl. lenteng agung raya, rt.4/rw.3, srengseng sawah, kota jakarta selatan",ChIJzc4VYsztaS4RLs00c7w4Ojg,0.018379899999991345
warteg bahari,5,1,-6.3311775,106.8393482,"jl. agung raya ii, rt.8/rw.7, lenteng agung, kota jakarta selatan",ChIJuW9kRcjtaS4RLkPHh5pM2hY,0.029100500000000196
warteg asih,0,0,-6.3367945,106.8249017,"jl. moh. kahfi 1 no.9, rt.9/rw.1, jagakarsa, kota jakarta selatan",ChIJy-7eltPtaS4RK2Ehj-v20R8,0.012608200000005176
warteg hidayah,0,0,-6.3432027,106.8175803,"jl. moch. kahfi ii, rt.5/rw.4, srengseng sawah, kota jakarta selatan",ChIJDZmy0YHuaS4RF24q6ceBQi4,0.013521400000000128
warteg putra,0,0,-6.3377268,106.8291871,"jl. desa putra, rt.7/rw.5, srengseng sawah, kota jakarta selatan",ChIJgVZohNLtaS4RGhf3GbYuMRk,0.012390099999994852
warteg slawi ayu,4.9,10,-6.356305499999999,106.8128188,"jl. srengseng sawah no.39, rt.2/rw.9, srengseng sawah, kota jakarta selatan",ChIJrbwTwzzvaS4RGZZRaxZ7mEc,0.022556899999999658
warteg family,4.5,2,-6.3532505,106.8151128,"jl. srengseng sawah, rt.11/rw.9, srengseng sawah, kota jakarta selatan",ChIJDzZQqp3uaS4RJ5qH5WrhAUs,0.017207900000008713
