nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg,5,2,-6.308921,106.8473141,"jl. langgar, rt.1/rw.6, tj. bar., kota jakarta selatan",ChIJU-3U-43taS4RdEk-aE_u_wA,0.006001299999992327
warteg bahari,4.2,46,-6.304880799999999,106.8400362,"jalan raya tanjung barat, rt.10/rw.4, tj. bar., kota jakarta selatan",ChIJ6b27QfPtaS4RC8dUftNkMY0,0.011264399999998176
warteg,2,2,-6.318125999999999,106.8344545,"jl. joe no.28, rt.7/rw.8, kebagusan, kota jakarta selatan",ChIJl4t07OntaS4Ruw0ty4y32js,0.028065899999989874
warteg tegal arum,4.5,31,-6.3034449,106.8466454,"5, jl. nangka raya no.6, rt.6/rw.5, tj. bar., kota jakarta selatan",ChIJj3L4B4ztaS4R3YjJzdhwTA0,0.006091099999998129
warteg berkah,4.6,42,-6.3048426,106.8336833,"jl. baung, rt.6/rw.2, kebagusan, kota jakarta selatan",ChIJS4H_O_HtaS4R9pQfTKgRCFI,0.01765549999999383
warteg bahari,1,1,-6.3208183,106.8323699,"gg. lahab, rt.1/rw.6, lenteng agung, kota jakarta selatan",ChIJKS8x9MLtaS4Ri-PtIW8I-IA,0.03284279999999473
warteg nj,3.7,3,-6.304458599999999,106.844214,"jl. nangka raya no.3, rt.8/rw.5, tj. bar., kota jakarta selatan",ChIJj8IzioztaS4RsOKFJaJJI58,0.007508800000004534
warteg putri,3,1,-6.302890199999999,106.8415205,"no. 19 c, jl. tb simatupang, rt.10/rw.4, tj. bar., kota jakarta selatan",ChIJ3xrZUYvtaS4RhQu4uT-vTnQ,0.011770699999996914
warteg berkah,0,0,-6.309505799999999,106.8359887,"gg. langgar no.4, rt.4/rw.3, kebagusan, kota jakarta selatan",ChIJ4QfPgfDtaS4R4lMm1yCNORs,0.01791149999999586
warteg sami asih,4.2,56,-6.3235961,106.8353888,"jl. lenteng agung, rt.10/rw.2, lenteng agung, kota jakarta selatan",ChIJqX7b4sPtaS4R_Y9DGfEsf8Y,0.03260169999999363
warteg husnimubarokah,5,5,-6.292646899999999,106.8424568,"jl. raya tj. barat no.21-18, rt.9/rw.7, pejaten tim., kota jakarta selatan",ChIJXf-_tdPzaS4RLA3G6DtLSR8,0.02107770000000464
warteg jaya bahari,0,0,-6.2959948,106.8432616,"jl. poltangan raya no.1 a, rt.2/rw.10, pejaten tim., kota jakarta selatan",ChIJy_N0xnvzaS4RXmfV8zt6FW0,0.01692499999999253
warteg sumber rezeky,4.6,21,-6.3062951,106.8372609,"jl. baung no.25, rt.1/rw.1, agung, jagakarsa, kota jakarta selatan",ChIJc4VzS_LtaS4Rr8NjkGQp_yU,0.013428599999993907
warteg rizki,0,0,-6.305365800000001,106.8441168,"jl. langgar, rt.12/rw.8, tj. bar., kota jakarta selatan",ChIJO7Ht-YztaS4RZcW-nlSyDEk,0.006698800000002336
berkah cafe 24h,4.6,43,-6.3066685,106.8385407,"jl. baung no.42, rt.3/rw.1, lenteng agung, kota jakarta selatan",ChIJg2iY-8ztaS4RurLjKN5mHQk,0.012522200000002037
warteg slawi,5,1,-6.3102798,106.8468417,"jl. h. nawi no.27, rt.2/rw.6, tj. bar., kota jakarta selatan",ChIJpXVFJJLtaS4R35BpKRybAH8,0.007832499999999243
warteg jembatan,0,0,-6.3062733,106.8372265,"jl. baung no.25 rt 03/01, rt.1/rw.1, lenteng agung, kota jakarta selatan",ChIJF75z3mntaS4RiXahXmyzO-Y,0.013441199999998155
warteg barokah,3.8,5,-6.300972199999999,106.8495184,"jl. poltangan raya no.25, rt.4/rw.5, tj. bar., kota jakarta selatan",ChIJN8FmqIntaS4RmhUOj2TnJSM,0.005690800000005325
warteg panorama bahari,4,5,-6.3022196,106.8591706,"mvx5+4m7, rt.6/rw.1, gedong, east jakarta city",ChIJ2yTRTIHtaS4RlG0cuV3Iiec,0.012556600000000806
warteg barokah,4.5,8,-6.2925175,106.8401126,"komplek batan, jl. raya rawa bambu no.b7, rt07/rw03, pasar minggu, rt.6/rw.6, ps. minggu, kota jakarta selatan",ChIJlUGTkLUI7S0RZ-bGjVZZA50,0.023551300000000275
warteg jaya bahari,4.7,18,-6.3033274,106.8492645,"jl. poltangan raya no.60, rt.6/rw.4, tj. bar., kota jakarta selatan",ChIJcZM_AAnzaS4RO6oIxlxsFIo,0.003589499999994139
warteg elis,4.5,39,-6.321472699999999,106.8366229,"jl. lenteng agung raya no.33b, rt.7/rw.2, lenteng agung, kota jakarta selatan",ChIJo-iW5L7taS4RBLcsK8ImS8Q,0.029244200000002607
warteg ibu saroh,4.5,36,-6.2929705,106.8335444,"pr4m+rc7, rt.11/rw.6, jati padang, south jakarta city",ChIJU_yaxQ7yaS4RCS3YHajblLY,0.029666500000003815
warteg tiara,0,0,-6.303119,106.8479157,"jl. nangka raya, rt.6/rw.5, tj. bar., kota jakarta selatan",ChIJR6IuUontaS4RzMZoozSopso,0.005146699999996507
warteg diyanah,4.1,48,-6.295422299999999,106.8414912,"jl. poltangan raya no.6, rt.1/rw.10, pejaten tim., kota jakarta selatan",ChIJdaDQ0nTyaS4Rn0FNmWAE7NE,0.019267900000005334
warteg berkah,0,0,-6.295611099999999,106.8455165,"east pejaten, south jakarta city",ChIJadWIS3TyaS4RQ8fNJdwz59A,0.015053799999996897
warteg 3m,4.2,14,-6.300946400000001,106.8320896,"jl. kebagusan i no.1, rt.2/rw.1, kebagusan, kota jakarta selatan",ChIJLax7qfftaS4R6iJZiyg2Ok4,0.023145399999993543
warteg fitri,4.4,18,-6.301984,106.8412179,"jl. tj. bar. lama no.137, rt.10/rw.4, tj. bar., kota jakarta selatan",ChIJ77JlzPTtaS4RXklqFs6il7Q,0.012979499999993926
warteg,4.9,13,-6.3120734,106.8387784,"jl. tj. barat selatan gg. 100, rt.1/rw.2, tj. bar., kota jakarta selatan",ChIJqTxD9-ztaS4RSYz9rBTWghI,0.017689400000002742
sudi mampir warteg,0,0,-6.298184699999999,106.8404399,"rt.7/rw.7, west tanjung, south jakarta city",ChIJg8k8pAryaS4R3qDIBEVvOp4,0.01755679999999149
warteg yanti bahari,5,5,-6.2945212,106.8382809,"gg. h. umaidi no.3, rt.2/rw.7, ps. minggu, kota jakarta selatan",ChIJ92-YfHzzaS4RtsID77MIxPg,0.02337929999999666
warteg cahaya berkah,4.2,10,-6.3125426,106.846575,"mrpw+xjp, rt.7/rw.6, west tanjung, south jakarta city",ChIJEb_9wULtaS4ROQ_2IiQYmnM,0.010361999999996208
warteg ben jaya,4.3,20,-6.297173799999999,106.8402318,"komplek batan, no. 18, jl. raya rw. bambu, rt.7/rw.7, ps. minggu, kota jakarta selatan",ChIJBYrpwAryaS4RvJgYfb-2lGQ,0.01877580000000112
warteg bahari,4.1,22,-6.290560999999999,106.836156,"jl aup raya no.19, rt.6/rw.10, ps. minggu, kota jakarta selatan",ChIJHblQxA3yaS4Rvybbh0_ayWo,0.029464399999995727
