nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari kembar,5,2,-6.2394446,106.7708592,"jl. al mubarok 1 no.10, rt.1/rw.1, cipulir, kota jakarta selatan",ChIJQzXRASDxaS4RuL0MAhxie_k,0
warteg kharisma bahari,3.3,3,-6.243720400000001,106.7725298,"rt08/rw09, jl. peninggaran raya no.50, rt.8/rw.11, kby. lama utara, kota jakarta selatan",ChIJ-ynsJLDxaS4RaFG9NL6U46w,0
warteg lena,3.9,28,-6.2430857,106.7690678,"qq49+qj8, rt.11/rw.11, north kebayoran lama, south jakarta city",ChIJM1-cuOHwaS4RXNBGBXZ7kas,0
warteg al riski jaya,0,0,-6.244271599999999,106.7763086,"jl. peninggaran timur ii, rt.3/rw.9, kby. lama utara, kota jakarta selatan",ChIJQ8hPqh7xaS4R-_dkOzmWZaM,0
warteg barokah,5,4,-6.2378864,106.7697193,"jl. ciledug raya no.9, rt.2/rw.5, cipulir, kota jakarta selatan",ChIJR9Aokt_waS4RFASO0A1o0m8,0
warteg barokah,3.7,17,-6.2383864,106.7721225,"jl. seskoal no.11, rt.6/rw.11, cipulir, kota jakarta selatan",ChIJ5W4bGCDxaS4RqZ0KAKyp5os,0
warteg bahari 107,4.4,28,-6.238039499999999,106.7684813,"jl. ciledug raya, rt.14/rw.6, cipulir, kota jakarta selatan",ChIJRZd9t9_waS4Re0g731DM18M,0
warteg bahari,4.8,5,-6.2450339,106.7748024,"istiqomah, jl. peninggaran timur iii no.22, rt.5/rw.9, kby. lama utara, kota jakarta selatan",ChIJPUjeIhzxaS4RQ49jjpEgeJU,0
wahyoo warteg bahari mulya,3,1,-6.241796099999999,106.7704652,"jl. almubarok iii no.2, rt.6/rw.10, cipulir, kota jakarta selatan",ChIJoaM1KuDwaS4R8nRVeYCAewA,0
warteg bakti ibu bahari,0,0,-6.2382193,106.7729206,"jl. ciledug raya no.40, rt.6/rw.11, cipulir, kota jakarta selatan",ChIJMxKl_fDxaS4R8M41iuRtJiU,0
warteg 24 jam marisah,3.6,11,-6.23766,106.776666,"jl. ciledug raya, rt.6/rw.2, cipulir, kota jakarta selatan",ChIJK-3JFxrxaS4RzmEHGx_eP88,0
warteg cahaya mulya,5,3,-6.238153,106.770678,"jl. ciledug raya no.69, rt.8/rw.6, cipulir, kota jakarta selatan",ChIJjSUsE9DxaS4RXxTaP-xXyEM,0
warteg bahari,4.3,8,-6.243084899999999,106.8036004,"rt.5/rw.2, melawai, kota jakarta selatan",ChIJnR10wNHxaS4RW1jJIolVFBg,0
warteg pandan wangi,4.5,52,-6.243892,106.8015754,"jalan hasanudin dalam no.28c blok m, kebayoran baru, rt.3/rw.1, melawai, kota jakarta selatan",ChIJfzFWNWnxaS4RKd8Nme0LbRI,0
warteg saleh jaya,4.6,21,-6.244921,106.810186,"jalan petogogan ii no.30p, pulo, rt.9/rw.5, petogogan, kota jakarta selatan",ChIJeVL2pHTxaS4RiuAtQ7S6Qkg,0
warteg nojo jaya ciragil,4.2,113,-6.2374415,106.8093958,"jl. cikatomas no.12, rt.5/rw.1, rw. bar., kota jakarta selatan",ChIJSfF6m13xaS4RA4-iuuueqIg,0
warteg sajny,0,0,-6.241383,106.805117,"rt3, jl. tirtayasa v no.5, rt.3/rw.2, melawai, kota jakarta selatan",ChIJezPy70LxaS4RpgoJ3loY8JY,0
warteg blok m,0,0,-6.243073,106.801823,"jl. falatehan i no.44, rt.2/rw.1, melawai, kota jakarta selatan",ChIJ3zgOI5TxaS4RvxDCNxYwGgg,0
warteg sari rasa bahari,4.8,4,-6.241202700000001,106.8086271,"15, rt.15/rw.6, petogogan, kota jakarta selatan",ChIJfcQt7GfxaS4RQPODRu1FWH8,0
warteg indah jaya,5,2,-6.241308699999999,106.8084911,"jl. cililin no.12a, rt.15/rw.6, petogogan, kota jakarta selatan",ChIJOQgwUWbxaS4RlO0bjH5s4kA,0
warteg nurul jaya,5,1,-6.237932799999999,106.8092399,"jl. ciragil ii no.14, rt.4/rw.1, rw. bar., kota jakarta selatan",ChIJlSx6gV3xaS4RX63CdU-RK_c,0
