nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg citra bahari,3.6,10,-6.253381,106.77607,"jalan bintaro raya tanah kusir, rt.2/rw.10, kebayoran lama selatan, kebayoran lama, rt.11/rw.10, kby. lama sel., kota jakarta selatan",ChIJo7yAjAPxaS4Rj1TMzLIGzlE,0
warteg slawi ayu,4.6,60,-6.2553325,106.7760395,"jl. johari no.1, rt.10/rw.10, kby. lama sel., kota jakarta selatan",ChIJdUouTgHxaS4RkjXb5A6rWb4,0
warteg bendi jaya,4.2,181,-6.2529184,106.7735524,"jl. bendi raya no.15, rt.3/rw.10, kby. lama utara, kota jakarta selatan",ChIJt7N-TQLxaS4RNZXLjgEk-Ws,0
warteg barokah,4.8,4,-6.247303899999999,106.7797712,"jl. bungur, rt.4/rw.1, kby. lama utara, kota jakarta selatan",ChIJwahg_BrxaS4RNRojSe6S7EQ,0
warteg irma,0,0,-6.253249299999999,106.7778802,"jl. ciputat raya no.2, rt.11/rw.11, kby. lama utara, kota jakarta selatan",ChIJTe_1agTxaS4RTRdADsChwg4,0
warteg ainun jaya 1 - tanah kusir,4.3,17,-6.2549179,106.7776599,"jl. ciputat raya jl. tanah kusir no.47, rt.13/rw.1, kby. lama sel., kota jakarta selatan",ChIJFdYstSrxaS4RDR2FalWmrFE,0
warteg kowantara banten,4,2,-6.2580538,106.7774059,"jl. ciputat raya, rt.4/rw.10, kby. lama sel., kota jakarta selatan",ChIJiQc7OgfxaS4RjV7EuovH5dI,0
warteg bahari,5,1,-6.2474397,106.7788875,"jl. ciputat raya no.321, rt.4/rw.1, kby. lama utara, kota jakarta selatan",ChIJVbkZBRvxaS4RUROZvIFxQRw,0
warteg abdul,0,0,-6.2573216,106.7754954,"jl. ismail blok ismail 4 no.25, rt.9/rw.10, kby. lama sel., kota jakarta selatan",ChIJy8jBfDfxaS4Rf83dogM-Kno,0
warteg raji,4.3,4,-6.2583739,106.7824829,"jl. tanah kusir ii no.9, rt.3/rw11/rw.9, kby. lama sel., kota jakarta selatan",ChIJUT0qYJfxaS4RWNnA0Jb0FOI,0
warteg bude,5,1,-6.258171,106.7807351,"tanah kusir 4, rt.6/rw.9, kby. lama sel., kota jakarta selatan",ChIJAVcg37XxaS4R9MJi5PH9HBM,0
wahyoo warteg hidayah,0,0,-6.249195599999999,106.7826033,"jl. bungur ii no.57, rt.2/rw.2, kby. lama sel., kota jakarta selatan",ChIJ-X5OABDxaS4RtSLrS7TkDtw,0
warteg kharisma bahari,0,0,-6.2480297,106.7784328,"rt.4/rw.1, kby. lama utara, kota jakarta selatan",ChIJySWrgOPxaS4RWxlBB1OXCyM,0
warteg sederhana,5,1,-6.2290871,106.7789612,"jl. raya kby. lama no.19, rt.4/rw.10, grogol sel., kota jakarta selatan",ChIJK7bBfkvxaS4RSj8BA7bN760,0
warteg putrabahari,4.4,111,-6.229489999999999,106.7767754,"jl. cidodol raya, rt.3/rw.11, grogol sel., kota jakarta selatan",ChIJy6ta_CXxaS4RfydUlbQcTPk,0
warteg putrabahari,4.3,10,-6.2255729,106.7746448,"jl. assirot no.10, rt.5/rw.1, grogol sel., kota jakarta selatan",ChIJswjlEynxaS4R0HuT1w1sB2k,0
warteg sari mukti,0,0,-6.2256072,106.7738827,"jl. assirot no.5, rt.10/rw.3, grogol sel., kota jakarta selatan",ChIJE4SFDCnxaS4RbSE-vPZj2P4,0
warteg hello bahari,4.8,11,-6.225492999999999,106.7764421,"jl assirot no.12 rt006/01, rt.6/rw.1, grogol sel., kota jakarta selatan",ChIJDWlSt_fxaS4R0pO5s-a8zrs,0
warteg lestari 2,5,1,-6.2262694,106.7711516,"jalan h thohir rt 02 rw 04 no 51a kebon jeruk, rt.2/rw.4, sukabumi sel., dki jakarta",ChIJrY7Y4SnxaS4RwhUNDhDO_nw,0
warteg kharisma bahari,0,0,-6.228973,106.771536,"jl. panjang cidodol no.2, rt.5/rw.13, sukabumi sel., kota jakarta selatan",ChIJacp_7OfxaS4Ru_0AAzvYeK4,0
warteg najwa/awa,5,1,-6.225598,106.7751535,"jl. assirot, rt.12/rw.1, grogol sel., kota jakarta selatan",ChIJ61ngPSnxaS4RPiAn6VizTQ0,0
warteg kowantara jaksel,4.8,21,-6.2299117,106.7789302,"jl. kebayoran lama raya rt 04/10 no 26 kebayoran lama jakarta selatan, rt.3/rw.11, grogol sel., kota jakarta selatan",ChIJpfYsmiXxaS4RDQajfPs9du4,0
warteg berkah merintis tanpa batas,4.4,11,-6.225582999999999,106.7798811,"jl. limo no.10, rt.1/rw.10, grogol sel., kota jakarta selatan",ChIJcRWrjC7xaS4RmkS4xghmzsU,0
warteg aneka pepea,0,0,-6.225209,106.7745769,"jl. assirot no.5, rt.5/rw.1, grogol sel., kota jakarta selatan",ChIJa4Qi-d_xaS4RRVRPQCo_tbY,0
warteg gandasari,4.4,18,-6.2257807,106.7809555,"jl. limo no.22, rt.1/rw.2, grogol utara, kota jakarta selatan",ChIJIakoSC7xaS4R6oSAffpFsA0,0
warteg papa mewek,4.7,7,-6.2290866,106.7789608,"jl. raya kby. lama no.19, rt.4/rw.10, grogol sel., kota jakarta selatan",ChIJuyherAnxaS4R2jnK4dzWD_g,0
warteg surya kencana,4.4,101,-6.230512000000001,106.7718359,"jl. panjang cidodol no.15, rt.5/rw.13, grogol sel., kota jakarta selatan",ChIJNV_HlCfxaS4R0jAyY7YYX74,0
warteg nabilah,4.2,36,-6.226505299999999,106.7689875,"jl. persatuan no.24a, rt.1/rw.7, grogol sel., kota jakarta selatan",ChIJu9zJS9bwaS4R3BhFKXsYi58,0
warteg barokah pak rohkmani,0,0,-6.2264412,106.7697695,"jl. persatuan no.1, rt.1/rw.4, grogol sel., kota jakarta selatan",ChIJQ0TdC6LxaS4R6Uu_y40Y_ts,0
warteg ibu murni,0,0,-6.2188938,106.7718587,"qqjc+cpx, rt.11/rw.3, south sukabumi, west jakarta city",ChIJb3pwS9X2aS4RhVWXGe6TWfg,0
warteg 09,0,0,-6.229817499999999,106.7797899,"jl. raya kby. lama no.18cd, rt.4/rw.10, grogol sel., kota jakarta selatan",ChIJr0jAdiXxaS4R7QICv73mH0o,0
warteg saleh jaya,4.6,21,-6.244921,106.810186,"jalan petogogan ii no.30p, pulo, rt.9/rw.5, petogogan, kota jakarta selatan",ChIJeVL2pHTxaS4RiuAtQ7S6Qkg,0
warteg gaspoll,4.6,37,-6.23992,106.811888,"santa modern market, lantai 2 no. 171-172, rt.5/rw.4, petogogan, kota jakarta selatan",ChIJox4BmHnxaS4R391rlmpggsA,0
warteg bahari,4.3,8,-6.243084899999999,106.8036004,"rt.5/rw.2, melawai, kota jakarta selatan",ChIJnR10wNHxaS4RW1jJIolVFBg,0
warteg bu isah,5,5,-6.2494852,106.8126353,"qr27+632, rt.8/rw.7, pela mampang, south jakarta city",ChIJ4yuXZwXxaS4RLlaHvd1i6qk,0
warteg sari rasa bahari,4.8,4,-6.241202700000001,106.8086271,"15, rt.15/rw.6, petogogan, kota jakarta selatan",ChIJfcQt7GfxaS4RQPODRu1FWH8,0
warteg xii - kemang,4.1,35,-6.2489796,106.8145839,"8, jl. bangka raya no.28, rt.8/rw.11, pela mampang, kota jakarta selatan",ChIJD30qgOHxaS4R4K_8470O7U8,0
warteg bazaar,4.6,66,-6.246372,106.8154781,"jl. bangka raya no36b.rt.14, rt.14/rw.3, pela mampang, kota jakarta selatan",ChIJY5OIUGLxaS4RnR318NF3PAM,0
warteg xii mutiara bahari,4.8,6,-6.2456644,106.8155586,"rt.1/rw.11, pela mampang, kota jakarta selatan",ChIJ-1nXV2LxaS4RZv5LRU6mKHY,0
warteg indah jaya,5,2,-6.241308699999999,106.8084911,"jl. cililin no.12a, rt.15/rw.6, petogogan, kota jakarta selatan",ChIJOQgwUWbxaS4RlO0bjH5s4kA,0
warteg ortega,4.7,34,-6.241776,106.8144211,"jl. wijaya timur vi no.rt.10, rt.12/rw.2, petogogan, kota jakarta selatan",ChIJp2DKaGHxaS4R5EuRKWHcAKc,0
warteg sederhana,4.7,11,-6.248002,106.816425,"5 no, jl. bangka no.13, rt.10/rw.3, pela mampang, dki jakarta",ChIJw3WatWLxaS4RRAE587JshQE,0
warteg 12,0,0,-6.2456501,106.8154862,"gg. amal iv no.2, rt.1/rw.11, pela mampang, kota jakarta selatan",ChIJKZzQV2LxaS4RN0Z4QmRSX78,0
warteg mba heni,0,0,-6.2479644,106.814785,"jl. bangka blok satria no.53, rt.7/rw.11, pela mampang, kota jakarta selatan",ChIJ0VRg1HzxaS4RipjLqhJP1tw,0
warteg rasa mala,5,1,-6.2455679,106.8154712,"jl. bangka raya, rt.13/rw.5, pela mampang, kota jakarta selatan",ChIJ87qxV2LxaS4Rrl32hHhEEiw,0
warteg sajny,0,0,-6.241383,106.805117,"rt3, jl. tirtayasa v no.5, rt.3/rw.2, melawai, kota jakarta selatan",ChIJezPy70LxaS4RpgoJ3loY8JY,0
warteg 88a jaya,4,13,-6.238967,106.813477,"rt.1/rw.4, petogogan, south jakarta city",ChIJ-VtAlWDxaS4Rufkfpv684fU,0
warteg cipta rasa bangka,4.1,144,-6.250092,106.811744,"jl. bank v blok a no.3, rt.8/rw.7, pela mampang, kota jakarta selatan",ChIJX_GQY3vxaS4R14TDVsZMDtc,0
warteg idola,4.5,86,-6.2493022,106.7837738,"jl. bungur ii, rt.4/rw.2, kby. lama sel., dki jakarta",ChIJ75L4HhDxaS4RgYOwHHC9nog,0
warteg kharisma bahari - kostrad,4.5,19,-6.2533197,106.7852406,"jl. darma putra raya jl. swadaya no.51, rt.9/rw.5, kby. lama sel., kota jakarta selatan",ChIJ78_ZKA_xaS4RjhU79awBWnI,0
warteg barokah,4.8,4,-6.247303899999999,106.7797712,"jl. bungur, rt.4/rw.1, kby. lama utara, kota jakarta selatan",ChIJwahg_BrxaS4RNRojSe6S7EQ,0
wahyoo warteg mekarsari,4.5,79,-6.2522474,106.7833053,"dalam k nomor, jl. praja no.40, rt.7/rw.5, kby. lama sel., kota jakarta selatan",ChIJNS1Wdg_xaS4RQUMIMTYVufw,0
