nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg nojo jaya,4.1,130,-6.2369222,106.8169473,"jl. rengas 3 no.1, rt.7/rw.2, rw. bar., kota jakarta selatan",ChIJe36y7V_xaS4Rg4XGMfLfIX0,0
warteg bahari jaya,0,0,-6.2390041,106.8188734,"jl. kapten tendean, rt.6/rw.5, kuningan bar., kota jakarta selatan",ChIJ-RZCiKvzaS4RtAav75WND64,0
warteg jaya bahari,4.6,5,-6.241229,106.8177995,"jl. bangka raya no.10, rt.2/rw.1, pela mampang, kota jakarta selatan",ChIJVYhx2GHxaS4R8ZbmSUf-62k,0
warteg bahari 234,0,0,-6.2393939,106.8182932,"jl. kapten tendean no.4, rt.1/rw.1, pela mampang, kota jakarta selatan",ChIJE-dnjN_zaS4RunDaLwj6xZ0,0
warteg jaya,3,1,-6.237504,106.814933,"#, jl. birah ii no.4, rt.6/rw.6, rw. bar., kota jakarta selatan",ChIJy_TP0l_xaS4RN33VNof7puc,0
warteg gaspoll,4.6,37,-6.23992,106.811888,"santa modern market, lantai 2 no. 171-172, rt.5/rw.4, petogogan, kota jakarta selatan",ChIJox4BmHnxaS4R391rlmpggsA,0
warteg kowantara jaksel,5,1,-6.241513299999999,106.8177321,"jl. bangka raya no.1, rt.2/rw.5, pela mampang, kota jakarta selatan",ChIJz4Xl2GHxaS4RmiyEQ3wPx7U,0
warteg aka jaya,5,3,-6.240929899999999,106.8179024,"jl. bangka raya no.10a, rt.2/rw.5, pela mampang, kota jakarta selatan",ChIJKVUSgyXxaS4RzwvA9q0q4G4,0
warteg barokah,4.1,8,-6.241329299999999,106.8188167,"jl. bangka i no.18, rt.11/rw.1, bangka, kota jakarta selatan",ChIJH0vobt_zaS4RANlPoWH6NOU,0
warteg anindya,4.7,3,-6.2409514,106.8211758,"jl. pd. karya, rt.2/rw.9, pela mampang, kota jakarta selatan",ChIJ7caTMqbzaS4RK-zKmDq8XSk,0
