nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg zahra,4.2,17,-6.2524679,106.7945975,"jl. petogogan i no.20a, rt.1/rw.11, gandaria utara, kota jakarta selatan",ChIJkTt21XLxaS4RJPViggvKqAg,0
warteg kharisma bahari,4.4,206,-6.2582684,106.7932268,"jl. karya utama no.6, gandaria utara, kota jakarta selatan",ChIJx1eskX_xaS4R07OKpVGmurM,0
warteg putra bahari,4.7,6,-6.254445599999999,106.7951869,"jl. petogogan ii no.30a, rt.9/rw.5, pulo, kota jakarta selatan",ChIJe2cWC9bxaS4RVkwIlFDegZI,0
warteg berkah mak rawi,4.5,4,-6.2557886,106.799985,"jl. darmawangsa ii no.27, rt.7/rw.1, pulo, kota jakarta selatan",ChIJd45hDDLxaS4RpxzkcBGMgDs,0
warteg citrajaya bahari,4.1,12,-6.259934500000001,106.7962051,"jl. gotong royong i no.1, rt.4/rw.6, gandaria utara, kota jakarta selatan",ChIJ9fn8wp_xaS4Rnr_xEDKeXI0,0
warteg mak toing,0,0,-6.2496961,106.7940004,"jl. percetakan i, rt.5/rw.4, kramat pela, kota jakarta selatan",ChIJ0c6CrJnxaS4Rp0oJxZJZ1rM,0
warteg selera,4.6,13,-6.260402999999999,106.7970268,"jl. rs. fatmawati raya no.1, rt.2/rw.1, cipete utara, kota jakarta selatan",ChIJzRY0eXXxaS4RDvXmGhnQD4Y,0
warteg kharisma bahari 16,4.5,16,-6.260229799999999,106.7909705,"cilandak, jl. h. salim 1 no.3, rt.8/rw.10, gandaria utara, dki jakarta",ChIJDdcAxKDxaS4R_DT2xRvkiFk,0
warteg selera,4,1,-6.2610981,106.7910983,"jl. hidup baru no.30, rt.12/rw.3, gandaria utara, kota jakarta selatan",ChIJ1ZlaW6DxaS4Ro0zW8V-AUa0,0
warteg rahayu,0,0,-6.260065699999999,106.800691,"jl. damai raya no.20, rt.1/rw.2, cipete utara, kota jakarta selatan",ChIJv4vg6J3xaS4RatIsR5-Eu4w,0
teguh warteg,5,3,-6.2584871,106.7912614,"jl. h. jaenudin dalam no.61, rt.2/rw.14, gandaria utara, kota jakarta selatan",ChIJyeSTNwrxaS4Rxa1sJeY4kSc,0
warteg pak slamet,5,1,-6.2515429,106.7947776,"jl. petogogan i no.27, rt.1/rw.11, gandaria utara, kota jakarta selatan",ChIJ9_tQ0gPxaS4RjiizpfON02M,0
warteg mubarok,4.3,11,-6.2499981,106.7900569,"jl. antena ii no.17, rt.3/rw.8, kramat pela, kota jakarta selatan",ChIJMRQqlw3xaS4RAbC3wsz1ewQ,0
warteg 91,4.4,13,-6.256800699999999,106.7948087,"jl. ketimun iii no.8, rw.5, gandaria utara, kota jakarta selatan",ChIJtSJyIXXxaS4RpCSdfjTF6KY,0
warteg citra jaya bahari 24 jam,4.9,7,-6.259878,106.795719,"jl. gotong royong, rt.4/rw.6, gandaria utara, kota jakarta selatan",ChIJj3GRO8DxaS4RJW_37-8rV88,0
warteg pak agus,0,0,-6.253117,106.7911937,"jl. radio dalam raya no.12b, rt.1/rw.9, gandaria utara, kota jakarta selatan",ChIJ804ofQzxaS4R2YFwpV_l1cU,0
warteg moro seneng,4.6,16,-6.2564479,106.7960841,"jl. kubis ii no.153, rt.1/rw.6, pulo, kota jakarta selatan",ChIJG2Uk4nTxaS4Rt1OzMCP4liU,0
warteg kharisma bahari 24,4.6,57,-6.260949399999999,106.796151,"jl. hidup baru, rt.9/rw.6, gandaria utara, kota jakarta selatan",ChIJuQHgkZ_xaS4RhJK7eLjYLoE,0
warteg m j,4.4,15,-6.260880299999999,106.7888184,"jl. radio dalam raya no.88, rt.3/rw.11, gandaria utara, kota jakarta selatan",ChIJHQ3F06DxaS4R5gBp0MQxEnw,0
wahyoo warteg kharisma bahari,5,1,-6.2602689,106.8011275,"jl. damai iv no.5, rt.1/rw.2, cipete utara, kota jakarta selatan",ChIJrwCBZ73xaS4RQeOSCrJbuHM,0
warteg ceria gotong royong,5,1,-6.259770199999999,106.7958452,"4, jl. gotong royong no.8, rt.4/rw.6, gandaria utara, kota jakarta selatan",ChIJMdAUoRzxaS4RguBqpjzrBuI,0
warung campur sari,0,0,-6.2548023,106.8007406,"jl. darmawangsa raya no.18 a, rt.1/rw.1, pulo, kota jakarta selatan",ChIJdcblonbxaS4R4t3FUi6i6V4,0
wahyoo warteg sederhana,4.4,16,-6.2579637,106.7897662,"jl. minang kramat no.1b, rt.2/rw.14, gandaria utara, kota jakarta selatan",ChIJzzW9PwrxaS4RdKXd702mxKs,0
warteg rezkq,5,2,-6.258972,106.7896343,"jl. h. zainuddin no.27-7, rt.5/rw.14, gandaria utara, kota jakarta selatan",ChIJE_-oVybxaS4R2kNkeOhgJiU,0
warteg kharisma bahari,4.4,11,-6.256469,106.80047,"jl. darmawangsa xi no.3, rt.7/rw.1, pulo, kota jakarta selatan",ChIJvVvJf3bxaS4RmQewvnvjqZg,0
warteg bmw / warteg bude,5,1,-6.2604264,106.8010327,"jalan damai iv no.4 rt.004/rw.05, rt.4/rw.2, cipete utara, kota jakarta selatan",ChIJMaAOw53xaS4RW4U7eBhxMd0,0
warteg putra bahari,5,1,-6.2227801,106.8323515,"jl. menteng atas barat, rt.16/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJVVi88qfzaS4Rkk8n8QeYzMk,0
warteg putri,4.5,105,-6.223198,106.828236,"jalan asem 4, rt.14/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJ6xUMFvrzaS4RaCeYKqPzOHY,0
warteg ibu nur,5,1,-6.2217946,106.8302986,"no., jl. pedurenan mesjid 1 no.22, rt.16/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJW8HBUffzaS4Rwmp3Vi3ULJo,0
warteg mekarjaya,4.4,53,-6.221789999999999,106.825715,"jl. pedurenan masjid iii no.4, rt.3/rw.6, kuningan, kota jakarta selatan",ChIJ0ZdzeYjzaS4RgKW6JmNNDHQ,0
warteg ahai jaya,4.7,43,-6.217871,106.82706,"jl anggrek 5 rt 14/rw 07 kel, 7 no.16, rt.16/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJpRu8ZPjzaS4RZOc8Q7r-8KU,0
warteg mekar jaya,4.4,18,-6.2217954,106.8257664,"jl. karet pedurenan no.52 4, rt.4/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJ3-tla_nzaS4R7BfOt7mwEEY,0
warteg dua saudara,4.5,13,-6.221017,106.827992,"jl pedurenan masjid raya rt 06/rw 07 kel, rt.6/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJK2uIlfnzaS4R2w2xmEMl-Sk,0
warteg kowantara jaksel,0,0,-6.2223742,106.8298821,"jl. pedurenan masjid 5 no.2, rt.5/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJH26nq_DzaS4RiAjy8L6LhL8,0
warteg pandan wangi,2.5,2,-6.219761,106.826687,"jl. peduranan masjid 2 kelurahan karet kuningan kecamatan setiabudi, dki jakarta",ChIJFwAAAPnzaS4Rf6j2RPhx2BI,0
warteg kharisma bahari (wkb) ambassador 3,4.8,9,-6.2224999,106.8297564,"15, jl. pedurenan masjid 5 no.85, rt.15/rw.4, kuningan, karet kuningan, south jakarta city",ChIJ0_E80hLzaS4Rvv6Iuif0tqM,0
warteg barokah,4.6,5,-6.216711999999999,106.827459,"jl. karet belakang barat no.3 no 20, rt.19/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJf7Ge7R71aS4RXUK_OuZXQK4,0
warteg kharisma bahari - ambassador,4.7,10,-6.2239,106.828183,"jl. pedurenan masjid iii no.58, rt.11/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJVeUhTvzzaS4R6VoBqCD8XYU,0
warteg angga,4.5,6,-6.218191999999999,106.825028,"jl. anggrek ii no.1, rt.6/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJNzvBuQ_zaS4RI1wu09h_5LA,0
"warteg kharisma bahari, pedurenan masjid 4",4.5,10,-6.223478399999999,106.8289488,"no.8, jl. pedurenan masjid iv, rt.14/rw.4, kuningan, kuningan, rt14, south jakarta city",ChIJPe6FMHbzaS4RWu9fd28z4DM,0
warteg bu ning 2,5,1,-6.2232767,106.8275775,"jl. pedurenan masjid iii no.37, rt.11/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJIYNmfHnzaS4Ri5FhVi8ug3w,0
warteg putri,4.5,17,-6.219725299999999,106.8244858,"jl. h. sidik no.30, rt.6/rw.6, kuningan, karet kuningan, kota jakarta selatan",ChIJObivLHDzaS4Rrutp4VQq0M8,0
warteg koboy,5,1,-6.221027599999999,106.8275487,"jl. karet pedurenan, rt.6/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJs3rZl_nzaS4RYpvqvPpgtHA,0
warteg endang pojok,0,0,-6.2227286,106.8258831,"jakarta, mal ambassador, jl. prof. dr. satrio no.05, rt.11/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJpSfgRRnzaS4RlIze3u6xY18,0
warteg bahari ibu bella,5,1,-6.2213802,106.8303001,"jl. pedurenan mesjid 1 rt.5/rw.4, rt.16/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJHWfSox3zaS4RGDSykvfmrSU,0
warteg jayabahari,4.4,104,-6.257952599999999,106.8233462,"jl. kemang utara no.55, rt.2/rw.4, bangka, kota jakarta selatan",ChIJp9qMq9TzaS4R3a846-2OsiY,0
warteg bahari,4.1,17,-6.2580227,106.8280144,"jl. warung buncit raya no.36, rt.1/rw.2, duren tiga, kota jakarta selatan",ChIJS-zbdi3yaS4RocYBNmpdJpw,0
warteg idola,3.5,4,-6.253014599999999,106.8254423,"prwg+q5w, rt.1/rw.6, duren tiga, south jakarta city",ChIJT_bXYdHzaS4R27unIxkFFeE,0
warteg slawi ayu,4.1,12,-6.251524300000001,106.8236075,"jl. bangka ix no.49, rt.8/rw.10, pela mampang, kota jakarta selatan",ChIJEfkqNdHzaS4R34pjpXPkJo0,0
