nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg moro seneng,0.0,0,-6.2518919,106.82123829999999,"jl. bangka ix no.62, rt.7/rw.10, pela mampang, kota jakarta selatan",ChIJ1bW1jNbzaS4Rc2yrYvDyUL8,0.03418190000000276
warteg ibu tuti.,4.7,3,-6.218992500000001,106.7932781,"jl. patal senayan iii no.1, rt.1/rw.7, grogol utara, kota jakarta selatan",ChIJKf2HWpDxaS4R0Vgz8qucB6o,0.026677700000007576
aneka warteg sih bendul,0.0,0,-6.2390959000000015,106.7850065,"jl. kebayoran baru, rt.4/rw.7, kby. lama utara, kota jakarta selatan",ChIJcV101hfxaS4Rdi_NAY9SheM,0.021319500000008595
warteg kuning,0.0,0,-6.222511799999999,106.82105359999998,"jl. guru mughni no.170, rt.17/rw.4, kuningan, kota jakarta selatan",ChIJm7SIm9rzaS4RD6J-kdEZLE4,0.0
warteg biru,0.0,0,-6.217992,106.820167,"gedung ciputra world 1 di besment 1, jl. prof. dr. satrio, rt.2/rw.1, kuningan, karet kuningan, kota jakarta selatan",ChIJFwAAAPnzaS4RhbTUPjLJLuA,0.0
warteg kharisma bahari wkb satrio,0.0,0,-6.2168508000000005,106.8192152,"jl. prof. dr. satrio, rt.3/rw.4, kuningan, karet semanggi, kota jakarta selatan",ChIJgaAiGMD1aS4RVt0O5pU5W-4,0.0
warteg maju jaya,0.0,0,-6.2166324,106.82336219999999,"jalan anggrek1 no 21rt 06 rw 01, rt.10/rw.1, kuningan, karet kuningan, kota jakarta selatan",ChIJKfwGGK71aS4RcAbP_35Ijbo,0.0
warteg ibu putri,4.9,9,-6.2205251,106.825301,"jl. karet pedurenan no.3, rt.3/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJIc9nSPnzaS4RXfpEBvUpS5g,0.0
warteg jawa,0.0,0,-6.2185752,106.8226446,"jl. tiong no.23, rt.7/rw.6, kuningan, rt.7/rw.6, kuningan, karet kuningan, kota jakarta selatan",ChIJUe40nbbzaS4Rt7J24pAdy1s,0.0
warteg pak de barokah,5.0,1,-6.2479881000000015,106.817205,"jl. bangka v no.8, rw.3, pela, kota jakarta selatan",ChIJl1sVkb_xaS4RtwInqlsLoEg,0.0
warteg,0.0,0,-6.246746099999998,106.82750949999999,"jl. mampang prapatan vi no.17, rt.1/rw.2, tegal parang, kota jakarta selatan",ChIJVaD0kdrzaS4RP4rsT6OP0_g,0.0
warteg abil jaya,4.3,36,-6.251912799999999,106.8179044,"jl. bangka ix, rt.3/rw.12, pela mampang, kota jakarta selatan",ChIJbWYTINbzaS4R30dW265Wz7s,0.0
warteg kumis slawi ayu,0.0,0,-6.2518867999999985,106.8188966,"jalan bangka ix 12 5, rt.5/rw.10, pela mampang, kota jakarta selatan",ChIJSfSIvyfzaS4Rj-yO_4G9VdE,0.0
warteg mandiraja,0.0,0,-6.250349900000001,106.8185938,"jl. bangka viiic no.73, rt.4/rw.12, pela mampang, kota jakarta selatan",ChIJeUMBztfzaS4ROCXky0C7azU,0.0
warteg jbu anggun,0.0,0,-6.251529499999998,106.82480100000001,"jl. mampang prapatan xiii no.3, rt.3/rw.6, tegal parang, kota jakarta selatan",ChIJnXiKFdHzaS4R-aBMuJUFuqM,0.0
warteg kharisma bahari,4.0,4,-6.2203588,106.7816176,"jl. panjang no.8, rt.7/rw.10, grogol utara, kota jakarta selatan",ChIJTSdrby3xaS4Ry8UPA0jQ4fk,0.02570729999999433
warteg agung gandaria,4.5,562,-6.2448571,106.78908419999999,"jl. gandaria tengah ii no.30, rt.12/rw.1, kramat pela, kota jakarta selatan",ChIJ2ciJ5RPxaS4RKetFCdhKdnY,0.013620799999992885
warteg agung jaya,4.9,7,-6.2279684999999985,106.786927,"jalan rawa simprug iii rt 006 rw 005 # 12 grogol selatan, rt.5/rw.5, grogol sel., dki jakarta",ChIJ3USPoTDxaS4RJNNLe1oEBhk,0.012788199999993031
warteg salma,4.7,3,-6.2370510999999995,106.78298079999999,"jalan mangga tengah, rt.08/rw.3, rt.3/rw.1, cipulir, kota jakarta selatan",ChIJlfWCufHxaS4RRaoFVqaQjGo,0.011918199999993995
warteg barokah,5.0,1,-6.2392066,106.79492900000001,"qq6v+8x7, rt.4/rw.8, gunung, south jakarta city",ChIJm_ImOgHxaS4R7Yzb2V0VK7k,0.0064518999999982896
warteg bahari - base camp ojol lobby selatan jkt,4.7,17,-6.228161999999998,106.79496999999999,"jl. simprug golf 2 no.132, rt.10/rw.8, grogol sel., kota jakarta selatan",ChIJR0oTpNvxaS4R-BZLVedKTdM,0.008960100000009241
warteg (wahyoo) enno,5.0,4,-6.2498542,106.7915148,"jl. radio dalam raya no.2, rt.14/rw.2, gandaria utara, kota jakarta selatan",ChIJn2kcbrrxaS4RrbmUrkJi46s,0.016187299999995908
warteg soimah,2.5,2,-6.2279767999999995,106.79373159999999,"jl. simprug golf 2, rt.9/rw.8, grogol sel., kota jakarta selatan",ChIJJenUhTLxaS4R-Nqjur3btC0,0.007906900000002716
warteg kharisma bahari,4.0,4,-6.2323856,106.7908186,"jl. martimbang raya no.25, rt.1/rw.5, gunung, kota jakarta selatan",ChIJi3-XGDnxaS4R0Sx3S7XspJ0,0.0044795000000039656
warteg raji,5.0,1,-6.2403518,106.7832983,"jl. sultan iskandar muda no.4, rt.4/rw.2, kby. lama utara, kota jakarta selatan",ChIJ2REnAdzxaS4RLlNuk6BRH8M,0.014901399999999397
warteg permata,0.0,0,-6.240144099999998,106.78057350000002,"pasar kebayoran lama, jl. ciputat raya, rt.3/rw.1, cipulir, kota jakarta selatan",ChIJpbpQaRjxaS4Rt574k3xGfgw,0.017418499999994452
warteg ainun jaya 1 - tanah kusir,4.3,17,-6.254917900000001,106.77765990000002,"jl. ciputat raya jl. tanah kusir no.47, rt.13/rw.1, kby. lama sel., kota jakarta selatan",ChIJFdYstSrxaS4RDR2FalWmrFE,0.0
warteg kowantara banten,4.0,2,-6.2580538,106.77740590000002,"jl. ciputat raya, rt.4/rw.10, kby. lama sel., kota jakarta selatan",ChIJiQc7OgfxaS4RjV7EuovH5dI,0.0
warteg abdul,0.0,0,-6.257321599999999,106.77549540000001,"jl. ismail blok ismail 4 no.25, rt.9/rw.10, kby. lama sel., kota jakarta selatan",ChIJy8jBfDfxaS4Rf83dogM-Kno,0.0
warteg lestari 2,5.0,1,-6.2262694000000005,106.77115159999998,"jalan h thohir rt 02 rw 04 no 51a kebon jeruk, rt.2/rw.4, sukabumi sel., dki jakarta",ChIJrY7Y4SnxaS4RwhUNDhDO_nw,0.0
warteg nabilah,4.2,36,-6.226505299999999,106.7689875,"jl. persatuan no.24a, rt.1/rw.7, grogol sel., kota jakarta selatan",ChIJu9zJS9bwaS4R3BhFKXsYi58,0.0
warteg barokah pak rohkmani,0.0,0,-6.2264412,106.76976950000001,"jl. persatuan no.1, rt.1/rw.4, grogol sel., kota jakarta selatan",ChIJQ0TdC6LxaS4R6Uu_y40Y_ts,0.0
warteg ibu murni,0.0,0,-6.218893799999999,106.77185870000001,"qqjc+cpx, rt.11/rw.3, south sukabumi, west jakarta city",ChIJb3pwS9X2aS4RhVWXGe6TWfg,0.0
warteg bu isah,5.0,5,-6.2494852,106.81263529999998,"qr27+632, rt.8/rw.7, pela mampang, south jakarta city",ChIJ4yuXZwXxaS4RLlaHvd1i6qk,0.0
warteg xii - kemang,4.1,35,-6.248979599999999,106.81458390000002,"8, jl. bangka raya no.28, rt.8/rw.11, pela mampang, kota jakarta selatan",ChIJD30qgOHxaS4R4K_8470O7U8,0.0
warteg bazaar,4.6,66,-6.246372,106.81547809999999,"jl. bangka raya no36b.rt.14, rt.14/rw.3, pela mampang, kota jakarta selatan",ChIJY5OIUGLxaS4RnR318NF3PAM,0.0
warteg mba heni,0.0,0,-6.2479644,106.81478500000001,"jl. bangka blok satria no.53, rt.7/rw.11, pela mampang, kota jakarta selatan",ChIJ0VRg1HzxaS4RipjLqhJP1tw,0.0
warteg rasa mala,5.0,1,-6.2455679,106.8154712,"jl. bangka raya, rt.13/rw.5, pela mampang, kota jakarta selatan",ChIJ87qxV2LxaS4Rrl32hHhEEiw,0.0
warteg cipta rasa bangka,4.1,144,-6.2500919999999995,106.81174399999999,"jl. bank v blok a no.3, rt.8/rw.7, pela mampang, kota jakarta selatan",ChIJX_GQY3vxaS4R14TDVsZMDtc,0.0
warteg bahari,5.0,1,-6.2474397,106.7788875,"jl. ciputat raya no.321, rt.4/rw.1, kby. lama utara, kota jakarta selatan",ChIJVbkZBRvxaS4RUROZvIFxQRw,0.0
wahyoo warteg dua saudara ii,4.5,10,-6.251043,106.783584,"jl. praja dalam k no.2b, rt.10/rw.12, kby. lama sel., kota jakarta selatan",ChIJtyH4w9vxaS4Ry-xZbL2BD0o,0.0
warteg ana,5.0,3,-6.2488310999999985,106.78436210000001,"jalan bungur ii rw003, rt.4/rw.12, kby. lama sel., kec. kby. lama, kota jakarta selatan, dki jakarta12240, rt.5/rw.2, kby. lama sel., kota jakarta selatan",ChIJLdK__YTxaS4RnAEzfcP6EOg,0.0
