nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg ibu mukrim,4.4,9,-6.2294415,106.8078555,"jalan tebet barat raya no 71 a rt 15 rw 01, gang keamanan no.2, rt.7/rw.3, senayan, dki jakarta",ChIJtTxgoVrxaS4RIcILCJ94784,0.02056610000000436
warteg bahari,4.3,8,-6.243084899999999,106.8036004,"rt.5/rw.2, melawai, kota jakarta selatan",ChIJnR10wNHxaS4RW1jJIolVFBg,0.019001599999993957
warteg saleh jaya,4.6,21,-6.244921,106.810186,"jalan petogogan ii no.30p, pulo, rt.9/rw.5, petogogan, kota jakarta selatan",ChIJeVL2pHTxaS4RiuAtQ7S6Qkg,0.02742330000000326
warteg barokah,4.8,4,-6.247303899999999,106.7797712,"jl. bungur, rt.4/rw.1, kby. lama utara, kota jakarta selatan",ChIJwahg_BrxaS4RNRojSe6S7EQ,0.025380599999997422
warteg kharisma bahari,4.2,156,-6.2443246,106.7805457,"warteg kharisma bahari 18 jl.ciputat raya no.30 rt.03 rw.07, rt.3/rw.4, kby. lama utara, kota jakarta selatan",ChIJA4lMQyzxaS4RpfbgphsypcQ,0.02162679999999284
warteg nojo jaya ciragil,4.2,113,-6.2374415,106.8093958,"jl. cikatomas no.12, rt.5/rw.1, rw. bar., kota jakarta selatan",ChIJSfF6m13xaS4RA4-iuuueqIg,0.01915360000000632
warteg bahari,3.4,5,-6.230443999999999,106.785361,"jl. rawa simprug ix b no.7, rt.6/rw.9, grogol sel., kota jakarta selatan",ChIJPyls_jrxaS4RmyaV7fGd8Cw,0.011878700000004017
warteg barokah,5,2,-6.2362479,106.783932,"jl. nasional 12, rt.5/rw.1, kby. lama utara, kota jakarta selatan",ChIJm92c4DzxaS4R3xzQMk6XG4o,0.010163800000005274
warteg zahra,4.2,17,-6.2524679,106.7945975,"jl. petogogan i no.20a, rt.1/rw.11, gandaria utara, kota jakarta selatan",ChIJkTt21XLxaS4RJPViggvKqAg,0.019381699999996727
warteg,5,2,-6.2369629,106.7751159,"qq7g+629, rt.2/rw.4, cipulir, south jakarta city",ChIJqVE2hLrxaS4Ra8uSgAFfTts,0.019694899999994853
warteg sederhana,5,1,-6.2290871,106.7789612,"jl. raya kby. lama no.19, rt.4/rw.10, grogol sel., kota jakarta selatan",ChIJK7bBfkvxaS4RSj8BA7bN760,0.019635400000000303
