nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg ibu mukrim,4.4,9,-6.2294415,106.8078555,"jalan tebet barat raya no 71 a rt 15 rw 01, gang keamanan no.2, rt.7/rw.3, senayan, dki jakarta",ChIJtTxgoVrxaS4RIcILCJ94784,0.030788700000004
warteg bahari,4.3,8,-6.243084899999999,106.8036004,"rt.5/rw.2, melawai, kota jakarta selatan",ChIJnR10wNHxaS4RW1jJIolVFBg,0.012890199999996632
warteg saleh jaya,4.6,21,-6.244921,106.810186,"jalan petogogan ii no.30p, pulo, rt.9/rw.5, petogogan, kota jakarta selatan",ChIJeVL2pHTxaS4RiuAtQ7S6Qkg,0.0176397000000037
warteg bu turah,4.4,31,-6.2613799,106.802347,"jakarta selatan, rt.6/rw.2, cipete utara, kota jakarta selatan",ChIJIwFTrZ3xaS4R8yZkk2Jr6pU,0.025820599999999416
warteg barokah,4.8,4,-6.247303899999999,106.7797712,"jl. bungur, rt.4/rw.1, kby. lama utara, kota jakarta selatan",ChIJwahg_BrxaS4RNRojSe6S7EQ,0.015157999999997784
warteg barokah,3.8,15,-6.258563,106.802274,"no 18, jalan kirai, rt.10/rw.4, cipete utara, kota jakarta selatan",ChIJK_7-mZ3xaS4RG3fPlGRAtKc,0.02293069999999897
warteg selera,4,1,-6.2610981,106.7910983,"jl. hidup baru no.30, rt.12/rw.3, gandaria utara, kota jakarta selatan",ChIJ1ZlaW6DxaS4Ro0zW8V-AUa0,0.017625099999996507
warteg nojo jaya ciragil,4.2,113,-6.2374415,106.8093958,"jl. cikatomas no.12, rt.5/rw.1, rw. bar., kota jakarta selatan",ChIJSfF6m13xaS4RA4-iuuueqIg,0.02432900000000604
warteg kharisma bahari,4.2,156,-6.2443246,106.7805457,"warteg kharisma bahari 18 jl.ciputat raya no.30 rt.03 rw.07, rt.3/rw.4, kby. lama utara, kota jakarta selatan",ChIJA4lMQyzxaS4RpfbgphsypcQ,0.013035999999993386
warteg bahari,3.4,5,-6.230443999999999,106.785361,"jl. rawa simprug ix b no.7, rt.6/rw.9, grogol sel., kota jakarta selatan",ChIJPyls_jrxaS4RmyaV7fGd8Cw,0.022101300000003654
warteg zahra,4.2,17,-6.2524679,106.7945975,"jl. petogogan i no.20a, rt.1/rw.11, gandaria utara, kota jakarta selatan",ChIJkTt21XLxaS4RJPViggvKqAg,0.009159099999997089
warteg citrajaya bahari,4.1,12,-6.259934500000001,106.7962051,"jl. gotong royong i no.1, rt.4/rw.6, gandaria utara, kota jakarta selatan",ChIJ9fn8wp_xaS4Rnr_xEDKeXI0,0.018233299999997676
warteg barokah,5,2,-6.2362479,106.783932,"jl. nasional 12, rt.5/rw.1, kby. lama utara, kota jakarta selatan",ChIJm92c4DzxaS4R3xzQMk6XG4o,0.01772640000000436
warteg selera,4.6,13,-6.260402999999999,106.7970268,"jl. rs. fatmawati raya no.1, rt.2/rw.1, cipete utara, kota jakarta selatan",ChIJzRY0eXXxaS4RDvXmGhnQD4Y,0.01952349999999914
warteg citra bahari,3.6,10,-6.253381,106.77607,"jalan bintaro raya tanah kusir, rt.2/rw.10, kebayoran lama selatan, kebayoran lama, rt.11/rw.10, kby. lama sel., kota jakarta selatan",ChIJo7yAjAPxaS4Rj1TMzLIGzlE,0.024936299999994027
warteg,5,2,-6.2369629,106.7751159,"qq7g+629, rt.2/rw.4, cipulir, south jakarta city",ChIJqVE2hLrxaS4Ra8uSgAFfTts,0.025827499999994785
warteg sederhana,5,1,-6.2290871,106.7789612,"jl. raya kby. lama no.19, rt.4/rw.10, grogol sel., kota jakarta selatan",ChIJK7bBfkvxaS4RSj8BA7bN760,0.02985799999999994
