nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari,4.3,8,-6.243084899999999,106.8036004,"rt.5/rw.2, melawai, kota jakarta selatan",ChIJnR10wNHxaS4RW1jJIolVFBg,0.023272000000000403
warteg nojo jaya,4.5,111,-6.215811599999999,106.8220707,"jl. bek murad no 18 rt 08/rw 01 kel, rt.8/rw.3, kuningan, karet kuningan, kota jakarta selatan",ChIJX1fv6wD0aS4RyuRA7AzPMdU,0.022471600000002923
warteg gaspoll,4.6,37,-6.23992,106.811888,"santa modern market, lantai 2 no. 171-172, rt.5/rw.4, petogogan, kota jakarta selatan",ChIJox4BmHnxaS4R391rlmpggsA,0.014668900000001095
warteg,4.2,10,-6.238093900000001,106.8271921,"jl. gatot subroto no.23, rt.2/rw.2, kuningan bar., kota jakarta selatan",ChIJkX-lW93zaS4R14XAXTz3ayU,0.028146900000010966
warteg nojo jaya,3.5,8,-6.2105606,106.8235463,"jalan raya kelurahan setiabudi no.2, rt.2/rw.2, kuningan, setia budi, kota jakarta selatan",ChIJv9lqjAP0aS4RF_M7KtfPA6Y,0.02919820000000861
warteg putri,4.5,105,-6.223198,106.828236,"jalan asem 4, rt.14/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJ6xUMFvrzaS4RaCeYKqPzOHY,0.02125050000000872
warteg nojo jaya,4.1,130,-6.2369222,106.8169473,"jl. rengas 3 no.1, rt.7/rw.2, rw. bar., kota jakarta selatan",ChIJe36y7V_xaS4Rg4XGMfLfIX0,0.016730400000001033
warteg nojo jaya ciragil,4.2,113,-6.2374415,106.8093958,"jl. cikatomas no.12, rt.5/rw.1, rw. bar., kota jakarta selatan",ChIJSfF6m13xaS4RA4-iuuueqIg,0.011833199999990995
warteg bahari jaya,0,0,-6.2390041,106.8188734,"jl. kapten tendean, rt.6/rw.5, kuningan bar., kota jakarta selatan",ChIJ-RZCiKvzaS4RtAav75WND64,0.020738400000006152
warteg dj,4.6,18,-6.22937,106.821576,"jl. guru mughni no.9, rt.2/rw.5, kuningan, kuningan tim., kota jakarta selatan",ChIJ-zMdEOPzaS4RsP1D_W1cffk,0.013806899999998734
warteg saleh jaya,4.6,21,-6.244921,106.810186,"jalan petogogan ii no.30p, pulo, rt.9/rw.5, petogogan, kota jakarta selatan",ChIJeVL2pHTxaS4RiuAtQ7S6Qkg,0.018522499999993336
warteg kembang,4.1,148,-6.2269406,106.8218963,"jl. guru mughni jl. sd no.21, rt.5/rw.1, kuningan, kuningan tim., kota jakarta selatan",ChIJfeXGxPzzaS4Ra8mJIOI6C5w,0.011697800000010972
