nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg mustika,4.4,29,-6.2700073,106.7971911,"jl. rs. fatmawati raya no.2, rt.1/rw.4, gandaria sel., kota jakarta selatan",ChIJy55LmCHxaS4R_yOLfeYNffA,0
warteg mamoka,4.5,191,-6.2719347,106.7965176,"pqhw+6jc, rt.1/rw.4, south gandaria, south jakarta city",ChIJQ-4iYQ3xaS4ROc90Y7wg3QQ,0
warteg poncol,0,0,-6.2754759,106.7930573,"pqfv+r63, rt.3/rw.7, south gandaria, south jakarta city",ChIJ9XsywdPxaS4RH1wimCW4GR4,0
warteg restu ibu,5,1,-6.270690699999999,106.7972883,"jl. rs. fatmawati raya no.234, rt.1/rw.4, gandaria sel., kota jakarta selatan",ChIJMe6GgpfxaS4RiahGZqvF6BA,0
warteg mekar jaya (wmj),3,2,-6.270124,106.79727,"jl. rs. fatmawati raya no.8-1, rt.1/rw.4, gandaria sel., kota jakarta selatan",ChIJv83Pi4fxaS4R5cjVT7Qyq0U,0
warteg annisa,3.5,2,-6.2705804,106.7962488,"jalan mangga nomor 8d, rt.4/rw.4, gandaria sel., kota jakarta selatan",ChIJ0TDKwGEfai4RQBj94PZtAUw,0
warteg kharisma bahari,5,8,-6.2677365,106.7967421,"jl. madrasah no.1a, rt.3/rw.3, gandaria sel., kota jakarta selatan",ChIJQ4JQ1Q_xaS4R_aKPjG7C_sQ,0
warteg kharisma,4.2,30,-6.270607999999999,106.795715,"samping philips, jl. mangga no.5, rt.5/rw.3, gandaria sel., kota jakarta selatan",ChIJo6qq6pfxaS4Rn4QKuHY7PCU,0
warteg niki 4,4.7,18,-6.274515,106.79789,"jl. rs. fatmawati raya, rt.14/rw.4, cipete sel., kota jakarta selatan",ChIJ3498KJTxaS4RcG5SKCjpSEk,0
warteg rohmadi,0,0,-6.2671835,106.7942559,"jl. komp. depag no.19, rt.7/rw.3, gandaria sel., kota jakarta selatan",ChIJFemleJjxaS4RUI3pXCOhVdM,0
warteg tresna,0,0,-6.270738700000001,106.7968358,"jl. mangga, rt.2/rw.5, gandaria sel., kota jakarta selatan",ChIJGT4IopfxaS4RWmtC2NSnj6k,0
warteg ben jaya,3.5,6,-6.2671015,106.7941082,"jl. madrasah no.4, rt.7/rw.3, gandaria sel., kota jakarta selatan",ChIJ8T2QgaLxaS4Rh4tD2TBG0Us,0
warteg ibu yani,0,0,-6.2730898,106.7976567,"jl. rs. fatmawati raya, rt.2/rw.3, cipete sel., kota jakarta selatan",ChIJdaI185bxaS4RVa0br6_8--s,0
warteg umi kramat batu,0,0,-6.2720225,106.7961226,"jl. kramat batu no.7, rt.3/rw.4, gandaria sel., kota jakarta selatan",ChIJC7-ep67xaS4RZlNrubDgkqo,0
warteg bahari,5,6,-6.278468699999999,106.7932845,"jl. bahari i no.62, rt.10/rw.7, gandaria sel., kota jakarta selatan",ChIJg3ksjvDxaS4R_qssV7JJYx4,0
warteg sederhana pak darto,4.7,9,-6.2743568,106.7970515,"pqgw+7r3, rt.1/rw.5, south gandaria, south jakarta city",ChIJlURQNCnxaS4RPFEumIISvF8,0
warteg pesona maslikha,0,0,-6.2726684,106.7962371,"jl. kramat batu no.22, rt.1/rw.5, gandaria sel., kota jakarta selatan",ChIJeUK-UpbxaS4Rxxcu0VbSLDg,0
warteg dua putri,4.8,5,-6.276285499999999,106.7915426,"jl. poncol no.14, rt.3/rw.7, gandaria sel., kota jakarta selatan",ChIJH0gbjmTxaS4RlFGzY_SiaPY,0
warteg langgeng jaya,5,1,-6.2669321,106.7924537,"jl. madrasah no.20a, rt.7/rw.1, gandaria sel., kota jakarta selatan",ChIJGWGvWKLxaS4RYSs6UNnMZ9I,0
warteg mamoka bahari,4.4,72,-6.266299699999999,106.7898497,"jl. madrasah no.5, rt.6/rw.1, gandaria sel., kota jakarta selatan",ChIJPxS216vxaS4RWxXpeHm7L1A,0
warteg murah meriah,4,5,-6.2668583,106.8019914,"jl. abdul majid raya no.30, rt.11/rw.2, cipete sel., kota jakarta selatan",ChIJYxvXSJrxaS4R-Sgik59q2Nk,0
warteg razahwali,5,1,-6.266779800000001,106.7902251,"jl. madrasah no.61, rt.7/rw.1, gandaria sel., kota jakarta selatan",ChIJ62i3pKPxaS4Rp9W2ID1qeL8,0
wahyoo warteg sasak sanjaya,5,1,-6.268418,106.8022846,"006, jl. sasak no.13, rt.13/rw.5, cipete sel., kota jakarta selatan",ChIJIb1iywnxaS4RZlNSGgR6bio,0
warteg kelapa gading,4.7,11,-6.265407,106.792649,"jl. kelapa gading no.37 a, rt.8/rw.2, gandaria sel., kota jakarta selatan",ChIJ3Rga0n3xaS4Rx4lQI3QkKPo,0
wahyoo warteg yudi,0,0,-6.270960500000001,106.8026062,"004, gg. h. musa buntu no.13, rt.14, rt.14/rw.5, cipete sel., kota jakarta selatan",ChIJv-yLqDvxaS4REWfb5UzVtOA,0
warteg mustika,4.4,29,-6.2700073,106.7971911,"jl. rs. fatmawati raya no.2, rt.1/rw.4, gandaria sel., kota jakarta selatan",ChIJy55LmCHxaS4R_yOLfeYNffA,0
warteg mamoka,4.5,191,-6.2719347,106.7965176,"pqhw+6jc, rt.1/rw.4, south gandaria, south jakarta city",ChIJQ-4iYQ3xaS4ROc90Y7wg3QQ,0
warteg restu ibu,5,1,-6.270690699999999,106.7972883,"jl. rs. fatmawati raya no.234, rt.1/rw.4, gandaria sel., kota jakarta selatan",ChIJMe6GgpfxaS4RiahGZqvF6BA,0
warteg rohmadi,0,0,-6.2671835,106.7942559,"jl. komp. depag no.19, rt.7/rw.3, gandaria sel., kota jakarta selatan",ChIJFemleJjxaS4RUI3pXCOhVdM,0
warteg mekar jaya (wmj),3,2,-6.270124,106.79727,"jl. rs. fatmawati raya no.8-1, rt.1/rw.4, gandaria sel., kota jakarta selatan",ChIJv83Pi4fxaS4R5cjVT7Qyq0U,0
warteg annisa,3.5,2,-6.2705804,106.7962488,"jalan mangga nomor 8d, rt.4/rw.4, gandaria sel., kota jakarta selatan",ChIJ0TDKwGEfai4RQBj94PZtAUw,0
warteg poncol,0,0,-6.2754759,106.7930573,"pqfv+r63, rt.3/rw.7, south gandaria, south jakarta city",ChIJ9XsywdPxaS4RH1wimCW4GR4,0
warteg kharisma bahari,5,8,-6.2677365,106.7967421,"jl. madrasah no.1a, rt.3/rw.3, gandaria sel., kota jakarta selatan",ChIJQ4JQ1Q_xaS4R_aKPjG7C_sQ,0
warteg ben jaya,3.5,6,-6.2671015,106.7941082,"jl. madrasah no.4, rt.7/rw.3, gandaria sel., kota jakarta selatan",ChIJ8T2QgaLxaS4Rh4tD2TBG0Us,0
warteg kharisma,4.2,30,-6.270607999999999,106.795715,"samping philips, jl. mangga no.5, rt.5/rw.3, gandaria sel., kota jakarta selatan",ChIJo6qq6pfxaS4Rn4QKuHY7PCU,0
warteg niki 4,4.7,18,-6.274515,106.79789,"jl. rs. fatmawati raya, rt.14/rw.4, cipete sel., kota jakarta selatan",ChIJ3498KJTxaS4RcG5SKCjpSEk,0
warteg murah meriah,4,5,-6.2668583,106.8019914,"jl. abdul majid raya no.30, rt.11/rw.2, cipete sel., kota jakarta selatan",ChIJYxvXSJrxaS4R-Sgik59q2Nk,0
warteg tresna,0,0,-6.270738700000001,106.7968358,"jl. mangga, rt.2/rw.5, gandaria sel., kota jakarta selatan",ChIJGT4IopfxaS4RWmtC2NSnj6k,0
warteg ibu yani,0,0,-6.2730898,106.7976567,"jl. rs. fatmawati raya, rt.2/rw.3, cipete sel., kota jakarta selatan",ChIJdaI185bxaS4RVa0br6_8--s,0
warteg umi kramat batu,0,0,-6.2720225,106.7961226,"jl. kramat batu no.7, rt.3/rw.4, gandaria sel., kota jakarta selatan",ChIJC7-ep67xaS4RZlNrubDgkqo,0
warteg langgeng jaya,5,1,-6.2669321,106.7924537,"jl. madrasah no.20a, rt.7/rw.1, gandaria sel., kota jakarta selatan",ChIJGWGvWKLxaS4RYSs6UNnMZ9I,0
warteg sederhana pak darto,4.7,9,-6.2743568,106.7970515,"pqgw+7r3, rt.1/rw.5, south gandaria, south jakarta city",ChIJlURQNCnxaS4RPFEumIISvF8,0
