nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari 02,5,3,-6.225159,106.763381,"jl. kp. baru 5 no.44, rt.4/rw.2, ulujami, kota jakarta selatan",ChIJV0H0QtHwaS4RM4LCySp_nkk,0
warteg bahari 19,5,1,-6.2278688,106.7606079,"jl. swadarma raya, rt.1/rw.2, ulujami, kota jakarta selatan",ChIJyx2TRtDwaS4RkbNcoX-XhOM,0
warteg ibu sri,4,2,-6.232434700000001,106.757139,"jl. kostrad raya no.22, rt.3/rw.5, petukangan utara, kota jakarta selatan",ChIJ7xnQ4cTwaS4RVxsvx2SQCmo,0
warteg jaya bahari,4.4,8,-6.228554099999999,106.7573515,"jl. palem raya no.50, rt.7/rw.8, petukangan utara, kota jakarta selatan",ChIJTTa7_qfxaS4RGNU2Sf2seDU,0
warteg sederhana,4.3,15,-6.2245623,106.7629599,"jl. kp. baru 5 no.2, rt.7/rw.2, ulujami, kota jakarta selatan",ChIJddJpYdHwaS4RT34iPH2cgJo,0
warteg berkah slawi ayu,5,1,-6.2259718,106.7637052,"jalan kampung baru 3 (50 meter dari gapura) ulujami pesanggrahan, rt.3/rw.2, ulujami, dki jakarta",ChIJbcrjO9HwaS4RHl0lM4HYv28,0
warteg jaya bahari,0,0,-6.2312822,106.7605672,"jl. swadarma raya no.45, rt.3/rw.3, srengseng, kota jakarta selatan",ChIJ2XSUg2_xaS4R48nTL5YtJdQ,0
warteg permata bahari,4.5,48,-6.2282828,106.7571826,"jl. palem raya no.33, rt.7/rw.8, petukangan utara, kota jakarta selatan",ChIJm2GAv8_waS4REK-eCg6R_q8,0
warteg sederhana,1,2,-6.2262119,106.7631291,"didekat kantor wardah, jl. kp. baru iii no.3, rt.3/rw.2, ulujami, kota jakarta selatan",ChIJPXr0O9HwaS4RaXgSIiCl7l4,0
warteg dva,5,4,-6.2273906,106.7626721,"jl. kp. baru 2 no.35, rt.8/rw.2, ulujami, kota jakarta selatan",ChIJe4K8-9DwaS4Rhx_7g5eb9vc,0
