nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg,3.0,2,-6.2023036,106.7817681,"qqxj+3pc, rt.4/rw.6, kebon jeruk, west jakarta city",ChIJD5Eaudz2aS4RK_oDbkPnl-o,0.017315100000010908
warteg sido berkah,4.4,50,-6.2067641,106.7842343,"jl. palmerah barat no.31, rt.4/rw.3, grogol utara, kota jakarta selatan",ChIJ2benFsX2aS4RjX_eakCcVXs,0.010388400000009844
warteg aw,4.4,20,-6.210829400000001,106.79011170000001,"jl. kemandoran i, rt.1/rw.4, grogol utara, kota jakarta selatan",ChIJT-9rHsn2aS4RnqbOWWgu15I,0.00988469999999353
warteg aw,4.5,187,-6.1994132,106.78454540000001,"jl. h. senin no.51, rt.6/rw.12, palmerah, west jakarta city",ChIJR7NC-8L2aS4RTfRe0AEEwzU,0.017428200000004782
warteg bahari 2001,5.0,3,-6.211082299999998,106.7847378,"jl. kemandoran viii no.89, rt.9/rw.11, grogol utara, kota jakarta selatan",ChIJZaKUUs72aS4Rxsj9YyQutn4,0.005566700000002811
warteg 58,4.4,10,-6.1994615999999985,106.7847088,"jl. h. senin no.blok, rt.10/rw.12, palmerah, west jakarta city",ChIJzRdTjcL2aS4Rx-xCJYqUyaw,0.017216400000000576
warteg 99,4.0,8,-6.206202999999999,106.779777,"jl. sulaiman, rt.5/rw.3, sukabumi utara, dki jakarta",ChIJpcC__tr2aS4RQ6Shm3-LlzU,0.015406800000009825
warteg putra bahari,4.5,2,-6.2135479999999985,106.78113400000001,"jl. raya kby. lama no.35b, rt.1/rw.13, grogol utara, kota jakarta selatan",ChIJ_S_vIcD3aS4R4G6XjL_E_Ck,0.0067048000000102794
warteg lestari 2,5.0,1,-6.2262694000000005,106.77115159999998,"jalan h thohir rt 02 rw 04 no 51a kebon jeruk, rt.2/rw.4, sukabumi sel., dki jakarta",ChIJrY7Y4SnxaS4RwhUNDhDO_nw,0.0
warteg barokah pak rohkmani,0.0,0,-6.2264412,106.76976950000001,"jl. persatuan no.1, rt.1/rw.4, grogol sel., kota jakarta selatan",ChIJQ0TdC6LxaS4R6Uu_y40Y_ts,0.0
warteg cahaya,0.0,0,-6.2242006,106.76794579999999,"south sukabumi, west jakarta city",ChIJqYf21dXwaS4Rnsc3dJxpwUI,0.0
warteg nabilah,4.2,36,-6.226505299999999,106.7689875,"jl. persatuan no.24a, rt.1/rw.7, grogol sel., kota jakarta selatan",ChIJu9zJS9bwaS4R3BhFKXsYi58,0.0
wahyoo warteg barokah,0.0,0,-6.2010523,106.79346540000002,"6, rt.6/rw.2, palmerah, west jakarta city",ChIJRSyBBwj3aS4RMXMoXm9mnuc,0.0
warteg selera,5.0,2,-6.207564499999999,106.7907003,"jl. palmerah barat no.30, rt.2/rw.5, grogol utara, kota jakarta selatan",ChIJH0UsLsb2aS4Ru_JgPcQVBWA,0.0
warteg dafa,0.0,0,-6.198958900000001,106.79276580000001,"rq2v+c46, rt.7/rw.2, palmerah, west jakarta city",ChIJzQaUpJv3aS4RjvSO_ly45w4,0.0
warteg ulanjaya,0.0,0,-6.2075961999999985,106.7934835,"palmerah, west jakarta city",ChIJq35a48f2aS4RvXPERtPdjAg,0.0
warteg surya kencana,4.4,101,-6.230512000000001,106.77183590000001,"jl. panjang cidodol no.15, rt.5/rw.13, grogol sel., kota jakarta selatan",ChIJNV_HlCfxaS4R0jAyY7YYX74,0.0
