nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg barokah,4.8,4,-6.247303899999999,106.7797712,"jl. bungur, rt.4/rw.1, kby. lama utara, kota jakarta selatan",ChIJwahg_BrxaS4RNRojSe6S7EQ,0.016660099999997513
warteg bahari 02,5,3,-6.225159,106.763381,"jl. kp. baru 5 no.44, rt.4/rw.2, ulujami, kota jakarta selatan",ChIJV0H0QtHwaS4RM4LCySp_nkk,0.021875000000004974
warteg barokah,5,4,-6.2378864,106.7697193,"jl. ciledug raya no.9, rt.2/rw.5, cipulir, kota jakarta selatan",ChIJR9Aokt_waS4RFASO0A1o0m8,0.004942099999994731
warteg bahari,3.8,26,-6.254552,106.76359,"jl ulujami raya rt009, rt.1/rw.2, rw001, kota jakarta selatan",ChIJPeJhsf_xaS4RIRhBtphrPOM,0.027737000000007228
warteg kharisma bahari,4.2,156,-6.2443246,106.7805457,"warteg kharisma bahari 18 jl.ciputat raya no.30 rt.03 rw.07, rt.3/rw.4, kby. lama utara, kota jakarta selatan",ChIJA4lMQyzxaS4RpfbgphsypcQ,0.014455300000004279
warteg bahari kembar,5,2,-6.2394446,106.7708592,"jl. al mubarok 1 no.10, rt.1/rw.1, cipulir, kota jakarta selatan",ChIJQzXRASDxaS4RuL0MAhxie_k,0.005360399999996268
warteg bahari,0,0,-6.2357124,106.7726734,"jl. cipulir i no.28, rt.7/rw.4, cipulir, kota jakarta selatan",ChIJ06pU6CDxaS4RjOgnbiOnuoE,0.002029199999998177
warteg bahari 19,5,1,-6.2278688,106.7606079,"jl. swadarma raya, rt.1/rw.2, ulujami, kota jakarta selatan",ChIJyx2TRtDwaS4RkbNcoX-XhOM,0.021938300000003075
warteg bahari,3.4,5,-6.230443999999999,106.785361,"jl. rawa simprug ix b no.7, rt.6/rw.9, grogol sel., kota jakarta selatan",ChIJPyls_jrxaS4RmyaV7fGd8Cw,0.018141999999994773
warteg barokah,5,2,-6.2362479,106.783932,"jl. nasional 12, rt.5/rw.1, kby. lama utara, kota jakarta selatan",ChIJm92c4DzxaS4R3xzQMk6XG4o,0.010909099999992122
warteg bahari 107,4.4,28,-6.238039499999999,106.7684813,"jl. ciledug raya, rt.14/rw.6, cipulir, kota jakarta selatan",ChIJRZd9t9_waS4Re0g731DM18M,0.006333199999994932
warteg,5,2,-6.2369629,106.7751159,"qq7g+629, rt.2/rw.4, cipulir, south jakarta city",ChIJqVE2hLrxaS4Ra8uSgAFfTts,0.0016638000000028796
warteg citra bahari,3.6,10,-6.253381,106.77607,"jalan bintaro raya tanah kusir, rt.2/rw.10, kebayoran lama selatan, kebayoran lama, rt.11/rw.10, kby. lama sel., kota jakarta selatan",ChIJo7yAjAPxaS4Rj1TMzLIGzlE,0.01903600000000427
warteg barokah,3.7,17,-6.2383864,106.7721225,"jl. seskoal no.11, rt.6/rw.11, cipulir, kota jakarta selatan",ChIJ5W4bGCDxaS4RqZ0KAKyp5os,0.0030389000000061728
warteg sederhana,5,1,-6.2290871,106.7789612,"jl. raya kby. lama no.19, rt.4/rw.10, grogol sel., kota jakarta selatan",ChIJK7bBfkvxaS4RSj8BA7bN760,0.013099099999997144
warteg jaya bahari,4.4,23,-6.24587,106.7844251,"jl. taman gandaria, rt.9/rw.6, kby. lama utara, kota jakarta selatan",ChIJqwf67hDxaS4Rlz_dZoKL-fs,0.01988010000000706
warteg ibu sri,4,2,-6.232434700000001,106.757139,"jl. kostrad raya no.22, rt.3/rw.5, petukangan utara, kota jakarta selatan",ChIJ7xnQ4cTwaS4RVxsvx2SQCmo,0.02084130000000428
wahyoo warteg bahari,4.3,19,-6.2434033,106.7628917,"jalan ulujami raya no.1, rt.12 rw.04, pesanggrahan, rt.13, ulujami, kota jakarta selatan",ChIJQYuA7ObwaS4RTbxGoYXJ2p4,0.017286600000002927
warteg bahari velbak,5,1,-6.2393284,106.7850884,"komplek perkantoran kebayoran baru mall, jl. kebayoran baru no.4, rt.4/rw.7, gunung, kota jakarta selatan",ChIJc_XjEL_xaS4R-Ll2yi00gt4,0.01400180000000617
warteg bahari jaya,4,4,-6.2376939,106.762618,"jalan ciledug raya rt 02 rw 03 # 5 a, ulu jami, pesanggrahan, rt.2/rw.3, ulujami, kota jakarta selatan",ChIJA_lqt93waS4RrdFIIWOSqmM,0.011850899999997111
warteg jaya bahari,4.4,8,-6.228554099999999,106.7573515,"jl. palem raya no.50, rt.7/rw.8, petukangan utara, kota jakarta selatan",ChIJTTa7_qfxaS4RGNU2Sf2seDU,0.024509400000002124
warteg bowo,4.8,8,-6.241123,106.791073,"jl. tebah ii no.115, rt.14/rw.3, gunung, kota jakarta selatan",ChIJnft4VK_xaS4RDM-zRemp4Ss,0.021780999999997164
warteg renanda,4.4,25,-6.2489672,106.7635864,"jalan ulujami raya, gang warga, rt. 002 / rw. 007, ulujami, rt.2/rw.7, ulujami, kota jakarta selatan",ChIJFafvvuTwaS4R5ysHp25beTQ,0.022155800000006387
warteg rw,4.3,24,-6.2495685,106.7637129,"jl. ulujami raya no.42c, rt.4/rw.1, pesanggrahan, kota jakarta selatan",ChIJzZxps-TwaS4Rg-N2MPS4DGg,0.022630599999998502
warteg putrabahari,4.4,111,-6.229489999999999,106.7767754,"jl. cidodol raya, rt.3/rw.11, grogol sel., kota jakarta selatan",ChIJy6ta_CXxaS4RfydUlbQcTPk,0.010510400000005582
warteg idola,4.5,86,-6.2493022,106.7837738,"jl. bungur ii, rt.4/rw.2, kby. lama sel., dki jakarta",ChIJ75L4HhDxaS4RgYOwHHC9nog,0.022661000000005593
warteg barokah,5,10,-6.2348848,106.7572031,"jl. kostrad raya no.89, rt.7/rw.4, petukangan utara, kota jakarta selatan",ChIJYVdKYMPwaS4RvorLOQ4gPYo,0.01832710000000226
warteg,0,0,-6.2524215,106.7645101,"jl. ulujami raya, rt.6/rw.1, pesanggrahan, kota jakarta selatan",ChIJUxllf_vwaS4RbGeCs67VkJE,0.02468640000000466
warteg ijah,1,1,-6.237102900000001,106.7753676,"jl. cipulir i no.5, rt.2/rw.2, cipulir, kota jakarta selatan",ChIJgx1QfDnxaS4RHYp7BFiFbb0,0.002055499999996435
warteg hikmah,5,4,-6.2268193,106.7785308,"jl. tabah no.7, rt.5/rw.10, grogol sel., kota jakarta selatan",ChIJlbaFGy_xaS4R0Umlw1V_qxg,0.014936499999998354
warteg berkah merintis tanpa batas,4.4,11,-6.225582999999999,106.7798811,"jl. limo no.10, rt.1/rw.10, grogol sel., kota jakarta selatan",ChIJcRWrjC7xaS4RmkS4xghmzsU,0.01752309999999735
warteg slawi ayu,4.3,13,-6.244329,106.763217,"jalan raya rt 003 rw 015, jalan ulujami raya, ulujami, pesanggrahan, rt.13, ulujami, kota jakarta selatan",ChIJB3pjmObwaS4Rys9l5-KL3kk,0.01788700000000265
wahyoo warteg berkah bahari,5,1,-6.2532236,106.7842465,"jl. praja no.dalam, rt.5/rw.5, south kebayoran lama, south jakarta city",ChIJydRgLtzxaS4RhDc26tp6fU0,0.02705509999999478
warteg sederhana,4.3,15,-6.2245623,106.7629599,"jl. kp. baru 5 no.2, rt.7/rw.2, ulujami, kota jakarta selatan",ChIJddJpYdHwaS4RT34iPH2cgJo,0.022892800000001934
