nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg selera,5,2,-6.2075645,106.7907003,"jl. palmerah barat no.30, rt.2/rw.5, grogol utara, kota jakarta selatan",ChIJH0UsLsb2aS4Ru_JgPcQVBWA,0.013738199999993483
warteg,3,2,-6.2023036,106.7817681,"qqxj+3pc, rt.4/rw.6, kebon jeruk, west jakarta city",ChIJD5Eaudz2aS4RK_oDbkPnl-o,0.017315100000010908
warteg bahari,3.4,5,-6.230443999999999,106.785361,"jl. rawa simprug ix b no.7, rt.6/rw.9, grogol sel., kota jakarta selatan",ChIJPyls_jrxaS4RmyaV7fGd8Cw,0.014480600000008614
warteg sederhana,5,1,-6.2290871,106.7789612,"jl. raya kby. lama no.19, rt.4/rw.10, grogol sel., kota jakarta selatan",ChIJK7bBfkvxaS4RSj8BA7bN760,0.019523500000006244
warteg sido berkah,4.4,50,-6.2067641,106.7842343,"jl. palmerah barat no.31, rt.4/rw.3, grogol utara, kota jakarta selatan",ChIJ2benFsX2aS4RjX_eakCcVXs,0.010388400000009845
warteg aw,4.4,20,-6.2108294,106.7901117,"jl. kemandoran i, rt.1/rw.4, grogol utara, kota jakarta selatan",ChIJT-9rHsn2aS4RnqbOWWgu15I,0.00988469999999353
warteg aw,4.5,187,-6.1994132,106.7845454,"jl. h. senin no.51, rt.6/rw.12, palmerah, west jakarta city",ChIJR7NC-8L2aS4RTfRe0AEEwzU,0.01742820000000478
warteg bahari 2001,5,3,-6.211082299999999,106.7847378,"jl. kemandoran viii no.89, rt.9/rw.11, grogol utara, kota jakarta selatan",ChIJZaKUUs72aS4Rxsj9YyQutn4,0.005566700000002811
warteg putra pertama,3.5,2,-6.2285074,106.7844666,"rt 001 rw 009 # 5 kebayoran lama, jl. rawa simprug iii, rt.2/rw.5, grogol sel., dki jakarta",ChIJ45graDDxaS4R8I_wY7GX_yQ,0.013438400000001849
warteg putrabahari,4.4,111,-6.229489999999999,106.7767754,"jl. cidodol raya, rt.3/rw.11, grogol sel., kota jakarta selatan",ChIJy6ta_CXxaS4RfydUlbQcTPk,0.022112199999997806
warteg berkah merintis tanpa batas,4.4,11,-6.225582999999999,106.7798811,"jl. limo no.10, rt.1/rw.10, grogol sel., kota jakarta selatan",ChIJcRWrjC7xaS4RmkS4xghmzsU,0.015099500000006039
warteg gandasari,4.4,18,-6.2257807,106.7809555,"jl. limo no.22, rt.1/rw.2, grogol utara, kota jakarta selatan",ChIJIakoSC7xaS4R6oSAffpFsA0,0.01422279999999887
warteg a.d,5,1,-6.2129781,106.7864954,"jl. kemandoran vi no.9, rt.5/rw.11, grogol utara, kota jakarta selatan",ChIJsUgnnM72aS4RMFEpxnRYwHc,0.004119700000003057
warteg 58,4.4,10,-6.199461599999999,106.7847088,"jl. h. senin no.blok, rt.10/rw.12, palmerah, west jakarta city",ChIJzRdTjcL2aS4Rx-xCJYqUyaw,0.017216400000000576
warteg 99,4,8,-6.206202999999999,106.779777,"jl. sulaiman, rt.5/rw.3, sukabumi utara, dki jakarta",ChIJpcC__tr2aS4RQ6Shm3-LlzU,0.015406800000009824
warteg umi,5,1,-6.213353499999999,106.7859696,"jl. tanah baru i, rt.5/rw.13, grogol utara, kota jakarta selatan",ChIJjXmMgs72aS4ROB6b4B5k-YE,0.0032184999999982367
warteg hello bahari,4.8,11,-6.225492999999999,106.7764421,"jl assirot no.12 rt006/01, rt.6/rw.1, grogol sel., kota jakarta selatan",ChIJDWlSt_fxaS4R0pO5s-a8zrs,0.018448500000006085
warteg lestari 2,5,1,-6.2262694,106.7711516,"jalan h thohir rt 02 rw 04 no 51a kebon jeruk, rt.2/rw.4, sukabumi sel., dki jakarta",ChIJrY7Y4SnxaS4RwhUNDhDO_nw,0.024515400000007403
warteg kharisma bahari,4,4,-6.2203588,106.7816176,"jl. panjang no.8, rt.7/rw.10, grogol utara, kota jakarta selatan",ChIJTSdrby3xaS4Ry8UPA0jQ4fk,0.008138799999999335
warteg kowantara jaksel,4.8,21,-6.2299117,106.7789302,"jl. kebayoran lama raya rt 04/10 no 26 kebayoran lama jakarta selatan, rt.3/rw.11, grogol sel., kota jakarta selatan",ChIJpfYsmiXxaS4RDQajfPs9du4,0.02037909999999865
wahyoo warteg barokah,0,0,-6.2010523,106.7934654,"6, rt.6/rw.2, palmerah, west jakarta city",ChIJRSyBBwj3aS4RMXMoXm9mnuc,0.023015499999998745
warteg wijaya,4.2,5,-6.212077,106.787912,"jl. kemandoran viii no.95, rt.4/rw.11, grogol utara, kota jakarta selatan",ChIJx2jiyc72aS4RcEIis1Q7z-k,0.006437400000002036
warteg jaya,0,0,-6.2202495,106.7813511,"rt.5/rw.10, grogol utara, kota jakarta selatan",ChIJNSUdLZrxaS4R5LWY1mrfTfw,0.008296000000009407
warteg barokah limo,5,2,-6.2262129,106.785473,"jl. limo no.8, rt.3/rw.9, grogol sel., kota jakarta selatan",ChIJjQjlJvnxaS4RDVurz_jmooY,0.010299099999992123
warteg putra bahari,4.5,2,-6.213547999999999,106.781134,"jl. raya kby. lama no.35b, rt.1/rw.13, grogol utara, kota jakarta selatan",ChIJ_S_vIcD3aS4R4G6XjL_E_Ck,0.00670480000001028
