nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg putra bahari,4,1,-6.286648,106.7761066,"rt.11/rw.10, pd. pinang, kota jakarta selatan",ChIJr2IRIszxaS4R9MxYT5oXRLk,0.012502299999995081
warteg putra bahari,4.3,6,-6.2759171,106.7625449,"jl. rc. veteran raya no.18c, rt.3/rw.11, bintaro, kota jakarta selatan",ChIJMeJPJUnwaS4RZv0msu-l2_o,0.01856410000000608
warteg bahari,5,6,-6.278468699999999,106.7932845,"jl. bahari i no.62, rt.10/rw.7, gandaria sel., kota jakarta selatan",ChIJg3ksjvDxaS4R_qssV7JJYx4,0.01472709999999644
warteg sarapada i,5,1,-6.2870623,106.7712987,"jalan ciputat raya # 7, rt.6/rw.7, pondok pinang, kebayoran lama, rt.6/rw.7, pd. pinang, kota jakarta selatan",ChIJmUh0xszxaS4RG-50-lg2fX4,0.017724499999998145
warteg pratama 03,4.5,8,-6.2798251,106.7953431,"jl. terogong raya no.15, rt.11/rw.7, gandaria sel., kota jakarta selatan",ChIJOxnknzbxaS4R2bQU7UbrqHk,0.018142099999995942
warteg mulya bahari,4.3,301,-6.2637941,106.7908567,"jl. h. nawi raya no.73, rt.6, gandaria utara, kota jakarta selatan",ChIJVZgWeqHxaS4RaoBtJDqp_zY,0.02510170000000489
warteg barokah,0,0,-6.2814209,106.7916717,"jl.terogong iii no.75, rt.10/rw.10, cilandak bar., kota jakarta selatan",ChIJhYS0UcDxaS4RZ1YUQNOsLmE,0.016066499999993766
warteg,4,6,-6.290341799999999,106.7789122,"jl. h. ilyas no.8, rt.9/rw.7, lb. bulus, kota jakarta selatan",ChIJN51qKM7xaS4Ru9z8lvw-Tus,0.013390500000006966
warteg putri,3.8,8,-6.2824088,106.7929264,"jl. terogong raya no.11, rt.6/rw.10, cilandak bar., kota jakarta selatan",ChIJe364HMDxaS4RNNuG2xHYqSU,0.01830909999999797
warteg ikhlas,4.4,5,-6.290242999999999,106.767519,"rt 008 rw 02, jl. ciputat raya, pd. pinang, kota jakarta selatan",ChIJw-aqfTLwaS4RON8UGf0Fbyo,0.02468490000000756
warteg mamoka,4.5,191,-6.2719347,106.7965176,"pqhw+6jc, rt.1/rw.4, south gandaria, south jakarta city",ChIJQ-4iYQ3xaS4ROc90Y7wg3QQ,0.022622000000000142
warteg poncol,0,0,-6.2754759,106.7930573,"pqfv+r63, rt.3/rw.7, south gandaria, south jakarta city",ChIJ9XsywdPxaS4RH1wimCW4GR4,0.015620499999999815
warteg selera,4,1,-6.2610981,106.7910983,"jl. hidup baru no.30, rt.12/rw.3, gandaria utara, kota jakarta selatan",ChIJ1ZlaW6DxaS4Ro0zW8V-AUa0,0.028039300000000544
