nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari,4.3,8,-6.243084899999999,106.8036004,"rt.5/rw.2, melawai, kota jakarta selatan",ChIJnR10wNHxaS4RW1jJIolVFBg,0
warteg pandan wangi,4.5,52,-6.243892,106.8015754,"jalan hasanudin dalam no.28c blok m, kebayoran baru, rt.3/rw.1, melawai, kota jakarta selatan",ChIJfzFWNWnxaS4RKd8Nme0LbRI,0
warteg saleh jaya,4.6,21,-6.244921,106.810186,"jalan petogogan ii no.30p, pulo, rt.9/rw.5, petogogan, kota jakarta selatan",ChIJeVL2pHTxaS4RiuAtQ7S6Qkg,0
warteg nojo jaya ciragil,4.2,113,-6.2374415,106.8093958,"jl. cikatomas no.12, rt.5/rw.1, rw. bar., kota jakarta selatan",ChIJSfF6m13xaS4RA4-iuuueqIg,0
warteg sajny,0,0,-6.241383,106.805117,"rt3, jl. tirtayasa v no.5, rt.3/rw.2, melawai, kota jakarta selatan",ChIJezPy70LxaS4RpgoJ3loY8JY,0
warteg blok m,0,0,-6.243073,106.801823,"jl. falatehan i no.44, rt.2/rw.1, melawai, kota jakarta selatan",ChIJ3zgOI5TxaS4RvxDCNxYwGgg,0
warteg sari rasa bahari,4.8,4,-6.241202700000001,106.8086271,"15, rt.15/rw.6, petogogan, kota jakarta selatan",ChIJfcQt7GfxaS4RQPODRu1FWH8,0
warteg indah jaya,5,2,-6.241308699999999,106.8084911,"jl. cililin no.12a, rt.15/rw.6, petogogan, kota jakarta selatan",ChIJOQgwUWbxaS4RlO0bjH5s4kA,0
warteg nurul jaya,5,1,-6.237932799999999,106.8092399,"jl. ciragil ii no.14, rt.4/rw.1, rw. bar., kota jakarta selatan",ChIJlSx6gV3xaS4RX63CdU-RK_c,0
warteg kharisma bahari / tasripin,4.4,118,-6.2780903,106.8049547,"jl. cipete raya no.1a, rt.8/rw.4, cipete sel., kota jakarta selatan",ChIJ92bavZLxaS4RuyRU7t5bjv4,0
warteg sarapada 4 ibu,4.2,69,-6.278181399999999,106.8079133,"jl. cipete raya no.61, rt.9/rw.4, cipete sel., kota jakarta selatan",ChIJiZAGPI3xaS4RhKCoGnkNB9E,0
warteg anda,5,2,-6.272450999999999,106.803327,"jl. asem dua no.14, rt.1/rw.6, cipete sel., kota jakarta selatan",ChIJ5zKjrDvxaS4RUyfQwcS7jZc,0
warteg yayu,4.4,8,-6.272869399999999,106.809681,"jl. puri sakti i no.26a, rt.2/rw.7, cipete sel., kota jakarta selatan",ChIJCbKCjY7xaS4Rq_MXqOSXik8,0
warteg bdn,4.5,4,-6.280281,106.7995857,"pq9x+vrp, rt.10/rw.11, west cilandak, south jakarta city",ChIJWUq0u0_xaS4RiyQ-DFBvI7Y,0
warteg arip bude,0,0,-6.277090599999999,106.8027205,"jakarta selatan, rt.004/rw03, 51c, rt.4/rw.3, cipete sel., kota jakarta selatan",ChIJexlHIK_xaS4R5d-0t8Egbf4,0
warteg mpr,4.4,54,-6.284384999999999,106.8066329,"jl. m.p.r iii no.dalam, rt.12/rw.13, cilandak bar., kota jakarta selatan",ChIJcbdCnQ_xaS4RmrM1BqjXTjs,0
warteg rizal bahari sedia soto ayam,5,2,-6.2716091,106.8102877,"jl. jaya no.71, rt.1/rw.7, cipete sel., kota jakarta selatan",ChIJf9Li4I7xaS4R7lu2AE0Lquk,0
warteg barokah,4,1,-6.2434052,106.835417,"jl. pancoran barat xic, rt.5/rw.3, pancoran, kota jakarta selatan",ChIJM-bbHcTzaS4Rd_xzhiQUmbw,0
warteg pojok,4.5,4,-6.242638299999999,106.8367715,"jl. pancoran barat xi no.19, rt.1/rw.3, pancoran, kota jakarta selatan",ChIJ97NFtMbzaS4R11zCKNnQMXo,0
warteg bahariin,0,0,-6.2419072,106.8370313,"jl. pancoran barat xi, rt.1/rw.3, pancoran, kota jakarta selatan",ChIJmwIiSLTzaS4RCHygGEbhyUg,0
wahyoo warteg bahari tegal,4.2,33,-6.245285,106.832002,"jl. mampang prpt. raya no.50, rt.6/rw.2, tegal parang, jakarta",ChIJYRJm8HDzaS4R2dbsP7HAQQY,0
warteg jaya bahari,3.8,71,-6.2429118,106.8324035,"jl. tegal parang utara no.8, rw.4, mampang prapatan, south jakarta city",ChIJLxmzydXzaS4RwXUdsDypiro,0
warteg alfar,0,0,-6.2422301,106.8322901,"jl. tegal parang sel., rt.2/rw.4, mampang prpt., kota jakarta selatan",ChIJQ1BJecPzaS4R0CFExOnZawU,0
warteg mini,5,5,-6.2443728,106.8323338,"jl. tegal parang utara no.37b, rt.7/rw.4, mampang prpt., kota jakarta selatan",ChIJlaMX98TzaS4R6jRYgeneZuc,0
warteg latifah,3.9,61,-6.245214499999999,106.8308268,"jl. mampang prapatan iv, rt.15/rw.4, mampang prpt., kota jakarta selatan",ChIJTXvhJ8XzaS4RHQma6XlEioI,0
