nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg aji,3.9,14,-6.2590796,106.8436271,"jl. kalibata timur i gg. rukun no.2, rt.1/rw.8, kalibata, kota jakarta selatan",ChIJJ6716EryaS4RanjpCv2gLg8,0
warteg berkah,4.6,15,-6.260322299999999,106.8433643,"jl. raya pasar minggu no.4, rt.5/rw.8, kalibata, kota jakarta selatan",ChIJHzBDQ0ryaS4RnbkZLtNcKPg,0
warteg pancoran,4.2,67,-6.262366099999999,106.8458853,"jl. kalibata timur no.49, rt.9/rw.8, kalibata, kota jakarta selatan",ChIJBf9O3kvyaS4RfEJORj-sS-w,0
warteg kowantara jakarta selatan,0,0,-6.2608279,106.8433146,"jl. raya pasar minggu no.4, rt.5/rw.8, kalibata, kota jakarta selatan",ChIJ-_NRWUryaS4RkR4zsF4Gt6U,0
warteg sederhana ibu siti,5,8,-6.263507,106.84302,"blok kalibata selatan 2g jalan kalibata selatan ii b blok kalibata selatan 2g no.16a, rt.1/rw.4, kalibata, kota jakarta selatan",ChIJ0xHK7EnyaS4R_78youc08X0,0
warteg doa ibu,4,2,-6.262507100000001,106.8473491,"jl. kalibata timur no.66, rt.14/rw.1, pejaten tim., kota jakarta selatan",ChIJV98AAEzyaS4RXTNYZZrC51s,0
wahyoo warteg pada rukun 2,5,1,-6.2602198,106.8403418,"jl. kalibata utara ii no.62, rt.5/rw.2, kalibata, kota jakarta selatan",ChIJ_ZYjot_zaS4Rj4j_DDqr_hU,0
warteg latifah,4.3,21,-6.266245,106.8422818,"jalan warung jati timur, rt.10, pejaten bar., kota jakarta selatan",ChIJF3u8PEjyaS4RppTLQD3jtGY,0
warteg zakaria,0,0,-6.258705600000001,106.8377832,"jl. duren tiga selatan no.67, rt.8/rw.3, duren tiga, kota jakarta selatan",ChIJEdU31onzaS4R3-9pMWJZO68,0
warteg jaya makmur,0,0,-6.2658181,106.8442605,"jl. raya pasar minggu, rt.13/rw.1, pejaten tim., kota jakarta selatan",ChIJHdODV0jyaS4RZvtForGZfpo,0
warteg arisba,4,1,-6.2624065,106.8462673,"jl. kalibata timur no.31, rt.9/rw.8, pejaten tim., kota jakarta selatan",ChIJB9UqbXvzaS4R78pKGmp2q2g,0
warteg subsidi,4.7,10,-6.2586967,106.8417007,"jl. duren tiga selatan no.37, rt.1/rw.2, kalibata, kota jakarta selatan",ChIJp7MTo4XzaS4R9aub3jE0gd4,0
warteg rizki,4.1,65,-6.2660974,106.8373555,"jl. h. samali no.85a, rt.19/rw.1, pejaten bar., kota jakarta selatan",ChIJfSI6FzfyaS4RV5A5eTBt33M,0
