nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg ibu mukrim,4.4,9,-6.2294415,106.80785549999999,"jalan tebet barat raya no 71 a rt 15 rw 01, gang keamanan no.2, rt.7/rw.3, senayan, dki jakarta",ChIJtTxgoVrxaS4RIcILCJ94784,0.02147659999999174
warteg putri,4.5,105,-6.223198,106.828236,"jalan asem 4, rt.14/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJ6xUMFvrzaS4RaCeYKqPzOHY,0.0192866000000107
warteg ibu nur,5.0,1,-6.2217946,106.8302986,"no., jl. pedurenan mesjid 1 no.22, rt.16/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJW8HBUffzaS4Rwmp3Vi3ULJo,0.02275260000001289
warteg bahari,4.0,1,-6.2208801,106.8200318,"jl. karet sawah, rt.3/rw.3, karet semanggi, kota jakarta selatan",ChIJd2e5RP7zaS4RMoTbprhaktI,0.017861699999999203
warteg bu ani,3.8,4,-6.218558199999999,106.82266170000001,"gg. tiong ujung kecamatan no.20.rt 04/01, rt.7/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJPcROR__zaS4R44eusKgsCck,0.018352100000005755
warteg biru,4.4,19,-6.2229009999999985,106.82092949999999,"jl. guru mughni blok no.8, rt.1/rw.3, karet semanggi, kota jakarta selatan",ChIJN66F9_zzaS4RSmv_R9fk6Cw,0.014943099999989329
warteg gaspoll 2.0,4.5,4,-6.2225658,106.8212412,"jl. prof. dr. satrio no.8, rt.17/rw.6, kuningan, karet kuningan, kota jakarta selatan",ChIJne7qKfzzaS4RpnpEbCwVUYA,0.014966599999991281
warteg berkah,4.3,3,-6.222456999999999,106.820594,"jl. guru mughni no.147, rt.1/rw.3, karet semanggi, kota jakarta selatan",ChIJmRFo5qrzaS4RJLZsBv2W5Vg,0.0157225999999957
warteg putri,4.5,17,-6.219725299999999,106.8244858,"jl. h. sidik no.30, rt.6/rw.6, kuningan, karet kuningan, kota jakarta selatan",ChIJObivLHDzaS4Rrutp4VQq0M8,0.019009100000013213
warteg mekar jaya,4.4,18,-6.2217954,106.8257664,"jl. karet pedurenan no.52 4, rt.4/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJ3-tla_nzaS4R7BfOt7mwEEY,0.018219600000012548
warteg dua saudara,4.5,13,-6.221017,106.827992,"jl pedurenan masjid raya rt 06/rw 07 kel, rt.6/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJK2uIlfnzaS4R2w2xmEMl-Sk,0.021223600000001674
warteg kowantara jaksel,0.0,0,-6.2223742,106.8298821,"jl. pedurenan masjid 5 no.2, rt.5/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJH26nq_DzaS4RiAjy8L6LhL8,0.02175650000001284
