nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg ibu mukrim,4.4,9,-6.2294415,106.8078555,"jalan tebet barat raya no 71 a rt 15 rw 01, gang keamanan no.2, rt.7/rw.3, senayan, dki jakarta",ChIJtTxgoVrxaS4RIcILCJ94784,0.02147659999999174
warteg putra bahari,4.3,4,-6.2456577,106.819603,"rt.2/rw.3, pela mampang, kota jakarta selatan",ChIJVVVVaNjzaS4RyixQLFrqka8,0.01180609999999227
warteg gaspoll,4.6,37,-6.23992,106.811888,"santa modern market, lantai 2 no. 171-172, rt.5/rw.4, petogogan, kota jakarta selatan",ChIJox4BmHnxaS4R391rlmpggsA,0.013783399999996782
warteg,4.2,10,-6.238093900000001,106.8271921,"jl. gatot subroto no.23, rt.2/rw.2, kuningan bar., kota jakarta selatan",ChIJkX-lW93zaS4R14XAXTz3ayU,0.006512400000011631
warteg saleh jaya,4.6,21,-6.244921,106.810186,"jalan petogogan ii no.30p, pulo, rt.9/rw.5, petogogan, kota jakarta selatan",ChIJeVL2pHTxaS4RiuAtQ7S6Qkg,0.020486399999991356
warteg bu yanti,4.8,12,-6.245361,106.8274283,"jl. mampang prapatan iv, rt.5/rw.5, mampang prpt., kota jakarta selatan",ChIJnUe14trzaS4RXKiE7Rit_eo,0.014015699999999853
warteg putra bahari,5,1,-6.2227801,106.8323515,"jl. menteng atas barat, rt.16/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJVVi88qfzaS4Rkk8n8QeYzMk,0.023820000000008612
warteg salsabilla,4.2,31,-6.2347018,106.8378487,"2, jl. rasamala iii no.3, rt.2/rw.13, menteng dalam, kota jakarta selatan",ChIJq93OrevzaS4R8Q3x2ynNcyI,0.017395500000001896
warteg putri,4.5,105,-6.223198,106.828236,"jalan asem 4, rt.14/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJ6xUMFvrzaS4RaCeYKqPzOHY,0.0192866000000107
warteg barokah,4,1,-6.2434052,106.835417,"jl. pancoran barat xic, rt.5/rw.3, pancoran, kota jakarta selatan",ChIJM-bbHcTzaS4Rd_xzhiQUmbw,0.020048600000012406
warteg nojo jaya,4.1,130,-6.2369222,106.8169473,"jl. rengas 3 no.1, rt.7/rw.2, rw. bar., kota jakarta selatan",ChIJe36y7V_xaS4Rg4XGMfLfIX0,0.005726299999998297
warteg nojo jaya ciragil,4.2,113,-6.2374415,106.8093958,"jl. cikatomas no.12, rt.5/rw.1, rw. bar., kota jakarta selatan",ChIJSfF6m13xaS4RA4-iuuueqIg,0.013797099999989015
warteg latifah,4.5,87,-6.2479931,106.8283968,"jl. mampang prapatan viii, rt.2/rw.2, tegal parang, kota jakarta selatan",ChIJ3ROwC9DzaS4Rtjta9p9Pkrk,0.017616299999999363
warteg ibu nur,5,1,-6.2217946,106.8302986,"no., jl. pedurenan mesjid 1 no.22, rt.16/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJW8HBUffzaS4Rwmp3Vi3ULJo,0.02275260000001289
warteg nojo jaya,4.3,52,-6.2464479,106.8187618,"jl. bangka ii no.44b, rt.1/rw.3, pela mampang, kota jakarta selatan",ChIJx7Z8btjzaS4RPtfQJN3azZ0,0.013437499999988667
warteg bahari jaya,0,0,-6.2390041,106.8188734,"jl. kapten tendean, rt.6/rw.5, kuningan bar., kota jakarta selatan",ChIJ-RZCiKvzaS4RtAav75WND64,0.005882099999992008
warteg pojok,4.5,4,-6.242638299999999,106.8367715,"jl. pancoran barat xi no.19, rt.1/rw.3, pancoran, kota jakarta selatan",ChIJ97NFtMbzaS4R11zCKNnQMXo,0.02063620000000288
warteg dj,4.6,18,-6.22937,106.821576,"jl. guru mughni no.9, rt.2/rw.5, kuningan, kuningan tim., kota jakarta selatan",ChIJ-zMdEOPzaS4RsP1D_W1cffk,0.0078276000000006
warteg rejo,4.3,85,-6.2500474,106.8365005,"jl. pancoran barat vii, rt.3/rw.6, pancoran, kota jakarta selatan",ChIJwzmO2MjzaS4RhQ3lUJ_iSZo,0.027774300000005248
warteg kembang,4.1,148,-6.2269406,106.8218963,"jl. guru mughni jl. sd no.21, rt.5/rw.1, kuningan, kuningan tim., kota jakarta selatan",ChIJfeXGxPzzaS4Ra8mJIOI6C5w,0.009936699999988363
warteg putri barokah,5,3,-6.2466874,106.8289468,"jl. mampang prapatan vi, rt.8/rw.2, tegal parang, kota jakarta selatan",ChIJSalwt9rzaS4Rebe67f7j1XE,0.01686060000000289
warteg bahari,4.4,5,-6.2436783,106.8259957,"jl. mampang prapatan ii, rt.1/rw.5, mampang prpt., kota jakarta selatan",ChIJgeVMl9vzaS4RYj_nLr2mHlI,0.010900400000013022
warteg bahari,4,1,-6.2208801,106.8200318,"jl. karet sawah, rt.3/rw.3, karet semanggi, kota jakarta selatan",ChIJd2e5RP7zaS4RMoTbprhaktI,0.017861699999999203
warteg bahari 11,5,5,-6.230938,106.823469,"jl. komp. tni (auri) no.11, rt.3/rw.3, kuningan, kuningan tim., kota jakarta selatan",ChIJxw7cHCzzaS4Rtw7d-RgE6ak,0.006779600000009545
warteg bahariin,0,0,-6.2419072,106.8370313,"jl. pancoran barat xi, rt.1/rw.3, pancoran, kota jakarta selatan",ChIJmwIiSLTzaS4RCHygGEbhyUg,0.020164900000012587
wahyoo warteg bahari tegal,4.2,33,-6.245285,106.832002,"jl. mampang prpt. raya no.50, rt.6/rw.2, tegal parang, jakarta",ChIJYRJm8HDzaS4R2dbsP7HAQQY,0.018513400000008673
warteg idola,3.5,4,-6.253014599999999,106.8254423,"prwg+q5w, rt.1/rw.6, duren tiga, south jakarta city",ChIJT_bXYdHzaS4R27unIxkFFeE,0.019683300000011172
warteg darmo,5,2,-6.251923499999999,106.8212596,"jl. bangka, rt.10/rw.10, pela mampang, kota jakarta selatan",ChIJBQWMmNbzaS4RcczX4-mhAxo,0.01641529999998781
warteg bu ani,3.8,4,-6.218558199999999,106.8226617,"gg. tiong ujung kecamatan no.20.rt 04/01, rt.7/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJPcROR__zaS4R44eusKgsCck,0.018352100000005755
warteg rizky,3.8,9,-6.229686,106.8225727,"jalan perintis rt.2/rw.5, rt.3/rw.5, kuningan, kuningan tim., kota jakarta selatan",ChIJq15KFOPzaS4RRIvf0vROEU4,0.007135300000001621
warteg xii mutiara bahari,4.8,6,-6.2456644,106.8155586,"rt.1/rw.11, pela mampang, kota jakarta selatan",ChIJ-1nXV2LxaS4RZv5LRU6mKHY,0.015857199999990357
warteg biru,4.4,19,-6.222900999999999,106.8209295,"jl. guru mughni blok no.8, rt.1/rw.3, karet semanggi, kota jakarta selatan",ChIJN66F9_zzaS4RSmv_R9fk6Cw,0.014943099999989329
warteg barokah,4.8,12,-6.219698999999999,106.838137,"jl. menteng atas barat, rt.5/rw.5, menteng atas, dki jakarta",ChIJm5kBVPTzaS4RRZCxr82lqFA,0.03268660000001056
warteg rido ilahi,5,1,-6.2545115,106.83366,"jl. duren tiga raya no.54, rt.4/rw.1, duren tiga, kota jakarta selatan",ChIJnwuHRMzzaS4RMUc33pEyWKc,0.0293979000000002
warteg rasamala,4,104,-6.2361868,106.8402147,"jl. rasamala raya no.24, rt.9/rw.2, menteng dalam, kota jakarta selatan",ChIJ802RvurzaS4Rx2pin99rm7A,0.018276500000011353
warteg slawi ayu,4.1,12,-6.251524300000001,106.8236075,"jl. bangka ix no.49, rt.8/rw.10, pela mampang, kota jakarta selatan",ChIJEfkqNdHzaS4R34pjpXPkJo0,0.016358200000000878
warteg mojo,3.9,15,-6.2517871,106.8170368,"jl. bangka ix no.100, rt.3/rw.12, pela mampang, kota jakarta selatan",ChIJNdOYjH3xaS4Rk1oL3l1tnB0,0.02050169999999607
warteg jaya bahari,3.8,71,-6.2429118,106.8324035,"jl. tegal parang utara no.8, rw.4, mampang prapatan, south jakarta city",ChIJLxmzydXzaS4RwXUdsDypiro,0.01654170000000388
warteg jaya bahari,4.6,5,-6.241229,106.8177995,"jl. bangka raya no.10, rt.2/rw.1, pela mampang, kota jakarta selatan",ChIJVYhx2GHxaS4R8ZbmSUf-62k,0.00918089999998628
warteg kharisma bahari,3.8,21,-6.253233,106.8373344,"jl. duren tiga raya no.41, rt.5/rw.6, duren tiga, kota jakarta selatan",ChIJYwBuaqbzaS4Rc_bfFtZiX4c,0.031793800000008865
warteg dapuk,4.1,113,-6.253419900000001,106.8384314,"jl. duren tiga selatan, rt.3/rw.6, duren tiga, kota jakarta selatan",ChIJpbbHNhfzaS4RXx6_ORxH6x8,0.03307770000001131
warteg bahari kharisma,4.4,41,-6.243481099999999,106.8290251,"jl. mampang prapatan ii no.74, rt.11/rw.5, mampang prpt., kota jakarta selatan",ChIJf6QHT9vzaS4RCFGlBe2Zi_M,0.013732599999999984
warteg yana,5,2,-6.2466969,106.8259189,"jl. mampang prpt. raya no.70 d, rt.9/rw.3, tegal parang, kota jakarta selatan",ChIJiTxjb9rzaS4REM1n7VAkszE,0.013842200000010685
warteg sri rejeki,4.5,45,-6.246705,106.829133,"jl. mampang prpt. raya no.17, rt.8/rw.2, tegal parang, kota jakarta selatan",ChIJ8_93t9rzaS4RG7EsXgnOoYc,0.017064400000005087
warteg jaya,3,1,-6.237504,106.814933,"#, jl. birah ii no.4, rt.6/rw.6, rw. bar., kota jakarta selatan",ChIJy_TP0l_xaS4RN33VNof7puc,0.008322399999997288
warteg gaspoll 2.0,4.5,4,-6.2225658,106.8212412,"jl. prof. dr. satrio no.8, rt.17/rw.6, kuningan, karet kuningan, kota jakarta selatan",ChIJne7qKfzzaS4RpnpEbCwVUYA,0.014966599999991281
warteg khasanah,4.7,9,-6.2481751,106.8258505,"jl. mampang prapatan vii no.28, rt.8/rw.008, tegal parang, kota jakarta selatan",ChIJ1Wwwm9DzaS4R6U2I1ns6Ld0,0.01525200000000737
warteg bahari,4.3,8,-6.243084899999999,106.8036004,"rt.5/rw.2, melawai, kota jakarta selatan",ChIJnR10wNHxaS4RW1jJIolVFBg,0.025235899999998423
warteg timbul jaya 4,4.1,13,-6.2494235,106.817759,"no.23, jl. bangka raya no.8, rt.2/rw.12, pela mampang, kota jakarta selatan",ChIJ6QThX33xaS4RyXnW6W5LXYY,0.01741589999999782
warteg kharisma bahari,4.2,99,-6.2403191,106.8292345,"jl. mp. prapatan gg. iv, rt.2/rw.2, tegal parang, kota jakarta selatan",ChIJJ5S9HgLzaS4RHz4FCQd7O2s,0.010780000000004009
warteg berkah,4.3,3,-6.222456999999999,106.820594,"jl. guru mughni no.147, rt.1/rw.3, karet semanggi, kota jakarta selatan",ChIJmRFo5qrzaS4RJLZsBv2W5Vg,0.0157225999999957
warteg putri,4.5,17,-6.219725299999999,106.8244858,"jl. h. sidik no.30, rt.6/rw.6, kuningan, karet kuningan, kota jakarta selatan",ChIJObivLHDzaS4Rrutp4VQq0M8,0.019009100000013213
warteg alfar,0,0,-6.2422301,106.8322901,"jl. tegal parang sel., rt.2/rw.4, mampang prpt., kota jakarta selatan",ChIJQ1BJecPzaS4R0CFExOnZawU,0.015746599999999944
warteg bangka 2,4.4,113,-6.2438636,106.819218,"jl. bangka ii no.rt.12, rt.12/rw.1, pela mampang, kota jakarta selatan",ChIJyzDruNjzaS4RBaMrsK3v6lU,0.010396999999986889
