nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg zakaria,0,0,-6.258705600000001,106.8377832,"jl. duren tiga selatan no.67, rt.8/rw.3, duren tiga, kota jakarta selatan",ChIJEdU31onzaS4R3-9pMWJZO68,0
warteg rido ilahi,5,1,-6.2545115,106.83366,"jl. duren tiga raya no.54, rt.4/rw.1, duren tiga, kota jakarta selatan",ChIJnwuHRMzzaS4RMUc33pEyWKc,0
warteg aulia,0,0,-6.2620442,106.833406,"jl. kalibata tengah no.3, rt.3/rw.3, kalibata, kota jakarta selatan",ChIJVyjnxTPyaS4Rx0Z0jpu1Dys,0
warteg bercahaya,4.4,5,-6.258806,106.835951,"jl. duren tiga selatan, rt.15/rw.2, duren tiga, kota jakarta selatan",ChIJr-4DwjnzaS4RqpDIg1cSgx8,0
warteg family xii,5,1,-6.258811,106.835822,"jl. duren tiga selatan, rt.9/rw.2, duren tiga, dki jakarta",ChIJH8VAoTTyaS4RAyniWwYEJqs,0
dapur warteg putra jaya,3.8,10,-6.2586857,106.8368179,"jl. gajah mungkur, rt.11/rw.3, duren tiga, jakarta",ChIJMak7vzTyaS4RL7jm4GLN5ho,0
warteg sony  berhias ,4.2,5,-6.260897,106.835554,"no pancoran, jl. kalibata utara ii no.63, rt.8/rw.7, kalibata, kota jakarta selatan",ChIJxT10eDTyaS4RXaNA1c1Uvhg,0
warteg dewi,3.8,4,-6.2534892,106.840767,"jl. duren tiga raya, rt.1/rw.1, pancoran, kota jakarta selatan",ChIJ624TDsrzaS4RtcJpUsWQ24E,0
wahyoo warteg pada rukun 2,5,1,-6.2602198,106.8403418,"jl. kalibata utara ii no.62, rt.5/rw.2, kalibata, kota jakarta selatan",ChIJ_ZYjot_zaS4Rj4j_DDqr_hU,0
warteg ridho ilahi,5,1,-6.2545199,106.8336721,"jl. duren tiga selatan iv a no.1-103, rt.4/rw.1, duren tiga, kota jakarta selatan",ChIJ98fL6MfzaS4REOzy0_b65s4,0
warteg aji,3.9,14,-6.2590796,106.8436271,"jl. kalibata timur i gg. rukun no.2, rt.1/rw.8, kalibata, kota jakarta selatan",ChIJJ6716EryaS4RanjpCv2gLg8,0
warteg bahari,4.2,16,-6.2651463,106.8340135,"jl. wr. jati timur raya no.20, rt.4/rw.9, kalibata, kota jakarta selatan",ChIJrzhpIjHyaS4RSQsSV-ltA_k,0
warteg dapuk,4.1,113,-6.253419900000001,106.8384314,"jl. duren tiga selatan, rt.3/rw.6, duren tiga, kota jakarta selatan",ChIJpbbHNhfzaS4RXx6_ORxH6x8,0
warteg berkah,4.6,15,-6.260322299999999,106.8433643,"jl. raya pasar minggu no.4, rt.5/rw.8, kalibata, kota jakarta selatan",ChIJHzBDQ0ryaS4RnbkZLtNcKPg,0
warteg kharisma bahari,3.8,21,-6.253233,106.8373344,"jl. duren tiga raya no.41, rt.5/rw.6, duren tiga, kota jakarta selatan",ChIJYwBuaqbzaS4Rc_bfFtZiX4c,0
warteg pesona bahari,4.5,6,-6.2532369,106.8426154,"jl. raya pasar minggu no.46, rt.3/rw.7, duren tiga, kota jakarta selatan",ChIJtb4l6bXzaS4RroOmPgeOchY,0
warteg subsidi,4.7,10,-6.2586967,106.8417007,"jl. duren tiga selatan no.37, rt.1/rw.2, kalibata, kota jakarta selatan",ChIJp7MTo4XzaS4R9aub3jE0gd4,0
warteg kowantara jakarta selatan,0,0,-6.2608279,106.8433146,"jl. raya pasar minggu no.4, rt.5/rw.8, kalibata, kota jakarta selatan",ChIJ-_NRWUryaS4RkR4zsF4Gt6U,0
warteg inyong,4.4,8,-6.253276899999999,106.8363791,"jl. gg. duren tiga no.47, rt.8/rw.6, duren tiga, kota jakarta selatan",ChIJ-6HO78vzaS4RDsLza33oBZ0,0
warteg sederhana ibu siti,5,8,-6.263507,106.84302,"blok kalibata selatan 2g jalan kalibata selatan ii b blok kalibata selatan 2g no.16a, rt.1/rw.4, kalibata, kota jakarta selatan",ChIJ0xHK7EnyaS4R_78youc08X0,0
wahyoo warteg bahari,5,1,-6.2632667,106.8310505,"jalan warung jati timur raya nomor 9b buncit kalibata, jakarta selatan rt.1.010 9, rt.1/rw.9, kalibata, kota jakarta selatan",ChIJP8Vv2uDzaS4RcSz03_MY984,0
warteg subsidi,4.8,5,-6.2521157,106.8349458,"jl. mampang prpt. xv b no.12, rt.12/rw.5, duren tiga, kota jakarta selatan",ChIJy8cM5DHzaS4RCABzl8GnDHE,0
warteg salsabilla,4.2,31,-6.2347018,106.8378487,"2, jl. rasamala iii no.3, rt.2/rw.13, menteng dalam, kota jakarta selatan",ChIJq93OrevzaS4R8Q3x2ynNcyI,0
warteg rasamala,4,104,-6.2361868,106.8402147,"jl. rasamala raya no.24, rt.9/rw.2, menteng dalam, kota jakarta selatan",ChIJ802RvurzaS4Rx2pin99rm7A,0
warteg bahari,4.5,12,-6.2355784,106.842835,"jl. masjid an nur no.24a, rt.4/rw.2, menteng dalam, kota jakarta selatan",ChIJlXALPpXzaS4RrjkhZxIhv9I,0
warteg berkah jaya,0,0,-6.2347538,106.8402984,"jl. rasamala 1 no.2a, rt.4/rw.2, menteng dalam, kota jakarta selatan",ChIJYeUz2erzaS4RoDId64f4Zzw,0
warteg podomoro 3,5,1,-6.2321442,106.8441351,"jalan merpati 3 no.26, rt.1/rw.3, menteng dalam, kota jakarta selatan",ChIJBzn-f5PzaS4R17_-nsHYGso,0
warteg cahaya baru,4.9,7,-6.235236,106.844091,"jalan prof. dr. soepomo no. 145b rrt. 07/01, menteng dalam, tebet, rt.7/rw.1, menteng dalam, kota jakarta selatan",ChIJhUGeCJXzaS4RQDxlB2kfUOw,0
warteg aji,3.9,14,-6.2590796,106.8436271,"jl. kalibata timur i gg. rukun no.2, rt.1/rw.8, kalibata, kota jakarta selatan",ChIJJ6716EryaS4RanjpCv2gLg8,0
warteg berkah,4.6,15,-6.260322299999999,106.8433643,"jl. raya pasar minggu no.4, rt.5/rw.8, kalibata, kota jakarta selatan",ChIJHzBDQ0ryaS4RnbkZLtNcKPg,0
warteg pancoran,4.2,67,-6.262366099999999,106.8458853,"jl. kalibata timur no.49, rt.9/rw.8, kalibata, kota jakarta selatan",ChIJBf9O3kvyaS4RfEJORj-sS-w,0
warteg kowantara jakarta selatan,0,0,-6.2608279,106.8433146,"jl. raya pasar minggu no.4, rt.5/rw.8, kalibata, kota jakarta selatan",ChIJ-_NRWUryaS4RkR4zsF4Gt6U,0
warteg sederhana ibu siti,5,8,-6.263507,106.84302,"blok kalibata selatan 2g jalan kalibata selatan ii b blok kalibata selatan 2g no.16a, rt.1/rw.4, kalibata, kota jakarta selatan",ChIJ0xHK7EnyaS4R_78youc08X0,0
warteg doa ibu,4,2,-6.262507100000001,106.8473491,"jl. kalibata timur no.66, rt.14/rw.1, pejaten tim., kota jakarta selatan",ChIJV98AAEzyaS4RXTNYZZrC51s,0
wahyoo warteg pada rukun 2,5,1,-6.2602198,106.8403418,"jl. kalibata utara ii no.62, rt.5/rw.2, kalibata, kota jakarta selatan",ChIJ_ZYjot_zaS4Rj4j_DDqr_hU,0
warteg latifah,4.3,21,-6.266245,106.8422818,"jalan warung jati timur, rt.10, pejaten bar., kota jakarta selatan",ChIJF3u8PEjyaS4RppTLQD3jtGY,0
warteg zakaria,0,0,-6.258705600000001,106.8377832,"jl. duren tiga selatan no.67, rt.8/rw.3, duren tiga, kota jakarta selatan",ChIJEdU31onzaS4R3-9pMWJZO68,0
warteg jaya makmur,0,0,-6.2658181,106.8442605,"jl. raya pasar minggu, rt.13/rw.1, pejaten tim., kota jakarta selatan",ChIJHdODV0jyaS4RZvtForGZfpo,0
warteg arisba,4,1,-6.2624065,106.8462673,"jl. kalibata timur no.31, rt.9/rw.8, pejaten tim., kota jakarta selatan",ChIJB9UqbXvzaS4R78pKGmp2q2g,0
warteg subsidi,4.7,10,-6.2586967,106.8417007,"jl. duren tiga selatan no.37, rt.1/rw.2, kalibata, kota jakarta selatan",ChIJp7MTo4XzaS4R9aub3jE0gd4,0
warteg rizki,4.1,65,-6.2660974,106.8373555,"jl. h. samali no.85a, rt.19/rw.1, pejaten bar., kota jakarta selatan",ChIJfSI6FzfyaS4RV5A5eTBt33M,0
dapur warteg putra jaya,3.8,10,-6.2586857,106.8368179,"jl. gajah mungkur, rt.11/rw.3, duren tiga, jakarta",ChIJMak7vzTyaS4RL7jm4GLN5ho,0
warteg pesona,4.5,12,-6.266267099999999,106.8409779,"jl. h. samali no.3, rt.13/rw.1, pejaten bar., kota jakarta selatan",ChIJ-akM3DfyaS4R0B-mxTXBUCM,0
warteg narti,4.6,18,-6.26649,106.8445837,"jl. raya pasar minggu no.km. 18, rt.13/rw.1, pejaten bar., kota jakarta selatan",ChIJIS0mi0jyaS4RcS_Vt4iQEx4,0
warteg latifah,4.3,21,-6.266245,106.8422818,"jalan warung jati timur, rt.10, pejaten bar., kota jakarta selatan",ChIJF3u8PEjyaS4RppTLQD3jtGY,0
warteg aji,3.9,14,-6.2590796,106.8436271,"jl. kalibata timur i gg. rukun no.2, rt.1/rw.8, kalibata, kota jakarta selatan",ChIJJ6716EryaS4RanjpCv2gLg8,0
warteg berkah,4.6,15,-6.260322299999999,106.8433643,"jl. raya pasar minggu no.4, rt.5/rw.8, kalibata, kota jakarta selatan",ChIJHzBDQ0ryaS4RnbkZLtNcKPg,0
warteg jaya makmur,0,0,-6.2658181,106.8442605,"jl. raya pasar minggu, rt.13/rw.1, pejaten tim., kota jakarta selatan",ChIJHdODV0jyaS4RZvtForGZfpo,0
