nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg putra bahari,4.3,4,-6.2456577,106.819603,"rt.2/rw.3, pela mampang, kota jakarta selatan",ChIJVVVVaNjzaS4RyixQLFrqka8,0
warteg nojo jaya,4.3,52,-6.2464479,106.8187618,"jl. bangka ii no.44b, rt.1/rw.3, pela mampang, kota jakarta selatan",ChIJx7Z8btjzaS4RPtfQJN3azZ0,0
warteg sederhana,4.7,11,-6.248002,106.816425,"5 no, jl. bangka no.13, rt.10/rw.3, pela mampang, dki jakarta",ChIJw3WatWLxaS4RRAE587JshQE,0
warteg xii mutiara bahari,4.8,6,-6.2456644,106.8155586,"rt.1/rw.11, pela mampang, kota jakarta selatan",ChIJ-1nXV2LxaS4RZv5LRU6mKHY,0
warteg bazaar,4.6,66,-6.246372,106.8154781,"jl. bangka raya no36b.rt.14, rt.14/rw.3, pela mampang, kota jakarta selatan",ChIJY5OIUGLxaS4RnR318NF3PAM,0
warteg timbul jaya 4,4.1,13,-6.2494235,106.817759,"no.23, jl. bangka raya no.8, rt.2/rw.12, pela mampang, kota jakarta selatan",ChIJ6QThX33xaS4RyXnW6W5LXYY,0
warteg bangka 2,4.4,113,-6.2438636,106.819218,"jl. bangka ii no.rt.12, rt.12/rw.1, pela mampang, kota jakarta selatan",ChIJyzDruNjzaS4RBaMrsK3v6lU,0
warteg bahari h. abdul ghani,4.7,3,-6.2465945,106.823206,"6, jl. kh. marzuki ishaq no.7, rt.6/rw.3, tegal parang, kota jakarta selatan",ChIJNyjub13zaS4RphNs0TCmKW8,0
warteg berkah jaya,0,0,-6.242133700000001,106.8201452,"jl. bangka i a no.18, rt.5/rw.9, pela mampang, jakarta",ChIJz3KxaWnzaS4RE3VmXvN8OeI,0
"warteg bu nani, gang jati bawah.",2.5,2,-6.2418962,106.8228196,"gg. jati no.10, rt.11/rw.1, mampang prpt., kota jakarta selatan",ChIJSQNofAXzaS4R1p_FsjsamKs,0
warteg xii - kemang,4.1,35,-6.2489796,106.8145839,"8, jl. bangka raya no.28, rt.8/rw.11, pela mampang, kota jakarta selatan",ChIJD30qgOHxaS4R4K_8470O7U8,0
