nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg sri,4.1,16,-6.233523000000001,106.8651764,"jl. f bawah no 35 rt/rw. 008/008 12830, rt.8/rw.8, kb. baru, kota jakarta selatan",ChIJqYbNgHXzaS4R-cNXpaQAU9M,0
warteg bude bahari,4.2,36,-6.2345077,106.8652751,"jl. j no.3, rt.8/rw.8, kb. baru, kota jakarta selatan",ChIJvSw_Y3XzaS4RxEE6eX7ExHg,0
warteg subur jaya,3.5,2,-6.2386555,106.8604565,"jl. asem baris raya no.115, rt.3/rw.11, kb. baru, kota jakarta selatan",ChIJrYJSlqHzaS4RqVK2H3B34Vo,0
warteg nojo jaya,4.6,8,-6.2350157,106.8600161,"jl. asem baris raya no.36a, rt.4/rw.6, kb. baru, kota jakarta selatan",ChIJtUT4Op_zaS4R5XX7ufYQ850,0
warteg jaya bahari,4.3,71,-6.229081799999999,106.8589533,"qvc5+9h8, rt.4/rw.5, kebon baru, south jakarta city",ChIJv7OqgZvzaS4RReSkChFTU5c,0
warteg fariska,4.4,44,-6.233581,106.8626669,"jl. kb. baru utara - d no.18, rt.14/rw.7, kb. baru, kota jakarta selatan",ChIJc86GUZ7zaS4RUXJ39wMSm1I,0
warteg bahari,4.2,16,-6.2651463,106.8340135,"jl. wr. jati timur raya no.20, rt.4/rw.9, kalibata, kota jakarta selatan",ChIJrzhpIjHyaS4RSQsSV-ltA_k,0
warteg hidayah,5,1,-6.2718263,106.8276766,"5, jl. kamboja no.43, rw.8, pejaten bar.",ChIJeSROtLjzaS4RolubxfAMtik,0
warteg lestari,4,1,-6.273784999999999,106.831858,"jl. amil no.mor 82, rt.12/rw.5, kalibata, kota jakarta selatan",ChIJv-QyhTzyaS4RpaVm0DGelts,0
warteg nusantara multisukma,4.9,7,-6.272241999999999,106.8308732,"jl. warung buncit raya no.448, rt.3/rw.5, kalibata, kota jakarta selatan",ChIJr7nBP9vzaS4RYhYly09xFB8,0
warteg putri,5,3,-6.269626499999999,106.8306391,"jl. warung buncit raya no.36, rt.9/rw.5, kalibata, kota jakarta selatan",ChIJT1AnxzryaS4R7DHv3FSdifk,0
warteg jaya bahari - 24 jam,5,1,-6.2739129,106.8315947,"jl. amil jl. warung buncit raya no.74, rt.12/rw.5, kalibata, kota jakarta selatan",ChIJ2dPk42_zaS4R0S43y6lJrTo,0
warteg nusantara milenia,4.6,192,-6.2722447,106.8307662,"jl. warung buncit raya, rt.10/rw.5, kalibata, kota jakarta selatan",ChIJRSdrIgfzaS4RluxBS9gsOhI,0
warteg sari maidah lilis,5,1,-6.267929899999999,106.833121,"jl. pejaten indah no.1, rt.7/rw.5, kalibata, kota jakarta selatan",ChIJz23gTwvzaS4RsuSAcGBL7OM,0
warteg bahari,0,0,-6.2755442,106.8303481,"jl. amil no.75, rt.12/rw.5, kalibata, kota jakarta selatan",ChIJe16ZcBPtaS4RW-hMZ2nPRU0,0
warteg bahari,5,1,-6.265148,106.8239236,"jl. kemang timur no.43, rt.9/rw.3, bangka, kota jakarta selatan",ChIJqyITzS7yaS4RBLkOO45wYq8,0
wahyoo warteg putri jaya,5,2,-6.263434699999999,106.8294758,"jl. warung jati barat i no.42, rt.6/rw.3, kalibata, kota jakarta selatan",ChIJ-bUkHS7yaS4Rerw3pjsJnso,0
