nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg barokah,4,1,-6.2434052,106.835417,"jl. pancoran barat xic, rt.5/rw.3, pancoran, kota jakarta selatan",ChIJM-bbHcTzaS4Rd_xzhiQUmbw,0
warteg pojok,4.5,4,-6.242638299999999,106.8367715,"jl. pancoran barat xi no.19, rt.1/rw.3, pancoran, kota jakarta selatan",ChIJ97NFtMbzaS4R11zCKNnQMXo,0
warteg bahariin,0,0,-6.2419072,106.8370313,"jl. pancoran barat xi, rt.1/rw.3, pancoran, kota jakarta selatan",ChIJmwIiSLTzaS4RCHygGEbhyUg,0
warteg jaya bahari,3.8,71,-6.2429118,106.8324035,"jl. tegal parang utara no.8, rw.4, mampang prapatan, south jakarta city",ChIJLxmzydXzaS4RwXUdsDypiro,0
warteg alfar,0,0,-6.2422301,106.8322901,"jl. tegal parang sel., rt.2/rw.4, mampang prpt., kota jakarta selatan",ChIJQ1BJecPzaS4R0CFExOnZawU,0
warteg mini,5,5,-6.2443728,106.8323338,"jl. tegal parang utara no.37b, rt.7/rw.4, mampang prpt., kota jakarta selatan",ChIJlaMX98TzaS4R6jRYgeneZuc,0
wahyoo warteg bahari tegal,4.2,33,-6.245285,106.832002,"jl. mampang prpt. raya no.50, rt.6/rw.2, tegal parang, jakarta",ChIJYRJm8HDzaS4R2dbsP7HAQQY,0
warteg bahari,4.5,12,-6.2355784,106.842835,"jl. masjid an nur no.24a, rt.4/rw.2, menteng dalam, kota jakarta selatan",ChIJlXALPpXzaS4RrjkhZxIhv9I,0
warteg rasamala,4,104,-6.2361868,106.8402147,"jl. rasamala raya no.24, rt.9/rw.2, menteng dalam, kota jakarta selatan",ChIJ802RvurzaS4Rx2pin99rm7A,0
warteg jaya makmur,4.1,13,-6.247274,106.842307,"jl. raya psr minggu, rt.1/rw.4, pancoran, kota jakarta selatan",ChIJ9coSHbjzaS4R2kA_O_yILi8,0
warteg latifah,3.9,61,-6.245214499999999,106.8308268,"jl. mampang prapatan iv, rt.15/rw.4, mampang prpt., kota jakarta selatan",ChIJTXvhJ8XzaS4RHQma6XlEioI,0
warteg buncit iv,4.4,16,-6.2480077,106.8321559,"jl. tegal parang selatan i no.3a, rt.2/rw.4, tegal parang, kota jakarta selatan",ChIJsTilthjzaS4RGCWgA7NcDMM,0
wahyoo warteg prima jaya,5,3,-6.247241000000001,106.842891,"jl. raya pasar minggu no.rt. 6, rt.7/rw.2, pancoran, kota jakarta selatan",ChIJKy13Ai3zaS4RVuf_amVkFoo,0
warteg latifah,0,0,-6.2451993,106.8306441,"jl. bank raya ii no.4 no. 63, rt.7/rw.007, tegal parang, kota jakarta selatan",ChIJ-aZRIYfxaS4R1wkywsKq54M,0
warteg jaya,3.9,28,-6.2712922,106.8379339,"jl. siaga raya no.40, rt.16/rw.4, pejaten bar., kota jakarta selatan",ChIJba7_GjnyaS4RwvL_2vfaeuE,0
warteg ibu wiwi,4.6,81,-6.2724758,106.8409511,"jl. warga i ma no.69, rt.14/rw.3, pejaten bar., kota jakarta selatan",ChIJ3dzsrjjyaS4R8q0L6svz864,0
warteg kowantara jaksel,5,1,-6.272705999999999,106.8375609,"jl. amil no.7, rt.4/rw.3, pejaten bar., kota jakarta selatan",ChIJ0-t3MTnyaS4RC2XU2vafM4E,0
wahyoo warteg anugrah,5,1,-6.2672571,106.8374,"jl. siaga raya no.9, rt.14/rw.4, pejaten bar., kota jakarta selatan",ChIJzUyWbjfyaS4R0FBhXmuLbwo,0
warteg rinjani,4.9,55,-6.2681949,106.8400081,"gang f no.19 rt 12, rt.1/rw.1, pejaten bar., kota jakarta selatan",ChIJCTcN-EfyaS4R-7UcC_gPMMk,0
warteg slawi ayu,0,0,-6.2709874,106.8357871,"jl. siaga swadaya no.8, rt.6/rw.4, pejaten bar., kota jakarta selatan",ChIJRaCLpqzzaS4R7cQ_uhZbY24,0
warteg kharisma bahari,4.9,17,-6.270404099999999,106.8377532,"jl. komp. siaga utama no.3, rt.7/rw.4, pejaten bar., kota jakarta selatan",ChIJTV4FpL7zaS4REiOUTGqhK9U,0
warteg latifah,4.3,21,-6.266245,106.8422818,"jalan warung jati timur, rt.10, pejaten bar., kota jakarta selatan",ChIJF3u8PEjyaS4RppTLQD3jtGY,0
warteg alief bahari,4,5,-6.2697337,106.839856,"jl. al fajri no.17, rt.12/rw.1, pejaten bar., kota jakarta selatan",ChIJ1zHFQjjyaS4RZSMp80Bh5c8,0
warteg rizki,4.1,65,-6.2660974,106.8373555,"jl. h. samali no.85a, rt.19/rw.1, pejaten bar., kota jakarta selatan",ChIJfSI6FzfyaS4RV5A5eTBt33M,0
warteg bahari,4.2,16,-6.2651463,106.8340135,"jl. wr. jati timur raya no.20, rt.4/rw.9, kalibata, kota jakarta selatan",ChIJrzhpIjHyaS4RSQsSV-ltA_k,0
warteg sari maidah lilis,5,1,-6.267929899999999,106.833121,"jl. pejaten indah no.1, rt.7/rw.5, kalibata, kota jakarta selatan",ChIJz23gTwvzaS4RsuSAcGBL7OM,0
warteg lestari,4,1,-6.273784999999999,106.831858,"jl. amil no.mor 82, rt.12/rw.5, kalibata, kota jakarta selatan",ChIJv-QyhTzyaS4RpaVm0DGelts,0
warteg baru,4.7,6,-6.270289000000001,106.844388,"jalan warung buncit raya no 7 (dekat halte busway jatipadang), rt.6/rw.1, pejaten bar., kota jakarta selatan",ChIJif___0byaS4RQFXVn523rY4,0
warteg jaya makmur,0,0,-6.2658181,106.8442605,"jl. raya pasar minggu, rt.13/rw.1, pejaten tim., kota jakarta selatan",ChIJHdODV0jyaS4RZvtForGZfpo,0
warteg pesona,4.5,12,-6.266267099999999,106.8409779,"jl. h. samali no.3, rt.13/rw.1, pejaten bar., kota jakarta selatan",ChIJ-akM3DfyaS4R0B-mxTXBUCM,0
warteg sampoerna,4.9,9,-6.2775802,106.8406119,"jl. pejaten raya no.5, rt.10/rw.10, pejaten bar., kota jakarta selatan",ChIJN_EWlhXyaS4R5WKxKgSnfoE,0
warteg jaya bahari - 24 jam,5,1,-6.2739129,106.8315947,"jl. amil jl. warung buncit raya no.74, rt.12/rw.5, kalibata, kota jakarta selatan",ChIJ2dPk42_zaS4R0S43y6lJrTo,0
warteg jaya,3.9,28,-6.2712922,106.8379339,"jl. siaga raya no.40, rt.16/rw.4, pejaten bar., kota jakarta selatan",ChIJba7_GjnyaS4RwvL_2vfaeuE,0
warteg baru,4.7,6,-6.270289000000001,106.844388,"jalan warung buncit raya no 7 (dekat halte busway jatipadang), rt.6/rw.1, pejaten bar., kota jakarta selatan",ChIJif___0byaS4RQFXVn523rY4,0
warteg ibu wiwi,4.6,81,-6.2724758,106.8409511,"jl. warga i ma no.69, rt.14/rw.3, pejaten bar., kota jakarta selatan",ChIJ3dzsrjjyaS4R8q0L6svz864,0
warteg kowantara jaksel,5,1,-6.272705999999999,106.8375609,"jl. amil no.7, rt.4/rw.3, pejaten bar., kota jakarta selatan",ChIJ0-t3MTnyaS4RC2XU2vafM4E,0
warteg rinjani,4.9,55,-6.2681949,106.8400081,"gang f no.19 rt 12, rt.1/rw.1, pejaten bar., kota jakarta selatan",ChIJCTcN-EfyaS4R-7UcC_gPMMk,0
warteg pink bu ipah,5,2,-6.274701899999999,106.8416044,"prgr+4j9, rt.5/rw.5, west pejaten, south jakarta city",ChIJq6qqnUDyaS4RjIJgyWzF_Oc,0
warteg kharisma bahari,4.9,17,-6.270404099999999,106.8377532,"jl. komp. siaga utama no.3, rt.7/rw.4, pejaten bar., kota jakarta selatan",ChIJTV4FpL7zaS4REiOUTGqhK9U,0
warteg alief bahari,4,5,-6.2697337,106.839856,"jl. al fajri no.17, rt.12/rw.1, pejaten bar., kota jakarta selatan",ChIJ1zHFQjjyaS4RZSMp80Bh5c8,0
warteg salsabila ( warung makan )🏣,4.4,8,-6.2722508,106.8464372,"gg. bend. no.39, rt.1/rw.3, pejaten bar., kota jakarta selatan",ChIJ24VZsEbyaS4Rq1YUWGLo7VE,0
warteg wahyu,4.3,3,-6.268618999999999,106.8460563,"jl. raya pasar minggu no.8c, rt.12/rw.1, pejaten tim., kota jakarta selatan",ChIJqRViPUbyaS4RWCZ0G5hXc0A,0
warteg latifah,4.3,21,-6.266245,106.8422818,"jalan warung jati timur, rt.10, pejaten bar., kota jakarta selatan",ChIJF3u8PEjyaS4RppTLQD3jtGY,0
warteg sampoerna,4.9,9,-6.2775802,106.8406119,"jl. pejaten raya no.5, rt.10/rw.10, pejaten bar., kota jakarta selatan",ChIJN_EWlhXyaS4R5WKxKgSnfoE,0
warteg rahayu,4.3,23,-6.272866199999999,106.8475613,"jl. rawajati timur, rt.6/rw.6, pejaten tim., kota jakarta selatan",ChIJ7_t8_0PyaS4RetfTi5UxFYI,0
