nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg,4.3,47,-6.2765407,106.82422199999999,"warteg, jalan pejatan barat raya, rt.2/rw.8, pejaten bar., kota jakarta selatan",ChIJzR3iLiLyaS4R_HUpPw1-R4w,0.025190299999998444
warteg 99,4.2,23,-6.274098,106.82209009999998,"jl. kecapi no.3, rt.14/rw.8, pejaten bar., kota jakarta selatan",ChIJy4TQMiHyaS4RyI3wvKzIVBE,0.024879500000007937
warteg bahari arifin,4.0,70,-6.2795622999999985,106.8367311,"jl. pejaten raya no.42, rt.8/rw.10, jati padang, kota jakarta selatan",ChIJERXUvxXyaS4ROj-h_ArKI1E,0.015702800000009454
warteg kharisma bahari,4.3,3,-6.279150599999999,106.8329876,"jl. pejaten raya no.15 c, rt.13/rw.2, jati padang, kota jakarta selatan",ChIJfWkl1PbzaS4Re06oh4i800E,0.01903460000000745
warteg bude murmer,4.4,5,-6.2809678999999985,106.83213970000001,"jl. jatipadang utara no.76, rt.13/rw.2, jati padang, kota jakarta selatan",ChIJx-DcBhfyaS4REQ7pgK-jCIY,0.021699800000004817
warteg syarifah,4.5,6,-6.2774047,106.82712830000001,"jalan pejaten barat raya no. 34, pejaten barat, pasar minggu, rt.8/rw.8, pejaten bar., kota jakarta selatan",ChIJpYy2t5vzaS4RcUV5QF7iD_c,0.023148000000006164
warteg rina jaya,4.4,194,-6.279681299999999,106.8345414,"jl. pejaten raya no.3, rt.13/rw.2, pejaten bar., kota jakarta selatan",ChIJwczEahbyaS4RGCdN8Ov_b8k,0.01801149999999829
warteg saniki,4.6,27,-6.250999699999999,106.8350007,"jl. mampang prapatan xiv no.100, rt.8/rw.4, tegal parang, kota jakarta selatan",ChIJuZfW887zaS4RsTUoBdsp-Ko,0.015152400000009612
warteg bu sari,4.5,6,-6.241578700000001,106.81760390000001,"jl. bangka raya, rt.3/rw.1, pela mampang, kota jakarta selatan",ChIJ8xLw3mHxaS4RMk5Jcbk88VM,0.0
warteg bu isah,5.0,5,-6.2494852,106.81263529999998,"qr27+632, rt.8/rw.7, pela mampang, south jakarta city",ChIJ4yuXZwXxaS4RLlaHvd1i6qk,0.0
