nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari,4.3,438,-6.2516782,106.8505178,"jl. pengadegan selatan no.12, rt.3/rw.5, pengadegan, kota jakarta selatan",ChIJIV4Ig7HzaS4RAOHhKF4zxeE,0.0038024000000085323
warteg nojo jaya,4.6,8,-6.2350157,106.8600161,"jl. asem baris raya no.36a, rt.4/rw.6, kb. baru, kota jakarta selatan",ChIJtUT4Op_zaS4R5XX7ufYQ850,0.029963199999998302
warteg 24 jam,4.3,44,-6.2463126,106.8590844,"jl. cikoko timur raya no.10, rt.4/rw.1, cikoko, kota jakarta selatan",ChIJXxB3_aXzaS4ROq1fqmtY66I,0.017734600000002487
warteg salsabilla,4.2,31,-6.2347018,106.8378487,"2, jl. rasamala iii no.3, rt.2/rw.13, menteng dalam, kota jakarta selatan",ChIJq93OrevzaS4R8Q3x2ynNcyI,0.027087700000001824
warteg bahari,4.2,16,-6.2651463,106.8340135,"jl. wr. jati timur raya no.20, rt.4/rw.9, kalibata, kota jakarta selatan",ChIJrzhpIjHyaS4RSQsSV-ltA_k,0.026169999999999582
warteg barokah,4,1,-6.2434052,106.835417,"jl. pancoran barat xic, rt.5/rw.3, pancoran, kota jakarta selatan",ChIJM-bbHcTzaS4Rd_xzhiQUmbw,0.020815999999990176
warteg bu haji,0,0,-6.2533106,106.8481756,"jl. kh.mahmud,buntu no.7, rt.5/rw.4, duren tiga, kota jakarta selatan",ChIJs0Hks73zaS4R7qyhiRJX9jk,0.0018480000000078434
warteg pojok,4.5,4,-6.242638299999999,106.8367715,"jl. pancoran barat xi no.19, rt.1/rw.3, pancoran, kota jakarta selatan",ChIJ97NFtMbzaS4R11zCKNnQMXo,0.020228399999999702
warteg wareg,4.2,11,-6.2604745,106.8548314,"jl. rawajati timur ii, rt.8/rw.2, rawajati, kota jakarta selatan",ChIJi23uQlLyaS4RE38gTLQ5ePI,0.015667699999998064
warteg rejo,4.3,85,-6.2500474,106.8365005,"jl. pancoran barat vii, rt.3/rw.6, pancoran, kota jakarta selatan",ChIJwzmO2MjzaS4RhQ3lUJ_iSZo,0.013090299999997335
warteg jayabahari,3,1,-6.2492558,106.8585973,"jl. pengadegan timur raya no.13, rt.3/rw.2, pengadegan, kota jakarta selatan",ChIJFai7Ka_zaS4R8ZJBl48vVJs,0.014304300000001824
warteg latifah,4.3,21,-6.266245,106.8422818,"jalan warung jati timur, rt.10, pejaten bar., kota jakarta selatan",ChIJF3u8PEjyaS4RppTLQD3jtGY,0.019000400000002138
warteg restu ibu,4.2,22,-6.2472631,106.8534447,"jl. pengadegan utara ii no.4 rt.007/rw.07 kel, rt.8/rw.6, pengadegan, kota jakarta selatan",ChIJZdF7WOjzaS4RxgYkFhzAzTE,0.011144400000000054
warteg aji,3.9,14,-6.2590796,106.8436271,"jl. kalibata timur i gg. rukun no.2, rt.1/rw.8, kalibata, kota jakarta selatan",ChIJJ6716EryaS4RanjpCv2gLg8,0.010489699999991053
warteg rewangi,4.6,31,-6.2590946,106.8595283,"gg porti rt 10, gg. porti no.34, rt.10/rw.1, rawajati, kota jakarta selatan",ChIJaXaL63TzaS4RD1aRlunHBRo,0.01898469999999719
wahyoo warteg putri jaya,5,2,-6.263434699999999,106.8294758,"jl. warung jati barat i no.42, rt.6/rw.3, kalibata, kota jakarta selatan",ChIJ-bUkHS7yaS4Rerw3pjsJnso,0.028996099999998748
warteg bahariin,0,0,-6.2419072,106.8370313,"jl. pancoran barat xi, rt.1/rw.3, pancoran, kota jakarta selatan",ChIJmwIiSLTzaS4RCHygGEbhyUg,0.020699699999989996
wahyoo warteg bahari tegal,4.2,33,-6.245285,106.832002,"jl. mampang prpt. raya no.50, rt.6/rw.2, tegal parang, jakarta",ChIJYRJm8HDzaS4R2dbsP7HAQQY,0.02235119999999391
warteg,0,0,-6.251912799999999,106.8494694,"jl. h. mahmud raya, rt.4/rw.4, kalibata, kota jakarta selatan",ChIJp2isKTbzaS4RZPwI0GYl890,0.002519400000007721
warteg dewi,3.8,4,-6.2534892,106.840767,"jl. duren tiga raya, rt.1/rw.1, pancoran, kota jakarta selatan",ChIJ624TDsrzaS4RtcJpUsWQ24E,0.00775939999999764
warteg zakaria,0,0,-6.258705600000001,106.8377832,"jl. duren tiga selatan no.67, rt.8/rw.3, duren tiga, kota jakarta selatan",ChIJEdU31onzaS4R3-9pMWJZO68,0.01595959999999419
warteg rizki,4.1,65,-6.2660974,106.8373555,"jl. h. samali no.85a, rt.19/rw.1, pejaten bar., kota jakarta selatan",ChIJfSI6FzfyaS4RV5A5eTBt33M,0.023779099999996056
warteg baru,4.7,6,-6.270289000000001,106.844388,"jalan warung buncit raya no 7 (dekat halte busway jatipadang), rt.6/rw.1, pejaten bar., kota jakarta selatan",ChIJif___0byaS4RQFXVn523rY4,0.02093820000000335
warteg kharisma,4.2,18,-6.239914,106.84741,"jl. tebet barat dalam vii no.5 a, rt.9/rw.6, tebet bar., kota jakarta selatan",ChIJ677FKbzzaS4RXgH8C4vnh9k,0.012458799999999215
warteg berkah,4.6,15,-6.260322299999999,106.8433643,"jl. raya pasar minggu no.4, rt.5/rw.8, kalibata, kota jakarta selatan",ChIJHzBDQ0ryaS4RnbkZLtNcKPg,0.011995199999991435
warteg wahyu,4.3,3,-6.268618999999999,106.8460563,"jl. raya pasar minggu no.8c, rt.12/rw.1, pejaten tim., kota jakarta selatan",ChIJqRViPUbyaS4RWCZ0G5hXc0A,0.017599899999996005
warteg rido ilahi,5,1,-6.2545115,106.83366,"jl. duren tiga raya no.54, rt.4/rw.1, duren tiga, kota jakarta selatan",ChIJnwuHRMzzaS4RMUc33pEyWKc,0.01588870000000231
warteg aulia,0,0,-6.2620442,106.833406,"jl. kalibata tengah no.3, rt.3/rw.3, kalibata, kota jakarta selatan",ChIJVyjnxTPyaS4Rx0Z0jpu1Dys,0.023675400000001012
warteg kharisma bahari,3.8,21,-6.253233,106.8373344,"jl. duren tiga raya no.41, rt.5/rw.6, duren tiga, kota jakarta selatan",ChIJYwBuaqbzaS4Rc_bfFtZiX4c,0.010935799999994167
warteg jaya bahari,3.8,71,-6.2429118,106.8324035,"jl. tegal parang utara no.8, rw.4, mampang prapatan, south jakarta city",ChIJLxmzydXzaS4RwXUdsDypiro,0.024322899999998704
warteg rasamala,4,104,-6.2361868,106.8402147,"jl. rasamala raya no.24, rt.9/rw.2, menteng dalam, kota jakarta selatan",ChIJ802RvurzaS4Rx2pin99rm7A,0.023236699999992894
warteg asri bahari,4.6,17,-6.2575743,106.857948,"jl. binawarga no.2, rt.5/rw.5, rawajati, south jakarta city",ChIJ-Z-XQqvzaS4RDIBOECjZoOQ,0.015884099999996515
warteg dapuk,4.1,113,-6.253419900000001,106.8384314,"jl. duren tiga selatan, rt.3/rw.6, duren tiga, kota jakarta selatan",ChIJpbbHNhfzaS4RXx6_ORxH6x8,0.010025699999993698
warteg bercahaya,4.4,5,-6.258806,106.835951,"jl. duren tiga selatan, rt.15/rw.2, duren tiga, kota jakarta selatan",ChIJr-4DwjnzaS4RqpDIg1cSgx8,0.017892200000003022
warteg ridho ibu,4.6,15,-6.240116,106.8452333,"jl. prof. dr. soepomo no.31, rt.4/rw.1, menteng dalam, kota jakarta selatan",ChIJY5BMw77zaS4RcRklqw5XtMI,0.014288899999992388
warteg pesona bahari,4.5,6,-6.2532369,106.8426154,"jl. raya pasar minggu no.46, rt.3/rw.7, duren tiga, kota jakarta selatan",ChIJtb4l6bXzaS4RroOmPgeOchY,0.005658699999997907
warteg sampurna jaya,4.3,39,-6.257811900000001,106.8576985,"jl. rawajati timur no.1 no.1, rt.4/rw.1, rawajati, kota jakarta selatan",ChIJS2xxOFPyaS4Rf8kU7_Cveqk,0.015872200000002223
warteg ridho ibu,3,1,-6.2355081,106.8570736,"jl. tebet timur dalam raya no.2, rw.6, tebet tim., kota jakarta selatan",ChIJX1PskpjzaS4RgD_4nr4402o,0.026528300000009608
warteg ugi jaya,0,0,-6.249038199999999,106.8596685,"jl. pengadegan timur ii, rt.4/rw.1, pengadegan, kota jakarta selatan",ChIJpUbl1qjzaS4R221fy8pd2MM,0.015593100000001137
warteg bahari,5,1,-6.2457579,106.8591311,"jl. pengadegan utara no.10, rt.4/rw.2, cikoko, kota jakarta selatan",ChIJC86dsLvzaS4RiELAZPEfFh0,0.018336000000001462
warteg rr,0,0,-6.258087499999999,106.8596138,"plaza kalibata lantai basement, jl. kali bata raya, no. 1, rt.2/rw.7, rawajati, kota jakarta selatan",ChIJPX23o1TyaS4RJgM-E2fdgW0,0.018063100000007992
warteg pancoran,4.2,67,-6.262366099999999,106.8458853,"jl. kalibata timur no.49, rt.9/rw.8, kalibata, kota jakarta selatan",ChIJBf9O3kvyaS4RfEJORj-sS-w,0.011517999999989925
warteg ibu riska,4.4,15,-6.2480734,106.8533372,"jl. pengadegan bar. v no.19, rt.5/rw.7, pengadegan, kota jakarta selatan",ChIJOYI94K_zaS4Rd9nmHGB26iI,0.010226600000001085
markas warteg,0,0,-6.2513929,106.8559888,"jl. dpr 4 e no.3, rt.12/rw.5, rawajati, kota jakarta selatan",ChIJf0fUfK7zaS4Rewo2oKtMgfg,0.009558700000008358
warteg nan bahari,5,3,-6.246048,106.8589859,"jl. cikoko timur raya no.35, rt.3/rw.1, cikoko, kota jakarta selatan",ChIJleKw0PLzaS4Rqs4en8czoYA,0.017900699999995773
warteg sri rejeki,4.5,45,-6.246705,106.829133,"jl. mampang prpt. raya no.17, rt.8/rw.2, tegal parang, kota jakarta selatan",ChIJ8_93t9rzaS4RG7EsXgnOoYc,0.023800199999997496
warteg jaya makmur,4.1,13,-6.247274,106.842307,"jl. raya psr minggu, rt.1/rw.4, pancoran, kota jakarta selatan",ChIJ9coSHbjzaS4R2kA_O_yILi8,0.01005719999999144
warteg jaya makmur,5,4,-6.2411759,106.8446499,"jl. prof. dr. soepomo no.7, rt.4/rw.1, menteng dalam, kota jakarta selatan",ChIJYwXw0eXzaS4R2BJWYmrH6xs,0.0138124000000035
warteg putri,5,3,-6.269626499999999,106.8306391,"jl. warung buncit raya no.36, rt.9/rw.5, kalibata, kota jakarta selatan",ChIJT1AnxzryaS4R7DHv3FSdifk,0.03402459999999774
warteg kharisma bahari,4.2,99,-6.2403191,106.8292345,"jl. mp. prapatan gg. iv, rt.2/rw.2, tegal parang, kota jakarta selatan",ChIJJ5S9HgLzaS4RHz4FCQd7O2s,0.030084599999998574
warteg berkah jaya,4,4,-6.2487331,106.862521,"jl. pengadegan timur iv no.11, rt.10/rw.2, pengadegan, kota jakarta selatan",ChIJebiqJHfzaS4RVqmI--5Ibz8,0.018750700000003562
warteg bude bahari,4.2,36,-6.2345077,106.8652751,"jl. j no.3, rt.8/rw.8, kb. baru, kota jakarta selatan",ChIJvSw_Y3XzaS4RxEE6eX7ExHg,0.035730200000007706
