nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg warmo,4.1,3319,-6.230143,106.8523994,"jl. tebet timur raya no.1d, rt.8/rw.10, tebet tim., kota jakarta selatan",ChIJez1HhZDzaS4RDzWl0w4Y-5E,0.020396500000003925
warteg bahari,4.5,12,-6.2355784,106.842835,"jl. masjid an nur no.24a, rt.4/rw.2, menteng dalam, kota jakarta selatan",ChIJlXALPpXzaS4RrjkhZxIhv9I,0.024525500000006417
warteg putra bahari 112,4.9,20,-6.231840999999999,106.85273,"8, jl. tebet timur raya no.18d, rt.8/rw.10, east tebet, south jakarta city",ChIJz6k9KtvzaS4R2OKeQIHyhbs,0.018367900000006543
warteg bahari,4.3,438,-6.2516782,106.8505178,"jl. pengadegan selatan no.12, rt.3/rw.5, pengadegan, kota jakarta selatan",ChIJIV4Ig7HzaS4RAOHhKF4zxeE,0.0076480999999946064
warteg nojo jaya,4.6,8,-6.2350157,106.8600161,"jl. asem baris raya no.36a, rt.4/rw.6, kb. baru, kota jakarta selatan",ChIJtUT4Op_zaS4R5XX7ufYQ850,0.018512699999995164
warteg 24 jam,4.3,44,-6.2463126,106.8590844,"jl. cikoko timur raya no.10, rt.4/rw.1, cikoko, kota jakarta selatan",ChIJXxB3_aXzaS4ROq1fqmtY66I,0.0062840999999993485
warteg salsabilla,4.2,31,-6.2347018,106.8378487,"2, jl. rasamala iii no.3, rt.2/rw.13, menteng dalam, kota jakarta selatan",ChIJq93OrevzaS4R8Q3x2ynNcyI,0.030388400000004978
warteg bu haji,0,0,-6.2533106,106.8481756,"jl. kh.mahmud,buntu no.7, rt.5/rw.4, duren tiga, kota jakarta selatan",ChIJs0Hks73zaS4R7qyhiRJX9jk,0.011622699999995767
warteg barokah,4.3,10,-6.2300781,106.8526646,"jl. tebet timur raya no.32d, rt.9/rw.10, tebet tim., kota jakarta selatan",ChIJB2JJXLzzaS4Rl38TLDDvUEk,0.020196200000002662
warteg pojok,4.5,4,-6.242638299999999,106.8367715,"jl. pancoran barat xi no.19, rt.1/rw.3, pancoran, kota jakarta selatan",ChIJ97NFtMbzaS4R11zCKNnQMXo,0.023529100000002856
warteg wareg,4.2,11,-6.2604745,106.8548314,"jl. rawajati timur ii, rt.8/rw.2, rawajati, kota jakarta selatan",ChIJi23uQlLyaS4RE38gTLQ5ePI,0.01236699999999491
warteg rewangi,4.6,31,-6.2590946,106.8595283,"gg porti rt 10, gg. porti no.34, rt.10/rw.1, rawajati, kota jakarta selatan",ChIJaXaL63TzaS4RD1aRlunHBRo,0.015683999999994036
warteg restu ibu,4.2,22,-6.2472631,106.8534447,"jl. pengadegan utara ii no.4 rt.007/rw.07 kel, rt.8/rw.6, pengadegan, kota jakarta selatan",ChIJZdF7WOjzaS4RxgYkFhzAzTE,0.002231100000003039
