nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari,4.2,16,-6.2651463,106.8340135,"jl. wr. jati timur raya no.20, rt.4/rw.9, kalibata, kota jakarta selatan",ChIJrzhpIjHyaS4RSQsSV-ltA_k,0
wahyoo warteg putri jaya,5,2,-6.263434699999999,106.8294758,"jl. warung jati barat i no.42, rt.6/rw.3, kalibata, kota jakarta selatan",ChIJ-bUkHS7yaS4Rerw3pjsJnso,0
warteg zakaria,0,0,-6.258705600000001,106.8377832,"jl. duren tiga selatan no.67, rt.8/rw.3, duren tiga, kota jakarta selatan",ChIJEdU31onzaS4R3-9pMWJZO68,0
warteg rizki,4.1,65,-6.2660974,106.8373555,"jl. h. samali no.85a, rt.19/rw.1, pejaten bar., kota jakarta selatan",ChIJfSI6FzfyaS4RV5A5eTBt33M,0
warteg aulia,0,0,-6.2620442,106.833406,"jl. kalibata tengah no.3, rt.3/rw.3, kalibata, kota jakarta selatan",ChIJVyjnxTPyaS4Rx0Z0jpu1Dys,0
warteg bercahaya,4.4,5,-6.258806,106.835951,"jl. duren tiga selatan, rt.15/rw.2, duren tiga, kota jakarta selatan",ChIJr-4DwjnzaS4RqpDIg1cSgx8,0
warteg family xii,5,1,-6.258811,106.835822,"jl. duren tiga selatan, rt.9/rw.2, duren tiga, dki jakarta",ChIJH8VAoTTyaS4RAyniWwYEJqs,0
wahyoo warteg bahari,5,1,-6.2632667,106.8310505,"jalan warung jati timur raya nomor 9b buncit kalibata, jakarta selatan rt.1.010 9, rt.1/rw.9, kalibata, kota jakarta selatan",ChIJP8Vv2uDzaS4RcSz03_MY984,0
dapur warteg putra jaya,3.8,10,-6.2586857,106.8368179,"jl. gajah mungkur, rt.11/rw.3, duren tiga, jakarta",ChIJMak7vzTyaS4RL7jm4GLN5ho,0
warteg kenanga,5,1,-6.2599712,106.8285485,"jl. warung buncit raya no.49, rt.2/rw.2, duren tiga, kota jakarta selatan",ChIJuW9PgJvzaS4RmFUV_xcLAXQ,0
warteg sony  berhias ,4.2,5,-6.260897,106.835554,"no pancoran, jl. kalibata utara ii no.63, rt.8/rw.7, kalibata, kota jakarta selatan",ChIJxT10eDTyaS4RXaNA1c1Uvhg,0
warteg bahari,4.1,17,-6.2580227,106.8280144,"jl. warung buncit raya no.36, rt.1/rw.2, duren tiga, kota jakarta selatan",ChIJS-zbdi3yaS4RocYBNmpdJpw,0
wahyoo warteg anugrah,5,1,-6.2672571,106.8374,"jl. siaga raya no.9, rt.14/rw.4, pejaten bar., kota jakarta selatan",ChIJzUyWbjfyaS4R0FBhXmuLbwo,0
warung nasi warteg,3.6,7,-6.2653512,106.8303522,"jl. warung buncit raya no.10, rt.11/rw.9, kalibata, kota jakarta selatan",ChIJaXYG0jHyaS4R3vAywpcWJu0,0
warteg irra jaya,4.5,2,-6.261931,106.829664,"jl. warung buncit raya, rt.11/rw.7, kalibata, kota jakarta selatan",ChIJwerNii3yaS4RH7SBMN6HIQY,0
warteg rinjani,4.9,55,-6.2681949,106.8400081,"gang f no.19 rt 12, rt.1/rw.1, pejaten bar., kota jakarta selatan",ChIJCTcN-EfyaS4R-7UcC_gPMMk,0
warteg sari maidah lilis,5,1,-6.267929899999999,106.833121,"jl. pejaten indah no.1, rt.7/rw.5, kalibata, kota jakarta selatan",ChIJz23gTwvzaS4RsuSAcGBL7OM,0
warteg bu turah,4.4,31,-6.2613799,106.802347,"jakarta selatan, rt.6/rw.2, cipete utara, kota jakarta selatan",ChIJIwFTrZ3xaS4R8yZkk2Jr6pU,0
warteg selaras bahari,4.7,3,-6.264349999999999,106.797745,"jl. nangka, rt.2/rw.5, cipete utara, kota jakarta selatan",ChIJ41bAP_jxaS4Rf50QI4ZoMsA,0
warteg citrajaya bahari,4.1,12,-6.259934500000001,106.7962051,"jl. gotong royong i no.1, rt.4/rw.6, gandaria utara, kota jakarta selatan",ChIJ9fn8wp_xaS4Rnr_xEDKeXI0,0
warteg selera,4.6,13,-6.260402999999999,106.7970268,"jl. rs. fatmawati raya no.1, rt.2/rw.1, cipete utara, kota jakarta selatan",ChIJzRY0eXXxaS4RDvXmGhnQD4Y,0
warteg 46,5,2,-6.264237,106.7935285,"jl. h. nawi raya no.46a, rt.6/rw.2, gandaria sel., kota jakarta selatan",ChIJBYMb-KHxaS4RKc7vu-v5SVg,0
