nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg citr sari,4.4,36,-6.2948572,106.8108821,"jl. jaha no.12, rt.4/rw.1, cilandak tim., kota jakarta selatan",ChIJa26PDvzxaS4RPcEvbwGIn2o,0
warteg utama,4.2,82,-6.295514499999999,106.8161689,"jl. raya cilandak kko, rt.1/rw.5, ragunan, kota jakarta selatan",ChIJ4U64F__xaS4R2ativ9F8Jy8,0
warteg nur hikmah,4,1,-6.301049600000001,106.8146093,"jl. raya cilandak kko, rt.13/rw.5, ragunan, kota jakarta selatan",ChIJO9XpswHuaS4RjQrzMM0SY5Y,0
warteg subsidi,5,1,-6.292541,106.810897,"jl. pam lama no.48, rt.2/rw.1, cilandak tim., kota jakarta selatan",ChIJD5CtJL_xaS4RaxCzYI7-O6k,0
warteg asli,4.4,5,-6.3012311,106.8213962,"jl. harsono rm no.4, rt.4/rw.7, ragunan, kota jakarta selatan",ChIJNQYRBf_taS4RXOd3dpbTlgk,0
warteg kutilang,4,15,-6.3017788,106.8141985,"jl. raya cilandak kko no.42, rt.1/rw.8, ragunan, kota jakarta selatan",ChIJCyDeqQHuaS4RlkDAlsYsXY4,0
warteg bahtiar,5,1,-6.3029464,106.8209253,"jl. harsono rm, rt.8/rw.4, ragunan, kota jakarta selatan",ChIJd14Kzf3taS4R-QUTJX4Ohe4,0
warteg kali restu,4.4,18,-6.300179,106.8212584,"jl. harsono rm no.4, rt.4/rw.7, ragunan, kota jakarta selatan",ChIJGazCc__taS4RMgJi_zm4ZH4,0
warteg sukasari ragunan,4.5,14,-6.3032897,106.8209314,"jalan harsono rm samping, gg hj.noin no.8, rt.8/rw.4, ragunan, kota jakarta selatan",ChIJI2B4jP7taS4Rw_MtxpMnvWg,0
warteg danti,0,0,-6.302419599999999,106.8144034,"jl. raya cilandak kko no.5, rt.1/rw.5, ragunan, kota jakarta selatan",ChIJh_dbBAHuaS4RMyPMT22f9bI,0
warteg kutilang,4,15,-6.3017788,106.8141985,"jl. raya cilandak kko no.42, rt.1/rw.8, ragunan, kota jakarta selatan",ChIJCyDeqQHuaS4RlkDAlsYsXY4,0
warteg timbul jaya,4.3,7,-6.296675899999999,106.8154811,"jl. raya cilandak kko, rt.1/rw.5, ragunan, kota jakarta selatan",ChIJuWquB__xaS4RYDo6gb4GQAk,0
warteg nur hikmah,4,1,-6.301049600000001,106.8146093,"jl. raya cilandak kko, rt.13/rw.5, ragunan, kota jakarta selatan",ChIJO9XpswHuaS4RjQrzMM0SY5Y,0
warteg danti,0,0,-6.302419599999999,106.8144034,"jl. raya cilandak kko no.5, rt.1/rw.5, ragunan, kota jakarta selatan",ChIJh_dbBAHuaS4RMyPMT22f9bI,0
warteg citr sari,4.4,36,-6.2948572,106.8108821,"jl. jaha no.12, rt.4/rw.1, cilandak tim., kota jakarta selatan",ChIJa26PDvzxaS4RPcEvbwGIn2o,0
warteg jaya,0,0,-6.306342,106.8208922,"jl. saco 1 no.12, rt.6/rw.7, ragunan, kota jakarta selatan",ChIJ44joUvztaS4RTnG_i6RBO3c,0
warteg sakinah,5,1,-6.306642,106.8140197,"jl. raya cilandak kko, rt.14/rw.5, ragunan, kota jakarta selatan",ChIJXeOV8AbuaS4RiEBZOI5Epgc,0
warteg baru,4.2,52,-6.306978,106.816714,"jl. saco ragunan no.96, rt.10/rw.8, ragunan, kota jakarta selatan",ChIJE5KA-4bvaS4RX085812pVWg,0
warteg bahtiar,5,1,-6.3029464,106.8209253,"jl. harsono rm, rt.8/rw.4, ragunan, kota jakarta selatan",ChIJd14Kzf3taS4R-QUTJX4Ohe4,0
warteg resa,4.2,5,-6.307239,106.8139324,"jl. raya cilandak kko, rt.2/rw.7, ragunan, kota jakarta selatan",ChIJjWD8WAbuaS4RtyfwcnikgPM,0
warteg utama,4.2,82,-6.295514499999999,106.8161689,"jl. raya cilandak kko, rt.1/rw.5, ragunan, kota jakarta selatan",ChIJ4U64F__xaS4R2ativ9F8Jy8,0
