nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg,4.3,47,-6.2765407,106.824222,"warteg, jalan pejatan barat raya, rt.2/rw.8, pejaten bar., kota jakarta selatan",ChIJzR3iLiLyaS4R_HUpPw1-R4w,0
warteg 99,4.2,23,-6.274098,106.8220901,"jl. kecapi no.3, rt.14/rw.8, pejaten bar., kota jakarta selatan",ChIJy4TQMiHyaS4RyI3wvKzIVBE,0
warteg berkah,4.5,352,-6.2709113,106.8237082,"jl. kemang timur, rt.14, pejaten bar., kota jakarta selatan",ChIJDfIMgCbyaS4RiEmI4B0u6BA,0
warteg pusri,4.3,74,-6.2685656,106.8185455,"jl. kemang dalam x, rt.5/rw.2, bangka, kota jakarta selatan",ChIJB2v5ByjyaS4ROSpxhg8l-Gg,0
warteg hidayah,5,1,-6.2718263,106.8276766,"5, jl. kamboja no.43, rw.8, pejaten bar.",ChIJeSROtLjzaS4RolubxfAMtik,0
warteg syarifah,4.5,6,-6.2774047,106.8271283,"jalan pejaten barat raya no. 34, pejaten barat, pasar minggu, rt.8/rw.8, pejaten bar., kota jakarta selatan",ChIJpYy2t5vzaS4RcUV5QF7iD_c,0
warteg ellya,4.5,112,-6.279879999999999,106.818121,"jl. madrasah no.7, rt.5/rw.6, cilandak tim., kota jakarta selatan",ChIJEd0jgMvvaS4R_0_i9wEeWik,0
warteg berkah,4.3,170,-6.267711599999999,106.8222851,"jl. kemang tim. xii no.7, rt.6/rw.3, bangka, kota jakarta selatan",ChIJ88zNkSjyaS4RS0o4mSnunYM,0
di warteg,4.4,37,-6.2681513,106.8239665,"jl. kemang timur no.56, rt.7/rw.3, bangka, kota jakarta selatan",ChIJKbtxVC_yaS4R-myPSGXPhI4,0
warteg rofiq,4.9,9,-6.2779121,106.8157755,"jl. benda dalam no.16c, rt.6/rw.4, cilandak tim., kota jakarta selatan",ChIJbwekxIrxaS4RxnyZ7wN_crA,0
warteg wagetun,4.3,14,-6.2716344,106.815337,"jl. kemang raya no.95 e, rt.1/rw.2, bangka, kota jakarta selatan",ChIJh867ronxaS4Rc0hjpvuWHW8,0
warteg mamoka,4.5,217,-6.2682966,106.8239476,"7, rt.7/rw.3, bangka, south jakarta city",ChIJNQD0nQfzaS4R8dj6Gjx2srI,0
warteg wagetun a.k.a warhol,0,0,-6.2716898,106.8154416,"prh8+85g, rt.1/rw.2, bangka, south jakarta city",ChIJyZGQronxaS4Re9hq36L4QoQ,0
warteg bahari,0,0,-6.2755442,106.8303481,"jl. amil no.75, rt.12/rw.5, kalibata, kota jakarta selatan",ChIJe16ZcBPtaS4RW-hMZ2nPRU0,0
warteg hidayah,5,1,-6.2718263,106.8276766,"5, jl. kamboja no.43, rw.8, pejaten bar.",ChIJeSROtLjzaS4RolubxfAMtik,0
warteg,4.3,47,-6.2765407,106.824222,"warteg, jalan pejatan barat raya, rt.2/rw.8, pejaten bar., kota jakarta selatan",ChIJzR3iLiLyaS4R_HUpPw1-R4w,0
warteg lestari,4,1,-6.273784999999999,106.831858,"jl. amil no.mor 82, rt.12/rw.5, kalibata, kota jakarta selatan",ChIJv-QyhTzyaS4RpaVm0DGelts,0
