nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg podoworo,3,1,-6.2881446,106.8248379,"jalan taman rt 001 rw 006 ragunan, jl. margasatwa bar., rt.6/rw.1, ragunan, dki jakarta",ChIJfyE8aRvyaS4R6c6Jt_g30VU,0
warteg barokah,4.2,6,-6.2864494,106.8260434,"kompleks bri, jl. warung jati barat no.20, rt.6/rw.5, jati padang, kota jakarta selatan",ChIJb8u_BxvyaS4RUqurz7FUx6Q,0
warteg minah,4.2,20,-6.284747299999999,106.8190653,"jl. ampera raya no.4a, rt.1/rw.6, ragunan, kota jakarta selatan",ChIJkYmc6x3yaS4RqZV67z9_CEM,0
warteg bahari,0,0,-6.2876967,106.8234272,"jl. hankam no.rt.5, rt.8/rw.11, ragunan, kota jakarta selatan",ChIJzb7lNIjzaS4RN5d-ACBV1BQ,0
makmur restaurant,4.4,51,-6.287111899999999,106.825406,"jl. taman margasatwa raya no.16, rt.4/rw.11, ragunan, kota jakarta selatan",ChIJ45sNFRvyaS4ROMnssJC0o4w,0
warteg khalimah baru,4,2,-6.2852673,106.8261658,"jl. warung jati barat no.7, rt.3/rw.11, ragunan, kota jakarta selatan",ChIJu4i9zRvyaS4R-1xT8Fi6L9Q,0
warteg b 464 s,5,1,-6.285446899999999,106.8186179,"jalan ampera raya no.10, rt.8/rw.2, cilandak timur, pasar minggu, rt.8/rw.2, cilandak tim., kota jakarta selatan",ChIJ73ANkh3yaS4RbT5kf2OMn1M,0
warteg kharisma elegant cab warung jati,4.5,328,-6.289969200000001,106.8240129,"jl. marga satwa raya no no.16, rt.5/rw.1, ragunan, kota jakarta selatan",ChIJd9d3xQnvaS4RatGPrzFuWSo,0
warteg kharisma bahari elegant cabang warung jati,4.6,9,-6.2900239,106.8239837,"jl. taman margasatwa raya no.16, rt.5/rw.1, ragunan, kota jakarta selatan",ChIJ4bLuWNDzaS4R_g-TIrV3VHc,0
warteg blimbing,4.4,5,-6.2890766,106.8290214,"pr6h+9j6, rt.7/rw.3, jati padang, south jakarta city",ChIJu92WUQXyaS4RLrjfDCodW6E,0
warteg,5,1,-6.2920247,106.8288391,"jl. raya jatipadang, rt.6/rw.9, jati padang, kota jakarta selatan",ChIJt-IwkAXyaS4RwooxjP6ylBg,0
warteg pondok ijo anugrah,5,5,-6.2925361,106.8227679,"jl. taman margasatwa raya jl. damai no.1, rt.1/rw.1, ragunan, kota jakarta selatan",ChIJxykmtdfzaS4RMc2ABZc4gGo,0
warteg danny,4,5,-6.281784399999999,106.824179,"jl. pekayon, rt.2/rw.3, ragunan, kota jakarta selatan",ChIJ0-wZLhnyaS4R1bOnEU9msWk,0
warteg nusantara bahari,4.7,9,-6.2858082,106.8298345,"jl. raya ragunan no.14 c, rt.2/rw.7, jati padang, kota jakarta selatan",ChIJGRTggBDyaS4RiJXSoWYWRag,0
