nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari,4.2,6,-6.2852668,106.841635,"jl. raya ragunan, rt.1/rw.2, ps. minggu, kota jakarta selatan",ChIJOfz10mzyaS4RiCu-WVPEYlk,0
warteg bahari arifin,4,70,-6.279562299999999,106.8367311,"jl. pejaten raya no.42, rt.8/rw.10, jati padang, kota jakarta selatan",ChIJERXUvxXyaS4ROj-h_ArKI1E,0
warteg berkah 354,4.5,15,-6.2857078,106.8403001,"jl. raya ragunan, rt.9/rw.4, ps. minggu, kota jakarta selatan",ChIJizyxIBPyaS4RqWqsZLgv_Sc,0
warteg salihara jaya,0,0,-6.2836773,106.8379738,"jl. salihara no.4, rt.1/rw.1, jati padang, kota jakarta selatan",ChIJv-WeJvrzaS4RfXSsnFri7Ow,0
warteg dewi,5,1,-6.279353899999999,106.8335495,"prcm+7c3, rt.13/rw.2, jati padang, south jakarta city",ChIJ1cXozZjzaS4RnbnNNxDLtmo,0
warteg rina jaya,4.4,194,-6.2796813,106.8345414,"jl. pejaten raya no.3, rt.13/rw.2, pejaten bar., kota jakarta selatan",ChIJwczEahbyaS4RGCdN8Ov_b8k,0
warteg ariel,5,2,-6.281502199999999,106.8350205,"jl. jambu no.5, rt.5/rw.10, jati padang, kota jakarta selatan",ChIJGYcvmxbyaS4RCVXS1rnzbbQ,0
warteg pak eko,5,4,-6.2816095,106.8421777,"gg. gaya no.13, rt.13/rw.2, ps. minggu, kota jakarta selatan",ChIJ29tJspvzaS4Rs784qBz2RVE,0
warteg syafaat,4.6,11,-6.2838223,106.8379181,"jl. salihara no.2, rt.1/rw.1, jati padang, kota jakarta selatan",ChIJs9n8LbjzaS4RgoVp2Cld8v8,0
warteg sinar bahari,4,2,-6.2794167,106.8397418,"prcq+6vq, rt.14/rw.3, pasar minggu, south jakarta city",ChIJu1PFa_bzaS4RUtql0tMAtM0,0
warteg kharisma bahari,4.3,3,-6.279150599999999,106.8329876,"jl. pejaten raya no.15 c, rt.13/rw.2, jati padang, kota jakarta selatan",ChIJfWkl1PbzaS4Re06oh4i800E,0
warteg pakde,4.5,4,-6.285798799999999,106.8326681,"jl. sebret no.5, rt.5/rw.7, jati padang, kota jakarta selatan",ChIJwX_mARHyaS4Ra-dlOKYby4k,0
warteg bude murmer,4.4,5,-6.280967899999999,106.8321397,"jl. jatipadang utara no.76, rt.13/rw.2, jati padang, kota jakarta selatan",ChIJx-DcBhfyaS4REQ7pgK-jCIY,0
warteg sumber rejeki,5,1,-6.283827199999999,106.8441046,"terminal pasar minggu jalan raya pasar minggu no. 30 pasar minggu, rt.4/rw.1, ps. minggu, kota jakarta selatan",ChIJb9qSYCvzaS4RiqBMRxBOCtM,0
warteg,0,0,-6.2818672,106.8358701,"jl. ketapang no.13, rt.4/rw.10, jati padang, kota jakarta selatan",ChIJRdyHKR3zaS4RgHY2LjOVLGA,0
warteg feri,5,1,-6.287764999999999,106.8433384,"jl. pertanian iii, rt.1/rw.5, ps. minggu, kota jakarta selatan",ChIJp3gwZG3yaS4RESV94eNhnZw,0
warteg kharisi,4.4,10,-6.283484,106.8442475,"jl. raya pasar minggu no.51, rt.2/rw.1, ps. minggu, kota jakarta selatan",ChIJ1Tygh2zyaS4Ryn9K-LsJmfw,0
warteg sampoerna,4.9,9,-6.2775802,106.8406119,"jl. pejaten raya no.5, rt.10/rw.10, pejaten bar., kota jakarta selatan",ChIJN_EWlhXyaS4R5WKxKgSnfoE,0
warteg bahari arifin,4,2,-6.2795412,106.8370923,"8, jl. pejaten raya/ komp. depdikbud no.6, rt.8/rw.10, pejaten bar., kota jakarta selatan",ChIJpy5lpjftaS4R4atI3kIyTQc,0
warteg zulfa,4.5,6,-6.2810412,106.8444342,"jl. sosial /ps minggu no.02, rt.8/rw.1, ps. minggu, kota jakarta selatan",ChIJJYpQqGvyaS4R_IS5hbZ7oH8,0
warteg nur hikmah,4.3,13,-6.2781747,106.8314941,"jl. condet pejaten no.13, rt.1/rw.7, pejaten bar., dki jakarta",ChIJC7jNFD3yaS4R4IIarTFrDig,0
warteg bude asih murmer,5,2,-6.279332399999999,106.8320584,"jl. jatipadang utara no.2, rt.06 rw02/rw.2, ps. minggu, kota jakarta selatan",ChIJwSuaUofzaS4R1OGQkFyhSIs,0
warteg saro jame,5,1,-6.2833741,106.8380199,"jl. salihara no.11, rt.1/rw.3, ps. minggu, kota jakarta selatan",ChIJF_zcZhTyaS4RwB4acB3ajWg,0
warteg kharunia bahari,0,0,-6.2821151,106.838424,"1, jl. salihara no.17, rt.1/rw.10, jati padang, south jakarta city",ChIJ2_HwBCDzaS4RFFXc-0LW78s,0
warteg hidayah,4.4,19,-6.288495999999999,106.8070396,"jl. pangeran antasari gg. swadaya iii, rt.1/rw.1, cilandak bar., kota jakarta selatan",ChIJo4IhF_DxaS4R6ClUf1MaOcY,0
warteg mpr,4.4,54,-6.284384999999999,106.8066329,"jl. m.p.r iii no.dalam, rt.12/rw.13, cilandak bar., kota jakarta selatan",ChIJcbdCnQ_xaS4RmrM1BqjXTjs,0
warteg aw,5,2,-6.28499,106.8065595,"jln mpr 3 dalam no34, jl. m.p.r iii dalam no.dalam, rt.2/rw.13, cilandak bar., kota jakarta selatan",ChIJhbqPfJnxaS4RpwayWTz8Ba4,0
warteg niki ii ayam bakar,4.2,34,-6.286660500000001,106.8073078,"jl. pangeran antasari, rt.10/rw.1, cilandak bar., kota jakarta selatan",ChIJg2uXy_HxaS4ROPIJ_QHP-Nw,0
warteg kharisma bahari / tasripin,4.4,118,-6.2780903,106.8049547,"jl. cipete raya no.1a, rt.8/rw.4, cipete sel., kota jakarta selatan",ChIJ92bavZLxaS4RuyRU7t5bjv4,0
warteg sarapada 4 ibu,4.2,69,-6.278181399999999,106.8079133,"jl. cipete raya no.61, rt.9/rw.4, cipete sel., kota jakarta selatan",ChIJiZAGPI3xaS4RhKCoGnkNB9E,0
warteg brambang salam,4.5,4,-6.2892606,106.8030518,"jl. cilandak tengah ii no.10, rt.3/rw.1, cilandak bar., kota jakarta selatan",ChIJKwtXf-_xaS4RMB6kW-c9w-s,0
warteg mitra,5,1,-6.289324,106.80192,"jl. cilandak tengah raya, rt.2/rw.1, cilandak bar., kota jakarta selatan",ChIJpeh2ueXxaS4RcRkr1GzS7ZI,0
warteg asih,4.6,55,-6.287616,106.809292,"jl. nis no.32, rt.9/rw.3, cilandak tim., kota jakarta selatan",ChIJWQqmRYXxaS4R7CAIOdaA5Ag,0
wahyoo warteg bmj,5,1,-6.2891726,106.8030902,"pr63+86p, rt.7/rw.1, west cilandak, south jakarta city",ChIJ_3Z-_XjxaS4RT3bKsAq4fAY,0
warteg hidayah,4.4,19,-6.288495999999999,106.8070396,"jl. pangeran antasari gg. swadaya iii, rt.1/rw.1, cilandak bar., kota jakarta selatan",ChIJo4IhF_DxaS4R6ClUf1MaOcY,0
warteg mpr,4.4,54,-6.284384999999999,106.8066329,"jl. m.p.r iii no.dalam, rt.12/rw.13, cilandak bar., kota jakarta selatan",ChIJcbdCnQ_xaS4RmrM1BqjXTjs,0
warteg mitra,5,1,-6.289324,106.80192,"jl. cilandak tengah raya, rt.2/rw.1, cilandak bar., kota jakarta selatan",ChIJpeh2ueXxaS4RcRkr1GzS7ZI,0
warteg aw,5,2,-6.28499,106.8065595,"jln mpr 3 dalam no34, jl. m.p.r iii dalam no.dalam, rt.2/rw.13, cilandak bar., kota jakarta selatan",ChIJhbqPfJnxaS4RpwayWTz8Ba4,0
warteg brambang salam,4.5,4,-6.2892606,106.8030518,"jl. cilandak tengah ii no.10, rt.3/rw.1, cilandak bar., kota jakarta selatan",ChIJKwtXf-_xaS4RMB6kW-c9w-s,0
