nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg idola,3.5,4,-6.253014599999998,106.82544229999999,"prwg+q5w, rt.1/rw.6, duren tiga, south jakarta city",ChIJT_bXYdHzaS4R27unIxkFFeE,0.0
warteg darmo,5.0,2,-6.251923499999998,106.82125959999999,"jl. bangka, rt.10/rw.10, pela mampang, kota jakarta selatan",ChIJBQWMmNbzaS4RcczX4-mhAxo,0.0
warteg slawi ayu,4.1,12,-6.251524300000002,106.8236075,"jl. bangka ix no.49, rt.8/rw.10, pela mampang, kota jakarta selatan",ChIJEfkqNdHzaS4R34pjpXPkJo0,0.0
warteg b9,4.5,44,-6.2519250999999985,106.8212432,"jl. bangka ix, rt.7/rw.10, pela mampang, kota jakarta selatan",ChIJx2e4jNbzaS4RYh1aTTtZG2U,0.0
warteg jayabahari,4.4,104,-6.2579525999999985,106.8233462,"jl. kemang utara no.55, rt.2/rw.4, bangka, kota jakarta selatan",ChIJp9qMq9TzaS4R3a846-2OsiY,0.0
wahyoo warteg sari rasa,4.8,5,-6.254683999999999,106.82576670000002,"jl. kemang utara ix, rt.1, duren tiga, kota jakarta selatan",ChIJVa_e_dfzaS4RDwVLuJjp8Gs,0.0
warteg dewi,0.0,0,-6.2515551999999985,106.8267558,"jl. mampang prapatan xiv, rt.12/rw.1, tegal parang, kota jakarta selatan",ChIJo2ZLoNHzaS4Rk10bcY2NLlE,0.0
warteg mojo,0.0,0,-6.2532745,106.82212820000001,"jl. bangka ix c, rt.10/rw.10, pela mampang, kota jakarta selatan",ChIJwZtNINTzaS4R29tJ4u1-P3U,0.0
warteg khasanah,4.7,9,-6.2481751,106.82585049999999,"jl. mampang prapatan vii no.28, rt.8/rw.008, tegal parang, kota jakarta selatan",ChIJ1Wwwm9DzaS4R6U2I1ns6Ld0,0.0
warteg,0.0,0,-6.246746099999998,106.82750949999999,"jl. mampang prapatan vi no.17, rt.1/rw.2, tegal parang, kota jakarta selatan",ChIJVaD0kdrzaS4RP4rsT6OP0_g,0.0
warteg putri barokah,5.0,3,-6.246687400000001,106.82894679999998,"jl. mampang prapatan vi, rt.8/rw.2, tegal parang, kota jakarta selatan",ChIJSalwt9rzaS4Rebe67f7j1XE,0.0
warteg moro seneng,5.0,2,-6.2533395999999986,106.822051,"jl. bangka ix c no.37, rt.12/rw.10, pela mampang, kota jakarta selatan",ChIJp4WW9drzaS4RXMgnBLXXcyw,0.0
warteg indah,3.0,1,-6.254110099999999,106.82705209999999,"jalan warung buncit no.3, rt.2/rw.5, duren tiga, kota jakarta selatan",ChIJ0f0ONtLzaS4RZqTDc9Qa_T4,0.0
warteg nojo jaya,4.3,52,-6.246447900000001,106.8187618,"jl. bangka ii no.44b, rt.1/rw.3, pela mampang, kota jakarta selatan",ChIJx7Z8btjzaS4RPtfQJN3azZ0,0.0
warteg sri rejeki,4.5,45,-6.246705,106.82913300000001,"jl. mampang prpt. raya no.17, rt.8/rw.2, tegal parang, kota jakarta selatan",ChIJ8_93t9rzaS4RG7EsXgnOoYc,0.0
warteg yana,5.0,2,-6.246696900000001,106.8259189,"jl. mampang prpt. raya no.70 d, rt.9/rw.3, tegal parang, kota jakarta selatan",ChIJiTxjb9rzaS4REM1n7VAkszE,0.0
warteg 234,4.2,10,-6.2583754,106.82053,"warteg 234 no. 234, jalan. bungur dalam kemang utara, rt.1/rw.5, bangka, kota jakarta selatan",ChIJGRbq1CryaS4RLMvYTWYF13Q,0.0
warteg ibu ayu,5.0,1,-6.246930499999999,106.82661090000002,"jl. mampang prapatan iv, rt.1/rw.2, tegal parang, kota jakarta selatan",ChIJgTMZYtrzaS4RpvpzQQO7z0g,0.0
dapur warteg,5.0,1,-6.257915799999999,106.82218290000002,"jl. kemang sel. no.49a, rt.2/rw.4, bangka, kota jakarta selatan",ChIJEw8bjjjzaS4RoYkGbq5jlZk,0.0
warteg bahari h. abdul ghani,4.7,3,-6.2465945,106.823206,"6, jl. kh. marzuki ishaq no.7, rt.6/rw.3, tegal parang, kota jakarta selatan",ChIJNyjub13zaS4RphNs0TCmKW8,0.0
warteg sederhana ayu,5.0,1,-6.2470232,106.82638030000001,"81,, jl. mampang prapatan v no.6, rt.2/rw.2, tegal parang, kota jakarta selatan",ChIJ7RORY9rzaS4RGhNui566lJs,0.0
warteg jayabahari,4.1,41,-6.2484527000000005,106.8227321,"jl. pd. jaya raya no.2, rt.9/rw.6, pela mampang, kota jakarta selatan",ChIJCxIlW9fzaS4RnOInyy0Jgpc,0.0
warteg kharisma bahari elegant cabang warung jati,4.6,9,-6.2900239000000004,106.8239837,"jl. taman margasatwa raya no.16, rt.5/rw.1, ragunan, kota jakarta selatan",ChIJ4bLuWNDzaS4R_g-TIrV3VHc,0.0
warteg pondok ijo anugrah,5.0,5,-6.2925360999999995,106.8227679,"jl. taman margasatwa raya jl. damai no.1, rt.1/rw.1, ragunan, kota jakarta selatan",ChIJxykmtdfzaS4RMc2ABZc4gGo,0.0
warteg kowantara jakarta selatan,5.0,1,-6.287066200000001,106.8253886,"blok kehakiman no 12540, jl. warung jati barat blok kehakiman no.8, rt.4/rw.11, 4, ragunan, kota jakarta selatan",ChIJJfAAExvyaS4RTw4epwF_h5o,0.0
warteg bu haji,0.0,0,-6.2533106,106.8481756,"jl. kh.mahmud,buntu no.7, rt.5/rw.4, duren tiga, kota jakarta selatan",ChIJs0Hks73zaS4R7qyhiRJX9jk,0.018896699999993768
warteg wareg,4.2,11,-6.2604745,106.8548314,"jl. rawajati timur ii, rt.8/rw.2, rawajati, kota jakarta selatan",ChIJi23uQlLyaS4RE38gTLQ5ePI,0.0141639999999974
warteg latifah,4.3,21,-6.266245,106.8422818,"jalan warung jati timur, rt.10, pejaten bar., kota jakarta selatan",ChIJF3u8PEjyaS4RppTLQD3jtGY,0.0118561000000037
warteg rewangi,4.6,31,-6.2590946,106.85952830000001,"gg porti rt 10, gg. porti no.34, rt.10/rw.1, rawajati, kota jakarta selatan",ChIJaXaL63TzaS4RD1aRlunHBRo,0.020240799999996284
warteg,0.0,0,-6.251912799999999,106.84946940000002,"jl. h. mahmud raya, rt.4/rw.4, kalibata, kota jakarta selatan",ChIJp2isKTbzaS4RZPwI0GYl890,0.019000699999995874
warteg berkah,4.6,15,-6.260322299999999,106.84336429999999,"jl. raya pasar minggu no.4, rt.5/rw.8, kalibata, kota jakarta selatan",ChIJHzBDQ0ryaS4RnbkZLtNcKPg,0.016696299999995112
warteg jaya makmur,0.0,0,-6.2658181,106.8442605,"jl. raya pasar minggu, rt.13/rw.1, pejaten tim., kota jakarta selatan",ChIJHdODV0jyaS4RZvtForGZfpo,0.01030429999999427
warteg asri bahari,4.6,17,-6.2575743,106.857948,"jl. binawarga no.2, rt.5/rw.5, rawajati, south jakarta city",ChIJ-Z-XQqvzaS4RDIBOECjZoOQ,0.02018079999999589
warteg sampurna jaya,4.3,39,-6.257811900000001,106.85769850000001,"jl. rawajati timur no.1 no.1, rt.4/rw.1, rawajati, kota jakarta selatan",ChIJS2xxOFPyaS4Rf8kU7_Cveqk,0.01969369999999948
warteg rr,0.0,0,-6.2580874999999985,106.8596138,"plaza kalibata lantai basement, jl. kali bata raya, no. 1, rt.2/rw.7, rawajati, kota jakarta selatan",ChIJPX23o1TyaS4RJgM-E2fdgW0,0.021333400000008496
warteg pancoran,4.2,67,-6.262366099999999,106.84588529999999,"jl. kalibata timur no.49, rt.9/rw.8, kalibata, kota jakarta selatan",ChIJBf9O3kvyaS4RfEJORj-sS-w,0.012131499999993522
warteg bahari,4.3,438,-6.2516782,106.8505178,"jl. pengadegan selatan no.12, rt.3/rw.5, pengadegan, kota jakarta selatan",ChIJIV4Ig7HzaS4RAOHhKF4zxeE,0.01864670000000856
warteg ridho ibu,4.7,23,-6.2788415,106.84524309999999,"pertigaan lampu merah, jl. raya pasar minggu jl. pejaten raya, rt.6/rw.1, ps. minggu, kota jakarta selatan",ChIJ_xwCb2ryaS4ROv5tGwzA-2I,0.013791299999993178
warteg fitri,4.6,26,-6.251899,106.867851,"jalan masjid bendungan #6 dewi sartika cawang, rt.7/rw.10, cawang, dki jakarta",ChIJB4fP1QDzaS4RQ--nrw9sgKs,0.035759100000004373
warteg berkah jaya,4.0,4,-6.2487331,106.862521,"jl. pengadegan timur iv no.11, rt.10/rw.2, pengadegan, kota jakarta selatan",ChIJebiqJHfzaS4RVqmI--5Ibz8,0.0
warteg erte,0.0,0,-6.256883699999999,106.8680817,"cawang, east jakarta city",ChIJX9jfKv7yaS4R6D6XR3QrZxA,0.0
wahyoo warteg sederhana ii,0.0,0,-6.2860033999999985,106.8299939,"jl. raya ragunan no.15, rt.2/rw.7, ps. minggu, kota jakarta selatan",ChIJwRa-K4zzaS4RM1ikSMd2MkI,0.0
warteg ridho illahi,4.4,45,-6.250074099999999,106.8300023,"jl. mampang prapatan xi no.9, rt.9/rw.1, tegal parang, kota jakarta selatan",ChIJxyyO08_zaS4RWyx7hIsTw7M,0.0
warteg latifah,4.5,87,-6.2479930999999995,106.8283968,"jl. mampang prapatan viii, rt.2/rw.2, tegal parang, kota jakarta selatan",ChIJ3ROwC9DzaS4Rtjta9p9Pkrk,0.0
warteg amanah ms. baim,5.0,1,-6.2599985999999985,106.828854,"jl. duren tiga selatan vii no. 7a rt.004/rw.02 kel, kec, rt.3/rw.2, duren tiga, kota jakarta selatan",ChIJ7ZhprwrzaS4R7iE5Qeg-O08,0.0
warteg sahabat,4.4,14,-6.2542468,106.8277562,"jl. duren tiga raya, rt.3/rw.5, duren tiga, kota jakarta selatan",ChIJ_3L6JDXzaS4RS0p3aQMwoUY,0.0
warteg mampang,5.0,3,-6.2481457,106.8276962,"jl. mampang prapatan viii no.14, rt.1/rw.2, tegal parang, kota jakarta selatan",ChIJFRdfcE3zaS4RRO1B9GXY9Zo,0.0
wahyoo warteg jayanti,4.0,3,-6.250141200000001,106.82714540000002,"jl. mampang prapatan x, rt.7/rw.1, tegal parang, kota jakarta selatan",ChIJZc_IU9DzaS4RAbDezGu8eNU,0.0
warteg duren 3,5.0,3,-6.2543456,106.828106,"jl. duren tiga raya no.5, rt.4/rw.1, duren tiga, kota jakarta selatan",ChIJ4Uxxa9LzaS4R2NztoqZ7Wnk,0.0
warteg mandiri bahari,0.0,0,-6.2522873,106.8297845,"jl. mampang prapatan xv, rt.6/rw.5, duren tiga, kota jakarta selatan",ChIJ3wLbAs7zaS4Ry-MjDF0VYWs,0.0
warteg rejo,4.3,85,-6.250047400000001,106.83650049999999,"jl. pancoran barat vii, rt.3/rw.6, pancoran, kota jakarta selatan",ChIJwzmO2MjzaS4RhQ3lUJ_iSZo,0.0
warteg dewi,3.8,4,-6.2534892,106.840767,"jl. duren tiga raya, rt.1/rw.1, pancoran, kota jakarta selatan",ChIJ624TDsrzaS4RtcJpUsWQ24E,0.0
