nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg,4.4,175,-6.2730144,106.8148675,"jl. kemang sel., rt.5/rw.6, cipete sel., kota jakarta selatan",ChIJwTeEN4bxaS4RuMOTs5rkpNI,0.030722999999999168
warteg bahari,4.2,6,-6.2852668,106.841635,"jl. raya ragunan, rt.1/rw.2, ps. minggu, kota jakarta selatan",ChIJOfz10mzyaS4RiCu-WVPEYlk,0.009798699999989502
warteg tegal arum,4.5,31,-6.3034449,106.8466454,"5, jl. nangka raya no.6, rt.6/rw.5, tj. bar., kota jakarta selatan",ChIJj3L4B4ztaS4R3YjJzdhwTA0,0.03148539999999489
warteg podoworo,3,1,-6.2881446,106.8248379,"jalan taman rt 001 rw 006 ragunan, jl. margasatwa bar., rt.6/rw.1, ragunan, dki jakarta",ChIJfyE8aRvyaS4R6c6Jt_g30VU,0.009876200000001667
warteg jaya,3.9,28,-6.2712922,106.8379339,"jl. siaga raya no.40, rt.16/rw.4, pejaten bar., kota jakarta selatan",ChIJba7_GjnyaS4RwvL_2vfaeuE,0.020072199999987994
warteg putri,3,1,-6.302890199999999,106.8415205,"no. 19 c, jl. tb simatupang, rt.10/rw.4, tj. bar., kota jakarta selatan",ChIJ3xrZUYvtaS4RhQu4uT-vTnQ,0.025805799999996104
warteg barokah,4.2,6,-6.2864494,106.8260434,"kompleks bri, jl. warung jati barat no.20, rt.6/rw.5, jati padang, kota jakarta selatan",ChIJb8u_BxvyaS4RUqurz7FUx6Q,0.006975500000004686
warteg minah,4.2,20,-6.284747299999999,106.8190653,"jl. ampera raya no.4a, rt.1/rw.6, ragunan, kota jakarta selatan",ChIJkYmc6x3yaS4RqZV67z9_CEM,0.01479229999999987
warteg bahari,0,0,-6.2755442,106.8303481,"jl. amil no.75, rt.12/rw.5, kalibata, kota jakarta selatan",ChIJe16ZcBPtaS4RW-hMZ2nPRU0,0.012712600000010177
warteg husnimubarokah,5,5,-6.292646899999999,106.8424568,"jl. raya tj. barat no.21-18, rt.9/rw.7, pejaten tim., kota jakarta selatan",ChIJXf-_tdPzaS4RLA3G6DtLSR8,0.01649879999998838
warteg asli,4.4,5,-6.3012311,106.8213962,"jl. harsono rm no.4, rt.4/rw.7, ragunan, kota jakarta selatan",ChIJNQYRBf_taS4RXOd3dpbTlgk,0.026404400000012096
warteg,4.3,47,-6.2765407,106.824222,"warteg, jalan pejatan barat raya, rt.2/rw.8, pejaten bar., kota jakarta selatan",ChIJzR3iLiLyaS4R_HUpPw1-R4w,0.017842199999998698
warteg hidayah,5,1,-6.2718263,106.8276766,"5, jl. kamboja no.43, rw.8, pejaten bar.",ChIJeSROtLjzaS4RolubxfAMtik,0.019102000000001063
warteg jaya bahari,0,0,-6.2959948,106.8432616,"jl. poltangan raya no.1 a, rt.2/rw.10, pejaten tim., kota jakarta selatan",ChIJy_N0xnvzaS4RXmfV8zt6FW0,0.02065150000000049
warteg 99,4.2,23,-6.274098,106.8220901,"jl. kecapi no.3, rt.14/rw.8, pejaten bar., kota jakarta selatan",ChIJy4TQMiHyaS4RyI3wvKzIVBE,0.022416800000007342
warteg bahari arifin,4,70,-6.279562299999999,106.8367311,"jl. pejaten raya no.42, rt.8/rw.10, jati padang, kota jakarta selatan",ChIJERXUvxXyaS4ROj-h_ArKI1E,0.010599299999987544
warteg blimbing,4.4,5,-6.2890766,106.8290214,"pr6h+9j6, rt.7/rw.3, jati padang, south jakarta city",ChIJu92WUQXyaS4RLrjfDCodW6E,0.006624700000005035
warteg salsabila ( warung makan )🏣,4.4,8,-6.2722508,106.8464372,"gg. bend. no.39, rt.1/rw.3, pejaten bar., kota jakarta selatan",ChIJ24VZsEbyaS4Rq1YUWGLo7VE,0.027616899999989286
warteg lisa,5,1,-6.3028555,106.8264067,"jl. kebagusan raya no.48, rt.1/rw.7, ragunan, kota jakarta selatan",ChIJFw3Djc_taS4RoHg8AF70Zp4,0.02301830000000038
warteg kharisma bahari,4.3,3,-6.279150599999999,106.8329876,"jl. pejaten raya no.15 c, rt.13/rw.2, jati padang, kota jakarta selatan",ChIJfWkl1PbzaS4Re06oh4i800E,0.007267499999989546
warteg barokah,3.8,5,-6.300972199999999,106.8495184,"jl. poltangan raya no.25, rt.4/rw.5, tj. bar., kota jakarta selatan",ChIJN8FmqIntaS4RmhUOj2TnJSM,0.03188569999998769
warteg rinjani,4.9,55,-6.2681949,106.8400081,"gang f no.19 rt 12, rt.1/rw.1, pejaten bar., kota jakarta selatan",ChIJCTcN-EfyaS4R-7UcC_gPMMk,0.025243699999998093
warteg barokah pasar minggu,5,1,-6.284898,106.845209,"jl. masjid al-makmuriyah no.7, rt.1/rw.8, pejaten tim., kota jakarta selatan",ChIJm5BEe8nzaS4R0COzzdw8Ogk,0.013741499999989415
warteg gabus raya,4.9,20,-6.299110600000001,106.8361364,"jl. gabus raya no.5, rt.5/rw.9, ps. minggu, kota jakarta selatan",ChIJM4M--vXtaS4R0Fj_tkXBVJA,0.016642099999996773
warteg sederhana purbaya,5,1,-6.272487,106.8467249,"jl. purbaya no.11, rt.11/rw.5, pejaten tim., kota jakarta selatan",ChIJw-bjRWbzaS4RK-wqkq5nedw,0.02766839999999071
warteg ibu wiwi,4.6,81,-6.2724758,106.8409511,"jl. warga i ma no.69, rt.14/rw.3, pejaten bar., kota jakarta selatan",ChIJ3dzsrjjyaS4R8q0L6svz864,0.021905799999990982
warteg berkah 354,4.5,15,-6.2857078,106.8403001,"jl. raya ragunan, rt.9/rw.4, ps. minggu, kota jakarta selatan",ChIJizyxIBPyaS4RqWqsZLgv_Sc,0.008022799999985786
warteg nur hikmah,4,1,-6.301049600000001,106.8146093,"jl. raya cilandak kko, rt.13/rw.5, ragunan, kota jakarta selatan",ChIJO9XpswHuaS4RjQrzMM0SY5Y,0.03300980000000742
