nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg,0,0,-6.3229453,106.8212563,"jl. maninjo no.1, rt.1/rw.5, jagakarsa, kota jakarta selatan",ChIJVZrs5N7taS4RQaK0-Nt1plg,0.02268140000000418
warteg bahari,4.6,12,-6.3174566,106.8190233,"jl. pepaya raya no.1a, rt.7/rw.5, jagakarsa, kota jakarta selatan",ChIJkSYZNODtaS4R_MdLHjzN4Vk,0.019425700000008206
warteg,5,2,-6.308921,106.8473141,"jl. langgar, rt.1/rw.6, tj. bar., kota jakarta selatan",ChIJU-3U-43taS4RdEk-aE_u_wA,0.017400699999999603
warteg rizquna bahari,4.6,83,-6.3275545,106.8293795,"jl. joe klp. tiga no.3, rt.6/rw.3, lenteng agung, kota jakarta selatan",ChIJs2OpeobtaS4RsHDnqShY7r4,0.019167400000004164
warteg indah,0,0,-6.3209838,106.8254478,"jl. wates, rt.11/rw.5, jagakarsa, kota jakarta selatan",ChIJS5nDvt3taS4RwSqZ6iAIzvk,0.016528399999999444
warteg bahari,4.2,46,-6.304880799999999,106.8400362,"jalan raya tanjung barat, rt.10/rw.4, tj. bar., kota jakarta selatan",ChIJ6b27QfPtaS4RC8dUftNkMY0,0.014162999999994597
warteg jaya,0,0,-6.306342,106.8208922,"jl. saco 1 no.12, rt.6/rw.7, ragunan, kota jakarta selatan",ChIJ44joUvztaS4RTnG_i6RBO3c,0.016947800000003177
warteg tegal arum,4.5,31,-6.3034449,106.8466454,"5, jl. nangka raya no.6, rt.6/rw.5, tj. bar., kota jakarta selatan",ChIJj3L4B4ztaS4R3YjJzdhwTA0,0.02220809999999407
warteg berkah,4.6,42,-6.3048426,106.8336833,"jl. baung, rt.6/rw.2, kebagusan, kota jakarta selatan",ChIJS4H_O_HtaS4R9pQfTKgRCFI,0.007848299999998254
warteg latanza,4.3,6,-6.3266287,106.8198726,"jl. raya jagakarsa, rt.5/rw.2, jagakarsa, kota jakarta selatan",ChIJuZ6079jtaS4RQwWxzMNeLJE,0.02774850000000928
warteg bahari,1,1,-6.3208183,106.8323699,"gg. lahab, rt.1/rw.6, lenteng agung, kota jakarta selatan",ChIJKS8x9MLtaS4Ri-PtIW8I-IA,0.009440800000002803
warteg nj,3.7,3,-6.304458599999999,106.844214,"jl. nangka raya no.3, rt.8/rw.5, tj. bar., kota jakarta selatan",ChIJj8IzioztaS4RsOKFJaJJI58,0.018762999999988317
warteg putri,3,1,-6.302890199999999,106.8415205,"no. 19 c, jl. tb simatupang, rt.10/rw.4, tj. bar., kota jakarta selatan",ChIJ3xrZUYvtaS4RhQu4uT-vTnQ,0.017637899999995987
warteg berkah,0,0,-6.309505799999999,106.8359887,"gg. langgar no.4, rt.4/rw.3, kebagusan, kota jakarta selatan",ChIJ4QfPgfDtaS4R4lMm1yCNORs,0.005490499999996068
warteg sami asih,4.2,56,-6.3235961,106.8353888,"jl. lenteng agung, rt.10/rw.2, lenteng agung, kota jakarta selatan",ChIJqX7b4sPtaS4R_Y9DGfEsf8Y,0.01480289999999762
warteg mustikasari,5,1,-6.3062679,106.8305933,"jl. kebagusan raya no.9, rt.1/rw.7, ragunan, kota jakarta selatan",ChIJ4c6BvGXtaS4RJ0S5Mxp1mRU,0.007320800000002237
wahyoo warteg redja,4,1,-6.318252999999999,106.8189174,"jl. pepaya raya no.46, rt.7/rw.5, jagakarsa, kota jakarta selatan",ChIJhycvPODtaS4RBqlNpkK5s8Y,0.020328000000001012
wahyoo warteg barokah,3.7,7,-6.3267729,106.8218971,"jl. raya jagakarsa no.54, rt.2/rw.7, jagakarsa, kota jakarta selatan",ChIJ_6MbDtntaS4R9ijNfzhAmAY,0.025868200000005004
warteg jaya bahari,0,0,-6.2959948,106.8432616,"jl. poltangan raya no.1 a, rt.2/rw.10, pejaten tim., kota jakarta selatan",ChIJy_N0xnvzaS4RXmfV8zt6FW0,0.026274399999999254
warteg asli,4.4,5,-6.3012311,106.8213962,"jl. harsono rm no.4, rt.4/rw.7, ragunan, kota jakarta selatan",ChIJNQYRBf_taS4RXOd3dpbTlgk,0.021554700000010918
warteg bae,4.4,25,-6.315833,106.816268,"4, jl. kav. polri no.82, rt.4/rw.6, jagakarsa, kota jakarta selatan",ChIJkamVPwruaS4RzYcWLWi1RZY,0.02055740000001194
warteg 53,5,1,-6.3089986,106.8270929,"jl. kebagusan raya, rt.1/rw.6, kebagusan, kota jakarta selatan",ChIJZ3iO0_rtaS4Rd6rPh0DKzL8,0.008090500000009548
warteg lisa,5,1,-6.3028555,106.8264067,"jl. kebagusan raya no.48, rt.1/rw.7, ragunan, kota jakarta selatan",ChIJFw3Djc_taS4RoHg8AF70Zp4,0.014919799999999483
warteg sumber rezeky,4.6,21,-6.3062951,106.8372609,"jl. baung no.25, rt.1/rw.1, agung, jagakarsa, kota jakarta selatan",ChIJc4VzS_LtaS4Rr8NjkGQp_yU,0.009973399999998023
warteg rizki,0,0,-6.305365800000001,106.8441168,"jl. langgar, rt.12/rw.8, tj. bar., kota jakarta selatan",ChIJO7Ht-YztaS4RZcW-nlSyDEk,0.01775859999998808
warteg baru,4.2,52,-6.306978,106.816714,"jl. saco ragunan no.96, rt.10/rw.8, ragunan, kota jakarta selatan",ChIJE5KA-4bvaS4RX085812pVWg,0.02049000000000145
warteg barokah,3.8,5,-6.300972199999999,106.8495184,"jl. poltangan raya no.25, rt.4/rw.5, tj. bar., kota jakarta selatan",ChIJN8FmqIntaS4RmhUOj2TnJSM,0.02755379999998908
berkah cafe 24h,4.6,43,-6.3066685,106.8385407,"jl. baung no.42, rt.3/rw.1, lenteng agung, kota jakarta selatan",ChIJg2iY-8ztaS4RurLjKN5mHQk,0.010879799999989892
warteg slawi,5,1,-6.3102798,106.8468417,"jl. h. nawi no.27, rt.2/rw.6, tj. bar., kota jakarta selatan",ChIJpXVFJJLtaS4R35BpKRybAH8,0.015569499999992686
warteg jembatan,0,0,-6.3062733,106.8372265,"jl. baung no.25 rt 03/01, rt.1/rw.1, lenteng agung, kota jakarta selatan",ChIJF75z3mntaS4RiXahXmyzO-Y,0.009960799999993775
warteg sukasari,4.1,7,-6.320983399999999,106.825448,"jl. kebagusan raya no.5, rt.4/rw.4, kebagusan, kota jakarta selatan",ChIJeZv7vt3taS4RpP1AVjRu1L0,0.016527800000011084
warteg jaya bahari,4.7,18,-6.3033274,106.8492645,"jl. poltangan raya no.60, rt.6/rw.4, tj. bar., kota jakarta selatan",ChIJcZM_AAnzaS4RO6oIxlxsFIo,0.024944699999998043
warteg istiqomah,0,0,-6.3004589,106.8258892,"jl. kebagusan raya no.42, rt.1/rw.7, kebagusan, kota jakarta selatan",ChIJSbn4-_jtaS4RErFfvlzZTRE,0.01783390000000029
warteg bahari,0,0,-6.294548199999999,106.8279195,"jl. raya jatipadang, rt.3/rw.4, jati padang, kota jakarta selatan",ChIJCU6MbQbyaS4RGANgrEbEdZw,0.021714300000014397
warteg kharisma bahari,4,1,-6.3127621,106.8255565,"jl. kebagusan raya, rt.10/rw.7, ragunan, kota jakarta selatan",ChIJLef7Q-TtaS4Rh-pBwSfJTos,0.008198000000001038
warteg caca,4,1,-6.3228193,106.8270732,"jl. klp. 3 no.49, rt.3/rw.3, jagakarsa, kota jakarta selatan",ChIJJcWm5dztaS4RcQXs4_AUoFY,0.016738500000005097
warteg bahtiar,5,1,-6.3029464,106.8209253,"jl. harsono rm, rt.8/rw.4, ragunan, kota jakarta selatan",ChIJd14Kzf3taS4R-QUTJX4Ohe4,0.02031030000000733
warteg 3m,4.2,14,-6.300946400000001,106.8320896,"jl. kebagusan i no.1, rt.2/rw.1, kebagusan, kota jakarta selatan",ChIJLax7qfftaS4R6iJZiyg2Ok4,0.011146000000001877
warteg nisa,3.5,11,-6.3287511,106.8334474,"jalan raya lenteng agung jagakarsa, rt.4/rw.5, lenteng agung, kota jakarta selatan",ChIJHzmIkMXtaS4R8eSFiuiUNXs,0.018016499999990998
warteg manja,4.3,27,-6.3254576,106.8342049,"jl. raya lenteng agung, rt.3/rw.3, lenteng agung, kota jakarta selatan",ChIJ1b4CFcTtaS4RPvs-5jDG7Wg,0.015480499999997122
warteg linda,3.3,3,-6.327385,106.8239089,"jl. raya jagakarsa, rt.9/rw.7, jagakarsa, kota jakarta selatan",ChIJrQb_KtrtaS4RYSsgr1nXGNw,0.024468499999999338
warteg gabus raya,4.9,20,-6.299110600000001,106.8361364,"jl. gabus raya no.5, rt.5/rw.9, ps. minggu, kota jakarta selatan",ChIJM4M--vXtaS4R0Fj_tkXBVJA,0.016033399999994202
warteg nur hikmah,4,1,-6.301049600000001,106.8146093,"jl. raya cilandak kko, rt.13/rw.5, ragunan, kota jakarta selatan",ChIJO9XpswHuaS4RjQrzMM0SY5Y,0.028523100000004575
warteg moro tresno,4.6,12,-6.3007599,106.8305978,"jl. kebagusan i no.17, rt.6/rw.1, kebagusan, kota jakarta selatan",ChIJm3A8mvftaS4RdUo9AfG6Ktw,0.012824299999999234
warteg elis,4.5,39,-6.321472699999999,106.8366229,"jl. lenteng agung raya no.33b, rt.7/rw.2, lenteng agung, kota jakarta selatan",ChIJo-iW5L7taS4RBLcsK8ImS8Q,0.01391359999998798
warteg caca,4.2,5,-6.316282999999999,106.8274452,"jl. kebagusan iv no.20, rt.5/rw.4, kebagusan, kota jakarta selatan",ChIJ8ZvjT-btaS4RGwlr22A8qto,0.009830200000005895
warteg timbul jaya,4.3,7,-6.296675899999999,106.8154811,"jl. raya cilandak kko, rt.1/rw.5, ragunan, kota jakarta selatan",ChIJuWquB__xaS4RYDo6gb4GQAk,0.032025000000007076
warteg putra indah,0,0,-6.3070324,106.8455605,"jl. mesjid no.39, rt.1/rw.6, tj. bar., kota jakarta selatan",ChIJD-24vo3taS4Rc2OloNOpB90,0.017535699999998933
warteg cahaya berkah,4.2,10,-6.3125426,106.846575,"mrpw+xjp, rt.7/rw.6, west tanjung, south jakarta city",ChIJEb_9wULtaS4ROQ_2IiQYmnM,0.014935599999994942
warteg dani,5,1,-6.3230673,106.8304697,"jl. joe klp. tiga no.33, rt.1/rw.3, lenteng agung, kota jakarta selatan",ChIJW4duL0XtaS4RG3awtH5cJfo,0.013590000000011315
warteg kharisma bahari kebagusan,4.3,3,-6.2976372,106.8264675,"jl. kebagusan raya no.7, rt.5/rw.1, kebagusan, kota jakarta selatan",ChIJEwvIjpTzaS4RTRi0oWSVX9Y,0.02007729999999963
warteg anugrah jaya,4.3,10,-6.3268575,106.828703,"jl. klp. hijau no.48a, rt.5/rw.3, jagakarsa, kota jakarta selatan",ChIJAdyQJ9vtaS4RjbTBwYirZ8Q,0.019146900000001743
warteg tiara,0,0,-6.303119,106.8479157,"jl. nangka raya, rt.6/rw.5, tj. bar., kota jakarta selatan",ChIJR6IuUontaS4RzMZoozSopso,0.02380429999999567
warteg pak de,4.3,4,-6.317421299999999,106.8160796,"depan puri paso jl. paso, rt.5/rw.4, jagakarsa, kota jakarta selatan",ChIJOfDfgB_vaS4R-LINdeAQD6U,0.022334100000009904
