nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari,4.2,46,-6.304880799999999,106.8400362,"jalan raya tanjung barat, rt.10/rw.4, tj. bar., kota jakarta selatan",ChIJ6b27QfPtaS4RC8dUftNkMY0,0.015344200000003916
warteg bahari,4.2,6,-6.2852668,106.841635,"jl. raya ragunan, rt.1/rw.2, ps. minggu, kota jakarta selatan",ChIJOfz10mzyaS4RiCu-WVPEYlk,0.006016400000000033
warteg tegal arum,4.5,31,-6.3034449,106.8466454,"5, jl. nangka raya no.6, rt.6/rw.5, tj. bar., kota jakarta selatan",ChIJj3L4B4ztaS4R3YjJzdhwTA0,0.020517500000003963
warteg berkah,4.6,42,-6.3048426,106.8336833,"jl. baung, rt.6/rw.2, kebagusan, kota jakarta selatan",ChIJS4H_O_HtaS4R9pQfTKgRCFI,0.021511099999992567
warteg podoworo,3,1,-6.2881446,106.8248379,"jalan taman rt 001 rw 006 ragunan, jl. margasatwa bar., rt.6/rw.1, ragunan, dki jakarta",ChIJfyE8aRvyaS4R6c6Jt_g30VU,0.016590299999990066
warteg nj,3.7,3,-6.304458599999999,106.844214,"jl. nangka raya no.3, rt.8/rw.5, tj. bar., kota jakarta selatan",ChIJj8IzioztaS4RsOKFJaJJI58,0.019099799999997558
warteg putri,3,1,-6.302890199999999,106.8415205,"no. 19 c, jl. tb simatupang, rt.10/rw.4, tj. bar., kota jakarta selatan",ChIJ3xrZUYvtaS4RhQu4uT-vTnQ,0.014837900000005178
warteg barokah,4.2,6,-6.2864494,106.8260434,"kompleks bri, jl. warung jati barat no.20, rt.6/rw.5, jati padang, kota jakarta selatan",ChIJb8u_BxvyaS4RUqurz7FUx6Q,0.01707999999999199
warteg bahari,0,0,-6.2755442,106.8303481,"jl. amil no.75, rt.12/rw.5, kalibata, kota jakarta selatan",ChIJe16ZcBPtaS4RW-hMZ2nPRU0,0.023680500000001103
warteg husnimubarokah,5,5,-6.292646899999999,106.8424568,"jl. raya tj. barat no.21-18, rt.9/rw.7, pejaten tim., kota jakarta selatan",ChIJXf-_tdPzaS4RLA3G6DtLSR8,0.005530899999997452
warteg,4.3,47,-6.2765407,106.824222,"warteg, jalan pejatan barat raya, rt.2/rw.8, pejaten bar., kota jakarta selatan",ChIJzR3iLiLyaS4R_HUpPw1-R4w,0.028810099999989625
warteg hidayah,5,1,-6.2718263,106.8276766,"5, jl. kamboja no.43, rw.8, pejaten bar.",ChIJeSROtLjzaS4RolubxfAMtik,0.03006989999999199
warteg jaya bahari,0,0,-6.2959948,106.8432616,"jl. poltangan raya no.1 a, rt.2/rw.10, pejaten tim., kota jakarta selatan",ChIJy_N0xnvzaS4RXmfV8zt6FW0,0.009683600000009562
warteg 99,4.2,23,-6.274098,106.8220901,"jl. kecapi no.3, rt.14/rw.8, pejaten bar., kota jakarta selatan",ChIJy4TQMiHyaS4RyI3wvKzIVBE,0.03338469999999827
warteg bahari arifin,4,70,-6.279562299999999,106.8367311,"jl. pejaten raya no.42, rt.8/rw.10, jati padang, kota jakarta selatan",ChIJERXUvxXyaS4ROj-h_ArKI1E,0.013279400000001829
warteg blimbing,4.4,5,-6.2890766,106.8290214,"pr6h+9j6, rt.7/rw.3, jati padang, south jakarta city",ChIJu92WUQXyaS4RLrjfDCodW6E,0.011474799999994012
warteg salsabila ( warung makan )🏣,4.4,8,-6.2722508,106.8464372,"gg. bend. no.39, rt.1/rw.3, pejaten bar., kota jakarta selatan",ChIJ24VZsEbyaS4Rq1YUWGLo7VE,0.023834599999999817
warteg sumber rezeky,4.6,21,-6.3062951,106.8372609,"jl. baung no.25, rt.1/rw.1, agung, jagakarsa, kota jakarta selatan",ChIJc4VzS_LtaS4Rr8NjkGQp_yU,0.019385999999992798
warteg rizki,0,0,-6.305365800000001,106.8441168,"jl. langgar, rt.12/rw.8, tj. bar., kota jakarta selatan",ChIJO7Ht-YztaS4RZcW-nlSyDEk,0.019909799999999755
warteg gabus raya,4.9,20,-6.299110600000001,106.8361364,"jl. gabus raya no.5, rt.5/rw.9, ps. minggu, kota jakarta selatan",ChIJM4M--vXtaS4R0Fj_tkXBVJA,0.013325999999996618
warteg barokah,3.8,5,-6.300972199999999,106.8495184,"jl. poltangan raya no.25, rt.4/rw.5, tj. bar., kota jakarta selatan",ChIJN8FmqIntaS4RmhUOj2TnJSM,0.020917799999996767
warteg barokah pasar minggu,5,1,-6.284898,106.845209,"jl. masjid al-makmuriyah no.7, rt.1/rw.8, pejaten tim., kota jakarta selatan",ChIJm5BEe8nzaS4R0COzzdw8Ogk,0.009959199999999946
warteg moro tresno,4.6,12,-6.3007599,106.8305978,"jl. kebagusan i no.17, rt.6/rw.1, kebagusan, kota jakarta selatan",ChIJm3A8mvftaS4RdUo9AfG6Ktw,0.020513899999990315
warteg berkah 354,4.5,15,-6.2857078,106.8403001,"jl. raya ragunan, rt.9/rw.4, ps. minggu, kota jakarta selatan",ChIJizyxIBPyaS4RqWqsZLgv_Sc,0.004240499999996317
warteg jembatan,0,0,-6.3062733,106.8372265,"jl. baung no.25 rt 03/01, rt.1/rw.1, lenteng agung, kota jakarta selatan",ChIJF75z3mntaS4RiXahXmyzO-Y,0.019398599999997046
warteg zahirah,0,0,-6.3069561,106.8276711,"jl. kebagusan raya no.9, rt.9/rw.7, kebagusan, kota jakarta selatan",ChIJ4wp88OTtaS4RcZA-oqTIObg,0.029636799999993357
warteg sederhana purbaya,5,1,-6.272487,106.8467249,"jl. purbaya no.11, rt.11/rw.5, pejaten tim., kota jakarta selatan",ChIJw-bjRWbzaS4RK-wqkq5nedw,0.023886100000001242
warteg istiqomah,0,0,-6.3004589,106.8258892,"jl. kebagusan raya no.42, rt.1/rw.7, kebagusan, kota jakarta selatan",ChIJSbn4-_jtaS4RErFfvlzZTRE,0.024921499999990715
warteg ibu wiwi,4.6,81,-6.2724758,106.8409511,"jl. warga i ma no.69, rt.14/rw.3, pejaten bar., kota jakarta selatan",ChIJ3dzsrjjyaS4R8q0L6svz864,0.018123500000001513
berkah cafe 24h,4.6,43,-6.3066685,106.8385407,"jl. baung no.42, rt.3/rw.1, lenteng agung, kota jakarta selatan",ChIJg2iY-8ztaS4RurLjKN5mHQk,0.01847960000000093
warteg kharisma bahari kebagusan,4.3,3,-6.2976372,106.8264675,"jl. kebagusan raya no.7, rt.5/rw.1, kebagusan, kota jakarta selatan",ChIJEwvIjpTzaS4RTRi0oWSVX9Y,0.021521499999989757
warteg kharisma bahari,4.3,3,-6.279150599999999,106.8329876,"jl. pejaten raya no.15 c, rt.13/rw.2, jati padang, kota jakarta selatan",ChIJfWkl1PbzaS4Re06oh4i800E,0.01743460000000141
warteg nusantara bahari,4.7,9,-6.2858082,106.8298345,"jl. raya ragunan no.14 c, rt.2/rw.7, jati padang, kota jakarta selatan",ChIJGRTggBDyaS4RiJXSoWYWRag,0.013930099999991619
warteg rina jaya,4.4,194,-6.2796813,106.8345414,"jl. pejaten raya no.3, rt.13/rw.2, pejaten bar., kota jakarta selatan",ChIJwczEahbyaS4RGCdN8Ov_b8k,0.015350099999989375
warteg tiara,0,0,-6.303119,106.8479157,"jl. nangka raya, rt.6/rw.5, tj. bar., kota jakarta selatan",ChIJR6IuUontaS4RzMZoozSopso,0.021461900000005585
warteg nur hikmah,4.3,13,-6.2781747,106.8314941,"jl. condet pejaten no.13, rt.1/rw.7, pejaten bar., dki jakarta",ChIJC7jNFD3yaS4R4IIarTFrDig,0.019903999999995037
warteg sumber rejeki,5,1,-6.283827199999999,106.8441046,"terminal pasar minggu jalan raya pasar minggu no. 30 pasar minggu, rt.4/rw.1, ps. minggu, kota jakarta selatan",ChIJb9qSYCvzaS4RiqBMRxBOCtM,0.009925599999998092
warteg kharisi,4.4,10,-6.283484,106.8442475,"jl. raya pasar minggu no.51, rt.2/rw.1, ps. minggu, kota jakarta selatan",ChIJ1Tygh2zyaS4Ryn9K-LsJmfw,0.010411699999997914
warteg mustikasari,5,1,-6.3062679,106.8305933,"jl. kebagusan raya no.9, rt.1/rw.7, ragunan, kota jakarta selatan",ChIJ4c6BvGXtaS4RJ0S5Mxp1mRU,0.02602639999999301
warteg rahayu,4.3,23,-6.272866199999999,106.8475613,"jl. rawajati timur, rt.6/rw.6, pejaten tim., kota jakarta selatan",ChIJ7_t8_0PyaS4RetfTi5UxFYI,0.02434329999999907
warteg jaya bahari,4.7,18,-6.3033274,106.8492645,"jl. poltangan raya no.60, rt.6/rw.4, tj. bar., kota jakarta selatan",ChIJcZM_AAnzaS4RO6oIxlxsFIo,0.023019100000007953
warteg,5,1,-6.2920247,106.8288391,"jl. raya jatipadang, rt.6/rw.9, jati padang, kota jakarta selatan",ChIJt-IwkAXyaS4RwooxjP6ylBg,0.013537400000000588
warteg bahari,0,0,-6.2876967,106.8234272,"jl. hankam no.rt.5, rt.8/rw.11, ragunan, kota jakarta selatan",ChIJzb7lNIjzaS4RN5d-ACBV1BQ,0.018448899999998325
warteg lestari,4,1,-6.273784999999999,106.831858,"jl. amil no.mor 82, rt.12/rw.5, kalibata, kota jakarta selatan",ChIJv-QyhTzyaS4RpaVm0DGelts,0.023929799999999446
warteg bahari,0,0,-6.294548199999999,106.8279195,"jl. raya jatipadang, rt.3/rw.4, jati padang, kota jakarta selatan",ChIJCU6MbQbyaS4RGANgrEbEdZw,0.016980500000002507
makmur restaurant,4.4,51,-6.287111899999999,106.825406,"jl. taman margasatwa raya no.16, rt.4/rw.11, ragunan, kota jakarta selatan",ChIJ45sNFRvyaS4ROMnssJC0o4w,0.01705489999999532
warteg bude murmer,4.4,5,-6.280967899999999,106.8321397,"jl. jatipadang utara no.76, rt.13/rw.2, jati padang, kota jakarta selatan",ChIJx-DcBhfyaS4REQ7pgK-jCIY,0.016465199999997182
warteg ibu saroh,4.5,36,-6.2929705,106.8335444,"pr4m+rc7, rt.11/rw.6, jati padang, south jakarta city",ChIJU_yaxQ7yaS4RCS3YHajblLY,0.009777900000003115
warteg jaya,3.9,28,-6.2712922,106.8379339,"jl. siaga raya no.40, rt.16/rw.4, pejaten bar., kota jakarta selatan",ChIJba7_GjnyaS4RwvL_2vfaeuE,0.020346699999999274
warteg salihara jaya,0,0,-6.2836773,106.8379738,"jl. salihara no.4, rt.1/rw.1, jati padang, kota jakarta selatan",ChIJv-WeJvrzaS4RfXSsnFri7Ow,0.007921699999995369
warteg syarifah,4.5,6,-6.2774047,106.8271283,"jalan pejaten barat raya no. 34, pejaten barat, pasar minggu, rt.8/rw.8, pejaten bar., kota jakarta selatan",ChIJpYy2t5vzaS4RcUV5QF7iD_c,0.025039799999997392
warteg 3m,4.2,14,-6.300946400000001,106.8320896,"jl. kebagusan i no.1, rt.2/rw.1, kebagusan, kota jakarta selatan",ChIJLax7qfftaS4R6iJZiyg2Ok4,0.01920859999999447
warteg diyanah,4.1,48,-6.295422299999999,106.8414912,"jl. poltangan raya no.6, rt.1/rw.10, pejaten tim., kota jakarta selatan",ChIJdaDQ0nTyaS4Rn0FNmWAE7NE,0.007340699999996758
warteg nusantara multisukma,4.9,7,-6.272241999999999,106.8308732,"jl. warung buncit raya no.448, rt.3/rw.5, kalibata, kota jakarta selatan",ChIJr7nBP9vzaS4RYhYly09xFB8,0.026457599999996972
warteg kowantara jaksel,5,1,-6.272705999999999,106.8375609,"jl. amil no.7, rt.4/rw.3, pejaten bar., kota jakarta selatan",ChIJ0-t3MTnyaS4RC2XU2vafM4E,0.019305899999997322
warteg ben jaya,4.3,20,-6.297173799999999,106.8402318,"komplek batan, no. 18, jl. raya rw. bambu, rt.7/rw.7, ps. minggu, kota jakarta selatan",ChIJBYrpwAryaS4RvJgYfb-2lGQ,0.007832800000000972
