nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari,4.6,12,-6.3174566,106.8190233,"jl. pepaya raya no.1a, rt.7/rw.5, jagakarsa, kota jakarta selatan",ChIJkSYZNODtaS4R_MdLHjzN4Vk,0.017468799999996953
warteg,5,1,-6.2920247,106.8288391,"jl. raya jatipadang, rt.6/rw.9, jati padang, kota jakarta selatan",ChIJt-IwkAXyaS4RwooxjP6ylBg,0.017778900000001485
warteg bahari,0,0,-6.2876967,106.8234272,"jl. hankam no.rt.5, rt.8/rw.11, ragunan, kota jakarta selatan",ChIJzb7lNIjzaS4RN5d-ACBV1BQ,0.016695000000003013
warteg jaya,0,0,-6.306342,106.8208922,"jl. saco 1 no.12, rt.6/rw.7, ragunan, kota jakarta selatan",ChIJ44joUvztaS4RTnG_i6RBO3c,0.004694700000008822
warteg podoworo,3,1,-6.2881446,106.8248379,"jalan taman rt 001 rw 006 ragunan, jl. margasatwa bar., rt.6/rw.1, ragunan, dki jakarta",ChIJfyE8aRvyaS4R6c6Jt_g30VU,0.017657800000010937
warteg iffa,4.6,18,-6.3118728,106.8130198,"jl. moh. kahfi 1 no.6, rt.2/rw.6, jagakarsa, kota jakarta selatan",ChIJjV7t2wjuaS4R3vakJG9toeE,0.017888499999988206
warteg citr sari,4.4,36,-6.2948572,106.8108821,"jl. jaha no.12, rt.4/rw.1, cilandak tim., kota jakarta selatan",ChIJa26PDvzxaS4RPcEvbwGIn2o,0.01680019999999338
warteg berkah,4.6,42,-6.3048426,106.8336833,"jl. baung, rt.6/rw.2, kebagusan, kota jakarta selatan",ChIJS4H_O_HtaS4R9pQfTKgRCFI,0.015986400000009837
warteg minah,4.2,20,-6.284747299999999,106.8190653,"jl. ampera raya no.4a, rt.1/rw.6, ragunan, kota jakarta selatan",ChIJkYmc6x3yaS4RqZV67z9_CEM,0.01872689999998922
warteg barokah,4.2,6,-6.2864494,106.8260434,"kompleks bri, jl. warung jati barat no.20, rt.6/rw.5, jati padang, kota jakarta selatan",ChIJb8u_BxvyaS4RUqurz7FUx6Q,0.020558500000007918
warteg yanti bahari,5,5,-6.2945212,106.8382809,"gg. h. umaidi no.3, rt.2/rw.7, ps. minggu, kota jakarta selatan",ChIJ92-YfHzzaS4RtsID77MIxPg,0.024724200000005858
warteg berkah,0,0,-6.309505799999999,106.8359887,"gg. langgar no.4, rt.4/rw.3, kebagusan, kota jakarta selatan",ChIJ4QfPgfDtaS4R4lMm1yCNORs,0.02295500000000672
wahyoo warteg redja,4,1,-6.318252999999999,106.8189174,"jl. pepaya raya no.46, rt.7/rw.5, jagakarsa, kota jakarta selatan",ChIJhycvPODtaS4RBqlNpkK5s8Y,0.01837109999998976
warteg khalimah baru,4,2,-6.2852673,106.8261658,"jl. warung jati barat no.7, rt.3/rw.11, ragunan, kota jakarta selatan",ChIJu4i9zRvyaS4R-1xT8Fi6L9Q,0.021863000000003296
warteg asli,4.4,5,-6.3012311,106.8213962,"jl. harsono rm no.4, rt.4/rw.7, ragunan, kota jakarta selatan",ChIJNQYRBf_taS4RXOd3dpbTlgk,0.001129600000000508
warteg blimbing,4.4,5,-6.2890766,106.8290214,"pr6h+9j6, rt.7/rw.3, jati padang, south jakarta city",ChIJu92WUQXyaS4RLrjfDCodW6E,0.02090930000000757
warteg aw,5,2,-6.28499,106.8065595,"jln mpr 3 dalam no34, jl. m.p.r iii dalam no.dalam, rt.2/rw.13, cilandak bar., kota jakarta selatan",ChIJhbqPfJnxaS4RpwayWTz8Ba4,0.030989999999988527
warteg helmi jaya,4.1,16,-6.3169,106.811675,"# jagakarsa, jl. moh. kahfi 1 no.7, rt.1/rw.6, jagakarsa, kota jakarta selatan",ChIJYyyZeQzuaS4RMuuYfzI4nhE,0.02426050000000135
warteg bae,4.4,25,-6.315833,106.816268,"4, jl. kav. polri no.82, rt.4/rw.6, jagakarsa, kota jakarta selatan",ChIJkamVPwruaS4RzYcWLWi1RZY,0.018600500000000686
warteg mustikasari,5,1,-6.3062679,106.8305933,"jl. kebagusan raya no.9, rt.1/rw.7, ragunan, kota jakarta selatan",ChIJ4c6BvGXtaS4RJ0S5Mxp1mRU,0.014321700000009763
warteg ojo lali cilandak,4.6,68,-6.310656400000001,106.8134351,"jl. margasatwa, rt.1/rw.6, jagakarsa, kota jakarta selatan",ChIJ73z5lQjuaS4Re-XgIblPmRM,0.01625679999998919
warteg kharisma bahari,4.3,3,-6.310971899999999,106.8134758,"jl. margasatwa bar. no.6, rt.6/rw.6, jagakarsa, kota jakarta selatan",ChIJKf6IDyjvaS4R29bnWOziC44,0.01653159999998799
warteg kharisma bahari,4,1,-6.3127621,106.8255565,"jl. kebagusan raya, rt.10/rw.7, ragunan, kota jakarta selatan",ChIJLef7Q-TtaS4Rh-pBwSfJTos,0.01577910000001026
warteg 53,5,1,-6.3089986,106.8270929,"jl. kebagusan raya, rt.1/rw.6, kebagusan, kota jakarta selatan",ChIJZ3iO0_rtaS4Rd6rPh0DKzL8,0.013552000000002451
warteg lisa,5,1,-6.3028555,106.8264067,"jl. kebagusan raya no.48, rt.1/rw.7, ragunan, kota jakarta selatan",ChIJFw3Djc_taS4RoHg8AF70Zp4,0.006722700000012516
warteg sumber rezeky,4.6,21,-6.3062951,106.8372609,"jl. baung no.25, rt.1/rw.1, agung, jagakarsa, kota jakarta selatan",ChIJc4VzS_LtaS4Rr8NjkGQp_yU,0.021016500000009763
