nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg putra bahari,4,1,-6.286648,106.7761066,"rt.11/rw.10, pd. pinang, kota jakarta selatan",ChIJr2IRIszxaS4R9MxYT5oXRLk,0
warteg,4,6,-6.290341799999999,106.7789122,"jl. h. ilyas no.8, rt.9/rw.7, lb. bulus, kota jakarta selatan",ChIJN51qKM7xaS4Ru9z8lvw-Tus,0
warteg sarapada i,5,1,-6.2870623,106.7712987,"jalan ciputat raya # 7, rt.6/rw.7, pondok pinang, kebayoran lama, rt.6/rw.7, pd. pinang, kota jakarta selatan",ChIJmUh0xszxaS4RG-50-lg2fX4,0
warteg sari rasa,0,0,-6.2890064,106.7727716,"jl. ps. jum'at jl. lebak bulus raya no.45b, rt.9/rw.7, pd. pinang, kota jakarta selatan",ChIJLdj0gLnxaS4R5M2B11ByVmI,0
warteg mulya bahari,5,1,-6.2903324,106.7707445,"jl. batan jl. adiaksa raya no.1, rt.1/rw.2, lb. bulus, kota jakarta selatan",ChIJWci8VM3xaS4Rd9MuqfXmo3s,0
warteg ridho ibu,4.8,6,-6.290593599999999,106.7706668,"jl. lebak bulus raya no.1, rt.10/rw.9, lb. bulus, kota jakarta selatan",ChIJaySBTc3xaS4R_nLOHSxV02c,0
warteg kharisma bahari,4.7,6,-6.2893864,106.7778735,"jl. adiaksa raya no.38b, rt.11/rw.7, lb. bulus, kota jakarta selatan",ChIJh4ZkqnLxaS4RO9YXtBLTqlQ,0
warteg adinda,2,1,-6.288476999999999,106.771174,"jalan ciputat raya pasar jumat rt 09 rw 07, pondok pinang, kebayoran lama, rt.9/rw.7, pd. pinang, kota jakarta selatan",ChIJk6UVMc3xaS4RkkyPBnAINNE,0
warteg bahari,0,0,-6.283000899999999,106.77031,"jl. pupan no.5, rt.9/rw.8, pd. pinang, kota jakarta selatan",ChIJBUxuKDXwaS4R8eCUfyKirVk,0
warteg batan,4.3,22,-6.2917568,106.7713953,"jl. lebak bulus raya, rt.8/rw.2, lb. bulus, kota jakarta selatan",ChIJ241VhNTxaS4RkNy6x9hXlSI,0
warteg mekarsari lebakbulus,0,0,-6.290250899999999,106.7709481,"jl. lebak bulus raya no.25, rt.1/rw.2, lb. bulus, kota jakarta selatan",ChIJuyDwnNnxaS4RG2rJ1b3v3Do,0
warteg langka-langka,5,1,-6.2928652,106.7822506,"pq4j+vw2, rt.5/rw.1, lebak bulus, south jakarta city",ChIJ-2TiF3nxaS4RXenRCufpo8c,0
warteg citra bahari,3.6,10,-6.253381,106.77607,"jalan bintaro raya tanah kusir, rt.2/rw.10, kebayoran lama selatan, kebayoran lama, rt.11/rw.10, kby. lama sel., kota jakarta selatan",ChIJo7yAjAPxaS4Rj1TMzLIGzlE,0
warteg slawi ayu,4.6,60,-6.2553325,106.7760395,"jl. johari no.1, rt.10/rw.10, kby. lama sel., kota jakarta selatan",ChIJdUouTgHxaS4RkjXb5A6rWb4,0
warteg kowantara banten,4,2,-6.2580538,106.7774059,"jl. ciputat raya, rt.4/rw.10, kby. lama sel., kota jakarta selatan",ChIJiQc7OgfxaS4RjV7EuovH5dI,0
warteg bendi jaya,4.2,181,-6.2529184,106.7735524,"jl. bendi raya no.15, rt.3/rw.10, kby. lama utara, kota jakarta selatan",ChIJt7N-TQLxaS4RNZXLjgEk-Ws,0
warteg abdul,0,0,-6.2573216,106.7754954,"jl. ismail blok ismail 4 no.25, rt.9/rw.10, kby. lama sel., kota jakarta selatan",ChIJy8jBfDfxaS4Rf83dogM-Kno,0
warteg barokah,4.8,4,-6.247303899999999,106.7797712,"jl. bungur, rt.4/rw.1, kby. lama utara, kota jakarta selatan",ChIJwahg_BrxaS4RNRojSe6S7EQ,0
warteg bude,5,1,-6.258171,106.7807351,"tanah kusir 4, rt.6/rw.9, kby. lama sel., kota jakarta selatan",ChIJAVcg37XxaS4R9MJi5PH9HBM,0
warteg irma,0,0,-6.253249299999999,106.7778802,"jl. ciputat raya no.2, rt.11/rw.11, kby. lama utara, kota jakarta selatan",ChIJTe_1agTxaS4RTRdADsChwg4,0
