nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg putrabahari,4.4,111,-6.229489999999999,106.7767754,"jl. cidodol raya, rt.3/rw.11, grogol sel., kota jakarta selatan",ChIJy6ta_CXxaS4RfydUlbQcTPk,0
warteg putrabahari,4.3,10,-6.2255729,106.7746448,"jl. assirot no.10, rt.5/rw.1, grogol sel., kota jakarta selatan",ChIJswjlEynxaS4R0HuT1w1sB2k,0
warteg sari mukti,0,0,-6.2256072,106.7738827,"jl. assirot no.5, rt.10/rw.3, grogol sel., kota jakarta selatan",ChIJE4SFDCnxaS4RbSE-vPZj2P4,0
warteg hello bahari,4.8,11,-6.225492999999999,106.7764421,"jl assirot no.12 rt006/01, rt.6/rw.1, grogol sel., kota jakarta selatan",ChIJDWlSt_fxaS4R0pO5s-a8zrs,0
warteg lestari 2,5,1,-6.2262694,106.7711516,"jalan h thohir rt 02 rw 04 no 51a kebon jeruk, rt.2/rw.4, sukabumi sel., dki jakarta",ChIJrY7Y4SnxaS4RwhUNDhDO_nw,0
warteg aneka pepea,0,0,-6.225209,106.7745769,"jl. assirot no.5, rt.5/rw.1, grogol sel., kota jakarta selatan",ChIJa4Qi-d_xaS4RRVRPQCo_tbY,0
warteg barokah pak rohkmani,0,0,-6.2264412,106.7697695,"jl. persatuan no.1, rt.1/rw.4, grogol sel., kota jakarta selatan",ChIJQ0TdC6LxaS4R6Uu_y40Y_ts,0
warteg sederhana,5,1,-6.2290871,106.7789612,"jl. raya kby. lama no.19, rt.4/rw.10, grogol sel., kota jakarta selatan",ChIJK7bBfkvxaS4RSj8BA7bN760,0
warteg kharisma bahari,0,0,-6.228973,106.771536,"jl. panjang cidodol no.2, rt.5/rw.13, sukabumi sel., kota jakarta selatan",ChIJacp_7OfxaS4Ru_0AAzvYeK4,0
warteg najwa/awa,5,1,-6.225598,106.7751535,"jl. assirot, rt.12/rw.1, grogol sel., kota jakarta selatan",ChIJ61ngPSnxaS4RPiAn6VizTQ0,0
