nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg kharisma bahari,4.2,156,-6.2443246,106.78054569999999,"warteg kharisma bahari 18 jl.ciputat raya no.30 rt.03 rw.07, rt.3/rw.4, kby. lama utara, kota jakarta selatan",ChIJA4lMQyzxaS4RpfbgphsypcQ,0.020607500000007658
warteg bahari ibu lia,4.8,8,-6.2358547999999985,106.76974969999999,"jl. h. amsar no.7, rt.12/rw.5, cipulir, kota jakarta selatan",ChIJzbnWunjxaS4RoJljZ4gouvk,0.011611700000006664
warteg agung jaya,4.9,7,-6.2279684999999985,106.786927,"jalan rawa simprug iii rt 006 rw 005 # 12 grogol selatan, rt.5/rw.5, grogol sel., dki jakarta",ChIJ3USPoTDxaS4RJNNLe1oEBhk,0.0
wahyoo warteg galieh,4.5,29,-6.2206362,106.7815267,"v, jl. kebon nanas, rt.4/rw.10, grogol utara, kota jakarta selatan",ChIJizc1cC3xaS4RifGoIUaUOQA,0.0
warteg kharisma bahari,4.0,4,-6.2203588,106.7816176,"jl. panjang no.8, rt.7/rw.10, grogol utara, kota jakarta selatan",ChIJTSdrby3xaS4Ry8UPA0jQ4fk,0.0
warteg jaya sedia. sp .soto ayam.dll.,0.0,0,-6.2202499000000016,106.78128390000002,"jl. panjang no.30, rt.5/rw.10, grogol utara, kota jakarta selatan",ChIJk_Xway3xaS4Rcx2N_iUCOpM,0.0
warteg aji jaya,0.0,0,-6.2203031,106.781368,"jl. panjang no.30, rt.5/rw.10, grogol utara, kota jakarta selatan",ChIJ1-2ubi3xaS4RAD7SooFWKBg,0.0
warteg embem kharisma,0.0,0,-6.2203588,106.7816176,"jl. panjang no.8, rt.7/rw.10, grogol utara, kota jakarta selatan",ChIJjw0LpwLxaS4RLuKNH2ajN4M,0.0
warteg jihan,5.0,1,-6.2361656,106.75586799999999,"jl. pratama no.3, rt.2/rw.6, petukangan sel., kota jakarta selatan",ChIJ0cRjdcPwaS4RwEQ00gtcVYk,0.01466700000001264
warteg ceria 1,4.6,27,-6.2284045,106.7532555,"jl. palem i no.8, rt.8/rw.3, petukangan utara, kota jakarta selatan",ChIJsSb-29_xaS4R9HX-8PFWuuE,0.00429340000000078
warteg kharisma bahari,4.8,55,-6.2441263,106.76328909999998,"jl. ulujami raya no.8, rt.2/rw.2, ulujami, kota jakarta selatan",ChIJQ9pYvebwaS4RCBLwS9V3uMk,0.0
warteg bahari 108,0.0,0,-6.237954299999998,106.7636277,"jl. ciledug raya no.2, rt.1/rw.3, ulujami, kota jakarta selatan",ChIJvz4oxN3waS4REb2BVAlbr6g,0.0
warteg bahari,3.7,3,-6.2177193,106.76676040000001,"jalan pahlawan 1 kelurahan sukabumi selatan kecamatan kebon jeruk, rt.4/rw.5, sukabumi sel., dki jakarta",ChIJKyVWFiv3aS4RwZTA_rPHL7g,0.0
warteg sida mulya,0.0,0,-6.2186565,106.76929650000001,"qqj9+gpm, rt.7/rw.5, south sukabumi, west jakarta city",ChIJse1y5mL3aS4RMB1Tt8iBBak,0.0
warteg ifah,5.0,1,-6.236356,106.76063500000001,"jl. swadarma raya, rt.5/rw.3, ulujami, kota jakarta selatan",ChIJA-izBT7xaS4RZbdUvQVXaK0,0.0
