nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg putra bahari,4.3,6,-6.2759171,106.7625449,"jl. rc. veteran raya no.18c, rt.3/rw.11, bintaro, kota jakarta selatan",ChIJMeJPJUnwaS4RZv0msu-l2_o,0.008781099999991326
warteg kharisma bahari,4.4,167,-6.2709031,106.759327,"jl. kesehatan raya no.5, rt.8/rw.11, bintaro, kota jakarta selatan",ChIJOxca_E_waS4RF5U-w0C0D3A,0.005492000000004715
warteg bahari,3.8,26,-6.254552,106.76359,"jl ulujami raya rt009, rt.1/rw.2, rw001, kota jakarta selatan",ChIJPeJhsf_xaS4RIRhBtphrPOM,0.01512209999998948
warteg selera,4.6,52,-6.2596738,106.7567945,"rt.5/rw.3, pesanggrahan, south jakarta city",ChIJgwkmxffwaS4RsdhWEczzCJA,0.013212600000005459
warteg mustika bahari.,5,4,-6.281388799999999,106.7616944,"jl. rempoa raya no.5, rt.1/rw.5, bintaro, kota jakarta selatan",ChIJxyBrzTfwaS4RqGJgS54UGiw,0.013610300000006958
warteg kharisma bahari,4.5,214,-6.2847653,106.7683648,"jl. h. saikin no.25, rt.15/rw.8, pd. pinang, kota jakarta selatan",ChIJXQGIkDTwaS4RZbf3UL9O0C4,0.023449199999997283
warteg citra bahari,3.6,10,-6.253381,106.77607,"jalan bintaro raya tanah kusir, rt.2/rw.10, kebayoran lama selatan, kebayoran lama, rt.11/rw.10, kby. lama sel., kota jakarta selatan",ChIJo7yAjAPxaS4Rj1TMzLIGzlE,0.02877310000000044
warteg bu mi,4.8,5,-6.2647407,106.7672208,"pqp8+4v5, rt.9/rw.3, bintaro, south jakarta city",ChIJ9xq_e1TwaS4Rs3ntcSMg2t4,0.008564200000000355
warteg permata bahari,3,1,-6.2554082,106.7633761,"gg. al. barkah, rt.10/rw.1, pesanggrahan, kota jakarta selatan",ChIJm9fCXfnwaS4REvUs9gvAU-k,0.014051999999998621
warteg bahari,3.9,35,-6.268824599999999,106.7729791,"jl. h. naimun no.39, rt.11/rw.11, pd. pinang, kota jakarta selatan",ChIJia7LCK3xaS4RwjBhS0ggBdc,0.012122799999996658
warteg indah jaya 2,4.4,75,-6.264345,106.7749519,"jl. ciputat raya, rt.6/rw.1, pd. pinang, kota jakarta selatan",ChIJ83kTjavxaS4RpJk1GwTlV28,0.016691000000001566
warteg mulya jaya,0,0,-6.2559947,106.7631338,"jl. ulujami raya, rt.10/rw.2, pesanggrahan, kota jakarta selatan",ChIJRQqGafnwaS4RfBPm6WrQIRw,0.013223200000002322
warteg kharisma bahari,4.4,157,-6.2790653,106.7723391,"jl. ciputat raya no.4, rt.1/rw.7, pd. pinang, kota jakarta selatan",ChIJ0YFq87rxaS4R8vKxvM3wWZo,0.021723499999993123
