nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari 02,5,3,-6.225159,106.763381,"jl. kp. baru 5 no.44, rt.4/rw.2, ulujami, kota jakarta selatan",ChIJV0H0QtHwaS4RM4LCySp_nkk,0.02482939999999445
warteg barokah,4,1,-6.235517199999999,106.7514579,"jl. masjid darul fallah, rt.12/rw.3, petukangan utara, kota jakarta selatan",ChIJSWnZN8HwaS4RXyobdW8Ye5U,0.011433099999996976
warteg barokah,5,4,-6.2378864,106.7697193,"jl. ciledug raya no.9, rt.2/rw.5, cipulir, kota jakarta selatan",ChIJR9Aokt_waS4RFASO0A1o0m8,0.018440300000004406
warteg bahari,3.8,26,-6.254552,106.76359,"jl ulujami raya rt009, rt.1/rw.2, rw001, kota jakarta selatan",ChIJPeJhsf_xaS4RIRhBtphrPOM,0.01973379999999203
warteg selera,4.6,52,-6.2596738,106.7567945,"rt.5/rw.3, pesanggrahan, south jakarta city",ChIJgwkmxffwaS4RsdhWEczzCJA,0.018060099999996027
warteg bahari kembar,5,2,-6.2394446,106.7708592,"jl. al mubarok 1 no.10, rt.1/rw.1, cipulir, kota jakarta selatan",ChIJQzXRASDxaS4RuL0MAhxie_k,0.01802200000000287
warteg rizky,0,0,-6.2311217,106.7520328,"jl. masjid darul fallah no.23, rt.3/rw.3, petukangan utara, kota jakarta selatan",ChIJ30ny92PxaS4R0ZGlTg0tOYI,0.015253700000006809
warteg bahari,0,0,-6.2357124,106.7726734,"jl. cipulir i no.28, rt.7/rw.4, cipulir, kota jakarta selatan",ChIJ06pU6CDxaS4RjOgnbiOnuoE,0.023568400000001155
warteg bahari 19,5,1,-6.2278688,106.7606079,"jl. swadarma raya, rt.1/rw.2, ulujami, kota jakarta selatan",ChIJyx2TRtDwaS4RkbNcoX-XhOM,0.019346499999994826
warteg bahari 107,4.4,28,-6.238039499999999,106.7684813,"jl. ciledug raya, rt.14/rw.6, cipulir, kota jakarta selatan",ChIJRZd9t9_waS4Re0g731DM18M,0.017049200000004205
warteg barokah,3.7,17,-6.2383864,106.7721225,"jl. seskoal no.11, rt.6/rw.11, cipulir, kota jakarta selatan",ChIJ5W4bGCDxaS4RqZ0KAKyp5os,0.020343499999992964
warteg mamoka bahari 08,4.6,191,-6.2363846,106.7452465,"jl. ciledug raya no.73a, rt.1/rw.1, petukangan utara, kota jakarta selatan",ChIJTce6I_vxaS4RjhaMPyeNc4I,0.016777100000008538
warteg permata bahari,3,1,-6.2554082,106.7633761,"gg. al. barkah, rt.10/rw.1, pesanggrahan, kota jakarta selatan",ChIJm9fCXfnwaS4REvUs9gvAU-k,0.020376100000000008
warteg ibu sri,4,2,-6.232434700000001,106.757139,"jl. kostrad raya no.22, rt.3/rw.5, petukangan utara, kota jakarta selatan",ChIJ7xnQ4cTwaS4RVxsvx2SQCmo,0.011311699999993152
wahyoo warteg bahari,4.3,19,-6.2434033,106.7628917,"jalan ulujami raya no.1, rt.12 rw.04, pesanggrahan, rt.13, ulujami, kota jakarta selatan",ChIJQYuA7ObwaS4RTbxGoYXJ2p4,0.007886799999995198
warteg sumber barokah,4.4,7,-6.2297937,106.745621,"rt.01/rw.007, north petukangan, south jakarta city",ChIJs6P3F_PxaS4RL4ALMicUL2s,0.022993500000001887
warteg berkah,5,2,-6.2326267,106.7488403,"qp8x+wgw, rt.6/rw.2, north petukangan, south jakarta city",ChIJpfY6CsfwaS4RUbsp5U0qqVw,0.01694120000000421
warteg bahari jaya,4,4,-6.2376939,106.762618,"jalan ciledug raya rt 02 rw 03 # 5 a, ulu jami, pesanggrahan, rt.2/rw.3, ulujami, kota jakarta selatan",ChIJA_lqt93waS4RrdFIIWOSqmM,0.011531500000002026
warteg 85,0,0,-6.2459052,106.7513454,"jl. manunggal 2, rt.12/rw.2, petukangan sel., kota jakarta selatan",ChIJM0FubezwaS4Rpo4gtXy579g,0.007952399999996196
warteg jaya bahari,4.4,8,-6.228554099999999,106.7573515,"jl. palem raya no.50, rt.7/rw.8, petukangan utara, kota jakarta selatan",ChIJTTa7_qfxaS4RGNU2Sf2seDU,0.015404799999997998
warteg mulya jaya,0,0,-6.2559947,106.7631338,"jl. ulujami raya, rt.10/rw.2, pesanggrahan, kota jakarta selatan",ChIJRQqGafnwaS4RfBPm6WrQIRw,0.020720300000003355
warteg tasya,3.3,3,-6.22594,106.744173,"jl. h. mukhtar no.4, rt.12/rw.11, petukangan utara, kota jakarta selatan",ChIJjR4cYrbwaS4RZlME4CumzXE,0.028295199999998744
warteg mustika bahari,5,1,-6.236555999999999,106.7537158,"jl. moh. jani no.46, rt.1/rw.3, petukangan utara, kota jakarta selatan",ChIJi24W6cPwaS4Ri1-GpH8--BI,0.008136400000007704
warteg renanda,4.4,25,-6.2489672,106.7635864,"jalan ulujami raya, gang warga, rt. 002 / rw. 007, ulujami, rt.2/rw.7, ulujami, kota jakarta selatan",ChIJFafvvuTwaS4R5ysHp25beTQ,0.014145399999992314
warteg asri,5,1,-6.2272779,106.7528639,"jl. masjid darul falah, rt.8/rw.3, petukangan utara, kota jakarta selatan",ChIJjcZf1cjwaS4RLCYWt3YmfBE,0.0182664000000079
warteg bahari,4.6,13,-6.248623299999999,106.7535,"jl. damai raya no.5b, rt.1/rw.2, petukangan sel., kota jakarta selatan",ChIJ4WB1ce7waS4Ri9pic22ii9Q,0.008515899999998133
warteg rw,4.3,24,-6.2495685,106.7637129,"jl. ulujami raya no.42c, rt.4/rw.1, pesanggrahan, kota jakarta selatan",ChIJzZxps-TwaS4Rg-N2MPS4DGg,0.014873199999999365
warteg barokah,5,10,-6.2348848,106.7572031,"jl. kostrad raya no.89, rt.7/rw.4, petukangan utara, kota jakarta selatan",ChIJYVdKYMPwaS4RvorLOQ4gPYo,0.00892569999999715
warteg,0,0,-6.2524215,106.7645101,"jl. ulujami raya, rt.6/rw.1, pesanggrahan, kota jakarta selatan",ChIJUxllf_vwaS4RbGeCs67VkJE,0.018523399999993195
warteg restu bahari,5,1,-6.2274888,106.743362,"jl. amd x, rt.10/rw.1, petukangan utara, kota jakarta selatan",ChIJwyHL4rbwaS4Rw4pDtjJ3NiI,0.0275573999999974
warteg jaya,4.4,8,-6.2552173,106.7675455,"jl. masjid al muflihun no.3, rt.3/rw.10, bintaro, kota jakarta selatan",ChIJ-R4lh_7waS4RjiHPWe-xzQA,0.02435459999999523
warteg slawi ayu,4.3,13,-6.244329,106.763217,"jalan raya rt 003 rw 015, jalan ulujami raya, ulujami, pesanggrahan, rt.13, ulujami, kota jakarta selatan",ChIJB3pjmObwaS4Rys9l5-KL3kk,0.009137799999995089
warteg sederhana,4.3,15,-6.2245623,106.7629599,"jl. kp. baru 5 no.2, rt.7/rw.2, ulujami, kota jakarta selatan",ChIJddJpYdHwaS4RT34iPH2cgJo,0.0250049999999975
warteg permata bahari,4.4,46,-6.233694,106.751528,"jl masjid daarul fallah rt 04 rw 02 petukangan utara pesanggrahan, rt.4/rw.2, petukangan utara, kota jakarta selatan",ChIJ1zRYlcbwaS4RW7u7D3IVp8I,0.013186200000008697
warteg khaerunnisa,5,1,-6.2584474,106.7630099,"jl. bintaro permai iii no.19, rt.2/rw.9, bintaro, kota jakarta selatan",ChIJSzzue47xaS4R72CQQEfZYSE,0.023049099999997935
warteg kharisma bahari,4,1,-6.2470742,106.7519567,"jl. damai raya no.6, rt.3/rw.5, petukangan sel., kota jakarta selatan",ChIJ03G5MOzwaS4RHW3f__avpS0,0.008510100000007625
