nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari 02,5,3,-6.225159,106.763381,"jl. kp. baru 5 no.44, rt.4/rw.2, ulujami, kota jakarta selatan",ChIJV0H0QtHwaS4RM4LCySp_nkk,0.01558360000000203
warteg barokah,4,1,-6.235517199999999,106.7514579,"jl. masjid darul fallah, rt.12/rw.3, petukangan utara, kota jakarta selatan",ChIJSWnZN8HwaS4RXyobdW8Ye5U,0.009608500000011233
warteg rizky,0,0,-6.2311217,106.7520328,"jl. masjid darul fallah no.23, rt.3/rw.3, petukangan utara, kota jakarta selatan",ChIJ30ny92PxaS4R0ZGlTg0tOYI,0.0057879000000014
warteg bahari 19,5,1,-6.2278688,106.7606079,"jl. swadarma raya, rt.1/rw.2, ulujami, kota jakarta selatan",ChIJyx2TRtDwaS4RkbNcoX-XhOM,0.011110100000003342
warteg bahari,3.7,3,-6.2177193,106.7667604,"jalan pahlawan 1 kelurahan sukabumi selatan kecamatan kebon jeruk, rt.4/rw.5, sukabumi sel., dki jakarta",ChIJKyVWFiv3aS4RwZTA_rPHL7g,0.026402700000002
warteg ibu sri,4,2,-6.232434700000001,106.757139,"jl. kostrad raya no.22, rt.3/rw.5, petukangan utara, kota jakarta selatan",ChIJ7xnQ4cTwaS4RVxsvx2SQCmo,0.012207100000002136
warteg mamoka bahari 08,4.6,191,-6.2363846,106.7452465,"jl. ciledug raya no.73a, rt.1/rw.1, petukangan utara, kota jakarta selatan",ChIJTce6I_vxaS4RjhaMPyeNc4I,0.013776500000000524
wahyoo warteg bahari,4.3,19,-6.2434033,106.7628917,"jalan ulujami raya no.1, rt.12 rw.04, pesanggrahan, rt.13, ulujami, kota jakarta selatan",ChIJQYuA7ObwaS4RTbxGoYXJ2p4,0.028928400000003407
warteg sumber barokah,4.4,7,-6.2297937,106.745621,"rt.01/rw.007, north petukangan, south jakarta city",ChIJs6P3F_PxaS4RL4ALMicUL2s,0.006811099999993964
warteg berkah,5,2,-6.2326267,106.7488403,"qp8x+wgw, rt.6/rw.2, north petukangan, south jakarta city",ChIJpfY6CsfwaS4RUbsp5U0qqVw,0.0064247999999960115
warteg bahari jaya,4,4,-6.2376939,106.762618,"jalan ciledug raya rt 02 rw 03 # 5 a, ulu jami, pesanggrahan, rt.2/rw.3, ulujami, kota jakarta selatan",ChIJA_lqt93waS4RrdFIIWOSqmM,0.022945300000009716
warteg jaya bahari,4.4,8,-6.228554099999999,106.7573515,"jl. palem raya no.50, rt.7/rw.8, petukangan utara, kota jakarta selatan",ChIJTTa7_qfxaS4RGNU2Sf2seDU,0.008539000000004293
warteg tasya,3.3,3,-6.22594,106.744173,"jl. h. mukhtar no.4, rt.12/rw.11, petukangan utara, kota jakarta selatan",ChIJjR4cYrbwaS4RZlME4CumzXE,0.007253599999990534
warteg mustika bahari,5,1,-6.236555999999999,106.7537158,"jl. moh. jani no.46, rt.1/rw.3, petukangan utara, kota jakarta selatan",ChIJi24W6cPwaS4Ri1-GpH8--BI,0.012905200000000505
warteg asri,5,1,-6.2272779,106.7528639,"jl. masjid darul falah, rt.8/rw.3, petukangan utara, kota jakarta selatan",ChIJjcZf1cjwaS4RLCYWt3YmfBE,0.0029476000000006053
warteg rizqi,5,2,-6.2289052,106.7444207,"jl. amd x, rt.9/rw.1, petukangan utara, kota jakarta selatan",ChIJY3I4n7fwaS4RrDJwQGQe33k,0.0071228999999872755
warteg barokah,5,10,-6.2348848,106.7572031,"jl. kostrad raya no.89, rt.7/rw.4, petukangan utara, kota jakarta selatan",ChIJYVdKYMPwaS4RvorLOQ4gPYo,0.014721300000004156
warteg slawi ayu,4.3,13,-6.244329,106.763217,"jalan raya rt 003 rw 015, jalan ulujami raya, ulujami, pesanggrahan, rt.13, ulujami, kota jakarta selatan",ChIJB3pjmObwaS4Rys9l5-KL3kk,0.030179400000003298
warteg restu bahari,5,1,-6.2274888,106.743362,"jl. amd x, rt.10/rw.1, petukangan utara, kota jakarta selatan",ChIJwyHL4rbwaS4Rw4pDtjJ3NiI,0.0067651999999887025
warteg sederhana,4.3,15,-6.2245623,106.7629599,"jl. kp. baru 5 no.2, rt.7/rw.2, ulujami, kota jakarta selatan",ChIJddJpYdHwaS4RT34iPH2cgJo,0.01575920000000508
warteg pojok,0,0,-6.225625,106.747326,"jl. h. muchtar raya no.27-21, rt.5/rw.11, petukangan utara, kota jakarta selatan",ChIJOdkU48nwaS4RM9meORPFy6A,0.0044155999999926365
warteg permata bahari,4.4,46,-6.233694,106.751528,"jl masjid daarul fallah rt 04 rw 02 petukangan utara pesanggrahan, rt.4/rw.2, petukangan utara, kota jakarta selatan",ChIJ1zRYlcbwaS4RW7u7D3IVp8I,0.007855399999999513
warteg berkah slawi ayu,5,1,-6.2259718,106.7637052,"jalan kampung baru 3 (50 meter dari gapura) ulujami pesanggrahan, rt.3/rw.2, ulujami, dki jakarta",ChIJbcrjO9HwaS4RHl0lM4HYv28,0.015095000000010295
warteg tarnity,5,5,-6.2356387,106.7489751,"gg. h. kasan misin no.12, rt.10/rw.2, petukangan utara, kota jakarta selatan",ChIJf37Ira_xaS4RFOV19mcfLdI,0.009301999999998145
warteg jaya bahari,0,0,-6.2312822,106.7605672,"jl. swadarma raya no.45, rt.3/rw.3, srengseng, kota jakarta selatan",ChIJ2XSUg2_xaS4R48nTL5YtJdQ,0.014482800000003238
warteg jihan,5,1,-6.2361656,106.755868,"jl. pratama no.3, rt.2/rw.6, petukangan sel., kota jakarta selatan",ChIJ0cRjdcPwaS4RwEQ00gtcVYk,0.014667000000012642
warteg ibu sri,4.9,10,-6.2342768,106.7607727,"jalan swadarma, rt.14/rw.3, ulujami, kota jakarta selatan",ChIJkUo-ZNvwaS4R3jvOoCxzP1o,0.01768290000001027
warteg ella jaya,4.4,7,-6.2361599,106.744911,"jl. h. sulaiman, petukangan utara, kota jakarta selatan",ChIJ2VBTPL_waS4RVdmThoyBoxM,0.013887299999991498
wahyoo warteg karomah,3.8,6,-6.226157,106.741394,"jalan muhtar raya # 81 a, rt.10/rw.1, petukangan utara, pesanggrahan, rt.10/rw.1, petukangan utara, kota jakarta selatan",ChIJKWmot7bwaS4RCIrsL08hGOU,0.009815599999994262
warteg dua putri,4.3,24,-6.233057,106.7446839,"gg. sawo no.1, rt.003/rw.012, petukangan utara, kota jakarta selatan",ChIJIZ1J-rjwaS4RE3YWszQAjlU,0.011011499999995067
warteg kharisma bahari,4,18,-6.2371212,106.758175,"jl. ciledug raya, rt.1/rw.6, petukangan sel., kota jakarta selatan",ChIJLTaOKMPwaS4RW1J9AZ20kHw,0.017929600000000434
warteg nur rizki,4.2,36,-6.2326023,106.756096,"jl. duku rt004, rt.9/rw.5, petukangan utara, kota jakarta selatan",ChIJJ90pxEnxaS4RvwPDUlrCg_w,0.011331700000005718
warteg ayu,3.5,8,-6.231062,106.752089,"jl. masjid darul fallah no.2a, rt.7/rw.3, petukangan utara, kota jakarta selatan",ChIJl03mEsbwaS4R3FaLaDdDgP0,0.00578440000000402
warteg permata bahari,4.5,48,-6.2282828,106.7571826,"jl. palem raya no.33, rt.7/rw.8, petukangan utara, kota jakarta selatan",ChIJm2GAv8_waS4REK-eCg6R_q8,0.008098799999999073
warteg salfa,4.3,22,-6.2399499,106.763561,"jl. perdatam i no.1, rt.7/rw.5, ulujami, kota jakarta selatan",ChIJO08QWOfwaS4RQhd1QBTKzDI,0.02614430000000212
warteg ceria 1,4.6,27,-6.2284045,106.7532555,"jl. palem i no.8, rt.8/rw.3, petukangan utara, kota jakarta selatan",ChIJsSb-29_xaS4R9HX-8PFWuuE,0.00429340000000078
warteg barokah,3.3,9,-6.2390301,106.7526336,"jl. sabar raya, rt.4, petukangan sel., kota jakarta selatan",ChIJGzXz88HwaS4RNWg94FylJ3M,0.014297100000002061
warteg panorama bahari,0,0,-6.2362267,106.746969,"jl. ciledug raya no.1c, rt.10/rw.2, petukangan utara, kota jakarta selatan",ChIJbWZxX7_waS4RGF_MzKsW3l8,0.011896099999986198
