nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg barokah,4.8,4,-6.247303899999999,106.7797712,"jl. bungur, rt.4/rw.1, kby. lama utara, kota jakarta selatan",ChIJwahg_BrxaS4RNRojSe6S7EQ,0.022812300000000896
warteg bahari 02,5,3,-6.225159,106.763381,"jl. kp. baru 5 no.44, rt.4/rw.2, ulujami, kota jakarta selatan",ChIJV0H0QtHwaS4RM4LCySp_nkk,0.015938799999996256
warteg barokah,4,1,-6.235517199999999,106.7514579,"jl. masjid darul fallah, rt.12/rw.3, petukangan utara, kota jakarta selatan",ChIJSWnZN8HwaS4RXyobdW8Ye5U,0.0172876999999918
warteg barokah,5,4,-6.2378864,106.7697193,"jl. ciledug raya no.9, rt.2/rw.5, cipulir, kota jakarta selatan",ChIJR9Aokt_waS4RFASO0A1o0m8,0.009549700000006212
warteg bahari,3.8,26,-6.254552,106.76359,"jl ulujami raya rt009, rt.1/rw.2, rw001, kota jakarta selatan",ChIJPeJhsf_xaS4RIRhBtphrPOM,0.013879199999997205
warteg kharisma bahari,4.2,156,-6.2443246,106.7805457,"warteg kharisma bahari 18 jl.ciputat raya no.30 rt.03 rw.07, rt.3/rw.4, kby. lama utara, kota jakarta selatan",ChIJA4lMQyzxaS4RpfbgphsypcQ,0.02060750000000766
warteg bahari kembar,5,2,-6.2394446,106.7708592,"jl. al mubarok 1 no.10, rt.1/rw.1, cipulir, kota jakarta selatan",ChIJQzXRASDxaS4RuL0MAhxie_k,0.009131400000004675
warteg rizky,0,0,-6.2311217,106.7520328,"jl. masjid darul fallah no.23, rt.3/rw.3, petukangan utara, kota jakarta selatan",ChIJ30ny92PxaS4R0ZGlTg0tOYI,0.021108300000001634
warteg bahari,0,0,-6.2357124,106.7726734,"jl. cipulir i no.28, rt.7/rw.4, cipulir, kota jakarta selatan",ChIJ06pU6CDxaS4RjOgnbiOnuoE,0.01467780000000296
warteg bahari 19,5,1,-6.2278688,106.7606079,"jl. swadarma raya, rt.1/rw.2, ulujami, kota jakarta selatan",ChIJyx2TRtDwaS4RkbNcoX-XhOM,0.015786099999999692
warteg bahari 107,4.4,28,-6.238039499999999,106.7684813,"jl. ciledug raya, rt.14/rw.6, cipulir, kota jakarta selatan",ChIJRZd9t9_waS4Re0g731DM18M,0.008158600000006011
warteg,5,2,-6.2369629,106.7751159,"qq7g+629, rt.2/rw.4, cipulir, south jakarta city",ChIJqVE2hLrxaS4Ra8uSgAFfTts,0.015869800000003487
warteg citra bahari,3.6,10,-6.253381,106.77607,"jalan bintaro raya tanah kusir, rt.2/rw.10, kebayoran lama selatan, kebayoran lama, rt.11/rw.10, kby. lama sel., kota jakarta selatan",ChIJo7yAjAPxaS4Rj1TMzLIGzlE,0.025188200000007654
warteg barokah,3.7,17,-6.2383864,106.7721225,"jl. seskoal no.11, rt.6/rw.11, cipulir, kota jakarta selatan",ChIJ5W4bGCDxaS4RqZ0KAKyp5os,0.01145289999999477
warteg sederhana,5,1,-6.2290871,106.7789612,"jl. raya kby. lama no.19, rt.4/rw.10, grogol sel., kota jakarta selatan",ChIJK7bBfkvxaS4RSj8BA7bN760,0.027590899999998086
warteg mamoka bahari 08,4.6,191,-6.2363846,106.7452465,"jl. ciledug raya no.73a, rt.1/rw.1, petukangan utara, kota jakarta selatan",ChIJTce6I_vxaS4RjhaMPyeNc4I,0.022631700000003363
warteg permata bahari,3,1,-6.2554082,106.7633761,"gg. al. barkah, rt.10/rw.1, pesanggrahan, kota jakarta selatan",ChIJm9fCXfnwaS4REvUs9gvAU-k,0.014521500000005183
warteg ibu sri,4,2,-6.232434700000001,106.757139,"jl. kostrad raya no.22, rt.3/rw.5, petukangan utara, kota jakarta selatan",ChIJ7xnQ4cTwaS4RVxsvx2SQCmo,0.014689100000000899
wahyoo warteg bahari,4.3,19,-6.2434033,106.7628917,"jalan ulujami raya no.1, rt.12 rw.04, pesanggrahan, rt.13, ulujami, kota jakarta selatan",ChIJQYuA7ObwaS4RTbxGoYXJ2p4,0.0027948000000019846
warteg sumber barokah,4.4,7,-6.2297937,106.745621,"rt.01/rw.007, north petukangan, south jakarta city",ChIJs6P3F_PxaS4RL4ALMicUL2s,0.028848099999996712
warteg berkah,5,2,-6.2326267,106.7488403,"qp8x+wgw, rt.6/rw.2, north petukangan, south jakarta city",ChIJpfY6CsfwaS4RUbsp5U0qqVw,0.022795799999999034
warteg bahari jaya,4,4,-6.2376939,106.762618,"jalan ciledug raya rt 02 rw 03 # 5 a, ulu jami, pesanggrahan, rt.2/rw.3, ulujami, kota jakarta selatan",ChIJA_lqt93waS4RrdFIIWOSqmM,0.003950899999993318
warteg 85,0,0,-6.2459052,106.7513454,"jl. manunggal 2, rt.12/rw.2, petukangan sel., kota jakarta selatan",ChIJM0FubezwaS4Rpo4gtXy579g,0.01684299999999439
warteg jaya bahari,4.4,8,-6.228554099999999,106.7573515,"jl. palem raya no.50, rt.7/rw.8, petukangan utara, kota jakarta selatan",ChIJTTa7_qfxaS4RGNU2Sf2seDU,0.01835719999999874
warteg mulya jaya,0,0,-6.2559947,106.7631338,"jl. ulujami raya, rt.10/rw.2, pesanggrahan, kota jakarta selatan",ChIJRQqGafnwaS4RfBPm6WrQIRw,0.015144099999993443
warteg mustika bahari,5,1,-6.236555999999999,106.7537158,"jl. moh. jani no.46, rt.1/rw.3, petukangan utara, kota jakarta selatan",ChIJi24W6cPwaS4Ri1-GpH8--BI,0.01399100000000253
warteg renanda,4.4,25,-6.2489672,106.7635864,"jalan ulujami raya, gang warga, rt. 002 / rw. 007, ulujami, rt.2/rw.7, ulujami, kota jakarta selatan",ChIJFafvvuTwaS4R5ysHp25beTQ,0.008290799999997489
warteg asri,5,1,-6.2272779,106.7528639,"jl. masjid darul falah, rt.8/rw.3, petukangan utara, kota jakarta selatan",ChIJjcZf1cjwaS4RLCYWt3YmfBE,0.024121000000002724
warteg bahari,4.6,13,-6.248623299999999,106.7535,"jl. damai raya no.5b, rt.1/rw.2, petukangan sel., kota jakarta selatan",ChIJ4WB1ce7waS4Ri9pic22ii9Q,0.017406499999996328
warteg rw,4.3,24,-6.2495685,106.7637129,"jl. ulujami raya no.42c, rt.4/rw.1, pesanggrahan, kota jakarta selatan",ChIJzZxps-TwaS4Rg-N2MPS4DGg,0.00901860000000454
warteg putrabahari,4.4,111,-6.229489999999999,106.7767754,"jl. cidodol raya, rt.3/rw.11, grogol sel., kota jakarta selatan",ChIJy6ta_CXxaS4RfydUlbQcTPk,0.025002200000006525
warteg barokah,5,10,-6.2348848,106.7572031,"jl. kostrad raya no.89, rt.7/rw.4, petukangan utara, kota jakarta selatan",ChIJYVdKYMPwaS4RvorLOQ4gPYo,0.012174899999998878
warteg,0,0,-6.2524215,106.7645101,"jl. ulujami raya, rt.6/rw.1, pesanggrahan, kota jakarta selatan",ChIJUxllf_vwaS4RbGeCs67VkJE,0.01266879999999837
