nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
wahyoo warteg barokah,4.5,2,-6.1907272,106.8163628,"rr58+pg5, rt.4/rw.6, kebon kacang, central jakarta city",ChIJ____v532aS4Rw7jGNRR4xdI,0
wahyoo warteg sederhana srijaya,0,0,-6.190074,106.812076,"no. 111 tanah abang jalan jembatan tinggi raya, rt.16/rw.9, kebon kacang, central jakarta city",ChIJg0zKtwH3aS4Rzw8GJxFe-jE,0
warteg ibu yus,4.8,6,-6.1933322,106.8154457,"jalan kebon kacang depan pull taxi thamrin city kelurahan kecamatan tanah abang, rt.2/rw.8, kb. kacang, dki jakarta",ChIJMZ45YJ72aS4RcCvPqRDsEgI,0
warteg dewi sri,4.1,26,-6.190155600000001,106.8129445,"jalan jati bunder raya samping pos polisi kelurahan tanah abang, jl. kb. kacang 1, rt.12/rw.9, kb. kacang, dki jakarta",ChIJ811NeJz2aS4RCGUvZNke190,0
warteg bon.cank sebels,4.3,27,-6.188962699999999,106.821315,"kebon kacang, central jakarta city",ChIJmYUsUSb0aS4RHF-HhVc5JFA,0
warteg mulya,4.9,10,-6.22113,106.846073,"jl. dr. saharjo, rt.4/rw.5, menteng atas, kota jakarta selatan",ChIJ1w_j8ovzaS4RWFhXncsmwEs,0
warteg bahari.in,5,2,-6.220841099999999,106.8498442,"jl albarkah no 30 rt 06/rw 03 kel, rt.6/rw.3, manggarai sel., kota jakarta selatan",ChIJS3btx1DzaS4RgweaHWbNokg,0
warteg putri,3.3,3,-6.2191892,106.852938,"jl. bukit duri selatan no.5, rt.9/rw.3, bukit duri, kota jakarta selatan",ChIJRXpbgYjzaS4RV1hv9D-ZtxA,0
warteg duaputri,0,0,-6.2245725,106.8519245,"jl. abdullah syafei, rt.1/rw.1, manggarai sel., kota jakarta selatan",ChIJY2H5mI_zaS4RcXExGXimRuw,0
warteg maun jaya,4.8,6,-6.2185941,106.8452144,"jalan dokter saharjo, rt.1/rw.4, manggarai sel., kota jakarta selatan",ChIJY7fqT4rzaS4RpXeI2d90cpo,0
